#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
6.364644,0.031906,0.320663,0.009197,0.009197,6.734236
5.622812,0.019989,0.306710,0.001648,0.001648,5.952623
7.345426,0.108647,1.094500,0.156443,0.156443,15.217586
6.940307,0.106808,2.183160,0.223535,0.223535,17.881302
5.693645,0.047978,3.240326,0.141535,0.141535,14.246953
6.713647,0.072748,6.463348,0.272385,0.272385,22.313469
9.016113,0.181273,12.108985,0.370912,0.370912,45.618094
8.245387,0.216649,11.901830,0.457373,0.457373,41.080100
9.418118,0.309846,22.419618,0.454394,0.454394,64.092728
6.534384,0.125623,12.173303,40.743781,40.743781,86.112081
5.087909,0.088594,10.536465,0.553230,0.553230,47.062941
8.115020,0.171964,12.427527,1.009116,1.009116,68.578180
7.209421,0.122104,13.651834,0.765734,0.765734,62.715096
11.052169,0.166785,20.751673,1.042573,1.042573,98.011251
8.000583,0.125851,15.022534,1.104712,1.104712,76.794971
9.832625,0.112041,16.002218,1.168409,1.168409,77.399753
10.390638,0.116474,17.782380,1.769342,1.769342,86.736228
10.696393,0.131707,15.691519,1.200024,1.200024,90.135802
8.017397,0.097286,15.802409,1.649639,1.649639,92.692433
13.203393,0.108476,23.295913,3.186750,3.186750,128.573617
11.921788,0.077976,18.710426,2.030041,2.030041,118.685472
11.917501,0.102687,28.954505,3.051421,3.051421,130.171566
12.738336,0.151632,21.796249,2.494840,2.494840,123.620791
8.359516,0.101358,22.678018,2.864644,2.864644,124.502314
9.490561,0.126978,21.083566,2.700367,2.700367,246.143954
9.657255,0.116185,22.786771,2.909116,2.909116,130.414767
18.952462,0.274494,40.589864,2.886700,2.886700,155.408417
19.826784,0.267481,31.559078,2.937358,2.937358,145.027495
12.932007,0.293122,25.826108,2.036144,2.036144,165.963658
12.938488,0.167803,40.143057,1.913706,1.913706,156.912079
11.517037,0.115335,30.762168,3.616466,3.616466,149.253367
10.349602,0.093374,23.301985,3.007025,3.007025,159.742209
11.067155,0.111242,25.410362,4.048111,4.048111,165.228799
10.504474,0.080834,27.892673,4.459086,4.459086,164.440672
12.303749,0.191181,27.311696,2.964460,2.964460,173.834886
9.420750,0.144047,20.181961,4.819936,4.819936,146.101439
8.038156,0.057065,14.686494,2.795095,2.795095,149.772475
6.253907,0.106613,13.563842,4.601205,4.601205,80.229096
12.858853,0.081772,33.290791,3.716934,3.716934,153.066263
9.206191,0.040643,14.927313,5.111623,5.111623,141.957095
11.956689,0.007250,32.972480,2.190082,2.190082,127.016397
12.166291,0.008083,31.130460,4.600659,4.600659,145.450101
12.748542,0.008187,21.945365,2.893884,2.893884,116.499907
11.380336,0.006540,20.310219,2.975995,2.975995,115.361397
12.149858,0.007880,16.838508,3.220071,3.220071,109.934098
8.529663,0.004084,16.917992,3.031026,3.031026,115.593035
10.227754,0.005192,19.690721,3.045839,3.045839,125.806945
6.830869,0.003156,13.792365,3.236200,3.236200,106.606326
6.894736,0.003417,19.575426,3.450669,3.450669,116.748931
12.768646,0.006843,29.140501,4.814527,4.814527,134.931765
12.465508,0.007277,32.305557,2.898945,2.898945,128.555972
12.928422,0.007290,27.921502,3.564269,3.564269,128.690480
12.225260,0.006780,29.596808,1.992655,1.992655,124.916837
6.730471,0.002927,13.909554,3.958188,3.958188,110.297296
9.067467,0.013395,20.889927,3.043400,3.043400,123.158245
5.764658,0.049713,0.514458,0.003013,0.003013,6.333361
8.880633,0.221719,1.383150,0.001630,0.001630,10.488801
8.585502,0.498690,5.113843,0.837012,0.837012,40.416915
9.628367,0.270679,5.264843,0.695503,0.695503,34.329916
6.548499,0.169152,6.495578,0.775377,0.775377,34.247929
5.839450,0.152141,7.246451,0.852562,0.852562,37.271545
10.792528,0.192496,16.293548,1.178154,1.178154,69.637635
11.845385,0.229402,18.848696,1.067194,1.067194,61.403869
11.420744,0.203313,20.228188,1.336396,1.336396,76.461276
10.661297,0.257998,19.929927,143.863636,143.863636,220.038071
8.141290,0.188137,16.932414,1.180216,1.180216,67.034597
8.781389,0.158175,15.887024,1.665140,1.665140,70.982575
12.938527,0.155703,17.397958,1.432399,1.432399,86.524437
6.965032,0.172253,14.349346,1.718427,1.718427,83.976165
7.665150,0.146012,16.251226,1.753907,1.753907,119.354390
9.587486,0.185586,15.328694,1.786203,1.786203,94.728258
14.708637,0.297397,34.371361,2.222019,2.222019,131.146809
13.557198,0.463800,28.868837,2.029412,2.029412,139.466837
12.903246,0.306795,27.814781,2.022304,2.022304,157.153797
9.058119,0.302592,22.333779,2.644754,2.644754,124.948472
13.077955,0.520219,36.401314,3.060257,3.060257,460.135136
6.780964,0.262381,16.274906,3.680044,3.680044,135.121401
11.039892,0.267101,31.660756,4.124029,4.124029,151.936257
6.808221,0.187640,26.910151,3.940445,3.940445,149.785688
8.668475,0.230845,20.773957,3.600199,3.600199,137.561289
