#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
6.763728,0.116327,0.980311,0.008581,0.008581,7.875370
8.119044,0.129969,2.511430,0.002285,0.002285,10.764781
9.881185,0.430678,5.469660,0.673187,0.673187,49.136054
8.732104,0.343462,6.642029,0.796290,0.796290,47.038732
7.147305,0.190675,5.307335,1.115418,1.115418,31.085108
12.376825,0.344563,13.773810,0.807481,0.807481,61.546404
7.078061,0.151020,12.068339,1.706379,1.706379,57.036847
6.432016,0.171810,8.712646,1.204995,1.204995,64.992044
11.494453,0.513073,23.431203,1.193022,1.193022,64.903463
10.636755,0.225661,22.069707,91.264192,91.264192,170.582205
6.178656,0.238411,11.418058,1.755929,1.755929,62.567006
7.606580,0.195361,15.538290,1.997169,1.997169,68.653988
8.985011,0.250123,15.775362,1.960897,1.960897,84.049994
6.430395,0.214271,11.812270,2.081041,2.081041,71.620994
9.058022,0.281639,19.099645,2.827214,2.827214,101.517780
6.840157,0.239876,15.089211,2.822901,2.822901,87.919309
11.275397,0.519370,17.699820,2.845019,2.845019,93.465731
5.944448,0.227725,21.185992,3.013602,3.013602,100.664394
11.329833,0.388399,25.383692,2.997297,2.997297,216.301791
6.740561,0.217669,15.538623,3.034891,3.034891,109.280867
13.111507,0.298824,33.929936,3.906633,3.906633,130.010235
12.266164,0.393223,33.054509,4.883698,4.883698,132.286709
7.936349,0.236662,31.063757,4.682680,4.682680,131.414337
12.519859,0.378682,34.924748,5.240844,5.240844,136.368780
13.745181,0.364303,34.893296,4.664697,4.664697,141.002970
12.150663,0.365234,29.611740,5.398514,5.398514,129.871421
12.146406,0.407546,26.242973,3.638307,3.638307,142.241137
13.065274,0.526133,34.894904,3.773487,3.773487,162.246768
7.010402,0.269051,13.059801,3.087922,3.087922,125.122730
7.348943,0.285957,14.258471,3.585707,3.585707,122.479977
8.201562,0.266647,15.661280,4.459406,4.459406,130.180165
7.062652,0.233413,14.083434,3.671126,3.671126,132.967382
9.047539,0.181053,16.582315,3.905464,3.905464,143.826849
9.522245,0.226787,20.465559,4.266591,4.266591,148.886987
11.284807,0.270897,27.120423,6.003959,6.003959,158.712603
11.261668,0.250189,34.041194,5.896749,5.896749,167.988688
12.970374,0.458041,30.265407,5.167453,5.167453,161.580024
8.245880,0.251051,18.870958,6.235954,6.235954,154.273138
10.850893,0.268947,18.050151,8.881203,8.881203,158.546430
10.515742,0.342715,23.509307,6.759655,6.759655,160.073477
10.078569,0.338721,21.654953,7.844846,7.844846,160.052678
8.216506,0.221402,26.160774,10.477527,10.477527,162.740938
6.582824,0.218334,20.286032,6.506916,6.506916,145.830948
7.397907,0.233720,25.885210,8.548473,8.548473,443.914984
6.060554,0.264233,16.975641,8.876113,8.876113,149.701446
13.334376,0.520186,40.910490,7.940037,7.940037,188.442496
12.554594,0.477644,35.699663,7.131668,7.131668,175.004171
6.357771,0.297188,34.456134,7.870500,7.870500,180.569443
10.593873,0.301967,20.994297,10.099136,10.099136,169.562652
11.747168,0.561115,37.116095,11.758123,11.758123,190.993484
6.058893,0.249303,15.375086,12.855201,12.855201,153.176599
9.457443,0.584179,24.845894,8.636163,8.636163,167.300457
12.794820,0.497156,27.348566,8.382307,8.382307,177.034285
7.226050,0.272755,19.081337,9.167634,9.167634,159.957249
5.876997,0.161058,14.935935,10.509028,10.509028,153.817939
11.984076,0.485460,30.544705,10.881891,10.881891,193.276960
10.745045,0.380672,31.621043,7.753352,7.753352,167.233265
7.918803,0.364605,24.001840,7.013625,7.013625,171.719473
10.391317,0.247037,19.601743,7.833227,7.833227,169.103193
8.401276,0.354969,20.992635,6.646472,6.646472,165.267236
6.837039,0.245249,17.411652,7.018789,7.018789,155.826154
8.043331,0.245617,29.267650,5.624156,5.624156,160.649060
6.380269,0.218061,16.178754,6.700883,6.700883,153.820710
6.701145,0.233005,15.857182,5.539584,5.539584,160.807024
6.439785,0.253148,15.819879,4.448955,4.448955,151.438083
8.011898,0.289435,30.842958,6.356190,6.356190,167.921856
13.670916,0.484380,27.299171,6.835724,6.835724,173.342907
15.077890,0.510033,34.690359,6.147948,6.147948,178.511472
11.206965,0.291741,33.529976,7.978639,7.978639,179.277887
16.896035,0.373345,40.728181,9.466257,9.466257,207.942333
14.586802,0.182953,33.454963,9.766463,9.766463,190.074117
6.618877,0.221199,16.868609,7.145762,7.145762,163.905428
9.951380,0.226083,17.637050,6.964192,6.964192,168.645197
10.430170,0.421482,28.660444,7.261055,7.261055,186.038603
11.685173,0.676346,33.016833,5.235228,5.235228,173.137563
9.896870,0.426983,22.795518,5.750885,5.750885,175.412638
10.661776,0.284032,29.421863,7.646744,7.646744,181.788184
6.626905,0.224878,28.135601,6.606786,6.606786,177.353682
10.033237,0.369921,22.748742,8.139522,8.139522,184.300540
9.301573,0.480620,43.366749,13.259795,13.259795,202.167997
10.447978,0.278869,38.929840,14.504552,14.504552,197.185845
8.006515,0.272057,24.279197,8.208427,8.208427,173.509388
10.300864,0.204103,33.528474,15.896437,15.896437,196.709850
15.145625,0.501787,34.036959,10.710373,10.710373,184.826240
15.140306,0.473474,24.782339,10.601808,10.601808,186.378551
12.276024,0.469637,23.860480,14.974232,14.974232,184.425529
7.511168,0.226270,22.278724,10.779761,10.779761,165.088317
7.660401,0.232013,20.599203,12.504326,12.504326,158.956622
13.081428,0.439303,24.927638,8.406531,8.406531,167.474769
10.235128,0.373961,31.078486,7.975824,7.975824,161.047184
8.660172,0.294952,21.246463,10.117289,10.117289,166.135859
12.525489,0.694669,18.396956,9.504119,9.504119,155.083422
6.017435,0.268117,21.437045,9.380943,9.380943,148.855066
11.153042,0.545462,27.608594,8.939012,8.939012,163.937488
5.410308,0.282837,27.439171,8.002399,8.002399,160.776284
5.805916,0.320522,19.361126,6.785201,6.785201,138.530152
9.109855,0.425308,35.828860,6.455387,6.455387,164.996745
10.766754,0.490044,26.813084,7.558227,7.558227,156.696785
5.880320,0.295732,23.775818,6.864490,6.864490,154.947617
7.048671,0.214367,14.772461,7.669273,7.669273,150.079913
9.636690,0.314968,32.617954,6.503522,6.503522,190.478636
10.097676,0.452642,23.561783,5.701522,5.701522,163.664211
6.116224,0.212211,23.050830,6.556148,6.556148,168.945450
6.221675,0.161557,16.450063,6.222247,6.222247,149.710374
12.390085,0.377349,38.904019,9.160746,9.160746,193.542101
5.457541,0.257804,19.418321,7.975130,7.975130,157.210550
5.990896,0.153168,18.704789,7.501840,7.501840,155.458752
5.801187,0.175613,17.887837,9.199944,9.199944,155.523149
13.687482,0.451468,38.220629,8.442069,8.442069,179.628658
6.683098,0.192198,15.053689,14.068818,14.068818,156.246138
13.533775,0.441804,30.676264,7.870092,7.870092,182.186202
8.830031,0.224485,17.260212,8.095976,8.095976,165.276095
7.209457,0.276542,17.588821,8.939918,8.939918,163.546531
6.260660,0.299439,18.944211,9.070552,9.070552,162.490003
9.211124,0.589083,19.650323,8.029644,8.029644,157.968497
10.239371,0.572842,18.807649,7.484025,7.484025,164.069918
5.575743,0.313642,15.524029,8.497359,8.497359,151.241620
8.661341,0.406905,23.397669,6.262594,6.262594,164.477992
11.466103,0.637178,22.013590,6.614002,6.614002,170.217342
9.372087,0.323959,23.788277,6.257383,6.257383,161.827605
8.553516,0.353912,21.815992,6.791016,6.791016,175.523500
11.979321,0.520756,32.689913,6.253013,6.253013,169.044569
10.010756,0.312234,29.631231,6.303850,6.303850,167.433929
11.892448,0.661933,36.131991,6.664046,6.664046,168.392993
