#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1413393886005760512.000000,0.000000,0.000000,15.258276,4.357694,0.002393,6.735397,3.702821,0.001318,21.627661
1413393886055760384.000000,0.000000,0.000000,13.557394,3.690303,0.059117,4.976946,5.048053,0.001026,19.838506
1413393886105760512.000000,0.000000,0.000000,13.743168,3.597457,0.049671,2.692426,3.160600,0.000421,20.366753
1413393886155760384.000000,0.000000,0.000000,13.535592,5.834015,0.058279,4.736771,3.631188,0.000671,22.157907
1413393886205760512.000000,0.000000,0.000000,13.771147,3.853714,0.052990,2.544188,2.693344,0.747503,20.325710
1413393886255760384.000000,0.000000,0.000000,12.931440,3.840820,0.063188,5.608158,7.407741,0.000609,19.330922
1413393886305760512.000000,0.000000,0.000000,13.646625,10.475890,0.076475,5.040180,5.149339,0.000816,27.639851
1413393886355760384.000000,0.000000,0.000000,14.190941,3.948988,0.046791,5.081414,5.545738,0.000796,20.639803
1413393886405760512.000000,0.000000,0.000000,12.966046,9.915497,0.077626,5.694186,6.136731,0.001132,26.054678
1413393886455760384.000000,0.000000,0.000000,12.879555,8.030442,0.060007,3.103229,5.332258,0.616118,23.915204
1413393886505760512.000000,0.000000,0.000000,14.687006,4.600189,0.047685,6.763482,7.044180,0.000603,22.036452
1413393886555760384.000000,0.000000,0.000000,13.543851,3.976181,0.043127,4.908237,6.682668,0.533497,20.182969
1413393886605760512.000000,0.000000,0.000000,14.183185,10.318853,0.079325,8.890289,8.591708,0.000685,27.549405
1413393886655760384.000000,0.000000,0.000000,14.794567,10.374259,0.085541,6.173296,6.718939,0.000496,28.323989
1413393886705760512.000000,0.000000,0.000000,14.296859,3.723646,0.046739,5.658986,7.495056,0.000542,21.019410
1413393886755760384.000000,0.000000,0.000000,14.470779,3.660490,0.055717,4.059144,7.731743,0.485314,20.807574
1413393886805760512.000000,0.000000,0.000000,15.217541,4.348910,0.036465,5.661491,6.635878,0.000710,22.449109
1413393886855760384.000000,0.000000,0.000000,14.083376,10.038567,0.045605,9.178957,10.107395,0.663070,26.476199
1413393886905760512.000000,0.000000,0.000000,14.433599,10.743724,0.078251,6.916205,8.446876,0.000805,28.294720
1413393886955760384.000000,0.000000,0.000000,14.449269,11.611447,0.068884,2.617972,6.019882,0.000475,29.201417
1413393887005760512.000000,0.000000,0.000000,14.127644,9.118423,0.058642,2.400984,6.257620,0.629935,26.624945
1413393887055760384.000000,0.000000,0.000000,18.079605,6.054198,0.043443,6.008704,8.190901,0.000641,26.737439
1413393887105760512.000000,0.000000,0.000000,14.112986,11.515213,0.094124,3.119691,5.486084,0.000437,28.536134
1413393887155760384.000000,0.000000,0.000000,13.709798,7.229371,0.053944,2.973408,6.237638,0.000460,23.707226
1413393887205760512.000000,0.000000,0.000000,12.570007,10.469492,0.085194,2.854520,5.760042,0.000510,26.557107
1413393887255760384.000000,0.000000,0.000000,11.579745,4.898570,0.043975,2.777509,5.572027,0.000754,19.363264
1413393887305760512.000000,0.000000,0.000000,12.932381,5.375735,0.067580,2.775664,6.821085,0.555432,20.647736
1413393887355760384.000000,0.000000,0.000000,13.451530,8.569075,0.049601,5.619572,7.188987,0.001057,25.329401
1413393887405760512.000000,0.000000,0.000000,16.233301,3.842637,0.060176,3.715138,6.909446,0.000705,23.063510
1413393887455760384.000000,0.000000,0.000000,14.799223,5.573763,0.061857,4.026183,8.202850,0.000790,22.863004
1413393887505760512.000000,0.000000,0.000000,14.174562,5.388544,0.052666,3.421979,8.592863,0.000928,22.252781
1413393887555760384.000000,0.000000,0.000000,13.062530,3.906666,0.051118,3.436856,7.188780,0.462258,19.523212
1413393887605760512.000000,0.000000,0.000000,14.557743,4.290221,0.045122,5.250332,7.695138,0.000787,21.493673
1413393887655760384.000000,0.000000,0.000000,14.557450,5.759467,0.049719,4.952468,7.573628,0.000917,23.123139
1413393887705760512.000000,0.000000,0.000000,13.030505,5.407220,0.048131,3.799971,7.008040,0.000822,21.702686
1413393887755760384.000000,0.000000,0.000000,13.371226,9.304939,0.097638,4.106480,7.841062,0.000716,26.381545
1413393887805760512.000000,0.000000,0.000000,13.973114,3.952641,0.054206,4.522422,9.813754,1.103041,21.190016
1413393887855760384.000000,0.000000,0.000000,14.312345,4.238028,0.043736,5.404151,8.550538,0.001018,21.021768
1413393887905760512.000000,0.000000,0.000000,16.916506,4.206130,0.050011,0.063355,10.016400,0.108996,24.251795
1413393887955760384.000000,0.000000,0.000000,15.114428,4.204293,0.044995,0.067346,8.356444,0.851650,21.826575
1413393888005760512.000000,0.000000,0.000000,14.017713,9.974098,0.127784,0.108283,14.232541,0.158437,27.089659
1413393888055760384.000000,0.000000,0.000000,13.625792,3.795792,0.050321,0.035218,8.838751,0.070287,20.237251
1413393888105760512.000000,0.000000,0.000000,16.750741,6.204170,0.091509,0.054170,10.934466,0.123379,26.466900
1413393888155760384.000000,0.000000,0.000000,13.271340,7.023462,0.061408,0.044910,7.660962,0.097008,23.552453
1413393888205760512.000000,0.000000,0.000000,13.729938,4.064797,0.052667,0.038684,7.892020,0.100113,20.198678
1413393888255760384.000000,0.000000,0.000000,14.125259,4.151478,0.047265,0.033956,8.190180,0.608205,20.788209
1413393888305760512.000000,0.000000,0.000000,14.507037,3.903209,0.066402,0.096990,14.910332,0.182796,20.969042
1413393888355760384.000000,0.000000,0.000000,13.316948,3.991954,0.045234,0.054960,10.144250,0.069250,20.138998
1413393888405760512.000000,0.000000,0.000000,13.198331,10.270685,0.096814,0.053985,10.335575,0.088959,26.497152
1413393888455760384.000000,0.000000,0.000000,15.000427,8.074865,0.073610,0.060565,8.589224,0.074774,25.862963
1413393888505760512.000000,0.000000,0.000000,13.922249,7.103252,0.044417,0.054511,8.030242,0.058128,23.462561
1413393888555760384.000000,0.000000,0.000000,14.374951,5.009907,0.051488,0.042472,8.240675,0.100483,22.289225
1413393888605760512.000000,0.000000,0.000000,14.050076,4.238142,0.040491,0.059616,14.331254,1.325905,21.508242
1413393888655760384.000000,0.000000,0.000000,15.062380,3.736554,0.069310,0.048692,9.776299,0.090821,21.718317
1413393888705760512.000000,0.000000,0.000000,14.852675,3.785124,0.045504,0.071558,13.851231,0.120423,21.169319
1413393888755760384.000000,0.000000,0.000000,14.575501,3.715237,0.050635,0.042872,8.422770,0.097307,21.354341
1413393888805760512.000000,0.000000,0.000000,14.782600,8.758119,0.037470,0.039421,8.679133,0.698099,26.238937
1413393888855760384.000000,0.000000,0.000000,13.506229,10.717355,0.087174,0.080121,8.947873,0.087039,27.291055
1413393888905760512.000000,0.000000,0.000000,15.316171,9.045618,0.055821,0.075646,13.634897,1.016325,27.163743
1413393888955760384.000000,0.000000,0.000000,14.232777,7.829278,0.054381,0.086566,16.162407,1.062677,24.690310
1413393889005760512.000000,0.000000,0.000000,12.499205,4.086127,0.043513,0.056843,12.007987,0.133685,19.074790
1413393889055760384.000000,0.000000,0.000000,13.293595,4.178892,0.046459,0.062935,14.141066,0.875042,19.968728
1413393889105760512.000000,0.000000,0.000000,14.701950,10.949218,0.098591,0.068557,15.137582,0.146438,28.592426
1413393889155760384.000000,0.000000,0.000000,14.579140,10.751455,0.083015,0.072208,9.918733,0.642904,28.453599
1413393889205760512.000000,0.000000,0.000000,13.578180,8.565438,0.053392,0.065098,14.075979,0.147663,24.853793
1413393889255760384.000000,0.000000,0.000000,13.747328,9.025970,0.072227,0.086711,14.132115,0.564331,25.665591
1413393889305760512.000000,0.000000,0.000000,13.340887,11.201301,0.086718,0.073892,14.775665,0.122342,28.024997
1413393889355760384.000000,0.000000,0.000000,12.867712,10.546291,0.097824,0.073050,7.593115,0.632478,26.413294
1413393889405760512.000000,0.000000,0.000000,13.979648,10.542178,0.089527,0.063267,14.674992,0.134165,27.212641
1413393889455760384.000000,0.000000,0.000000,13.727891,5.759594,0.053230,0.054865,13.999918,0.100713,21.930233
1413393889505760512.000000,0.000000,0.000000,15.114209,8.421703,0.078241,0.044782,8.079206,0.081549,26.461459
1413393889555760384.000000,0.000000,0.000000,13.867385,3.814491,0.057835,0.048606,10.326617,0.697484,20.214946
1413393889605760512.000000,0.000000,0.000000,13.100037,3.810596,0.063753,0.038476,8.786493,0.163302,20.584155
1413393889655760384.000000,0.000000,0.000000,14.839214,9.689542,0.053287,0.045949,10.254631,0.133097,38.336120
1413393889705760512.000000,0.000000,0.000000,13.005322,10.000886,0.116668,0.041330,9.122632,0.740867,36.542436
1413393889755760384.000000,0.000000,0.000000,16.202778,7.404065,0.060981,0.078319,8.907032,0.079882,32.526347
1413393889805760512.000000,0.000000,0.000000,13.057526,7.481494,0.054224,0.042244,8.904422,0.095408,31.732599
1413393890005760512.000000,0.000000,0.000000,13.848242,6.059599,0.138782,0.042771,8.506535,0.618471,2.551403
1413393890055760384.000000,0.000000,0.000000,14.635411,7.072025,0.059522,0.080818,12.265954,0.113743,2.881515
1413393890105760512.000000,0.000000,0.000000,14.541860,6.436166,0.058477,0.043255,8.924282,0.087192,2.391907
1413393890155760384.000000,0.000000,0.000000,14.746325,8.809749,0.059366,0.046197,7.227913,0.647514,28.959604
1413393890205760512.000000,0.000000,0.000000,12.925927,9.109360,0.049573,0.078779,11.034359,0.107862,37.571603
1413393890255760384.000000,0.000000,0.000000,14.539248,6.361998,0.074660,0.042003,12.549135,0.113467,33.709856
1413393890305760512.000000,0.000000,0.000000,13.589436,9.259987,0.068826,0.047113,12.111510,0.757962,37.097442
1413393890505760512.000000,0.000000,0.000000,14.441160,8.124200,0.117663,0.067933,9.314858,0.113143,36.570000
1413393890555760384.000000,0.000000,0.000000,13.587651,8.436858,0.047294,0.050369,12.103659,0.083597,32.641459
1413393890605760512.000000,0.000000,0.000000,13.691089,6.189241,0.087983,0.056455,9.995424,0.886252,39.525169
1413393890655760384.000000,0.000000,0.000000,11.854123,6.183798,0.069778,0.108387,13.811245,0.162155,2.170522
1413393890855760384.000000,0.000000,0.000000,11.411789,5.730598,0.147307,0.065783,13.477554,0.101747,2.089116
1413393890905760512.000000,0.000000,0.000000,13.183575,8.739607,0.079110,0.061876,10.825271,0.070393,2.330915
1413393891105760512.000000,0.000000,0.000000,13.070824,13.943447,0.255514,0.066872,11.509443,0.073350,37.555734
1413393891155760384.000000,0.000000,0.000000,13.816973,8.947304,0.062352,0.057757,10.845424,0.980617,42.828990
1413393891355760384.000000,0.000000,0.000000,14.162717,6.312125,0.135412,0.050087,10.503747,0.079700,36.105450
1413393891405760512.000000,0.000000,0.000000,14.334667,5.914372,0.088966,0.073653,11.992084,0.149237,33.914386
1413393891455760384.000000,0.000000,0.000000,15.361016,9.889543,0.087765,0.051448,8.856663,0.061656,2.643128
1413393891505760512.000000,0.000000,0.000000,12.006499,6.857323,0.068946,0.052662,9.389211,0.547257,2.441453
1413393891555760384.000000,0.000000,0.000000,14.834465,5.353712,0.063822,0.089377,10.222580,0.124496,2.082981
1413393891605760512.000000,0.000000,0.000000,14.639875,5.748838,0.073426,0.073670,10.011237,0.093179,31.206503
1413393891655760384.000000,0.000000,0.000000,12.842956,5.524789,0.074742,0.050358,9.562422,0.086971,37.083196
1413393891855760384.000000,0.000000,0.000000,12.063969,6.709359,0.175483,0.062143,11.539359,0.075940,2.159169
1413393891905760512.000000,0.000000,0.000000,12.030555,6.387929,0.097253,0.051620,8.339009,0.517163,2.166741
1413393891955760384.000000,0.000000,0.000000,12.726779,6.628399,0.076588,0.075653,12.871481,0.125821,2.108978
1413393892005760512.000000,0.000000,0.000000,12.755499,8.437909,0.079045,0.043086,10.374050,0.103886,50.965917
1413393892055760384.000000,0.000000,0.000000,15.940292,8.430214,0.078442,0.047069,10.350429,0.731520,41.245373
1413393892105760512.000000,0.000000,0.000000,13.344489,7.390331,0.055066,0.080981,12.139867,0.124583,2.399628
1413393892155760384.000000,0.000000,0.000000,13.048492,8.715330,0.094960,0.067752,10.082702,0.105010,1.971989
1413393892205760512.000000,0.000000,0.000000,12.223018,8.285398,0.089156,0.051119,8.928904,0.615334,2.522603
1413393892255760384.000000,0.000000,0.000000,13.002748,6.981738,0.084844,0.089123,9.898268,0.106919,31.969817
1413393892305760512.000000,0.000000,0.000000,12.883821,8.827253,0.089666,0.040127,8.762400,0.067483,32.542203
1413393892505760512.000000,0.000000,0.000000,14.486812,10.171745,0.467368,0.063114,11.579699,0.628636,42.970023
1413393892555760384.000000,0.000000,0.000000,15.519900,6.408275,0.055898,0.076041,9.924716,0.106299,30.379506
1413393892605760512.000000,0.000000,0.000000,14.037205,8.123069,0.094244,0.085973,15.237278,1.011029,32.492531
