#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.009093,3,1,0,1307
0.003236,4,1,0,1923
0.190452,5,1,0,2508
0.855156,6,1,0,2910
0.906987,7,1,0,3287
0.831616,8,1,0,3475
0.944036,9,1,0,3836
1.388883,10,1,0,3790
0.992284,0,0,0,0
52.307248,0,0,0,0
1.507643,0,0,0,0
1.245866,0,0,0,0
1.351947,0,0,0,0
1.454385,0,0,0,0
1.875018,0,0,0,0
1.760399,0,0,0,0
2.108634,0,0,0,0
2.262730,0,0,0,0
2.618070,0,0,0,0
3.246928,0,0,0,0
2.813415,0,0,0,0
4.646578,0,0,0,0
4.861009,0,0,0,0
3.597934,0,0,0,0
3.663023,0,0,0,0
3.195816,0,0,0,0
3.652880,0,0,0,0
3.966939,0,0,0,0
3.635753,0,0,0,0
4.442119,0,0,0,0
4.707089,0,0,0,0
3.303244,0,0,0,0
3.224485,0,0,0,0
3.295310,0,0,0,0
2.890813,0,0,0,0
2.893737,0,0,0,0
4.092157,0,0,0,0
2.903579,0,0,0,0
5.336231,0,0,0,0
3.543801,0,0,0,0
3.514661,0,0,0,0
4.485827,0,0,0,0
3.544650,0,0,0,0
2.588969,0,0,0,0
4.358468,0,0,0,0
3.493365,0,0,0,0
3.428900,0,0,0,0
1.449247,0,0,0,0
2.144222,0,0,0,0
1.585147,0,0,0,0
1.753230,0,0,0,0
2.313609,0,0,0,0
1.061381,0,0,0,0
1.489175,0,0,0,0
2.229920,0,0,0,0
1.241498,0,0,0,0
1.366938,0,0,0,0
1.740225,0,0,0,0
2.980173,0,0,0,0
1.824901,0,0,0,0
2.287217,0,0,0,0
2.131876,0,0,0,0
4.183161,0,0,0,0
2.550083,0,0,0,0
3.673139,0,0,0,0
3.555396,0,0,0,0
3.090509,0,0,0,0
3.398127,0,0,0,0
4.567799,0,0,0,0
3.431305,0,0,0,0
3.341740,0,0,0,0
3.864299,0,0,0,0
2.388775,0,0,0,0
3.396902,0,0,0,0
3.921682,0,0,0,0
5.457538,0,0,0,0
4.710353,0,0,0,0
3.229970,0,0,0,0
3.450010,0,0,0,0
2.869945,0,0,0,0
2.464438,0,0,0,0
2.477859,0,0,0,0
1.750410,0,0,0,0
1.559109,0,0,0,0
2.917976,0,0,0,0
2.336695,0,0,0,0
2.211132,0,0,0,0
0.795448,0,0,0,0
1.066562,0,0,0,0
1.518990,0,0,0,0
2.257821,0,0,0,0
1.270650,0,0,0,0
1.301506,0,0,0,0
3.333272,0,0,0,0
3.337011,0,0,0,0
2.973394,0,0,0,0
2.847572,0,0,0,0
3.407346,0,0,0,0
4.880869,0,0,0,0
5.071099,0,0,0,0
4.522544,0,0,0,0
9.965864,0,0,0,0
5.625333,0,0,0,0
6.365686,0,0,0,0
6.133599,0,0,0,0
4.493417,0,0,0,0
3.857994,0,0,0,0
5.318668,0,0,0,0
6.242334,0,0,0,0
10.486696,0,0,0,0
6.396856,0,0,0,0
3.600045,0,0,0,0
4.168379,0,0,0,0
