#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.008593,3,1,0,266
0.002527,4,1,0,437
0.116242,5,1,0,611
0.122892,6,1,0,794
0.165832,7,1,0,1008
0.440381,8,1,0,1089
0.578689,9,1,0,1232
0.310141,10,1,0,1539
0.562749,0,0,0,0
26.104069,0,0,0,0
0.868302,0,0,0,0
0.832818,0,0,0,0
0.843026,0,0,0,0
1.050382,0,0,0,0
0.678879,0,0,0,0
0.633890,0,0,0,0
0.706421,0,0,0,0
0.887855,0,0,0,0
0.817007,0,0,0,0
0.868693,0,0,0,0
1.078174,0,0,0,0
1.643723,0,0,0,0
1.575954,0,0,0,0
1.555483,0,0,0,0
1.697274,0,0,0,0
1.341199,0,0,0,0
1.517106,0,0,0,0
1.812694,0,0,0,0
1.607602,0,0,0,0
1.354748,0,0,0,0
1.424773,0,0,0,0
1.521763,0,0,0,0
1.202750,0,0,0,0
1.272886,0,0,0,0
1.506622,0,0,0,0
1.440609,0,0,0,0
0.772747,0,0,0,0
1.502289,0,0,0,0
1.506470,0,0,0,0
1.543125,0,0,0,0
1.154671,0,0,0,0
1.814300,0,0,0,0
1.529592,0,0,0,0
0.885537,0,0,0,0
2.054689,0,0,0,0
3.382529,0,0,0,0
2.322969,0,0,0,0
1.494942,0,0,0,0
1.063833,0,0,0,0
2.412564,0,0,0,0
1.768293,0,0,0,0
1.895702,0,0,0,0
3.307802,3,1,0,391
3.067314,4,1,0,498
0.003237,5,1,0,618
0.001585,6,1,0,741
0.196828,7,1,0,872
0.198504,8,1,0,977
0.521053,9,1,0,1103
0.284651,10,1,0,1207
0.304246,0,0,0,0
0.363368,0,0,0,0
0.417230,0,0,0,0
20.324367,0,0,0,0
0.722741,0,0,0,0
0.612074,3,1,0,417
1.120046,4,1,0,573
1.036753,5,1,0,941
0.573763,6,1,0,1226
0.003000,7,1,0,1827
0.002571,8,1,0,2323
0.299717,9,1,0,2670
0.383636,10,1,0,3143
0.286028,0,0,0,0
0.697793,0,0,0,0
0.757714,0,0,0,0
0.819829,0,0,0,0
0.990081,0,0,0,0
44.418605,0,0,0,0
0.696183,0,0,0,0
1.135124,0,0,0,0
0.759428,0,0,0,0
0.797400,0,0,0,0
0.985752,0,0,0,0
1.293811,0,0,0,0
0.990593,0,0,0,0
1.131884,0,0,0,0
1.226506,0,0,0,0
1.845161,0,0,0,0
1.322232,0,0,0,0
2.222313,0,0,0,0
1.955539,0,0,0,0
2.470583,0,0,0,0
1.929537,0,0,0,0
2.266085,0,0,0,0
2.886649,0,0,0,0
2.723896,0,0,0,0
1.919287,0,0,0,0
2.309822,0,0,0,0
2.093689,0,0,0,0
2.724387,0,0,0,0
2.135182,0,0,0,0
2.101000,0,0,0,0
2.180093,0,0,0,0
2.041530,0,0,0,0
2.655526,0,0,0,0
2.310960,0,0,0,0
2.425600,0,0,0,0
1.615767,0,0,0,0
1.473246,0,0,0,0
2.597979,0,0,0,0
1.575000,0,0,0,0
2.515769,0,0,0,0
1.963399,0,0,0,0
2.190981,0,0,0,0
2.213522,0,0,0,0
3.117213,0,0,0,0
2.684523,0,0,0,0
2.240373,0,0,0,0
3.173019,0,0,0,0
2.191857,0,0,0,0
2.252978,0,0,0,0
1.634173,0,0,0,0
2.038843,0,0,0,0
2.362920,0,0,0,0
2.529327,0,0,0,0
2.275303,0,0,0,0
1.734621,0,0,0,0
2.055265,0,0,0,0
2.395766,0,0,0,0
1.794093,0,0,0,0
1.730900,0,0,0,0
2.788846,0,0,0,0
1.803120,0,0,0,0
2.532610,0,0,0,0
2.624925,0,0,0,0
2.757106,0,0,0,0
2.021187,0,0,0,0
3.939865,0,0,0,0
2.636085,0,0,0,0
2.370150,0,0,0,0
2.689538,0,0,0,0
2.799658,0,0,0,0
2.086752,0,0,0,0
2.687177,0,0,0,0
4.009517,0,0,0,0
2.992108,0,0,0,0
3.127538,0,0,0,0
4.849241,0,0,0,0
3.195217,0,0,0,0
4.711055,0,0,0,0
3.798938,0,0,0,0
3.347662,0,0,0,0
3.310061,0,0,0,0
3.862023,0,0,0,0
4.264853,0,0,0,0
5.109961,0,0,0,0
3.122679,0,0,0,0
4.800371,0,0,0,0
3.663561,0,0,0,0
3.786555,0,0,0,0
4.186354,0,0,0,0
3.997762,0,0,0,0
3.931290,0,0,0,0
4.339051,0,0,0,0
4.181992,0,0,0,0
5.184377,0,0,0,0
4.695309,0,0,0,0
4.483970,0,0,0,0
5.159883,0,0,0,0
4.998931,0,0,0,0
5.010401,0,0,0,0
4.860325,0,0,0,0
7.098745,0,0,0,0
5.220506,0,0,0,0
5.685493,0,0,0,0
5.251112,0,0,0,0
5.957171,0,0,0,0
8.442885,0,0,0,0
5.571897,0,0,0,0
7.551156,0,0,0,0
6.623787,0,0,0,0
5.701934,0,0,0,0
7.555887,0,0,0,0
5.241620,0,0,0,0
6.548796,0,0,0,0
4.797622,0,0,0,0
6.016557,0,0,0,0
7.261076,0,0,0,0
6.650660,0,0,0,0
5.154013,0,0,0,0
7.223456,0,0,0,0
5.317546,0,0,0,0
6.903873,0,0,0,0
4.612105,0,0,0,0
4.275161,0,0,0,0
3.777175,0,0,0,0
4.064630,0,0,0,0
2.155513,0,0,0,0
2.318836,0,0,0,0
4.081997,0,0,0,0
1.911542,0,0,0,0
2.672380,0,0,0,0
2.971020,0,0,0,0
2.278458,0,0,0,0
3.193650,0,0,0,0
2.223657,0,0,0,0
3.248388,0,0,0,0
2.795749,0,0,0,0
2.045825,0,0,0,0
3.102739,0,0,0,0
2.560226,0,0,0,0
2.734294,0,0,0,0
2.868596,0,0,0,0
3.470843,0,0,0,0
2.822783,0,0,0,0
2.487431,0,0,0,0
2.991598,0,0,0,0
3.781734,0,0,0,0
2.707794,0,0,0,0
3.725747,0,0,0,0
2.657278,0,0,0,0
3.194394,0,0,0,0
4.131279,0,0,0,0
3.799412,0,0,0,0
3.931934,0,0,0,0
2.956034,0,0,0,0
3.047169,0,0,0,0
3.888169,0,0,0,0
3.225574,0,0,0,0
3.854721,0,0,0,0
3.925078,0,0,0,0
3.229847,0,0,0,0
3.854427,0,0,0,0
4.237758,0,0,0,0
4.199667,0,0,0,0
3.178452,0,0,0,0
3.348412,0,0,0,0
3.822944,0,0,0,0
3.042839,0,0,0,0
3.572885,0,0,0,0
3.117778,0,0,0,0
4.285841,0,0,0,0
4.395209,0,0,0,0
3.876582,0,0,0,0
4.327603,0,0,0,0
2.449580,0,0,0,0
3.196548,0,0,0,0
4.169242,0,0,0,0
2.965837,0,0,0,0
4.325251,0,0,0,0
3.188831,0,0,0,0
3.316123,0,0,0,0
3.172153,0,0,0,0
3.190159,0,0,0,0
2.180267,0,0,0,0
3.424556,0,0,0,0
3.319115,0,0,0,0
3.635733,0,0,0,0
3.857775,0,0,0,0
2.778544,0,0,0,0
2.680301,0,0,0,0
3.538495,0,0,0,0
3.117646,0,0,0,0
1.950744,0,0,0,0
3.184070,0,0,0,0
3.137845,0,0,0,0
1.849369,0,0,0,0
3.957270,0,0,0,0
2.701882,0,0,0,0
2.827560,0,0,0,0
1.773283,0,0,0,0
2.597662,0,0,0,0
2.681809,0,0,0,0
3.248436,0,0,0,0
4.869072,0,0,0,0
3.503316,0,0,0,0
4.949296,0,0,0,0
5.148180,0,0,0,0
2.262120,0,0,0,0
4.685163,0,0,0,0
4.080647,0,0,0,0
4.726263,0,0,0,0
3.776686,0,0,0,0
4.867959,0,0,0,0
3.747382,0,0,0,0
4.617105,0,0,0,0
4.709216,0,0,0,0
3.978289,0,0,0,0
3.248506,0,0,0,0
4.970373,0,0,0,0
4.014661,0,0,0,0
4.916190,0,0,0,0
3.916222,0,0,0,0
3.066543,0,0,0,0
3.585583,0,0,0,0
4.848902,0,0,0,0
4.452719,0,0,0,0
5.047510,0,0,0,0
5.559331,0,0,0,0
4.257009,0,0,0,0
4.777748,0,0,0,0
4.406636,0,0,0,0
4.649920,0,0,0,0
5.229837,0,0,0,0
4.206869,0,0,0,0
3.224008,0,0,0,0
4.273503,0,0,0,0
5.751237,0,0,0,0
5.224557,0,0,0,0
5.307044,0,0,0,0
3.319358,0,0,0,0
3.896207,0,0,0,0
4.435732,0,0,0,0
4.641437,0,0,0,0
4.535992,0,0,0,0
2.950126,0,0,0,0
4.010792,0,0,0,0
4.470713,0,0,0,0
7.034681,0,0,0,0
4.315675,0,0,0,0
4.589562,0,0,0,0
4.453901,0,0,0,0
6.513809,0,0,0,0
4.539866,0,0,0,0
6.296704,0,0,0,0
4.139410,0,0,0,0
4.428877,0,0,0,0
4.499226,0,0,0,0
6.959234,0,0,0,0
3.200689,0,0,0,0
6.334534,0,0,0,0
6.062289,0,0,0,0
4.480158,0,0,0,0
6.074652,0,0,0,0
5.640214,0,0,0,0
5.857487,0,0,0,0
4.491465,0,0,0,0
5.936784,0,0,0,0
6.701089,0,0,0,0
4.913556,0,0,0,0
6.364001,0,0,0,0
6.051333,0,0,0,0
4.811072,0,0,0,0
7.583560,0,0,0,0
4.162777,0,0,0,0
4.524664,0,0,0,0
5.922891,0,0,0,0
4.742281,0,0,0,0
6.866087,0,0,0,0
3.535279,0,0,0,0
5.971686,0,0,0,0
5.795423,0,0,0,0
6.917275,0,0,0,0
5.641393,0,0,0,0
4.434103,0,0,0,0
8.027095,0,0,0,0
6.016328,0,0,0,0
6.357149,0,0,0,0
8.048857,0,0,0,0
5.764499,0,0,0,0
5.621722,0,0,0,0
7.370296,0,0,0,0
8.139113,0,0,0,0
7.272563,0,0,0,0
7.062446,0,0,0,0
7.215055,0,0,0,0
6.579586,0,0,0,0
7.107115,0,0,0,0
5.585898,0,0,0,0
7.900907,0,0,0,0
4.417922,0,0,0,0
6.430144,0,0,0,0
5.793595,0,0,0,0
6.263811,0,0,0,0
8.322969,0,0,0,0
8.261797,0,0,0,0
8.221739,0,0,0,0
11.515254,0,0,0,0
6.493569,0,0,0,0
8.010772,0,0,0,0
5.484453,0,0,0,0
8.317356,0,0,0,0
5.283537,0,0,0,0
6.432829,0,0,0,0
11.069964,0,0,0,0
6.836621,0,0,0,0
6.510349,0,0,0,0
6.678371,0,0,0,0
8.071334,0,0,0,0
8.301386,0,0,0,0
6.958183,0,0,0,0
7.262291,0,0,0,0
6.091485,0,0,0,0
8.759822,0,0,0,0
7.427802,0,0,0,0
5.249728,0,0,0,0
7.471569,0,0,0,0
6.449380,0,0,0,0
6.533916,0,0,0,0
6.395428,0,0,0,0
6.165059,0,0,0,0
8.950179,0,0,0,0
6.237298,0,0,0,0
4.722484,0,0,0,0
5.553013,0,0,0,0
5.622747,0,0,0,0
4.417809,0,0,0,0
5.358754,0,0,0,0
5.782584,0,0,0,0
5.328025,0,0,0,0
4.894338,0,0,0,0
5.157266,0,0,0,0
5.322011,0,0,0,0
7.361291,0,0,0,0
4.651161,0,0,0,0
6.497201,0,0,0,0
5.648503,0,0,0,0
10.047591,0,0,0,0
5.241455,0,0,0,0
5.454964,0,0,0,0
5.133334,0,0,0,0
4.655851,0,0,0,0
7.897451,0,0,0,0
10.651259,0,0,0,0
6.765941,0,0,0,0
10.749140,0,0,0,0
8.647843,0,0,0,0
8.521236,0,0,0,0
9.991016,0,0,0,0
6.816406,0,0,0,0
7.880906,0,0,0,0
11.244716,0,0,0,0
7.699287,0,0,0,0
8.422038,0,0,0,0
7.533893,0,0,0,0
7.243653,0,0,0,0
7.706112,0,0,0,0
7.329376,0,0,0,0
8.363848,0,0,0,0
9.260680,0,0,0,0
7.935877,0,0,0,0
7.645405,0,0,0,0
5.891369,0,0,0,0
8.415648,0,0,0,0
6.244403,0,0,0,0
6.568010,0,0,0,0
9.065643,0,0,0,0
6.981750,0,0,0,0
6.766469,0,0,0,0
8.309018,0,0,0,0
7.184438,0,0,0,0
9.454960,0,0,0,0
6.914963,0,0,0,0
7.286082,0,0,0,0
9.319527,0,0,0,0
9.405258,0,0,0,0
7.168586,0,0,0,0
6.014934,0,0,0,0
9.339924,0,0,0,0
9.263469,0,0,0,0
7.861396,0,0,0,0
6.104704,0,0,0,0
9.485279,0,0,0,0
8.722792,0,0,0,0
8.223451,0,0,0,0
10.387981,0,0,0,0
9.827747,0,0,0,0
10.853715,0,0,0,0
8.753269,0,0,0,0
11.430972,0,0,0,0
10.487043,0,0,0,0
8.843375,0,0,0,0
10.193785,0,0,0,0
10.654723,0,0,0,0
14.281765,0,0,0,0
5.048161,0,0,0,0
3.971926,0,0,0,0
6.010867,0,0,0,0
6.612666,0,0,0,0
6.243860,0,0,0,0
4.452109,0,0,0,0
4.398379,0,0,0,0
4.195062,0,0,0,0
5.981773,0,0,0,0
7.521717,0,0,0,0
4.288030,0,0,0,0
4.275100,0,0,0,0
4.303153,0,0,0,0
4.834251,0,0,0,0
5.945193,0,0,0,0
5.382547,0,0,0,0
5.122393,0,0,0,0
5.194506,0,0,0,0
6.686531,0,0,0,0
5.313962,0,0,0,0
4.994729,0,0,0,0
3.474998,0,0,0,0
3.007507,0,0,0,0
5.194098,0,0,0,0
3.295905,0,0,0,0
6.021878,0,0,0,0
5.519945,0,0,0,0
3.375383,0,0,0,0
13.770776,0,0,0,0
16.246895,0,0,0,0
12.295519,0,0,0,0
9.242205,0,0,0,0
9.937513,0,0,0,0
10.345987,0,0,0,0
13.249074,0,0,0,0
14.021985,0,0,0,0
13.604464,0,0,0,0
12.312047,0,0,0,0
12.586624,0,0,0,0
13.811137,0,0,0,0
13.105828,0,0,0,0
16.532100,0,0,0,0
14.420504,0,0,0,0
17.250649,0,0,0,0
14.131924,0,0,0,0
16.613153,0,0,0,0
14.836664,0,0,0,0
14.916836,0,0,0,0
15.333662,0,0,0,0
13.842235,0,0,0,0
18.143735,0,0,0,0
11.888812,0,0,0,0
14.942328,0,0,0,0
10.904323,0,0,0,0
13.516881,0,0,0,0
16.176902,0,0,0,0
11.394291,0,0,0,0
13.255946,0,0,0,0
18.545681,0,0,0,0
13.398550,0,0,0,0
9.721115,0,1336082131,287762902,1267462029
14.817238,0,-1058582157,1088194520,1079694933
11.228120,0,-1604956550,2093474993,-1100611139
9.355400,0,-1058124806,-1062727647,1079830659
13.377476,1048974109,1477406469,-587733122,-861742238
9.411324,-1080286734,-1057981574,1085374156,1079658246
