#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
3.742006,0.009413,0.091268,0.005589,0.005589,3.852073
3.649715,0.060982,0.616330,0.002720,0.002720,4.332401
3.699767,0.109154,1.128692,0.113311,0.113311,9.036203
3.926349,0.101031,3.357237,0.095383,0.095383,13.539308
3.811235,0.108644,3.659998,0.308070,0.308070,18.113806
2.570052,0.051721,1.870397,0.444733,0.444733,13.093391
3.744696,0.106428,5.472483,0.534832,0.534832,25.934524
3.985457,0.094288,4.185219,0.251662,0.251662,15.861585
3.527426,0.038019,2.590386,0.350036,0.350036,16.029206
6.864178,0.086998,9.232783,31.542485,31.542485,74.229796
4.631918,0.108101,10.210282,0.940758,0.940758,49.231880
6.324485,0.120548,11.232687,0.793979,0.793979,58.244969
8.046060,0.129398,9.325278,0.705076,0.705076,37.223023
6.650149,0.077788,10.317738,0.847129,0.847129,45.516762
5.097403,0.063018,6.813141,0.582434,0.582434,40.288412
4.562634,0.039326,7.059910,0.585020,0.585020,38.900758
6.413168,0.055736,8.656797,0.678456,0.678456,74.970555
4.815862,0.049492,8.919999,0.777593,0.777593,49.659698
7.324251,0.090094,8.614135,0.878676,0.878676,58.787971
6.953862,0.084963,17.553810,0.871191,0.871191,73.542822
10.030663,0.150190,15.961076,1.010162,1.010162,78.780337
11.380295,0.139114,34.436861,1.610063,1.610063,101.530734
5.766783,0.095567,12.999382,1.565448,1.565448,71.086239
12.328311,0.177633,24.043734,2.394996,2.394996,86.886787
6.456898,0.072068,12.801335,1.588172,1.588172,68.355125
9.657017,0.163357,22.207513,1.442013,1.442013,79.526336
8.321825,0.128987,14.058679,1.439710,1.439710,141.166981
5.817480,0.075155,11.111289,2.407481,2.407481,71.796147
6.398249,0.094555,13.241130,1.762049,1.762049,87.793582
5.775124,0.083273,11.820344,1.595332,1.595332,66.385991
6.399571,0.064194,10.597575,1.507010,1.507010,73.850011
11.560008,0.126546,34.813266,1.732279,1.732279,105.188289
12.104560,0.146963,30.503402,0.972640,0.972640,88.538672
7.404104,0.067490,17.142223,1.684993,1.684993,78.209912
10.694004,0.092859,29.178209,1.183732,1.183732,99.964574
6.572582,0.080482,15.330160,2.437337,2.437337,80.570825
7.090286,0.098398,14.718751,1.584091,1.584091,77.508255
13.018105,0.180993,33.957537,1.592817,1.592817,119.751128
11.571248,0.137034,22.797121,1.101327,1.101327,91.708636
12.223700,0.165747,24.924717,1.962242,1.962242,94.474649
6.661245,0.089109,13.951921,1.301067,1.301067,92.385210
7.129720,0.088486,16.417299,2.667487,2.667487,86.624841
6.078611,0.079975,17.698271,1.544442,1.544442,84.395012
11.990242,0.160116,24.665364,2.752715,2.752715,114.892050
6.013826,0.075455,14.333778,1.939196,1.939196,80.307979
6.849263,0.070118,11.157140,1.224306,1.224306,74.605604
5.771720,0.049555,10.693946,2.482852,2.482852,75.720985
9.807211,0.111331,22.191657,1.786355,1.786355,98.647441
9.595821,0.101255,16.565021,1.133608,1.133608,90.841645
8.724401,0.110302,14.155871,2.582493,2.582493,81.922257
4.902467,0.042830,9.277210,1.948899,1.948899,71.504409
5.473963,0.008644,0.091147,0.001517,0.001517,5.576036
4.069874,0.033279,0.295314,0.001404,0.001404,4.400737
6.027952,0.129847,1.286507,0.285644,0.285644,14.696606
5.812594,0.068778,1.453818,0.199235,0.199235,11.395211
5.828820,0.106057,5.108615,0.332503,0.332503,20.698868
6.530458,0.108615,3.171238,0.719556,0.719556,23.036232
7.085470,0.183033,11.589011,0.554649,0.554649,37.693640
