#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403638518077829376.000000,0.000000,0.000000,15.487420,2.132920,0.002620,5.593255,1.453720,0.001907,19.889171
1403638518127829504.000000,0.000000,0.000000,14.117654,2.174878,0.047370,1.526985,1.726201,0.000877,19.522655
1403638518177829376.000000,0.000000,0.000000,14.005126,1.895368,0.042637,1.248627,1.406431,0.000640,19.044135
1403638518227829504.000000,0.000000,0.000000,12.872291,1.793294,0.048529,0.949937,1.335409,0.000697,17.327592
1403638518277829376.000000,0.000000,0.000000,15.920667,1.818778,0.052023,0.326498,0.459376,0.161431,20.313050
1403638518327829504.000000,0.000000,0.000000,14.116012,5.187406,0.094895,0.581629,0.609453,0.000530,22.264294
1403638518377829376.000000,0.000000,0.000000,15.082061,4.820534,0.117125,0.471825,1.435055,0.000950,22.903600
1403638518427829504.000000,0.000000,0.000000,15.916185,4.642710,0.049895,0.369851,0.665273,0.000523,24.028868
1403638518477829376.000000,0.000000,0.000000,12.713934,1.789954,0.070808,0.375953,0.734242,0.000441,17.482190
1403638518527829504.000000,0.000000,0.000000,14.026884,1.862039,0.046624,0.323897,0.685903,0.000369,19.204109
1403638518577829376.000000,0.000000,0.000000,15.836997,5.125821,0.050405,0.339700,0.656567,0.202318,24.030057
1403638518627829504.000000,0.000000,0.000000,14.680113,4.660586,0.093905,0.938640,0.866244,0.000435,22.112229
1403638518677829376.000000,0.000000,0.000000,13.865723,4.412405,0.093095,0.641949,0.888656,0.000355,21.835989
1403638518727829504.000000,0.000000,0.000000,14.490074,4.472176,0.094071,0.511075,0.842521,0.000392,22.473676
1403638518777829376.000000,0.000000,0.000000,14.979458,1.854454,0.046524,0.648966,0.884777,0.000574,19.638408
1403638518827829504.000000,0.000000,0.000000,16.379941,4.542109,0.113854,1.265672,1.520513,0.000597,23.790573
1403638518877829376.000000,0.000000,0.000000,16.100252,3.790199,0.081436,1.274771,1.505747,0.384264,23.217886
1403638518927829504.000000,0.000000,0.000000,17.335191,1.869884,0.050802,1.014111,1.356222,0.000438,21.677137
1403638518977829376.000000,0.000000,0.000000,13.447159,1.821408,0.051313,0.890753,1.017910,0.000344,18.393839
1403638519027829504.000000,0.000000,0.000000,14.430455,3.362235,0.047459,1.042700,1.179046,0.000359,20.817261
1403638519077829376.000000,0.000000,0.000000,16.734327,4.660111,0.096235,0.953885,1.165713,0.000383,24.502294
1403638519127829504.000000,0.000000,0.000000,14.249952,2.036304,0.042505,2.035585,2.667449,0.000603,18.943708
1403638519177829376.000000,0.000000,0.000000,14.079282,2.053098,0.041209,0.791551,1.058707,0.147252,18.980920
1403638519227829504.000000,0.000000,0.000000,15.055906,2.006510,0.041975,2.981095,3.388147,0.000770,20.026967
1403638519277829376.000000,0.000000,0.000000,14.073589,2.029286,0.045292,2.501949,2.798487,0.000872,18.992602
1403638519327829504.000000,0.000000,0.000000,12.919150,4.794394,0.094505,2.621963,3.148115,0.000704,20.456144
1403638519377829376.000000,0.000000,0.000000,15.067889,1.899045,0.044251,1.005633,1.628954,0.000383,19.987592
1403638519427829504.000000,0.000000,0.000000,13.081840,4.517617,0.098834,1.191334,1.351229,0.138002,20.928856
1403638519477829376.000000,0.000000,0.000000,16.030282,4.806457,0.166719,1.118522,1.228267,0.000429,23.760567
1403638519527829504.000000,0.000000,0.000000,14.036834,2.004930,0.044840,1.796674,2.748057,0.000674,19.384454
1403638519577829376.000000,0.000000,0.000000,14.375430,4.811304,0.090578,1.166280,2.011138,0.001344,22.384914
1403638519627829504.000000,0.000000,0.000000,14.938897,4.524757,0.090824,2.064631,2.856823,0.000677,22.999048
1403638519677829376.000000,0.000000,0.000000,14.454244,2.435518,0.042149,1.244375,1.341977,0.139762,19.748025
1403638519727829504.000000,0.000000,0.000000,14.905723,3.289114,0.061158,1.025177,1.353496,0.000438,20.961585
1403638519777829376.000000,0.000000,0.000000,14.870112,5.008760,0.095474,1.077058,1.367504,0.000400,23.344411
1403638519827829504.000000,0.000000,0.000000,14.579092,4.635764,0.094732,1.413295,2.887411,0.000894,22.277319
1403638519877829376.000000,0.000000,0.000000,14.990857,4.731616,0.101821,1.726891,3.090983,0.001180,23.255963
1403638519927829504.000000,0.000000,0.000000,14.324480,2.786248,0.051216,1.255439,2.655280,0.280413,19.530573
1403638519977829376.000000,0.000000,0.000000,15.197674,4.356952,0.093351,1.635721,2.427653,0.000693,23.056024
1403638520027829504.000000,0.000000,0.000000,13.851100,1.896320,0.052711,0.758857,1.175514,0.000494,18.665855
1403638520077829376.000000,0.000000,0.000000,15.256685,4.654231,0.111608,0.564695,1.275771,0.000442,22.815638
1403638520127829504.000000,0.000000,0.000000,14.715403,5.006817,0.092768,0.640136,1.316332,0.000411,23.356164
1403638520177829376.000000,0.000000,0.000000,13.472221,4.932605,0.099501,1.110840,2.015443,0.306851,21.147173
1403638520227829504.000000,0.000000,0.000000,14.119101,4.524860,0.099191,1.386651,1.735891,0.000259,21.676918
1403638520277829376.000000,0.000000,0.000000,16.515838,4.696203,0.102175,0.934085,1.697829,0.000354,24.576168
1403638520327829504.000000,0.000000,0.000000,13.154210,1.824328,0.057979,1.287645,3.448553,0.000532,17.640819
1403638520377829376.000000,0.000000,0.000000,16.905244,3.741804,0.050299,1.317585,1.726005,0.000384,23.379151
1403638520427829504.000000,0.000000,0.000000,16.072479,1.825434,0.047709,1.072574,1.651187,0.182280,20.919152
1403638520477829376.000000,0.000000,0.000000,13.567500,1.807818,0.049128,0.022607,3.056371,0.028303,18.313702
1403638520527829504.000000,0.000000,0.000000,15.897984,4.665363,0.049244,0.055540,5.501637,0.045631,23.659661
1403638520577829376.000000,0.000000,0.000000,14.535875,1.889399,0.040199,0.039266,7.593191,0.050721,19.465336
1403638520627829504.000000,0.000000,0.000000,13.836090,5.134231,0.093691,0.044273,7.199900,0.036226,22.248032
1403638520677829376.000000,0.000000,0.000000,13.488498,2.485096,0.094591,0.032228,6.600761,0.019395,19.426110
1403638520727829504.000000,0.000000,0.000000,14.867363,2.614293,0.047692,0.021627,3.488054,0.019275,19.843899
1403638520777829376.000000,0.000000,0.000000,15.253818,1.854875,0.041225,0.023619,3.168838,0.176724,20.110439
1403638520827829504.000000,0.000000,0.000000,16.031599,1.733353,0.052722,0.019259,2.844520,0.023701,20.425501
1403638520877829376.000000,0.000000,0.000000,15.157487,4.829163,0.093278,0.025632,7.976249,0.052614,22.920855
1403638520927829504.000000,0.000000,0.000000,13.844557,1.824806,0.050249,0.049649,7.089118,0.214921,18.475796
1403638520977829376.000000,0.000000,0.000000,16.175133,4.582605,0.098682,0.050826,6.068969,0.128656,24.192934
1403638521027829504.000000,0.000000,0.000000,14.270163,1.798715,0.055310,0.042973,4.301163,0.028153,19.026866
1403638521077829376.000000,0.000000,0.000000,15.118530,1.875655,0.050956,0.050239,5.529234,0.031725,19.691481
1403638521127829504.000000,0.000000,0.000000,14.140303,1.929974,0.040280,0.043413,5.075589,0.032338,18.952938
1403638521177829376.000000,0.000000,0.000000,13.973431,4.718696,0.051328,0.038686,4.895498,0.264922,21.408820
1403638521227829504.000000,0.000000,0.000000,15.428556,4.766831,0.095691,0.027954,4.191578,0.221488,23.452839
1403638521277829376.000000,0.000000,0.000000,15.401785,4.663857,0.098001,0.040776,4.547501,0.227538,23.368017
1403638521327829504.000000,0.000000,0.000000,14.666653,4.228366,0.046135,0.032873,4.476167,0.222340,22.114408
1403638521377829376.000000,0.000000,0.000000,17.421845,1.799668,0.051166,0.027815,4.205536,0.238484,22.153840
1403638521427829504.000000,0.000000,0.000000,14.961565,1.846856,0.040881,0.041247,5.180777,0.039439,19.837479
1403638521477829376.000000,0.000000,0.000000,14.155784,4.702390,0.091968,0.038395,4.440355,0.221305,22.248926
1403638521527829504.000000,0.000000,0.000000,13.976504,4.634165,0.096072,0.037416,7.542501,0.051083,21.495117
1403638521577829376.000000,0.000000,0.000000,18.208370,4.074455,0.044179,0.050055,7.774703,0.213033,25.121957
1403638521627829504.000000,0.000000,0.000000,17.040291,1.939006,0.042361,0.044687,7.421569,0.047641,21.967575
1403638521677829376.000000,0.000000,0.000000,14.255162,1.837426,0.051860,0.041917,4.065552,0.032385,18.837492
1403638521727829504.000000,0.000000,0.000000,14.885566,4.767592,0.093932,0.028797,4.666547,0.216530,23.049523
1403638521777829376.000000,0.000000,0.000000,14.894312,1.820202,0.050662,0.068772,9.326153,0.054311,19.406089
1403638521827829504.000000,0.000000,0.000000,14.605922,3.271091,0.063842,0.026700,3.879092,0.026726,21.549029
1403638521877829376.000000,0.000000,0.000000,14.610348,2.241829,0.041263,0.024464,4.984232,0.048674,20.052479
1403638521927829504.000000,0.000000,0.000000,14.971310,4.496924,0.105085,0.021837,4.541285,0.025274,22.441596
1403638521977829376.000000,0.000000,0.000000,14.766912,2.211523,0.042369,0.021595,4.829889,0.216314,20.272305
1403638522027829504.000000,0.000000,0.000000,16.342654,2.144932,0.051705,0.036164,6.472063,0.043165,21.126306
1403638522077829376.000000,0.000000,0.000000,15.588107,1.925849,0.048856,0.040806,7.144753,0.053889,20.766000
1403638522127829504.000000,0.000000,0.000000,15.278141,4.822324,0.091308,0.022373,5.259311,0.028203,31.294261
