#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.008620,3,1,0,1122
0.003110,4,1,0,1346
0.483110,5,1,0,1647
0.322771,6,1,0,1887
0.939352,7,1,0,2129
1.113030,8,1,0,2304
0.919132,9,1,0,2442
2.547191,10,1,0,2624
1.528734,0,0,0,0
56.951244,0,0,0,0
1.349012,0,0,0,0
1.855580,0,0,0,0
1.718231,0,0,0,0
2.142241,0,0,0,0
1.601021,0,0,0,0
1.857657,0,0,0,0
2.224171,0,0,0,0
2.464296,0,0,0,0
3.238821,0,0,0,0
3.040882,0,0,0,0
3.460591,0,0,0,0
4.512522,0,0,0,0
5.556895,0,0,0,0
4.320390,0,0,0,0
7.057517,0,0,0,0
5.296536,0,0,0,0
3.811961,0,0,0,0
4.279886,0,0,0,0
4.579032,0,0,0,0
4.854812,0,0,0,0
5.793551,0,0,0,0
4.805616,0,0,0,0
6.034617,0,0,0,0
5.238183,0,0,0,0
4.189470,0,0,0,0
4.842278,0,0,0,0
5.030702,0,0,0,0
4.264465,0,0,0,0
3.682560,0,0,0,0
4.651920,0,0,0,0
4.527468,0,0,0,0
5.224703,0,0,0,0
5.036409,0,0,0,0
5.005916,0,0,0,0
4.194979,0,0,0,0
3.909630,0,0,0,0
5.721704,0,0,0,0
3.651602,0,0,0,0
5.365544,0,0,0,0
4.110913,0,0,0,0
3.903326,0,0,0,0
4.065910,0,0,0,0
6.114282,0,0,0,0
4.396541,0,0,0,0
4.339792,0,0,0,0
5.008829,0,0,0,0
5.941319,0,0,0,0
4.106832,0,0,0,0
5.221967,0,0,0,0
4.656846,0,0,0,0
6.788339,0,0,0,0
4.044258,0,0,0,0
5.906778,0,0,0,0
5.154591,0,0,0,0
4.946035,0,0,0,0
4.987521,0,0,0,0
4.364023,0,0,0,0
5.083382,0,0,0,0
4.204563,0,0,0,0
3.409359,0,0,0,0
4.984516,0,0,0,0
3.454904,0,0,0,0
5.751266,0,0,0,0
