#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
6.318172,0.068035,0.665314,0.009193,0.009193,7.067977
4.608126,0.155410,1.272128,0.002980,0.002980,6.041111
4.034763,0.184410,1.481344,0.320954,0.320954,16.087141
3.779045,0.127974,4.159548,0.518983,0.518983,22.416593
4.185547,0.107551,4.886610,0.513626,0.513626,22.510719
4.252526,0.149287,5.908070,1.025743,1.025743,32.426338
4.962179,0.120067,6.756433,0.869890,0.869890,37.010882
3.870729,0.061924,3.185573,0.517886,0.517886,18.009894
4.352510,0.133215,7.603742,1.166902,1.166902,37.971632
4.475358,0.138221,8.004528,47.497818,47.497818,77.497667
3.619729,0.075411,6.055927,0.716864,0.716864,37.606522
2.575367,0.040991,3.925461,0.845923,0.845923,26.963943
3.011151,0.064255,4.931426,0.760557,0.760557,29.020874
2.561375,0.034972,3.938992,1.015372,1.015372,26.139675
3.542595,0.046959,5.721187,1.085074,1.085074,29.172138
4.114257,0.044903,7.141755,1.579967,1.579967,38.073660
2.829490,0.026466,4.789185,0.871736,0.871736,25.165681
3.950262,0.037807,7.748255,0.971797,0.971797,38.072966
3.749843,0.027058,6.813620,0.966796,0.966796,36.952766
3.737685,0.041510,6.102727,0.992689,0.992689,34.632275
4.255881,0.039917,8.079041,2.389708,2.389708,45.105129
3.352573,0.028312,6.077519,2.445739,2.445739,38.174492
3.430754,0.004185,6.587759,2.081958,2.081958,40.279466
3.405396,0.012967,5.644873,1.409226,1.409226,36.694432
3.355543,0.018351,6.198713,1.598969,1.598969,37.973119
3.334344,0.021000,5.801377,1.688820,1.688820,27.859813
3.111676,0.028385,5.643950,1.411543,1.411543,29.504065
4.490588,0.053476,8.522329,2.283268,2.283268,45.990067
3.090315,0.023222,6.670290,1.469019,1.469019,29.509648
3.198050,0.031702,6.861564,1.583952,1.583952,42.665886
3.024695,0.035218,7.058059,1.587716,1.587716,41.655825
3.383194,0.040529,7.165843,1.661686,1.661686,40.484179
3.034544,0.044327,6.520372,2.052439,2.052439,39.619566
3.030284,0.046382,6.603686,1.500231,1.500231,41.361936
2.745946,0.039061,6.172265,1.578068,1.578068,37.464393
3.151776,0.040695,6.826876,2.245915,2.245915,44.735641
3.198063,0.056754,7.096698,1.851894,1.851894,32.003635
3.283229,0.041618,7.416114,1.593106,1.593106,30.308438
3.341147,0.045701,7.580873,1.544222,1.544222,39.471389
3.010518,0.039878,7.007942,1.496785,1.496785,40.437019
3.453208,0.049927,7.918639,1.730825,1.730825,40.207017
3.797817,0.042593,7.167250,1.609518,1.609518,41.982435
3.111573,0.044696,7.209892,1.690332,1.690332,42.364214
3.407375,0.031893,7.413800,1.602706,1.602706,41.142370
3.749525,0.030107,7.164604,1.611910,1.611910,41.861058
3.408214,0.040649,7.548313,1.699311,1.699311,45.653899
3.592111,0.038765,7.481656,1.666173,1.666173,41.943540
3.642467,0.037865,7.281352,1.652436,1.652436,40.904019
3.186992,0.031102,6.883053,1.583857,1.583857,29.847422
3.368659,0.035418,6.810581,1.517322,1.517322,39.780574
3.595122,0.031323,6.748176,1.892395,1.892395,41.650689
3.571416,0.049848,6.680851,2.267115,2.267115,41.913660
3.092312,0.032263,7.037039,1.758055,1.758055,40.003187
2.873225,0.036714,6.496013,1.811302,1.811302,39.143463
3.531562,0.055439,6.835538,1.752256,1.752256,39.439488
3.564093,0.035712,6.867079,2.375545,2.375545,42.687915
3.491418,0.049393,6.897319,1.529130,1.529130,32.336184
3.067083,0.042669,6.897382,1.912765,1.912765,42.910692
3.308156,0.050612,6.490937,1.556591,1.556591,38.974390
2.971481,0.041777,6.222152,2.662554,2.662554,31.465707
3.210336,0.065606,6.508989,1.759463,1.759463,38.332102
2.929087,0.052257,6.297390,1.620725,1.620725,38.220816
2.935623,0.046235,6.221075,1.586836,1.586836,39.519740
3.253017,0.057017,6.229903,1.382756,1.382756,37.581931
2.956899,0.036562,5.826271,1.617688,1.617688,38.060520
3.642164,0.049814,5.805955,1.806683,1.806683,36.432790
2.546429,0.035695,6.046370,1.506827,1.506827,37.378157
2.733888,0.041256,6.262762,1.312614,1.312614,36.821939
2.945653,0.032528,5.920402,1.865155,1.865155,37.791253
2.783434,0.037042,5.751571,1.842599,1.842599,36.288537
2.962104,0.042427,5.322783,1.904922,1.904922,37.013632
3.145615,0.042604,7.240695,2.046459,2.046459,40.894049
3.116088,0.045458,5.185089,1.459892,1.459892,34.784902
2.978571,0.031697,5.112209,2.278999,2.278999,40.499768
3.029251,0.032416,5.377418,1.431429,1.431429,27.967574
3.135619,0.051835,5.060960,2.120448,2.120448,40.377394
2.900262,0.051823,5.762725,1.442359,1.442359,45.287402
5.100152,0.146904,13.566055,1.242341,1.242341,63.777696
2.569573,0.058249,7.352384,2.062751,2.062751,64.666672
5.566267,0.128884,6.187918,1.834948,1.834948,57.563056
5.177370,0.124744,9.721920,1.533839,1.533839,60.246866
5.388987,0.132074,10.734224,2.024039,2.024039,62.903707
4.936660,0.239955,13.154434,1.757515,1.757515,59.448772
5.488052,0.145290,7.956118,1.843526,1.843526,50.764935
5.238170,0.137231,13.102403,1.357081,1.357081,71.781732
5.407097,0.169680,13.095087,1.946550,1.946550,64.453578
3.357222,0.085183,5.736107,1.582461,1.582461,45.515769
3.198162,0.093797,5.498110,1.581606,1.581606,49.693888
4.278586,0.105305,6.012995,1.731964,1.731964,47.026983
2.547779,0.049055,4.439044,1.951366,1.951366,42.838548
4.092010,0.104734,6.578885,0.759829,0.759829,47.373452
3.006143,0.106833,4.611055,1.367893,1.367893,42.532811
2.319879,0.078302,4.489939,0.886947,0.886947,38.647160
2.291866,0.065674,5.512746,0.986638,0.986638,48.408991
2.421884,0.063935,4.039948,2.365794,2.365794,38.901254
2.412741,0.062247,4.369931,0.682925,0.682925,45.948823
2.297189,0.055493,4.577039,1.186181,1.186181,40.439641
2.646725,0.089556,4.301935,1.219382,1.219382,43.963086
2.374096,0.047553,4.104854,1.172481,1.172481,39.364033
2.608036,0.089999,4.301640,1.176271,1.176271,42.191297
2.630586,0.091240,4.263755,0.740173,0.740173,43.334487
2.616261,0.052565,4.364678,1.464537,1.464537,44.499677
2.785325,0.087157,4.772749,0.989654,0.989654,44.358293
2.634651,0.066005,4.562740,1.327229,1.327229,45.084217
2.750421,0.079801,4.781485,2.249237,2.249237,45.524235
2.467916,0.055230,4.456150,1.604950,1.604950,42.614612
3.154694,0.088372,5.186824,1.662848,1.662848,45.412548
2.543853,0.051794,4.273672,1.713996,1.713996,43.199072
2.420734,0.038505,3.999229,1.335517,1.335517,39.239501
2.539748,0.065108,4.328189,1.486466,1.486466,44.072347
2.551226,0.041613,4.061309,1.634650,1.634650,42.870106
3.151907,0.086641,4.638332,1.739403,1.739403,46.156567
2.906939,0.066530,4.372177,1.018036,1.018036,44.363120
2.789736,0.054218,4.613377,1.353915,1.353915,46.934510
2.697428,0.072400,4.951462,1.453849,1.453849,51.203821
2.812161,0.087970,5.602766,1.170657,1.170657,54.805866
3.187777,0.085827,5.023805,1.522850,1.522850,52.517008
2.451030,0.075134,4.297230,0.848614,0.848614,40.684005
2.776060,0.061494,4.413286,1.313090,1.313090,42.141449
2.799936,0.060729,4.237031,1.015192,1.015192,46.775135
2.730344,0.073579,4.443266,1.160860,1.160860,46.090800
2.610431,0.053975,4.805020,1.904839,1.904839,49.604521
3.196893,0.088169,4.891460,1.401900,1.401900,48.765425
2.577445,0.064063,4.839346,1.552727,1.552727,44.569654
4.802982,0.124320,8.679415,1.542009,1.542009,55.533253
2.651601,0.078345,4.806678,1.891348,1.891348,49.004759
5.173832,0.123130,10.320519,1.805473,1.805473,143.753749
3.169705,0.090548,4.577293,1.058434,1.058434,43.682151
4.551008,0.120445,8.097008,1.475632,1.475632,66.131098
4.922326,0.185800,10.910277,1.155932,1.155932,69.526283
4.402895,0.083742,8.021499,1.687744,1.687744,59.367347
5.239671,0.136402,9.236353,1.568524,1.568524,73.157079
5.262166,0.193019,13.339862,2.112696,2.112696,75.180150
4.384049,0.118297,9.513776,1.874247,1.874247,66.283807
4.159064,0.134899,9.491565,1.283540,1.283540,61.217413
2.946006,0.090600,6.172802,0.939292,0.939292,53.395743
4.956484,0.138688,11.484578,2.229522,2.229522,65.864197
4.429011,0.128281,7.168903,1.988242,1.988242,54.893521
2.736223,0.074103,6.161386,1.999515,1.999515,50.443034
2.640665,0.059130,5.942666,2.090166,2.090166,50.246039
2.862097,0.091311,6.267394,1.343533,1.343533,51.794512
2.845611,0.074462,8.374268,1.716681,1.716681,59.824967
3.673988,0.103006,6.712425,1.648522,1.648522,57.819408
4.681357,0.133797,12.130855,1.602558,1.602558,67.310000
2.813266,0.080209,7.292538,2.684635,2.684635,65.600998
3.391224,0.092998,7.054009,1.687691,1.687691,52.606466
2.819029,0.084206,7.037920,2.566793,2.566793,57.518426
3.618885,0.086627,7.615098,1.325287,1.325287,68.989936
3.044690,0.076483,7.059079,1.904646,1.904646,48.456814
2.777711,0.042576,6.889612,1.931336,1.931336,53.426284
2.720049,0.049166,6.924965,1.261435,1.261435,53.434152
5.736167,0.111041,16.377842,3.439350,3.439350,83.677051
4.078024,0.111904,14.383724,1.622360,1.622360,73.226646
3.828582,0.048254,8.715764,1.775587,1.775587,64.411838
4.723300,0.089030,10.025843,1.480219,1.480219,61.454333
4.748606,0.100202,7.952975,1.716813,1.716813,58.625898
5.054080,0.108603,11.355825,1.731928,1.731928,59.046054
5.395870,0.129251,16.046270,1.625177,1.625177,78.919039
6.377321,0.180093,12.550585,1.357549,1.357549,76.388031
3.143027,0.064121,6.432763,1.934051,1.934051,64.087149
3.106049,0.128725,10.050967,2.577997,2.577997,64.890235
5.623972,0.196279,12.393932,2.534340,2.534340,86.745693
3.220775,0.099710,5.007623,2.391923,2.391923,55.514736
2.538783,0.106865,6.864543,1.920843,1.920843,57.645854
4.394764,0.184466,4.827198,2.278689,2.278689,62.797535
2.614463,0.120716,3.866751,2.250071,2.250071,46.939372
4.103642,0.253728,9.135466,1.150592,1.150592,81.721174
3.529566,0.162612,6.351941,1.079150,1.079150,60.602111
2.323514,0.088729,3.948287,1.410603,1.410603,52.145102
2.646225,0.071807,3.650838,1.492671,1.492671,49.203084
2.487675,0.055653,3.925931,1.832850,1.832850,48.609407
4.501279,0.137289,7.339945,1.547821,1.547821,64.045953
2.749816,0.068255,4.083662,2.227888,2.227888,49.740900
3.482759,0.077024,4.367001,2.184635,2.184635,57.222774
3.186073,0.086496,4.882853,1.491115,1.491115,57.102340
3.383052,0.115702,5.127446,1.059620,1.059620,54.144328
2.536472,0.060917,3.436177,1.510902,1.510902,48.639504
2.713863,0.072139,3.534753,2.543169,2.543169,48.716390
2.405050,0.042687,3.937796,0.878410,0.878410,47.159821
3.093164,0.099941,4.193552,0.597708,0.597708,48.651643
3.179303,0.042095,3.865844,1.084385,1.084385,53.154877
3.957341,0.123602,7.052100,0.823044,0.823044,49.913564
2.861485,0.058481,5.373381,1.006026,1.006026,52.890187
2.950649,0.078752,4.714104,0.860001,0.860001,42.974362
3.121468,0.088743,4.540265,0.909514,0.909514,47.642324
2.765078,0.075037,4.404494,1.344847,1.344847,58.560283
3.026412,0.064699,5.341908,0.809801,0.809801,35.559611
4.555566,0.132428,9.553748,1.412479,1.412479,55.264547
3.169226,0.086184,4.961063,1.287455,1.287455,37.390325
4.261909,0.167076,8.567694,0.569236,0.569236,46.129064
2.511910,0.062056,4.690334,1.068381,1.068381,40.234299
4.339194,0.103568,9.269515,0.671908,0.671908,44.161643
3.141324,0.070318,4.655701,1.575438,1.575438,32.361501
2.864809,0.072211,5.043740,1.389280,1.389280,54.734141
4.169383,0.098332,5.262685,0.508274,0.508274,59.469160
5.371320,0.128924,14.227477,1.530074,1.530074,77.802552
6.463701,0.208883,10.149491,1.019987,1.019987,73.924642
4.657391,0.094789,7.309544,1.258249,1.258249,62.019479
5.737729,0.180072,12.152612,1.906228,1.906228,67.150808
4.430701,0.200199,11.440108,0.936624,0.936624,62.444622
8.590566,0.182634,10.364798,1.260820,1.260820,70.076880
9.496535,0.287088,23.697685,3.596532,3.596532,96.392706
4.939688,0.182798,10.481453,2.400119,2.400119,69.023000
4.178132,0.156315,9.913317,1.495194,1.495194,73.048567
9.338495,0.343373,26.202080,7.008991,7.008991,113.080296
6.798156,0.215844,12.257639,2.387534,2.387534,85.743819
6.164304,0.235892,10.594647,4.013267,4.013267,79.236452
4.851548,0.191858,10.817519,3.148018,3.148018,82.524441
5.176106,0.181851,11.830714,2.354199,2.354199,81.519702
5.359931,0.215102,12.788930,1.969503,1.969503,84.732486
4.566384,0.166948,11.753815,2.795446,2.795446,73.428787
5.036689,0.188502,11.187949,3.147419,3.147419,74.918729
8.908697,0.329820,27.301336,2.436429,2.436429,118.269040
10.460037,0.304393,25.414965,2.271938,2.271938,98.167803
5.563012,0.158730,11.676653,3.214054,3.214054,75.725187
6.405508,0.190604,12.911550,3.881563,3.881563,79.049568
4.963454,0.178683,10.787954,3.769769,3.769769,75.212166
8.660232,0.482944,26.580092,2.886936,2.886936,348.607244
6.269127,0.322567,12.596084,3.535427,3.535427,85.549802
5.184228,0.273784,9.901010,1.458774,1.458774,74.346627
7.385771,0.418648,20.451399,3.798825,3.798825,95.742319
4.127105,0.205452,9.171819,2.205120,2.205120,72.558479
5.055744,0.296057,11.540949,3.550072,3.550072,83.528698
4.926638,0.200176,11.336233,3.706471,3.706471,90.280073
5.394809,0.199092,13.330690,3.664353,3.664353,100.750740
5.070677,0.162525,10.818875,3.445101,3.445101,89.440752
5.290859,0.162506,12.147422,4.386245,4.386245,96.470507
5.257318,0.197110,11.067914,4.816791,4.816791,96.165848
4.972544,0.186066,10.714837,5.348395,5.348395,98.624663
5.423914,0.225296,12.769568,4.055060,4.055060,92.270641
4.944140,0.174841,13.553185,3.403201,3.403201,91.521910
4.487880,0.175433,11.919216,5.016823,5.016823,94.377925
4.835403,0.241016,13.246104,4.546003,4.546003,105.145617
5.360454,0.181023,13.689555,4.834924,4.834924,98.417287
5.419948,0.200532,12.962254,4.799447,4.799447,98.713814
7.160890,0.346617,12.517821,4.897522,4.897522,93.256788
5.691709,0.188180,12.517302,5.099120,5.099120,108.750747
5.534926,0.190892,12.031746,4.617972,4.617972,104.535673
6.730086,0.293420,19.519941,3.789750,3.789750,114.085447
6.446907,0.239332,12.349474,3.647748,3.647748,102.354912
4.848116,0.120222,10.796115,3.620028,3.620028,94.259343
8.289639,0.442724,27.132671,5.716732,5.716732,137.952221
5.525019,0.223392,15.964511,4.936449,4.936449,123.464772
5.354270,0.250265,13.587074,5.540269,5.540269,114.071847
9.681200,0.213987,22.947558,4.580626,4.580626,123.271290
5.519231,0.179415,13.675146,4.638659,4.638659,112.105341
5.236376,0.364813,15.300461,5.074766,5.074766,117.951284
5.673482,0.195449,14.111629,5.080204,5.080204,124.428351
5.193203,0.204625,14.144233,6.378291,6.378291,111.496764
9.541927,0.278397,18.938254,7.222626,7.222626,136.422577
6.718086,0.247836,14.606662,9.097853,9.097853,130.199268
5.474031,0.235979,19.375630,6.850828,6.850828,129.255273
