#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1413394881605760512.000000,0.000000,0.000000,14.022863,5.864010,0.007348,5.914040,2.253410,0.001561,22.169492
1413394881655760384.000000,0.000000,0.000000,13.380468,3.559179,0.068491,1.695336,1.958251,0.000466,19.862782
1413394881705760512.000000,0.000000,0.000000,14.956869,5.450352,0.054454,1.703324,2.123352,0.000490,23.276125
1413394881755760384.000000,0.000000,0.000000,13.349221,5.367145,0.052867,2.051438,2.176758,0.000824,21.882028
1413394881805760512.000000,0.000000,0.000000,13.331149,7.128190,0.077159,1.425921,1.801020,0.190091,23.938031
1413394881855760384.000000,0.000000,0.000000,13.450413,8.380058,0.048776,1.618770,1.782065,0.000443,24.607999
1413394881905760512.000000,0.000000,0.000000,13.736025,9.048172,0.093095,1.336723,1.765570,0.000387,25.708268
1413394881955760384.000000,0.000000,0.000000,14.228976,9.591997,0.099107,1.473957,1.687559,0.000480,26.960701
1413394882005760512.000000,0.000000,0.000000,12.503300,9.170589,0.099625,1.320456,1.656880,0.000494,24.710710
1413394882055760384.000000,0.000000,0.000000,14.327159,4.805089,0.043628,1.187332,1.583786,0.000361,22.341825
1413394882105760512.000000,0.000000,0.000000,12.814646,3.937434,0.044340,1.076963,1.467531,0.147254,19.345718
1413394882155760384.000000,0.000000,0.000000,13.275717,8.210601,0.059725,2.916653,3.365013,0.000893,24.058321
1413394882205760512.000000,0.000000,0.000000,12.920200,3.376669,0.051017,2.845238,3.433822,0.000883,18.708689
1413394882255760384.000000,0.000000,0.000000,14.369008,3.303669,0.057240,1.263743,1.563689,0.000753,20.545845
1413394882305760512.000000,0.000000,0.000000,12.621061,5.387380,0.053933,2.509282,2.540990,0.000468,20.822155
1413394882355760384.000000,0.000000,0.000000,13.116760,4.715568,0.067948,1.294210,2.020220,0.000898,20.672645
1413394882405760512.000000,0.000000,0.000000,13.689742,3.530601,0.052796,2.133880,2.594010,0.186243,20.106505
1413394882455760384.000000,0.000000,0.000000,13.669290,3.519358,0.041661,2.832622,3.993841,0.000898,19.257686
1413394882505760512.000000,0.000000,0.000000,13.464149,5.059684,0.056079,1.616596,1.802520,0.000467,22.026369
1413394882555760384.000000,0.000000,0.000000,13.243447,3.543698,0.052670,1.351900,1.794735,0.000299,19.330003
1413394882605760512.000000,0.000000,0.000000,14.865318,3.382383,0.056733,1.631740,3.735821,0.000782,20.688804
1413394882655760384.000000,0.000000,0.000000,12.533492,3.495190,0.051131,2.681938,4.125210,0.000850,18.609234
1413394882705760512.000000,0.000000,0.000000,12.792705,6.587378,0.052401,2.542831,4.291601,0.346620,22.179584
1413394882755760384.000000,0.000000,0.000000,13.369434,3.415147,0.050315,1.934093,3.557240,0.000772,19.187260
1413394882805760512.000000,0.000000,0.000000,12.797039,3.387531,0.078913,1.587984,2.025036,0.000359,18.718746
1413394882855760384.000000,0.000000,0.000000,13.645128,8.858296,0.097345,1.214056,2.015535,0.000456,25.681556
1413394882905760512.000000,0.000000,0.000000,13.815461,5.030184,0.094585,1.239757,2.087234,0.000403,22.016114
1413394882955760384.000000,0.000000,0.000000,14.671855,3.801308,0.044718,1.123086,2.025124,0.168170,21.016626
1413394883005760512.000000,0.000000,0.000000,14.252207,6.264585,0.062947,1.261129,2.198485,0.000402,23.019388
1413394883055760384.000000,0.000000,0.000000,12.906347,8.571520,0.103681,1.512720,2.087271,0.000386,24.465913
1413394883105760512.000000,0.000000,0.000000,12.923574,4.076608,0.044718,1.112278,2.046277,0.000338,19.345931
1413394883155760384.000000,0.000000,0.000000,12.870508,9.431254,0.102501,1.043712,2.057599,0.000403,25.398310
1413394883205760512.000000,0.000000,0.000000,14.342032,3.723811,0.043842,2.641465,5.180980,0.392732,20.784052
1413394883255760384.000000,0.000000,0.000000,12.578383,8.767775,0.087366,1.292174,2.043432,0.000684,24.500312
1413394883305760512.000000,0.000000,0.000000,13.243310,8.256415,0.095658,2.700096,4.576210,0.000892,24.518798
1413394883355760384.000000,0.000000,0.000000,13.308430,9.295890,0.096155,1.137093,1.981747,0.000508,26.341288
1413394883405760512.000000,0.000000,0.000000,13.183123,3.503152,0.046049,1.083932,1.877284,0.001433,19.300708
1413394883455760384.000000,0.000000,0.000000,16.719595,9.033406,0.097701,0.965635,1.961201,0.153739,28.976940
1413394883505760512.000000,0.000000,0.000000,14.045926,8.835341,0.105584,1.236464,1.855265,0.000437,25.998149
1413394883555760384.000000,0.000000,0.000000,12.801316,9.076989,0.083338,1.294697,1.831466,0.000377,25.219174
1413394883605760512.000000,0.000000,0.000000,16.504169,4.654060,0.051503,2.552357,4.470579,0.000844,23.699052
1413394883655760384.000000,0.000000,0.000000,13.266881,5.724495,0.053397,1.001017,1.899998,0.000727,21.902039
1413394883705760512.000000,0.000000,0.000000,13.425113,9.248732,0.097105,2.091435,2.657815,0.172188,25.573064
1413394883755760384.000000,0.000000,0.000000,14.350485,3.280805,0.051471,1.526131,3.043958,0.001065,20.937702
1413394883805760512.000000,0.000000,0.000000,12.317024,8.802151,0.090272,2.081279,3.599300,0.001535,24.099351
1413394883855760384.000000,0.000000,0.000000,14.765717,8.725686,0.095121,0.755437,1.634540,0.000438,26.837551
1413394883905760512.000000,0.000000,0.000000,14.877601,8.276147,0.050089,0.585098,1.362741,0.000439,26.242186
1413394883955760384.000000,0.000000,0.000000,14.101568,3.249706,0.052778,0.482179,1.282323,0.197090,19.875953
1413394884005760512.000000,0.000000,0.000000,12.635740,8.617745,0.084404,0.028958,2.267380,0.020215,24.026897
1413394884055760384.000000,0.000000,0.000000,13.635231,3.704204,0.044703,0.026732,2.372936,0.220445,20.236620
1413394884105760512.000000,0.000000,0.000000,14.020003,8.575906,0.093281,0.026579,2.294440,0.199509,25.638130
1413394884155760384.000000,0.000000,0.000000,14.055826,8.920907,0.069145,0.032302,2.548655,0.155140,25.981465
1413394884205760512.000000,0.000000,0.000000,14.083738,3.620944,0.054497,0.025993,2.426536,0.159097,20.377927
