#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.008046,3,1,0,929
0.002630,4,1,0,943
0.268857,5,1,0,1373
0.278292,6,1,0,1907
0.622783,7,1,0,2160
0.599145,8,1,0,2499
0.740379,9,1,0,2821
0.960174,10,1,0,2880
0.937021,0,0,0,0
39.041804,0,0,0,0
0.962852,0,0,0,0
0.911564,0,0,0,0
1.348742,0,0,0,0
1.357680,0,0,0,0
1.381121,0,0,0,0
1.737105,0,0,0,0
1.881368,0,0,0,0
7.414490,0,0,0,0
4.196890,0,0,0,0
3.866559,0,0,0,0
2.656494,0,0,0,0
4.242388,0,0,0,0
3.623438,0,0,0,0
3.087930,0,0,0,0
3.303134,0,0,0,0
3.329133,0,0,0,0
3.992118,0,0,0,0
3.703964,3,1,0,1164
3.327606,4,1,0,1513
0.003520,5,1,0,1915
0.002477,6,1,0,2358
0.235467,7,1,0,2621
1.003784,8,1,0,2941
0.891957,9,1,0,3280
0.683885,10,1,0,3650
1.187716,0,0,0,0
1.687629,0,0,0,0
1.532905,0,0,0,0
53.621783,0,0,0,0
1.166221,0,0,0,0
1.345641,0,0,0,0
1.711386,0,0,0,0
1.828111,0,0,0,0
1.912473,0,0,0,0
2.286780,0,0,0,0
2.254557,0,0,0,0
2.357570,0,0,0,0
2.302106,0,0,0,0
3.052311,0,0,0,0
3.781942,0,0,0,0
3.845269,0,0,0,0
3.730497,0,0,0,0
4.045159,0,0,0,0
4.467182,0,0,0,0
4.819080,0,0,0,0
4.286427,0,0,0,0
4.576452,0,0,0,0
5.124127,0,0,0,0
3.089820,0,0,0,0
3.240715,0,0,0,0
3.031445,0,0,0,0
4.555745,0,0,0,0
5.443853,0,0,0,0
4.082730,0,0,0,0
5.499084,0,0,0,0
3.107114,0,0,0,0
4.253210,0,0,0,0
5.051130,0,0,0,0
2.382041,0,0,0,0
3.761565,0,0,0,0
4.369895,0,0,0,0
3.340943,0,0,0,0
3.158472,0,0,0,0
4.101471,0,0,0,0
4.239131,0,0,0,0
3.023649,0,0,0,0
3.740626,0,0,0,0
5.041227,0,0,0,0
2.645749,0,0,0,0
2.689581,0,0,0,0
2.671266,0,0,0,0
5.771525,0,0,0,0
2.433928,0,0,0,0
2.614798,0,0,0,0
2.883309,0,0,0,0
2.566462,0,0,0,0
3.070373,0,0,0,0
1.858431,0,0,0,0
2.118599,0,0,0,0
2.395034,0,0,0,0
5.092818,0,0,0,0
3.313808,0,0,0,0
2.280363,0,0,0,0
3.211266,0,0,0,0
3.958429,0,0,0,0
2.895029,0,0,0,0
5.303658,0,0,0,0
2.719570,0,0,0,0
3.502183,0,0,0,0
2.757507,0,0,0,0
2.637807,0,0,0,0
1.956509,0,0,0,0
3.650254,0,0,0,0
2.576868,0,0,0,0
3.834100,0,0,0,0
2.213928,0,0,0,0
3.937706,0,0,0,0
1.639347,0,0,0,0
1.773447,0,0,0,0
4.751944,0,0,0,0
2.319271,0,0,0,0
2.478829,0,0,0,0
3.331117,0,0,0,0
3.416514,0,0,0,0
2.918034,0,0,0,0
2.996854,0,0,0,0
3.276438,0,0,0,0
2.967353,0,0,0,0
12.809659,0,0,0,0
3.551844,0,0,0,0
1.615102,0,0,0,0
3.136695,0,0,0,0
3.094361,0,0,0,0
3.234813,0,0,0,0
2.860996,0,0,0,0
2.410530,0,0,0,0
4.706712,0,0,0,0
3.124593,0,0,0,0
3.158384,0,0,0,0
3.315847,0,0,0,0
1.957302,0,0,0,0
2.995627,0,0,0,0
3.402350,0,0,0,0
4.053604,0,0,0,0
3.626069,0,0,0,0
2.245171,0,0,0,0
3.124755,0,0,0,0
14.257446,0,0,0,0
3.826424,0,0,0,0
4.190697,0,0,0,0
2.370079,0,0,0,0
3.867021,0,0,0,0
3.710266,0,0,0,0
3.731106,0,0,0,0
4.638337,0,0,0,0
2.656492,0,0,0,0
3.882333,0,0,0,0
3.145161,0,0,0,0
3.346119,0,0,0,0
4.715130,0,0,0,0
2.864142,0,0,0,0
4.831637,0,0,0,0
4.380656,0,0,0,0
3.776085,0,0,0,0
3.954262,0,0,0,0
4.776737,0,0,0,0
4.704636,0,0,0,0
4.598088,0,0,0,0
3.795781,0,0,0,0
4.336974,0,0,0,0
2.758020,0,0,0,0
3.685710,0,0,0,0
4.349871,0,0,0,0
5.257397,0,0,0,0
4.482117,0,0,0,0
3.749034,0,0,0,0
2.363810,0,0,0,0
3.837806,0,0,0,0
4.621333,0,0,0,0
3.972421,0,0,0,0
3.130343,0,0,0,0
4.421312,0,0,0,0
5.319797,0,0,0,0
4.072902,0,0,0,0
3.919734,0,0,0,0
4.285899,0,0,0,0
3.792340,0,0,0,0
6.097287,0,0,0,0
5.466664,0,0,0,0
5.809242,0,0,0,0
3.586962,0,0,0,0
4.095763,0,0,0,0
5.466799,0,0,0,0
5.046477,0,0,0,0
4.617157,0,0,0,0
7.165071,0,0,0,0
5.257043,0,0,0,0
11.127342,0,0,0,0
19.003637,0,0,0,0
6.831100,0,0,0,0
6.783804,0,0,0,0
6.214614,0,0,0,0
5.196796,0,0,0,0
6.856248,0,0,0,0
8.570224,0,0,0,0
7.050395,0,0,0,0
5.570363,0,0,0,0
6.585164,0,0,0,0
7.593010,0,0,0,0
6.553214,0,0,0,0
7.627405,0,0,0,0
7.409308,0,0,0,0
5.765697,0,0,0,0
8.643517,0,0,0,0
7.109131,0,0,0,0
6.261070,0,0,0,0
7.663716,0,0,0,0
5.359959,0,0,0,0
6.947280,0,0,0,0
8.835013,0,0,0,0
9.336630,0,0,0,0
7.726703,0,0,0,0
6.617177,0,0,0,0
8.798974,0,0,0,0
6.537959,0,0,0,0
6.284483,0,0,0,0
8.306162,0,0,0,0
8.520925,0,0,0,0
15.689886,0,0,0,0
9.298697,0,0,0,0
6.945881,0,0,0,0
7.661427,0,0,0,0
7.104795,0,0,0,0
10.243235,0,0,0,0
7.057884,0,0,0,0
9.854002,0,0,0,0
8.608780,0,0,0,0
9.286953,0,0,0,0
8.286485,0,0,0,0
9.378944,0,0,0,0
10.897506,0,0,0,0
9.978593,0,0,0,0
11.812687,0,0,0,0
6.328786,0,0,0,0
6.809356,0,0,0,0
9.123685,0,0,0,0
9.182038,0,0,0,0
8.349624,0,0,0,0
11.034349,0,0,0,0
10.424170,0,0,0,0
12.714248,0,0,0,0
8.909384,0,0,0,0
10.690163,0,0,0,0
10.612299,0,0,0,0
18.621278,0,0,0,0
20.736960,0,0,0,0
11.622072,0,0,0,0
8.663768,0,0,0,0
8.226657,0,0,0,0
10.825019,0,0,0,0
11.994871,0,0,0,0
8.554449,0,0,0,0
5.420645,0,0,0,0
8.462188,0,0,0,0
5.290091,0,0,0,0
6.963838,0,0,0,0
6.075534,0,0,0,0
5.516196,0,0,0,0
6.207886,0,0,0,0
4.717189,0,0,0,0
7.691431,0,0,0,0
5.161992,0,0,0,0
4.410711,0,0,0,0
7.165689,0,0,0,0
4.413422,0,0,0,0
2.799905,0,0,0,0
4.093663,0,0,0,0
5.306253,0,0,0,0
5.071545,0,0,0,0
4.143985,0,0,0,0
4.112509,0,0,0,0
5.159775,0,0,0,0
5.553664,0,0,0,0
4.845115,0,0,0,0
19.286637,0,0,0,0
11.875911,0,0,0,0
4.410547,0,0,0,0
6.211280,0,0,0,0
7.013291,0,0,0,0
5.710370,0,0,0,0
4.321011,0,0,0,0
