#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403636858651666432.000000,0.000000,0.000000,18.700163,2.097506,0.002629,8.084525,2.850624,0.001848,23.331164
1403636858701666560.000000,0.000000,0.000000,16.396340,2.227309,0.070991,0.970091,1.118645,0.000764,21.197530
1403636858751666432.000000,0.000000,0.000000,16.587210,1.770984,0.052815,1.618434,1.665159,0.000826,20.899314
1403636858801666560.000000,0.000000,0.000000,16.138014,1.804671,0.049570,0.965034,1.250966,0.000676,20.542199
1403636858851666432.000000,0.000000,0.000000,17.223092,1.897710,0.053136,0.989078,1.359852,0.396103,21.491161
1403636858901666560.000000,0.000000,0.000000,16.235854,2.075402,0.053866,2.330808,2.027693,0.000489,21.356975
1403636858951666432.000000,0.000000,0.000000,18.149517,2.166577,0.052738,2.645885,3.631499,0.000892,22.871993
1403636859001666560.000000,0.000000,0.000000,17.636383,2.426709,0.088533,1.304239,1.911911,0.000628,22.880033
1403636859051666432.000000,0.000000,0.000000,16.969971,4.730411,0.080311,1.268732,1.836480,0.000640,25.376951
1403636859101666560.000000,0.000000,0.000000,18.052239,3.164005,0.058277,2.179404,3.616665,0.588087,35.432084
1403636859151666432.000000,0.000000,0.000000,17.084648,2.506779,0.080279,3.756967,4.000399,0.001230,24.502218
1403636859201666560.000000,0.000000,0.000000,18.851793,5.120148,0.098807,2.494489,3.401947,0.000700,30.138610
1403636859251666432.000000,0.000000,0.000000,16.707446,2.779834,0.057861,2.328478,3.552940,0.000655,23.742844
1403636859301666560.000000,0.000000,0.000000,17.092357,3.371075,0.073637,1.280243,2.260226,0.000698,25.910998
1403636859351666432.000000,0.000000,0.000000,15.810159,4.096348,0.059133,1.479419,3.105556,0.692689,26.794870
1403636859401666560.000000,0.000000,0.000000,18.230379,6.286784,0.085231,2.516167,4.813796,0.000849,34.064436
1403636859451666432.000000,0.000000,0.000000,18.627944,4.319975,0.060087,1.905972,3.194971,0.001318,29.481880
1403636859501666560.000000,0.000000,0.000000,19.524885,3.165200,0.062912,1.734413,3.143479,0.000620,28.409046
1403636859551666432.000000,0.000000,0.000000,15.411301,5.994105,0.108943,2.662656,4.823594,0.000918,30.613136
1403636859601666560.000000,0.000000,0.000000,18.576952,3.750235,0.076983,2.550665,3.986904,0.511232,33.027669
1403636859651666432.000000,0.000000,0.000000,16.971716,5.269231,0.067934,2.570138,2.835212,0.000640,31.218254
1403636859701666560.000000,0.000000,0.000000,19.971709,6.068006,0.078251,2.115257,3.208589,0.000598,34.935602
1403636859751666432.000000,0.000000,0.000000,17.630875,3.743383,0.064270,3.383565,4.593092,0.000803,27.830447
1403636859801666560.000000,0.000000,0.000000,17.206668,4.153216,0.055674,2.778984,5.811828,0.001316,29.292277
1403636859851666432.000000,0.000000,0.000000,16.114473,4.127815,0.084684,1.851433,2.967600,0.405411,30.527578
1403636859901666560.000000,0.000000,0.000000,17.263825,3.939537,0.065755,2.656533,5.035267,0.000825,28.431056
1403636859951666432.000000,0.000000,0.000000,16.255123,4.913756,0.058215,1.817071,3.729084,0.001585,28.200817
1403636860001666560.000000,0.000000,0.000000,16.409658,7.262345,0.088266,2.192059,3.458706,0.000683,34.041638
1403636860051666432.000000,0.000000,0.000000,18.008813,7.164357,0.093590,1.089798,3.276128,0.000649,35.845393
1403636860101666560.000000,0.000000,0.000000,17.444310,3.993774,0.052639,0.941747,3.069934,0.356185,29.525686
1403636860151666432.000000,0.000000,0.000000,17.994427,4.909319,0.052758,3.297395,5.863708,0.001021,30.958016
1403636860201666560.000000,0.000000,0.000000,19.393249,6.481591,0.083078,1.403638,3.237560,0.000773,37.672409
1403636860251666432.000000,0.000000,0.000000,16.361389,6.766615,0.085770,1.301284,3.013138,0.000732,34.857275
1403636860301666560.000000,0.000000,0.000000,17.156868,3.771495,0.080477,1.123688,3.800704,0.000776,29.174040
1403636860351666432.000000,0.000000,0.000000,18.402927,4.041267,0.071697,1.381806,4.667228,0.319391,33.012596
1403636860401666560.000000,0.000000,0.000000,16.703658,5.088484,0.072273,1.599093,2.866507,0.000510,30.129271
1403636860451666432.000000,0.000000,0.000000,18.869101,3.465182,0.074841,1.691891,2.906812,0.000723,31.035469
1403636860501666560.000000,0.000000,0.000000,15.012667,3.544816,0.067189,1.352001,3.537841,0.000806,25.686538
1403636860551666432.000000,0.000000,0.000000,14.476756,3.099890,0.074274,1.362443,3.486403,0.000734,24.289340
1403636860601666560.000000,0.000000,0.000000,15.742164,5.523170,0.104742,2.297916,6.225725,0.525438,33.554041
1403636860651666432.000000,0.000000,0.000000,16.607287,2.703582,0.079457,3.637583,6.407956,0.000944,26.833445
1403636860701666560.000000,0.000000,0.000000,17.949794,3.959927,0.073152,1.723712,3.435222,0.000548,28.921061
1403636860751666432.000000,0.000000,0.000000,18.728011,2.530675,0.079862,2.713369,4.172798,0.000947,29.109836
1403636860801666560.000000,0.000000,0.000000,17.314916,3.097195,0.109708,1.628279,3.418942,0.000556,29.657864
1403636860851666432.000000,0.000000,0.000000,15.267966,2.344587,0.055845,1.390693,3.235786,0.426108,25.179148
1403636860901666560.000000,0.000000,0.000000,17.829988,3.899579,0.072923,0.095272,7.001662,0.058672,28.898931
1403636860951666432.000000,0.000000,0.000000,16.645836,3.151884,0.072851,0.041914,4.825876,0.043153,27.501524
1403636861001666560.000000,0.000000,0.000000,18.312568,3.186164,0.093428,0.046367,7.045048,0.543045,29.336756
1403636861051666432.000000,0.000000,0.000000,16.756412,6.480071,0.111632,0.048563,8.578868,0.045917,35.380837
1403636861101666560.000000,0.000000,0.000000,15.484143,3.303547,0.067845,0.049703,6.574284,0.044996,32.069347
1403636861151666432.000000,0.000000,0.000000,17.069067,3.973455,0.059989,0.046791,6.701384,0.045407,29.533717
1403636861201666560.000000,0.000000,0.000000,15.104115,6.920911,0.093144,0.057577,9.693367,0.060423,31.530235
1403636861251666432.000000,0.000000,0.000000,17.065966,5.249589,0.071564,0.063037,10.818850,0.069592,30.822809
1403636861301666560.000000,0.000000,0.000000,13.848852,4.145902,0.067892,0.060071,8.927405,0.045041,25.751589
1403636861351666432.000000,0.000000,0.000000,15.211748,6.546277,0.087132,0.062608,11.448214,0.072108,32.165119
1403636861401666560.000000,0.000000,0.000000,18.363970,5.185315,0.068256,0.060454,10.298882,0.067138,30.982995
1403636861451666432.000000,0.000000,0.000000,17.694905,6.810542,0.088956,0.085833,8.792120,0.556114,35.078398
1403636861501666560.000000,0.000000,0.000000,17.156778,8.533985,0.101047,0.066074,8.017742,0.073083,37.613010
1403636861551666432.000000,0.000000,0.000000,18.301760,6.709888,0.072677,0.054064,7.296061,0.444099,34.649608
1403636861601666560.000000,0.000000,0.000000,17.578778,6.235141,0.082284,0.032330,5.199136,0.324594,33.614711
1403636861651666432.000000,0.000000,0.000000,16.615209,6.567520,0.100865,0.051821,9.068994,0.055285,35.793160
1403636861701666560.000000,0.000000,0.000000,17.654625,7.989469,0.110211,0.041060,9.383674,0.405940,39.840380
1403636861751666432.000000,0.000000,0.000000,16.820196,8.526009,0.119585,0.035260,4.537172,0.281889,37.442305
1403636861801666560.000000,0.000000,0.000000,18.174690,7.296784,0.115339,0.046176,9.428552,0.070190,40.247222
1403636861851666432.000000,0.000000,0.000000,17.518454,7.020915,0.053199,0.043407,10.601295,0.434637,38.639981
1403636861901666560.000000,0.000000,0.000000,16.554185,6.104372,0.116794,0.046587,9.983639,0.094262,35.546298
1403636861951666432.000000,0.000000,0.000000,16.259028,4.837957,0.061980,0.050544,5.120413,0.031146,32.531706
1403636862001666560.000000,0.000000,0.000000,16.322952,5.463202,0.128673,0.036334,5.696034,0.030759,32.343360
1403636862051666432.000000,0.000000,0.000000,17.529290,3.224490,0.083415,0.035739,6.078916,0.036668,29.554518
1403636862101666560.000000,0.000000,0.000000,16.681640,5.936522,0.082602,0.059389,9.576218,0.047241,34.724487
1403636862151666432.000000,0.000000,0.000000,16.768122,3.612960,0.079195,0.043201,5.817478,0.036953,33.314574
1403636862201666560.000000,0.000000,0.000000,16.762826,2.562386,0.081689,0.036867,6.063054,0.034865,27.389273
1403636862251666432.000000,0.000000,0.000000,18.314340,5.823661,0.095850,0.049177,7.913809,0.058006,37.041303
1403636862301666560.000000,0.000000,0.000000,16.523254,5.014101,0.145394,0.039859,6.038205,0.037297,35.861155
1403636862351666432.000000,0.000000,0.000000,17.139698,4.950083,0.077071,0.048540,6.072774,0.462881,35.266084
1403636862401666560.000000,0.000000,0.000000,15.829301,3.316110,0.111391,0.088307,6.766439,0.068931,27.246151
1403636862451666432.000000,0.000000,0.000000,17.019182,2.736732,0.091907,0.053421,8.750299,0.648706,28.243599
1403636862501666560.000000,0.000000,0.000000,17.484909,3.414428,0.080672,0.064649,7.172457,0.063456,29.844866
1403636862551666432.000000,0.000000,0.000000,17.047731,5.656947,0.116470,0.054452,6.039782,0.048030,35.750068
1403636862601666560.000000,0.000000,0.000000,16.504283,3.040969,0.082020,0.044759,6.921568,0.063366,27.889499
1403636862651666432.000000,0.000000,0.000000,15.948637,3.244597,0.081859,0.046414,7.154282,0.047811,28.671195
1403636862701666560.000000,0.000000,0.000000,16.351159,7.221704,0.122700,0.046267,7.317064,0.049902,34.939512
1403636862751666432.000000,0.000000,0.000000,13.532953,4.505296,0.087104,0.050710,7.202276,0.051422,26.339290
1403636862801666560.000000,0.000000,0.000000,16.421182,5.832842,0.069727,0.064064,9.570181,0.062097,31.855105
1403636862851666432.000000,0.000000,0.000000,16.804976,6.247552,0.087126,0.055347,7.968987,0.049211,32.924484
1403636862901666560.000000,0.000000,0.000000,17.117071,6.861824,0.121901,0.051052,8.217151,0.117513,36.510965
1403636862951666432.000000,0.000000,0.000000,17.245031,4.230882,0.091879,0.048756,7.312731,0.370595,31.675023
1403636863001666560.000000,0.000000,0.000000,16.501503,4.078993,0.087185,0.078886,10.711808,0.070645,29.436540
1403636863051666432.000000,0.000000,0.000000,15.341261,6.998582,0.085371,0.072670,11.477673,0.518275,31.886785
1403636863101666560.000000,0.000000,0.000000,17.045712,4.493590,0.086204,0.083780,11.395942,0.103704,31.816400
1403636863151666432.000000,0.000000,0.000000,17.383568,4.265694,0.085876,0.044630,6.318877,0.040476,32.450952
1403636863201666560.000000,0.000000,0.000000,17.195666,4.423195,0.088203,0.057585,8.146046,0.049499,31.892935
1403636863251666432.000000,0.000000,0.000000,16.940479,7.080971,0.111716,0.056331,10.403683,0.050992,36.973012
1403636863301666560.000000,0.000000,0.000000,15.354088,6.776505,0.128413,0.040961,6.801840,0.044439,33.080861
1403636863351666432.000000,0.000000,0.000000,16.479846,4.718176,0.094112,0.042609,9.855286,0.441868,32.841141
1403636863401666560.000000,0.000000,0.000000,15.969871,4.804598,0.081661,0.057593,8.857923,0.070610,31.116596
1403636863451666432.000000,0.000000,0.000000,15.803453,7.385354,0.118559,0.033564,5.799609,0.388844,37.280856
1403636863501666560.000000,0.000000,0.000000,16.412151,5.352274,0.112232,0.038831,6.023164,0.041957,36.835529
1403636863551666432.000000,0.000000,0.000000,16.938269,3.949100,0.069745,0.044632,9.975748,0.095894,35.752870
1403636863601666560.000000,0.000000,0.000000,17.839576,4.723022,0.098716,0.047481,12.669145,0.059766,31.902375
1403636863651666432.000000,0.000000,0.000000,16.461734,4.837321,0.067740,0.042447,6.358652,0.041317,32.430613
1403636863701666560.000000,0.000000,0.000000,15.818894,4.978618,0.090344,0.044929,6.742456,0.027574,34.407953
1403636863751666432.000000,0.000000,0.000000,17.184660,2.892358,0.095982,0.046099,9.278498,0.066305,30.161676
1403636863801666560.000000,0.000000,0.000000,14.931737,4.431215,0.124280,0.044115,6.409111,0.042261,32.964991
1403636863851666432.000000,0.000000,0.000000,18.586559,4.366635,0.081766,0.047198,7.513678,0.037392,35.301554
1403636863901666560.000000,0.000000,0.000000,16.760157,2.332719,0.088193,0.039732,6.164776,0.036639,28.114149
1403636863951666432.000000,0.000000,0.000000,17.147312,2.594071,0.084031,0.045937,8.423049,0.608971,28.850383
1403636864001666560.000000,0.000000,0.000000,17.095634,5.220442,0.120473,0.083294,8.690965,0.051410,35.978165
1403636864051666432.000000,0.000000,0.000000,17.876636,3.729330,0.108725,0.048339,6.772264,0.051687,38.343447
1403636864101666560.000000,0.000000,0.000000,15.487422,3.604145,0.094812,0.050716,9.090414,0.058595,28.850246
1403636864151666432.000000,0.000000,0.000000,15.929260,6.002161,0.108762,0.043564,6.326513,0.064265,31.676762
1403636864201666560.000000,0.000000,0.000000,15.947825,5.555865,0.137593,0.044939,6.574340,0.042950,34.589890
1403636864251666432.000000,0.000000,0.000000,16.450989,3.631912,0.093116,0.044141,6.853684,0.043829,29.678229
1403636864301666560.000000,0.000000,0.000000,16.029700,5.791010,0.066478,0.050050,7.469654,0.064036,32.488673
1403636864351666432.000000,0.000000,0.000000,16.838731,3.692041,0.060214,0.048962,7.075821,0.042176,30.232839
1403636864401666560.000000,0.000000,0.000000,15.655951,6.350193,0.066020,0.064041,7.726760,0.058176,34.337387
1403636864451666432.000000,0.000000,0.000000,15.612107,6.077505,0.062329,0.055548,7.506909,0.423671,33.490187
1403636864501666560.000000,0.000000,0.000000,16.275475,7.203280,0.104221,0.067444,8.437331,0.091201,33.193817
1403636864551666432.000000,0.000000,0.000000,16.285766,7.184817,0.112261,0.031114,6.335084,0.047304,36.248664
1403636864601666560.000000,0.000000,0.000000,16.780383,4.781466,0.087711,0.061427,10.662820,0.067039,31.401388
1403636864651666432.000000,0.000000,0.000000,13.937904,4.222204,0.092626,0.056631,9.781951,0.529217,27.456528
1403636864701666560.000000,0.000000,0.000000,18.101613,4.517405,0.088804,0.079108,11.125646,0.077063,32.172582
1403636864751666432.000000,0.000000,0.000000,14.387978,5.571325,0.089939,0.050222,8.849854,0.448276,29.711787
1403636864801666560.000000,0.000000,0.000000,15.860753,4.975188,0.078452,0.067958,11.300926,0.083818,30.750669
1403636864851666432.000000,0.000000,0.000000,16.221684,6.317534,0.096938,0.052867,9.632041,0.050869,33.474064
1403636864901666560.000000,0.000000,0.000000,16.383691,5.300508,0.092362,0.039752,6.748985,0.268501,32.767335
1403636864951666432.000000,0.000000,0.000000,16.168649,4.056986,0.095363,0.047042,7.109739,0.046523,31.629145
1403636865001666560.000000,0.000000,0.000000,16.047090,4.276801,0.091313,0.038626,6.029014,0.326172,29.092900
1403636865051666432.000000,0.000000,0.000000,13.635298,6.291079,0.063674,0.054413,6.773067,0.052791,33.802562
1403636865101666560.000000,0.000000,0.000000,16.331809,6.404294,0.112448,0.040913,5.876792,0.032893,36.109051
1403636865151666432.000000,0.000000,0.000000,16.318491,6.258400,0.082701,0.040276,6.575497,0.031694,37.155975
1403636865201666560.000000,0.000000,0.000000,15.734747,4.991159,0.100918,0.041339,6.502908,0.032369,33.272166
1403636865251666432.000000,0.000000,0.000000,17.917012,6.784635,0.081970,0.039268,6.448480,0.031599,39.914691
1403636865301666560.000000,0.000000,0.000000,17.850090,5.144245,0.132543,0.040566,6.459753,0.029780,35.751181
1403636865351666432.000000,0.000000,0.000000,17.367248,4.527916,0.092653,0.040620,6.700656,0.035071,31.702601
1403636865401666560.000000,0.000000,0.000000,17.335376,2.879022,0.050427,0.049847,8.925320,0.036523,30.361547
1403636865451666432.000000,0.000000,0.000000,19.678431,4.820367,0.095131,0.043016,6.898415,0.035034,34.197731
1403636865501666560.000000,0.000000,0.000000,17.584633,2.687748,0.061387,0.044291,6.940153,0.454730,30.244648
1403636865551666432.000000,0.000000,0.000000,15.207884,2.628789,0.099931,0.080143,10.086730,0.106021,26.976939
1403636865601666560.000000,0.000000,0.000000,17.386282,2.810642,0.091084,0.053512,6.124677,0.061143,29.847293
1403636865651666432.000000,0.000000,0.000000,17.044424,3.141484,0.081611,0.050757,9.195792,0.059392,29.603174
1403636865701666560.000000,0.000000,0.000000,15.469280,3.127300,0.089010,0.058809,10.701580,0.072457,28.568711
1403636865751666432.000000,0.000000,0.000000,16.113440,5.598471,0.096660,0.098307,9.239567,0.076773,31.248356
1403636865801666560.000000,0.000000,0.000000,16.294707,3.338721,0.092015,0.042418,6.435566,0.607770,29.238603
1403636865851666432.000000,0.000000,0.000000,15.789899,3.567259,0.129057,0.068496,7.742132,0.086410,31.657496
1403636865901666560.000000,0.000000,0.000000,14.356729,4.110317,0.090912,0.055412,7.433663,0.058219,29.007819
1403636865951666432.000000,0.000000,0.000000,13.918748,6.596199,0.090781,0.053017,9.168571,0.065155,30.831716
1403636866001666560.000000,0.000000,0.000000,17.148841,7.921446,0.112314,0.061113,10.486434,0.065934,38.127748
1403636866051666432.000000,0.000000,0.000000,17.598806,4.785672,0.092264,0.052191,10.192996,0.068497,31.593478
1403636866101666560.000000,0.000000,0.000000,17.664046,7.138442,0.093800,0.049600,7.882177,0.048823,37.091736
1403636866151666432.000000,0.000000,0.000000,16.007040,9.577595,0.110090,0.034534,7.343206,0.048112,39.632965
1403636866201666560.000000,0.000000,0.000000,17.440207,5.129784,0.161749,0.041216,7.347771,0.044664,36.049746
1403636866251666432.000000,0.000000,0.000000,16.322313,4.894422,0.085564,0.059911,7.927960,0.049485,31.570483
1403636866301666560.000000,0.000000,0.000000,17.623258,4.503188,0.084245,0.056264,9.777254,0.497944,33.261337
1403636866351666432.000000,0.000000,0.000000,16.601831,4.879772,0.090938,0.047964,10.440044,0.102582,32.337761
1403636866401666560.000000,0.000000,0.000000,16.949930,5.614833,0.103764,0.043791,10.259710,0.490853,35.124551
1403636866451666432.000000,0.000000,0.000000,16.694562,7.464610,0.111617,0.079322,13.709999,0.155914,37.671910
1403636866501666560.000000,0.000000,0.000000,15.726042,4.270819,0.084252,0.047641,6.446103,0.043679,33.657481
1403636866551666432.000000,0.000000,0.000000,18.397531,4.515937,0.079571,0.070627,6.979999,0.351724,33.605939
1403636866601666560.000000,0.000000,0.000000,16.469963,3.611755,0.081694,0.036629,6.984921,0.050706,30.041004
1403636866651666432.000000,0.000000,0.000000,15.890047,6.458528,0.113571,0.032906,6.058953,0.036341,33.170980
1403636866701666560.000000,0.000000,0.000000,17.388234,4.114307,0.094885,0.035091,6.474936,0.037764,33.194571
1403636866751666432.000000,0.000000,0.000000,16.914044,5.706006,0.104977,0.027556,7.974913,0.038315,36.265259
1403636866801666560.000000,0.000000,0.000000,16.959036,5.479769,0.111975,0.040501,6.716794,0.350235,36.997183
1403636866851666432.000000,0.000000,0.000000,17.142425,6.170076,0.131267,0.067775,8.101130,0.082146,37.336502
1403636866901666560.000000,0.000000,0.000000,17.056245,3.277898,0.124698,0.034027,6.801323,0.036605,38.195864
1403636866951666432.000000,0.000000,0.000000,16.072787,3.034365,0.095117,0.041394,6.645148,0.036467,28.645134
1403636867001666560.000000,0.000000,0.000000,17.288439,4.620306,0.091978,0.051654,10.783364,0.058737,32.240902
1403636867051666432.000000,0.000000,0.000000,17.764377,3.685703,0.092232,0.042699,6.448392,0.037873,31.748870
1403636867101666560.000000,0.000000,0.000000,18.722736,4.954142,0.116875,0.035128,6.330375,0.326208,32.594209
1403636867151666432.000000,0.000000,0.000000,18.363989,4.740491,0.084525,0.051613,7.258712,0.073812,32.403805
1403636867201666560.000000,0.000000,0.000000,18.210616,2.977441,0.085686,0.052189,5.302190,0.469179,32.668775
1403636867251666432.000000,0.000000,0.000000,17.923536,4.008357,0.093423,0.047043,5.772054,0.043996,31.794296
1403636867301666560.000000,0.000000,0.000000,17.896127,6.965244,0.136119,0.028078,5.719933,0.563673,36.752518
1403636867351666432.000000,0.000000,0.000000,18.464845,5.860104,0.122837,0.043710,5.386091,0.043824,34.959134
1403636867401666560.000000,0.000000,0.000000,18.800037,2.967507,0.104012,0.038727,7.650116,0.685853,31.468930
1403636867451666432.000000,0.000000,0.000000,17.862544,5.309117,0.122600,0.061456,10.739621,0.123430,37.748959
1403636867501666560.000000,0.000000,0.000000,19.937856,2.782801,0.108246,0.043831,7.677580,0.086655,32.176079
1403636867551666432.000000,0.000000,0.000000,16.619241,3.263063,0.077772,0.040842,10.371387,0.060137,29.340905
1403636867601666560.000000,0.000000,0.000000,15.089687,3.054834,0.080124,0.053675,10.356068,0.034283,28.635897
1403636867651666432.000000,0.000000,0.000000,15.426970,5.138061,0.115275,0.043002,5.644409,0.032288,29.645303
1403636867701666560.000000,0.000000,0.000000,15.380291,2.911833,0.074716,0.025910,5.508423,0.033162,27.475842
1403636867751666432.000000,0.000000,0.000000,16.650956,4.913531,0.110535,0.033985,5.547035,0.033064,30.959142
1403636867801666560.000000,0.000000,0.000000,15.896690,2.934255,0.076827,0.039044,9.084792,0.049235,27.773973
1403636867851666432.000000,0.000000,0.000000,15.567968,5.961000,0.121752,0.044979,10.501670,0.091803,32.953700
1403636867901666560.000000,0.000000,0.000000,16.615027,6.692709,0.144800,0.041493,10.408772,0.772879,37.476979
1403636867951666432.000000,0.000000,0.000000,15.581248,5.994016,0.123174,0.062111,10.154826,0.063091,32.794604
1403636868001666560.000000,0.000000,0.000000,16.077448,6.479288,0.127012,0.075338,10.308139,0.061548,36.814315
1403636868051666432.000000,0.000000,0.000000,15.613893,6.347124,0.125006,0.048166,11.593700,0.058742,35.373669
1403636868101666560.000000,0.000000,0.000000,16.618397,6.363174,0.124083,0.045613,11.236977,0.056127,31.465336
1403636868151666432.000000,0.000000,0.000000,16.904598,2.886169,0.069201,0.048742,6.121010,0.033794,28.473123
1403636868201666560.000000,0.000000,0.000000,17.455643,2.786504,0.082333,0.040560,6.130953,0.035531,28.928540
1403636868251666432.000000,0.000000,0.000000,16.738035,5.439984,0.116050,0.036457,6.170147,0.042302,34.378461
1403636868301666560.000000,0.000000,0.000000,18.673956,6.821944,0.134087,0.034298,7.069586,0.054841,39.851858
1403636868351666432.000000,0.000000,0.000000,18.443537,6.036717,0.121104,0.037042,9.140906,0.053325,38.939060
1403636868401666560.000000,0.000000,0.000000,18.522715,4.973411,0.106200,0.037093,10.152033,0.601724,37.055319
1403636868451666432.000000,0.000000,0.000000,18.153263,6.643204,0.095434,0.047916,11.452219,0.073064,38.513306
1403636868501666560.000000,0.000000,0.000000,16.157918,6.632040,0.144060,0.029672,5.091722,0.033834,37.712154
1403636868551666432.000000,0.000000,0.000000,17.307972,7.482086,0.129435,0.048170,5.795093,0.033388,39.664254
1403636868601666560.000000,0.000000,0.000000,17.388231,7.778328,0.075701,0.048209,10.354083,0.056850,34.793288
1403636868651666432.000000,0.000000,0.000000,15.838749,3.042888,0.092019,0.028721,5.705789,0.033803,28.428413
1403636868701666560.000000,0.000000,0.000000,17.743154,3.070713,0.100524,0.031784,9.121432,0.062486,30.118836
1403636868751666432.000000,0.000000,0.000000,16.809242,3.013636,0.079249,0.034681,5.818411,0.034254,30.531162
1403636868801666560.000000,0.000000,0.000000,17.270768,5.719958,0.113597,0.042644,9.070090,0.052508,35.128504
1403636868851666432.000000,0.000000,0.000000,17.578243,5.804640,0.110927,0.045991,10.460997,0.081448,37.263203
1403636868901666560.000000,0.000000,0.000000,16.775444,6.923388,0.079699,0.041885,9.347306,0.514875,38.468708
1403636868951666432.000000,0.000000,0.000000,17.281442,3.131654,0.080523,0.047503,9.588014,0.068430,28.625247
1403636869001666560.000000,0.000000,0.000000,16.820070,2.829917,0.084346,0.043599,5.742179,0.036622,28.749701
1403636869051666432.000000,0.000000,0.000000,17.887035,4.534931,0.142349,0.052583,10.516703,0.058811,35.883376
1403636869101666560.000000,0.000000,0.000000,17.427648,2.962917,0.082297,0.049307,8.575094,0.055297,28.902794
1403636869151666432.000000,0.000000,0.000000,16.549926,3.744364,0.089640,0.057303,11.105372,0.064173,32.760019
1403636869201666560.000000,0.000000,0.000000,18.609631,3.116269,0.089383,0.041528,6.388904,0.035763,30.744839
1403636869251666432.000000,0.000000,0.000000,17.798771,5.508449,0.120470,0.041383,6.656256,0.036821,35.648904
1403636869301666560.000000,0.000000,0.000000,17.309469,6.862211,0.166108,0.051732,11.211184,0.057602,38.458357
1403636869351666432.000000,0.000000,0.000000,17.355045,5.186851,0.115608,0.050827,10.725571,0.071817,35.919019
1403636869401666560.000000,0.000000,0.000000,17.054389,5.869265,0.119845,0.039501,7.029946,0.513634,35.763617
