#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
6.801577,0.029939,0.312553,0.008426,0.008426,7.158756
6.053286,0.054943,0.495690,0.002120,0.002120,6.608495
5.622653,0.059640,0.715212,0.095118,0.095118,10.417071
8.886277,0.070814,1.173535,0.148395,0.148395,22.802572
9.369044,0.068245,11.466087,0.201678,0.201678,36.169078
4.182538,0.080394,6.639553,0.206628,0.206628,19.848014
8.954231,0.146867,11.341439,0.529330,0.529330,42.611507
6.724730,0.179030,12.544947,0.647320,0.647320,52.678465
10.020721,0.318170,21.973869,0.596053,0.596053,68.201200
9.996878,0.149565,23.575243,82.309380,82.309380,154.123716
5.690086,0.058878,9.606380,0.451227,0.451227,42.395526
5.197199,0.069107,10.071078,0.608055,0.608055,47.497250
11.613744,0.100837,11.591039,0.532143,0.532143,62.896227
9.488589,0.115498,12.811166,0.933071,0.933071,64.974825
12.493848,0.193619,12.660552,0.868379,0.868379,71.542322
12.441816,0.214402,29.250802,1.063615,1.063615,87.281965
13.772349,0.142000,27.042540,2.766052,2.766052,97.616274
7.565906,0.060739,13.053149,0.886943,0.886943,74.272639
8.793471,0.108849,16.647734,2.159267,2.159267,88.428108
7.547827,0.071643,15.798060,1.540947,1.540947,90.483251
8.974828,0.072629,17.861646,2.310523,2.310523,98.754802
7.638576,0.077193,17.674837,2.102012,2.102012,104.472280
11.823519,0.051521,17.259658,2.232697,2.232697,107.127379
18.055223,0.228451,35.139109,2.047438,2.047438,128.148094
9.146527,0.048732,18.234348,2.422483,2.422483,104.436013
8.565502,0.067194,21.082710,2.530403,2.530403,109.169371
9.818884,0.099578,20.981088,2.576085,2.576085,119.499005
8.427454,0.116659,21.714321,2.535882,2.535882,110.131579
8.571873,0.121142,19.579912,2.207534,2.207534,106.183905
8.234174,0.085041,20.385915,2.019573,2.019573,119.880880
11.194626,0.104911,19.490523,2.189745,2.189745,228.377516
7.962723,0.095740,20.528800,2.581932,2.581932,108.297729
8.412996,0.127402,22.210927,2.757923,2.757923,132.685464
12.941191,0.247608,35.846369,3.249964,3.249964,145.272331
8.580961,0.137496,18.766328,2.593381,2.593381,109.844576
8.062047,0.081246,20.796471,2.459765,2.459765,115.753103
11.466870,0.140347,21.287818,2.809521,2.809521,130.408466
7.906128,0.089798,18.204932,2.605356,2.605356,125.233780
7.506258,0.085556,19.003705,2.694641,2.694641,104.794205
7.278179,0.080519,18.108637,1.497309,1.497309,118.723976
15.340059,0.145801,30.236242,2.509891,2.509891,153.436308
10.618987,0.080938,23.296313,2.850783,2.850783,117.018302
12.544507,0.094964,22.790687,2.206039,2.206039,131.465340
9.992413,0.104173,23.837706,4.553267,4.553267,147.089652
8.327566,0.095536,19.949389,2.479522,2.479522,115.710862
7.502881,0.113420,18.658838,1.891534,1.891534,114.921062
7.366402,0.081342,15.321063,3.253772,3.253772,121.988868
8.134992,0.096785,15.463377,3.395745,3.395745,112.600991
7.917388,0.055687,16.516123,2.049923,2.049923,82.375637
5.975207,0.045586,12.119663,2.656817,2.656817,70.837925
11.596972,0.074408,29.256912,3.671224,3.671224,129.932528
3.853146,0.011429,0.125377,0.002553,0.002553,3.993473
6.318173,0.042414,0.298189,0.001998,0.001998,6.661774
4.682027,0.051147,0.412299,0.136301,0.136301,8.785794
8.586821,0.058510,0.882483,0.289014,0.289014,23.638878
13.149130,0.016490,1.127396,0.380281,0.380281,28.299691
4.381504,0.007630,0.770842,0.359580,0.359580,12.216009
7.975807,0.017743,2.072540,0.557397,0.557397,20.725536
8.151307,0.015729,2.908081,0.701358,0.701358,23.143632
7.553893,0.018403,2.777394,0.782893,0.782893,23.527822
4.530930,0.010615,1.236056,21.530099,21.530099,33.081161
8.739643,0.016046,3.453651,0.495830,0.495830,24.220615
5.766423,0.002376,1.708683,0.904866,0.904866,34.078711
6.240826,0.002853,1.847366,0.645215,0.645215,23.654320
6.375507,0.009566,4.645752,0.349680,0.349680,38.402612
6.842568,0.006591,2.493297,0.679547,0.679547,28.871527
9.433030,0.005553,5.406498,1.034258,1.034258,56.306786
4.992405,0.012865,0.145254,0.001713,0.001713,5.153047
6.880828,0.081795,1.032717,0.004126,0.004126,8.002303
7.139399,0.175249,3.894276,0.420994,0.420994,22.831418
12.876551,0.183614,9.513496,0.460074,0.460074,49.585980
16.151379,0.191758,26.259461,0.560018,0.560018,72.316232
8.202271,0.175090,21.921752,0.789902,0.789902,74.689245
6.896110,0.205034,10.654931,0.640197,0.640197,38.102719
10.359112,0.264208,17.054267,0.680662,0.680662,60.434143
7.070613,0.225267,15.760126,1.291567,1.291567,62.867702
11.729089,0.276937,16.587330,114.213556,114.213556,177.546618
6.939884,0.119141,11.704328,0.713506,0.713506,54.694499
7.075536,0.157159,14.927853,1.001394,1.001394,66.520915
11.371980,0.295243,16.810052,1.302686,1.302686,77.048467
13.052972,0.227779,26.905414,1.504621,1.504621,125.049536
9.144035,0.145914,18.150461,1.518878,1.518878,88.205982
13.216657,0.156788,14.938132,1.619333,1.619333,93.660714
10.774812,0.149660,15.707081,1.987050,1.987050,93.969848
13.561270,0.297980,35.873723,1.803682,1.803682,141.945573
10.468019,0.210719,22.924490,1.707379,1.707379,115.548791
8.907736,0.183912,32.949961,2.444273,2.444273,137.492209
12.793914,0.262844,35.403899,2.383536,2.383536,149.910981
7.182880,0.117013,18.133685,2.817326,2.817326,355.963019
7.478164,0.198224,17.368574,2.646933,2.646933,116.813021
7.873172,0.188651,16.328702,2.907790,2.907790,112.637855
5.925162,0.125669,15.830101,2.659277,2.659277,122.238683
5.941797,0.152579,14.032256,1.931838,1.931838,125.091088
7.460307,0.186880,18.118919,3.082997,3.082997,124.707097
8.283724,0.182486,18.477569,3.554958,3.554958,135.479613
6.226098,0.172803,14.993589,2.858170,2.858170,124.749145
7.007729,0.183456,18.717437,3.707288,3.707288,132.083736
6.491711,0.169733,14.270200,3.003525,3.003525,142.466373
6.189172,0.167208,14.911779,6.099643,6.099643,150.521882
10.010236,0.224316,17.883491,2.081800,2.081800,123.031106
8.464879,0.170149,18.435379,4.802654,4.802654,142.708757
6.378947,0.156481,17.267063,3.590144,3.590144,145.208610
5.522494,0.149861,17.011522,3.295329,3.295329,129.636323
6.400700,0.170210,15.434433,3.816355,3.816355,131.391114
6.941775,0.163649,14.205046,3.126155,3.126155,127.894829
6.086591,0.136305,13.221261,2.665839,2.665839,125.900562
7.316379,0.169742,15.309042,2.050380,2.050380,130.090997
6.204634,0.151489,13.569334,2.415314,2.415314,134.096616
6.399799,0.161501,15.277813,3.065320,3.065320,156.582093
5.828402,0.146800,14.142405,2.877623,2.877623,148.120016
6.319526,0.126396,13.553688,2.390519,2.390519,165.814483
6.484742,0.145668,13.308028,3.254938,3.254938,144.087775
6.401096,0.153164,14.967503,3.469194,3.469194,185.506761
7.999179,0.177076,16.203723,2.339694,2.339694,182.209858
7.266914,0.138709,20.587127,4.438442,4.438442,189.283553
6.936145,0.110229,18.229662,3.436366,3.436366,138.594747
6.007805,0.093254,14.367814,4.157600,4.157600,163.522357
6.680782,0.121174,14.876180,1.953301,1.953301,127.809377
5.971672,0.117597,16.556038,2.847988,2.847988,134.175926
7.544092,0.141425,14.548167,3.528937,3.528937,199.100678
16.746795,0.246951,53.110931,6.633123,6.633123,388.880831
16.303794,0.223555,23.909335,4.582314,4.582314,285.379974
7.570745,0.156565,16.782475,4.646645,4.646645,141.960967
11.877568,0.266374,23.921330,3.889594,3.889594,165.720657
6.902126,0.119662,16.685060,4.214328,4.214328,144.470923
8.900404,0.181450,18.250022,3.096135,3.096135,132.897031
8.568557,0.158228,19.318479,4.109674,4.109674,134.075854
7.852849,0.169537,16.495670,4.034596,4.034596,141.965700
6.084964,0.170310,17.622905,3.009249,3.009249,131.698336
7.285627,0.187912,15.742775,2.692722,2.692722,133.272105
7.765787,0.177913,16.813168,3.603009,3.603009,136.145867
9.120280,0.254106,22.550831,5.738155,5.738155,146.039178
7.443279,0.141987,18.017422,3.618163,3.618163,152.202713
7.133598,0.146226,20.088549,3.975984,3.975984,131.752295
8.119171,0.204599,27.668170,6.044664,6.044664,147.540949
7.216291,0.120071,21.331599,3.541042,3.541042,140.588482
6.592173,0.165207,19.580164,4.119770,4.119770,132.170398
7.453450,0.169303,22.056497,4.419189,4.419189,137.765276
7.209027,0.164433,17.947391,3.736154,3.736154,133.336203
7.906681,0.147329,17.805129,3.535101,3.535101,132.188974
13.506075,0.255317,24.936739,4.215668,4.215668,154.643814
6.972857,0.135887,17.782866,3.155906,3.155906,137.969491
7.384409,0.137755,22.837355,2.954554,2.954554,137.006697
12.574574,0.188523,20.225967,3.027218,3.027218,146.230683
11.157141,0.194936,31.449558,4.582466,4.582466,155.253340
6.714852,0.170356,22.624808,4.184652,4.184652,592.956646
7.707778,0.291633,29.587628,4.839832,4.839832,157.486138
10.886263,0.339087,28.111355,5.686060,5.686060,149.547344
7.110869,0.159869,17.493518,3.782733,3.782733,131.829859
13.276072,0.404876,32.618367,7.128721,7.128721,167.564286
6.278649,0.181706,18.055531,4.173850,4.173850,133.493725
6.469420,0.176459,17.741022,5.894643,5.894643,139.098933
7.648673,0.179518,16.180845,6.095945,6.095945,137.660565
6.542815,0.191206,17.374912,6.754317,6.754317,143.817145
6.693545,0.207713,17.367075,4.541810,4.541810,142.926043
6.254205,0.191715,19.621329,6.225361,6.225361,138.874553
11.911397,0.614592,28.297630,6.854212,6.854212,150.563936
6.122221,0.181960,20.782140,7.695299,7.695299,140.580183
6.467608,0.240692,15.990158,6.056177,6.056177,134.899511
6.137619,0.270693,17.266073,6.744437,6.744437,138.978852
5.439709,0.221442,17.774008,6.069187,6.069187,139.409661
5.202637,0.220058,16.560594,4.879888,4.879888,135.505352
7.122714,0.258873,20.053058,7.135455,7.135455,146.824202
6.905408,0.271593,19.929584,5.470679,5.470679,141.888126
6.330611,0.250892,17.191213,8.363162,8.363162,150.517360
6.628686,0.215211,19.584510,6.778315,6.778315,144.471241
6.606447,0.203940,16.173955,8.607651,8.607651,141.802697
6.223263,0.224225,20.154232,8.888872,8.888872,149.108763
6.229835,0.222776,17.740454,8.403401,8.403401,145.333055
5.700901,0.180843,17.585933,7.757385,7.757385,150.043394
5.739164,0.196035,16.584500,6.451237,6.451237,143.987147
5.296881,0.178180,18.305931,7.119792,7.119792,147.624773
11.011839,0.317040,32.729889,10.115139,10.115139,285.624023
15.510735,0.335086,54.507128,8.547431,8.547431,266.376219
15.400479,0.352070,54.266686,5.856622,5.856622,326.564896
5.871341,0.238736,14.691043,4.777745,4.777745,128.753619
5.227916,0.184966,15.138203,5.913633,5.913633,134.772831
6.300586,0.221975,15.186162,10.384525,10.384525,143.585256
6.012304,0.205536,15.925848,7.119704,7.119704,137.299699
5.884774,0.231088,15.962311,5.148124,5.148124,135.455927
6.120681,0.159727,17.392192,7.413892,7.413892,141.945154
6.024419,0.192717,16.864031,5.018962,5.018962,133.478823
6.243414,0.204962,16.137570,7.185977,7.185977,152.941741
5.563626,0.184411,16.442635,8.762790,8.762790,153.821613
6.044598,0.176005,17.068056,6.974801,6.974801,147.118831
5.498924,0.166344,15.825120,7.698328,7.698328,141.157595
5.285315,0.189666,15.369110,4.897906,4.897906,134.236639
5.922693,0.171654,14.797445,5.690000,5.690000,135.960204
6.290795,0.189636,16.333513,4.885595,4.885595,162.805499
6.272829,0.201333,16.431023,5.981962,5.981962,150.881302
7.972110,0.200085,17.048145,5.045319,5.045319,156.161482
8.260589,0.263984,21.040962,5.505921,5.505921,156.224612
9.721234,0.309563,16.714309,6.538260,6.538260,149.864058
8.226353,0.242196,18.195513,5.876858,5.876858,157.034080
6.435429,0.257782,23.812058,4.916087,4.916087,159.478644
10.724708,0.416974,24.235213,6.782098,6.782098,151.874456
6.320802,0.182883,16.567579,5.029324,5.029324,135.554870
5.386849,0.194916,18.507906,5.723002,5.723002,139.993410
5.736671,0.221324,15.052058,4.895331,4.895331,138.462994
6.342108,0.222709,15.259938,5.795447,5.795447,139.964443
11.216287,0.446118,27.269596,5.182688,5.182688,160.218108
5.857336,0.189045,14.741396,4.722753,4.722753,142.947712
8.462352,0.290619,28.428340,5.037980,5.037980,166.450810
7.471483,0.274315,20.280283,6.546605,6.546605,148.474696
8.655584,0.293425,23.511300,4.890010,4.890010,150.946976
5.240176,0.169309,14.879845,7.006754,7.006754,141.604007
5.411513,0.144328,15.246418,5.890587,5.890587,143.715851
5.571157,0.148291,14.749150,5.176007,5.176007,135.457643
5.185745,0.173315,14.999201,4.901513,4.901513,133.539711
5.848713,0.229799,16.584951,2.567686,2.567686,129.774138
4.747473,0.155171,16.164270,5.068038,5.068038,123.513900
6.237587,0.216602,20.853207,4.018121,4.018121,131.138239
5.066230,0.176915,17.423472,4.274211,4.274211,124.998758
6.591674,0.249963,18.627985,3.982380,3.982380,129.673181
6.269453,0.249150,17.766104,3.949388,3.949388,129.001645
5.561334,0.221481,19.409569,5.006057,5.006057,126.520145
5.670025,0.256165,16.352553,3.342592,3.342592,129.977750
6.797979,0.246718,18.694324,4.496189,4.496189,141.703286
10.346636,0.511658,34.708052,3.560674,3.560674,163.176576
5.627785,0.271963,18.538781,3.902871,3.902871,135.034691
8.831247,0.294261,24.885695,5.252677,5.252677,144.931158
8.932742,0.274047,27.797485,8.566528,8.566528,156.460475
10.832722,0.494986,42.823274,3.076312,3.076312,161.872711
11.521486,0.354025,43.878516,10.705335,10.705335,252.525430
