#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.007202,3,1,0,207
0.002357,4,1,0,259
0.042408,5,1,0,320
0.175567,6,1,0,518
0.211996,7,1,0,984
0.152335,8,1,0,1477
0.197739,9,1,0,1994
0.937825,10,1,0,2642
0.694097,0,0,0,0
45.968099,0,0,0,0
1.018349,0,0,0,0
1.153475,0,0,0,0
1.555701,0,0,0,0
1.406040,0,0,0,0
1.685234,0,0,0,0
2.397092,0,0,0,0
3.511013,0,0,0,0
2.992670,0,0,0,0
3.598218,0,0,0,0
3.512886,0,0,0,0
4.268909,0,0,0,0
6.346751,0,0,0,0
4.753452,0,0,0,0
4.085552,0,0,0,0
3.558104,0,0,0,0
4.751062,0,0,0,0
4.547316,3,1,0,1683
3.996839,4,1,0,2080
0.002924,5,1,0,2570
0.002776,6,1,0,3035
0.329928,7,1,0,3551
0.437112,8,1,0,3855
0.986134,5,4,0,3927
1.102122,5,5,0,4082
1.099323,3,1,0,2111
0.901881,4,1,0,2452
1.364116,5,1,0,2872
90.189220,6,1,0,3199
0.001878,7,1,0,3496
0.001852,8,1,0,3731
0.391299,9,1,0,4224
0.975236,10,1,0,4710
0.930675,0,0,0,0
1.372951,0,0,0,0
2.178119,0,0,0,0
0.892682,0,0,0,0
1.164483,0,0,0,0
101.087871,0,0,0,0
1.303327,0,0,0,0
1.767486,0,0,0,0
2.785759,0,0,0,0
2.168954,0,0,0,0
2.362503,0,0,0,0
2.689806,0,0,0,0
3.511437,0,0,0,0
2.341841,0,0,0,0
3.244778,0,0,0,0
3.525349,0,0,0,0
3.531599,0,0,0,0
5.259299,0,0,0,0
2.876222,0,0,0,0
3.122886,0,0,0,0
3.005979,0,0,0,0
2.885418,0,0,0,0
1.807534,0,0,0,0
2.206439,0,0,0,0
5.410920,0,0,0,0
4.481513,0,0,0,0
4.091305,0,0,0,0
4.269230,0,0,0,0
3.248451,0,0,0,0
3.794475,0,0,0,0
3.567059,0,0,0,0
4.298907,0,0,0,0
3.368102,0,0,0,0
4.744717,0,0,0,0
3.886865,0,0,0,0
3.692581,0,0,0,0
5.402551,0,0,0,0
4.831097,0,0,0,0
7.235415,0,0,0,0
32.744103,0,0,0,0
10.726936,0,0,0,0
6.382319,0,0,0,0
5.530503,0,0,0,0
6.451545,0,0,0,0
5.734366,0,0,0,0
4.283504,0,0,0,0
3.566036,0,0,0,0
3.349150,0,0,0,0
2.544829,0,0,0,0
2.057423,0,0,0,0
2.215297,0,0,0,0
3.525129,0,0,0,0
2.931753,0,0,0,0
2.537846,0,0,0,0
3.450433,0,0,0,0
3.739988,0,0,0,0
7.020745,0,0,0,0
3.933780,0,0,0,0
6.458068,0,0,0,0
5.876077,0,0,0,0
9.696589,0,0,0,0
7.290886,0,0,0,0
5.135308,0,0,0,0
4.967201,0,0,0,0
4.585429,0,0,0,0
5.466388,0,0,0,0
2.266464,0,0,0,0
1.190100,0,0,0,0
1.055510,0,0,0,0
1.860428,0,0,0,0
2.426800,0,0,0,0
2.701912,0,0,0,0
3.403139,0,0,0,0
4.113214,0,0,0,0
4.363253,0,0,0,0
4.626168,0,0,0,0
4.902456,0,0,0,0
5.953608,0,0,0,0
5.718576,0,0,0,0
5.391714,0,0,0,0
5.848289,0,0,0,0
7.169528,0,0,0,0
7.554131,0,0,0,0
6.349544,0,0,0,0
5.169815,0,0,0,0
5.781735,0,0,0,0
7.139294,0,0,0,0
5.538279,0,0,0,0
12.668727,0,0,0,0
8.348741,0,0,0,0
7.839525,0,0,0,0
10.083672,0,0,0,0
16.414305,0,0,0,0
12.168955,0,0,0,0
11.236928,0,0,0,0
10.241475,0,0,0,0
8.843976,0,0,0,0
8.142703,0,0,0,0
9.708310,0,0,0,0
6.451211,0,0,0,0
5.574705,0,0,0,0
7.118202,0,0,0,0
10.099339,0,0,0,0
9.082273,0,0,0,0
8.164530,0,0,0,0
9.141576,0,0,0,0
6.538133,0,0,0,0
8.058508,0,0,0,0
7.762164,0,0,0,0
8.921981,0,0,0,0
4.333115,0,0,0,0
7.291233,0,0,0,0
5.212441,0,0,0,0
5.800541,0,0,0,0
5.994804,0,0,0,0
3.545213,0,0,0,0
4.110360,0,0,0,0
4.864430,0,0,0,0
8.599931,0,0,0,0
3.875652,0,0,0,0
9.117476,0,0,0,0
14.908801,0,0,0,0
10.648305,0,0,0,0
11.228939,0,0,0,0
11.531119,0,0,0,0
10.617690,0,0,0,0
12.251413,0,0,0,0
10.171327,0,0,0,0
12.884658,0,0,0,0
11.339683,0,0,0,0
9.404072,0,0,0,0
6.706223,0,0,0,0
5.964078,0,0,0,0
5.036642,0,0,0,0
6.407101,0,0,0,0
10.078558,0,0,0,0
6.282434,0,0,0,0
9.441854,0,0,0,0
8.394919,0,0,0,0
6.908060,0,0,0,0
11.240980,0,0,0,0
9.779536,0,0,0,0
7.950137,0,0,0,0
8.114332,0,0,0,0
11.084801,0,0,0,0
10.223352,0,0,0,0
10.078107,0,0,0,0
9.378426,0,0,0,0
7.558401,0,0,0,0
8.748245,0,0,0,0
6.805683,0,0,0,0
8.987046,0,0,0,0
8.695004,0,0,0,0
7.171752,0,0,0,0
8.638649,0,0,0,0
27.033036,0,0,0,0
8.276361,0,0,0,0
8.381168,0,0,0,0
7.899494,0,0,0,0
8.283874,0,0,0,0
8.979240,0,0,0,0
9.166481,0,0,0,0
7.841085,0,0,0,0
10.736527,0,0,0,0
10.104427,0,0,0,0
7.753283,0,0,0,0
10.468961,0,0,0,0
11.800631,0,0,0,0
11.783962,0,0,0,0
7.222391,0,0,0,0
10.461764,0,0,0,0
12.212132,0,0,0,0
10.512355,0,0,0,0
11.039994,0,0,0,0
11.063110,0,0,0,0
12.445522,0,0,0,0
9.231619,0,0,0,0
12.239594,0,0,0,0
12.028006,0,0,0,0
9.105697,0,0,0,0
11.201288,0,0,0,0
13.352725,0,0,0,0
14.825903,0,0,0,0
16.614898,0,0,0,0
11.551239,0,0,0,0
13.612077,0,0,0,0
11.710536,0,0,0,0
10.295976,0,0,0,0
11.423493,0,0,0,0
9.990807,0,0,0,0
9.787925,0,0,0,0
11.930495,0,0,0,0
15.804055,0,0,0,0
12.380631,0,0,0,0
17.472717,0,0,0,0
11.712588,0,0,0,0
11.368205,0,0,0,0
11.124834,0,0,0,0
14.987090,0,0,0,0
13.168379,0,0,0,0
19.936534,0,0,0,0
17.891870,0,0,0,0
14.912192,0,0,0,0
14.473520,0,0,0,0
13.757373,0,0,0,0
10.413524,0,0,0,0
12.970626,0,0,0,0
14.451565,0,0,0,0
15.365305,0,0,0,0
18.915570,0,0,0,0
24.126676,0,0,0,0
16.965406,0,0,0,0
16.745424,0,0,0,0
16.957848,0,0,0,0
11.448010,0,0,0,0
11.823733,0,0,0,0
12.569860,0,0,0,0
12.334878,0,0,0,0
11.943429,0,0,0,0
12.095649,0,0,0,0
15.191902,0,0,0,0
12.533554,0,0,0,0
17.721459,0,0,0,0
18.317390,0,0,0,0
15.674930,0,0,0,0
12.093183,0,0,0,0
14.630874,0,0,0,0
14.821274,0,0,0,0
14.148822,0,0,0,0
11.468874,0,0,0,0
14.109823,0,0,0,0
9.344566,0,0,0,0
14.079496,0,0,0,0
8.102726,0,0,0,0
9.752200,0,0,0,0
15.351388,0,0,0,0
12.685831,0,0,0,0
13.317814,0,0,0,0
10.277526,0,0,0,0
13.858990,0,0,0,0
8.024083,0,0,0,0
7.598202,0,0,0,0
14.717941,0,0,0,0
10.117414,0,0,0,0
14.894709,0,0,0,0
17.444733,0,0,0,0
12.334413,0,0,0,0
9.334598,0,0,0,0
12.680718,0,0,0,0
8.912485,0,0,0,0
11.604997,0,0,0,0
9.424527,0,0,0,0
8.538200,0,0,0,0
11.377473,0,0,0,0
8.314092,0,0,0,0
8.956672,0,0,0,0
11.682369,0,0,0,0
10.757953,0,0,0,0
14.963977,0,0,0,0
14.529924,0,0,0,0
15.782167,0,0,0,0
15.791033,0,0,0,0
14.886620,0,0,0,0
15.083184,0,0,0,0
18.835302,0,0,0,0
16.686264,0,0,0,0
17.833374,0,0,0,0
17.359384,0,0,0,0
38.933153,0,0,0,0
17.605290,0,0,0,0
13.617190,0,0,0,0
15.932958,0,0,0,0
16.868609,0,0,0,0
15.465176,0,0,0,0
15.889507,0,0,0,0
13.691220,0,0,0,0
17.623264,0,0,0,0
13.216381,0,0,0,0
15.721203,0,0,0,0
14.776227,0,0,0,0
12.653677,0,0,0,0
15.647186,0,0,0,0
15.391311,0,0,0,0
13.321288,0,0,0,0
14.586324,0,0,0,0
12.296779,0,0,0,0
11.656566,0,0,0,0
11.566181,0,0,0,0
12.234445,268435600,552789623,330150224,-37383395
10.547042,32412,-1054198673,32412,1080353479
10.819352,1344,-27923090,0,1144316727
11.151178,0,1091818255,0,1080474517
15.148307,132,221366208,0,-288896680
11.758395,0,-1052710975,0,1080414722
