#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
6.595418,0.051916,0.431488,0.008510,0.008510,7.093991
4.778283,0.055098,1.169757,0.001377,0.001377,6.005744
7.724995,0.271398,4.858156,0.247953,0.247953,27.455085
9.212422,0.364573,7.415975,0.607600,0.607600,33.836737
9.233336,0.375209,13.006412,1.180715,1.180715,53.962629
12.936261,0.357096,15.940185,1.090550,1.090550,62.153320
8.557934,0.211752,11.931410,0.940373,0.940373,53.486916
9.167699,0.178120,21.290627,0.789104,0.789104,60.900482
12.485486,4.268213,36.983991,4.895895,4.895895,150.419967
5.200427,0.234889,18.269368,49.841699,49.841699,103.633003
5.439595,0.180460,10.972495,1.442798,1.442798,49.299232
8.699763,0.255308,25.506744,1.763183,1.763183,81.103495
7.765812,0.195583,12.672043,1.817579,1.817579,61.443316
5.735958,0.140169,13.677078,1.992713,1.992713,64.197049
6.326238,0.148082,14.686905,2.070552,2.070552,69.282719
6.023770,0.154368,14.941838,2.213275,2.213275,71.109747
8.577886,0.137236,29.591824,2.893631,2.893631,98.926638
5.985756,0.176774,20.018965,2.897795,2.897795,95.062921
5.776498,0.098279,19.963726,3.379953,3.379953,100.076826
6.632859,0.182173,20.136300,3.252460,3.252460,99.618079
6.488009,0.123591,26.279718,4.159431,4.159431,124.581575
7.152958,0.158845,22.358627,4.398197,4.398197,119.687476
7.786662,0.191167,26.115283,4.824887,4.824887,122.819176
8.059012,0.191601,25.631996,4.261631,4.261631,115.566003
7.289990,0.153907,20.437971,4.630200,4.630200,109.067809
6.013141,0.149825,24.217684,4.391497,4.391497,110.974668
5.963698,0.160723,24.817456,5.334782,5.334782,126.375738
9.111923,0.207066,23.824107,4.648822,4.648822,119.559367
7.286404,0.199728,21.209383,4.428429,4.428429,106.017362
4.313593,0.156299,15.976587,4.591277,4.591277,239.332397
5.716897,0.248921,20.944182,4.541057,4.541057,105.396637
5.889413,0.178700,18.570882,4.718579,4.718579,99.732951
7.975180,0.644401,21.080951,3.818936,3.818936,124.154509
8.744865,0.823100,22.424371,0.944217,0.944217,115.612403
8.498725,0.726169,21.997716,1.765816,1.765816,116.116834
9.600625,0.687932,21.136379,1.256341,1.256341,121.022628
7.648191,0.472270,23.986249,0.963775,0.963775,117.325316
5.214827,0.209459,11.195679,1.430074,1.430074,101.538718
4.995143,0.239047,11.548914,1.963933,1.963933,118.208766
4.741000,0.253014,13.753145,2.026354,2.026354,106.033355
4.279141,0.210286,11.149577,1.385326,1.385326,104.607910
4.506662,0.209725,12.117216,2.008488,2.008488,102.478614
4.294791,0.256311,11.242891,2.135684,2.135684,110.053317
4.617308,0.230613,11.809268,2.315367,2.315367,104.170455
3.927181,0.132325,10.114638,2.827933,2.827933,94.651527
3.854732,0.117576,9.818611,4.259564,4.259564,93.591404
3.175702,0.097960,9.083177,3.880749,3.880749,95.788148
4.552279,0.128312,12.710804,1.988417,1.988417,102.842909
5.643384,0.320187,13.258218,1.776929,1.776929,112.184095
3.788474,0.172957,9.567110,2.678397,2.678397,89.155139
3.298241,0.207814,9.749522,3.093670,3.093670,91.186105
3.436341,0.137606,8.093689,2.277941,2.277941,92.272701
3.217593,0.129746,8.430806,2.037811,2.037811,82.663791
3.333709,0.145637,10.221586,2.965771,2.965771,97.724479
2.680706,0.122684,7.948015,2.958069,2.958069,87.488456
2.577340,0.103672,7.582701,2.217462,2.217462,89.206087
2.312888,0.067721,7.020502,2.493042,2.493042,44.266666
7.513360,0.143003,22.891319,6.859724,6.859724,115.217737
5.936362,0.146789,22.948214,4.941534,4.941534,99.068363
11.067111,0.341113,29.103446,4.023135,4.023135,123.291482
7.655488,0.210452,23.202702,4.757035,4.757035,102.155668
7.637510,0.226934,25.587399,2.509035,2.509035,102.217180
5.927910,0.182004,17.031785,3.172568,3.172568,93.511751
5.145954,0.178410,18.187273,3.802555,3.802555,95.735931
5.233298,0.188200,17.368681,3.250623,3.250623,92.531497
6.132921,0.184946,17.261120,2.649466,2.649466,94.683384
8.905262,0.375394,28.545459,4.720799,4.720799,123.347680
5.769813,0.321040,16.729465,2.286605,2.286605,94.332412
4.457952,0.226488,12.601879,3.271237,3.271237,89.785039
3.329762,0.180227,7.388918,1.441455,1.441455,75.717682
3.156059,0.195219,6.341494,2.151526,2.151526,74.226835
3.517757,0.147988,6.595704,1.533759,1.533759,73.642447
8.589174,0.381483,29.801993,8.225393,8.225393,215.861544
14.137191,0.384535,31.746060,2.859754,2.859754,274.773947
10.038314,4.588376,31.511383,2.978066,2.978066,268.899056
4.986625,0.370961,8.599046,2.334163,2.334163,96.735722
5.249260,0.228180,9.130101,2.530923,2.530923,95.725516
4.242945,0.232295,8.426155,2.846790,2.846790,87.192927
7.372493,0.195068,8.715859,1.566673,1.566673,90.949177
4.844444,0.220887,10.453102,3.966211,3.966211,93.605001
5.814402,0.407465,20.069683,1.698180,1.698180,131.385245
