#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1413393212255760384.000000,0.000000,0.000000,13.902035,7.116868,0.002871,8.088468,6.225746,0.001388,23.664377
1413393212305760512.000000,0.000000,0.000000,13.723361,7.101633,0.053648,6.350758,5.105967,0.000718,23.369479
1413393212355760384.000000,0.000000,0.000000,12.657136,8.585681,0.048789,5.425887,5.225834,0.001332,23.845746
1413393212405760512.000000,0.000000,0.000000,12.987061,7.484724,0.051544,6.081571,6.123744,0.000776,22.990406
1413393212455760384.000000,0.000000,0.000000,13.234497,12.074355,0.066783,6.214249,5.337756,0.505013,28.167774
1413393212505760512.000000,0.000000,0.000000,13.042189,13.743606,0.070392,8.878596,6.320378,0.000813,29.674945
1413393212555760384.000000,0.000000,0.000000,13.730476,14.481429,0.071719,6.623507,6.393847,0.000586,31.025222
1413393212605760512.000000,0.000000,0.000000,14.694862,15.807824,0.081099,5.590703,6.410012,0.000545,33.525287
1413393212655760384.000000,0.000000,0.000000,11.896819,9.246700,0.054089,7.170154,5.805449,0.000602,24.133269
1413393212705760512.000000,0.000000,0.000000,13.081531,14.175237,0.077707,5.874846,6.561081,0.000872,29.902905
1413393212755760384.000000,0.000000,0.000000,12.050489,7.400073,0.049076,5.684874,6.444694,0.538058,22.237867
1413393212805760512.000000,0.000000,0.000000,13.860690,7.892617,0.048833,6.804794,4.844235,0.000431,25.002079
1413393212855760384.000000,0.000000,0.000000,13.760120,6.265145,0.050270,7.025285,6.029159,0.000403,22.972326
1413393212905760512.000000,0.000000,0.000000,12.596066,11.432121,0.042664,6.231748,7.070632,0.000667,26.574084
1413393212955760384.000000,0.000000,0.000000,13.208070,13.353431,0.070561,6.080599,5.823741,0.000535,29.325713
1413393213005760512.000000,0.000000,0.000000,13.563006,12.551093,0.088536,6.239089,6.538940,0.000599,29.289960
1413393213055760384.000000,0.000000,0.000000,13.413953,8.691691,0.050491,5.890866,5.899858,0.469916,25.184566
1413393213105760512.000000,0.000000,0.000000,11.726698,12.086831,0.073628,6.912217,6.507869,0.000441,26.745099
1413393213155760384.000000,0.000000,0.000000,14.355556,7.113047,0.048500,5.818226,6.443680,0.000616,24.158546
1413393213205760512.000000,0.000000,0.000000,12.681506,6.809634,0.051132,6.745885,5.959189,0.001079,21.202303
1413393213255760384.000000,0.000000,0.000000,12.205942,6.275896,0.050591,6.274985,6.290400,0.000657,20.854830
1413393213305760512.000000,0.000000,0.000000,12.793933,6.164892,0.050385,6.093000,6.919056,0.000712,21.614446
