#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403638127295097088.000000,0.000000,0.000000,28.938792,3.330349,0.004928,11.353818,2.859526,0.002688,37.813281
1403638127345096960.000000,0.000000,0.000000,20.522774,3.969430,0.090305,2.282623,3.146634,0.001184,28.622020
1403638127395097088.000000,0.000000,0.000000,18.506139,4.473373,0.075201,2.264670,2.696677,0.001216,26.864300
1403638127445096960.000000,0.000000,0.000000,22.197133,5.541675,0.105121,2.477730,2.804326,0.001184,32.007026
1403638127495097088.000000,0.000000,0.000000,19.349863,6.550073,0.124482,2.531650,2.673221,0.439974,30.228154
1403638127545096960.000000,0.000000,0.000000,18.424826,6.517496,0.123778,2.739461,2.685573,0.001088,29.249933
1403638127595097088.000000,0.000000,0.000000,19.097731,6.386103,0.122498,2.712581,2.806630,0.001120,29.602961
1403638127645096960.000000,0.000000,0.000000,20.700761,6.602522,0.125442,2.455618,3.051465,0.001216,31.770191
1403638127695097088.000000,0.000000,0.000000,21.112894,6.504696,0.127010,2.481890,3.325677,0.000928,31.735982
1403638127745096960.000000,0.000000,0.000000,20.079313,4.356731,0.134242,2.249823,2.604515,0.502919,29.056619
1403638127795097088.000000,0.000000,0.000000,20.613528,6.116915,0.143362,3.494928,3.113002,0.001184,31.418218
1403638127845096960.000000,0.000000,0.000000,17.690256,6.472120,0.126178,2.968072,3.477487,0.001152,28.837959
1403638127895097088.000000,0.000000,0.000000,24.163175,2.876935,0.072801,2.793062,3.818323,0.000928,30.877411
1403638127945096960.000000,0.000000,0.000000,19.414759,6.306453,0.122786,2.768870,3.628817,0.001121,29.971831
1403638127995097088.000000,0.000000,0.000000,19.548809,6.654075,0.121505,2.893319,3.642225,0.564647,30.543230
1403638128045096960.000000,0.000000,0.000000,21.070558,6.683099,0.118721,4.366011,3.615761,0.001600,32.181332
1403638128095097088.000000,0.000000,0.000000,19.543306,6.530008,0.118338,3.275468,3.922070,0.001184,30.426877
1403638128145096960.000000,0.000000,0.000000,21.259489,6.835580,0.124289,3.239308,4.532893,0.001408,32.292278
1403638128195097088.000000,0.000000,0.000000,19.450951,6.373014,0.123202,3.358829,3.890805,0.001504,29.941974
1403638128245096960.000000,0.000000,0.000000,20.181810,4.458524,0.122946,2.748293,3.994838,0.577512,29.131915
1403638128295097088.000000,0.000000,0.000000,18.540315,6.464440,0.118337,4.664223,3.976982,0.001248,29.087242
1403638128345096960.000000,0.000000,0.000000,21.057853,6.616474,0.124674,4.009974,4.159545,0.001184,32.072723
1403638128395097088.000000,0.000000,0.000000,21.597669,6.434839,0.123842,3.602705,4.579710,0.001408,32.394167
1403638128445096960.000000,0.000000,0.000000,18.670429,6.749371,0.124834,2.908616,4.670143,0.001216,29.920757
1403638128495097088.000000,0.000000,0.000000,21.171455,6.343222,0.125697,2.887399,3.861685,0.841963,31.668045
1403638128545096960.000000,0.000000,0.000000,18.147415,6.230484,0.127298,6.193556,7.033215,0.001408,28.546404
1403638128595097088.000000,0.000000,0.000000,19.467560,6.351958,0.125377,5.698573,6.273429,0.000768,30.020344
1403638128645096960.000000,0.000000,0.000000,18.552668,6.681627,0.126626,5.242951,7.146913,0.001728,29.517232
1403638128695097088.000000,0.000000,0.000000,19.421416,6.284853,0.126722,4.557502,5.561931,0.775787,29.855797
1403638128745096960.000000,0.000000,0.000000,19.804940,6.430520,0.122977,6.873629,7.814890,0.001568,30.610432
1403638128795097088.000000,0.000000,0.000000,19.189284,6.620665,0.130273,5.896048,7.326692,0.001088,30.302907
1403638128845096960.000000,0.000000,0.000000,19.343463,6.341782,0.130466,6.681818,7.577159,0.000960,30.090296
1403638128895097088.000000,0.000000,0.000000,19.298054,6.518008,0.130465,7.688361,8.864280,0.758891,31.379913
1403638128945096960.000000,0.000000,0.000000,20.851675,6.365974,0.136930,7.574567,11.537692,0.001408,46.442166
1403638128995097088.000000,0.000000,0.000000,19.082755,6.422711,0.198755,7.026464,8.972345,0.001344,35.550306
1403638129045096960.000000,0.000000,0.000000,19.437352,6.629370,0.125602,6.255509,8.192303,0.001184,35.353791
1403638129095097088.000000,0.000000,0.000000,21.543076,6.475896,0.139906,4.730560,6.191764,0.000608,37.656319
1403638129145096960.000000,0.000000,0.000000,18.936833,6.516728,0.129314,5.415562,8.317873,0.586728,35.395488
1403638129195097088.000000,0.000000,0.000000,22.964279,7.491973,0.137634,5.527851,9.325118,0.001504,40.347907
1403638129245096960.000000,0.000000,0.000000,20.024752,8.173935,0.133442,4.613887,9.656291,0.000992,38.113893
1403638129295097088.000000,0.000000,0.000000,19.365863,9.296990,0.129569,6.831452,11.728543,0.543943,38.588076
1403638129345096960.000000,0.000000,0.000000,19.081411,11.507036,0.099809,7.719753,10.550959,0.001760,40.601446
1403638129395097088.000000,0.000000,0.000000,24.724304,11.653662,0.090945,0.084225,14.135232,0.112258,45.785549
1403638129445096960.000000,0.000000,0.000000,17.087751,7.349988,0.138146,0.146178,12.779949,0.580808,35.499969
1403638129495097088.000000,0.000000,0.000000,18.350777,11.819617,0.126914,0.188034,16.980262,0.131010,41.036205
1403638129545096960.000000,0.000000,0.000000,21.055102,11.385179,0.098114,0.147426,15.511539,0.616969,43.571471
1403638129595097088.000000,0.000000,0.000000,19.512905,10.793586,0.100193,0.211843,15.591860,0.211587,41.338257
1403638129645096960.000000,0.000000,0.000000,19.196069,7.130433,0.099074,0.153954,15.934904,0.125538,37.751424
1403638129695097088.000000,0.000000,0.000000,19.400103,10.403853,0.140898,0.155394,17.743473,0.677449,42.135323
1403638129745096960.000000,0.000000,0.000000,21.910409,10.732242,0.136578,0.185923,16.133179,0.224611,44.491131
1403638129795097088.000000,0.000000,0.000000,19.249285,10.272204,0.100802,0.147650,15.317743,0.745962,41.915704
1403638129845096960.000000,0.000000,0.000000,18.780767,7.308387,0.142498,0.210627,17.620879,0.159490,37.735008
1403638129895097088.000000,0.000000,0.000000,19.509129,10.987605,0.136002,0.131234,15.658804,0.145441,42.375551
1403638129945096960.000000,0.000000,0.000000,21.084478,11.383834,0.139394,0.121633,16.681090,0.518919,46.035568
1403638129995097088.000000,0.000000,0.000000,20.294995,12.431753,0.136034,0.132321,19.515497,0.186595,45.149925
1403638130045096960.000000,0.000000,0.000000,17.997332,12.499882,0.137090,0.146658,21.770056,0.695146,42.967751
1403638130095097088.000000,0.000000,0.000000,19.208452,13.077585,0.138658,0.198626,18.108438,0.238179,44.096374
1403638130145096960.000000,0.000000,0.000000,21.060190,8.000045,0.167874,0.139298,17.367500,0.155042,41.357265
1403638130195097088.000000,0.000000,0.000000,20.163793,12.459593,0.091745,0.153698,15.505586,0.550855,50.363979
1403638130295097088.000000,0.000000,0.000000,18.633948,12.439560,0.124642,0.185763,22.077611,0.233635,0.000000
1403638130345096960.000000,0.000000,0.000000,19.000194,13.885596,0.155138,0.176930,20.053008,0.648936,0.095457
1403638130395097088.000000,0.000000,0.000000,20.671224,13.677530,0.141122,0.199971,18.028565,0.213059,47.410532
1403638130445096960.000000,0.000000,0.000000,23.983206,12.120996,0.085890,0.142498,14.885002,0.115138,49.578977
1403638130495097088.000000,0.000000,0.000000,19.073187,10.669745,0.112289,0.151138,14.303938,0.544263,49.536640
1403638130545096960.000000,0.000000,0.000000,20.056048,11.123927,0.075041,0.203715,17.165865,0.275524,55.080075
1403638130645096960.000000,0.000000,0.000000,20.060240,13.206131,0.141666,0.170563,18.480250,0.128802,47.050686
1403638130695097088.000000,0.000000,0.000000,19.958255,9.530529,0.118370,0.138690,18.376697,0.606728,49.526271
1403638130745096960.000000,0.000000,0.000000,21.138239,8.741143,0.119969,0.183010,18.059573,0.201571,0.000000
1403638130795097088.000000,0.000000,0.000000,21.641221,10.247947,0.116449,0.127778,14.554725,0.108897,0.285636
1403638130845096960.000000,0.000000,0.000000,24.878865,9.012571,0.110337,0.174562,20.107537,0.118721,54.934665
1403638130945096960.000000,0.000000,0.000000,23.201883,12.200294,0.137057,0.168867,24.697615,0.732458,53.151985
1403638131045096960.000000,0.000000,0.000000,24.309161,12.098052,0.150274,0.263236,22.464945,0.241059,50.293003
1403638131145096960.000000,0.000000,0.000000,22.274382,12.018915,0.157026,0.148002,17.302731,0.131330,50.634959
1403638131245096960.000000,0.000000,0.000000,22.855446,15.550291,0.177826,0.120674,15.596627,0.615240,48.792310
1403638131295097088.000000,0.000000,0.000000,22.568434,9.927783,0.100417,0.176354,20.588855,0.167554,0.000000
1403638131345096960.000000,0.000000,0.000000,23.379229,9.160509,0.085217,0.188195,18.326457,0.663625,0.080993
1403638131395097088.000000,0.000000,0.000000,20.312531,8.373138,0.087746,0.235267,20.596727,0.178306,53.884123
1403638131495097088.000000,0.000000,0.000000,20.314643,9.562338,0.154627,0.195330,20.202963,0.149538,0.000000
1403638131545096960.000000,0.000000,0.000000,19.076163,10.967317,0.144962,0.187779,20.533047,0.707466,0.087937
1403638131595097088.000000,0.000000,0.000000,20.075153,7.117536,0.132322,0.159778,21.645734,0.302276,56.024664
1403638131695097088.000000,0.000000,0.000000,19.285766,8.601237,0.160930,0.172130,23.327965,0.209635,0.000000
