#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.015072,3,1,0,397
0.004672,4,1,0,542
0.218979,5,1,0,664
0.322981,6,1,0,1128
0.420934,7,1,0,1655
0.563592,8,1,0,2202
0.734762,9,1,0,2585
0.569639,10,1,0,2914
1.079278,0,0,0,0
69.907907,0,0,0,0
1.026734,0,0,0,0
1.366738,0,0,0,0
1.326322,0,0,0,0
1.734040,0,0,0,0
1.788919,0,0,0,0
1.890873,0,0,0,0
2.661636,0,0,0,0
1.835001,0,0,0,0
2.671555,0,0,0,0
2.688516,0,0,0,0
2.948007,0,0,0,0
3.858643,0,0,0,0
4.238456,0,0,0,0
4.113366,0,0,0,0
4.210136,0,0,0,0
4.143319,0,0,0,0
4.216440,0,0,0,0
3.997110,0,0,0,0
4.274937,0,0,0,0
4.389691,0,0,0,0
4.581885,0,0,0,0
4.469851,0,0,0,0
3.946804,0,0,0,0
3.018441,0,0,0,0
4.155319,0,0,0,0
5.463305,0,0,0,0
4.116567,0,0,0,0
5.541674,0,0,0,0
4.298553,0,0,0,0
5.998064,0,0,0,0
4.857345,0,0,0,0
7.273536,0,0,0,0
5.398120,0,0,0,0
6.774746,0,0,0,0
3.938965,3,1,0,467
6.141970,4,1,0,591
0.005696,5,1,0,740
0.004864,6,1,0,861
0.272996,7,1,0,965
0.543687,8,1,0,1071
0.761194,9,1,0,1191
0.818219,10,1,0,1316
0.937516,0,0,0,0
0.927564,3,1,0,488
1.105070,4,1,0,634
55.363297,5,1,0,776
1.351826,6,1,0,902
0.005888,7,1,0,1030
0.004480,8,1,0,1172
0.511975,9,1,0,1289
0.595368,10,1,0,1419
0.715914,0,0,0,0
0.901036,3,1,0,683
0.972493,4,1,0,1053
0.959309,5,1,0,1385
1.045550,6,1,0,2079
69.661375,7,1,0,2716
1.168784,8,1,0,3218
0.004992,9,1,0,3807
0.005504,10,1,0,4495
0.315589,0,0,0,0
0.926893,0,0,0,0
1.069838,0,0,0,0
1.362675,0,0,0,0
1.270609,0,0,0,0
1.678871,0,0,0,0
1.638230,0,0,0,0
99.969490,0,0,0,0
1.793559,0,0,0,0
1.816249,0,0,0,0
2.077243,0,0,0,0
2.139773,0,0,0,0
2.351551,0,0,0,0
2.549218,0,0,0,0
2.848646,0,0,0,0
2.918535,0,0,0,0
2.994952,0,0,0,0
3.591440,0,0,0,0
3.868948,0,0,0,0
5.509481,0,0,0,0
5.197382,0,0,0,0
4.721439,0,0,0,0
4.795712,0,0,0,0
5.390951,0,0,0,0
4.201944,0,0,0,0
6.144690,0,0,0,0
4.577373,0,0,0,0
5.732685,0,0,0,0
4.520764,0,0,0,0
7.220928,0,0,0,0
4.823008,0,0,0,0
7.766215,0,0,0,0
4.392571,0,0,0,0
4.196183,0,0,0,0
3.472718,0,0,0,0
5.437001,0,0,0,0
3.996309,0,0,0,0
5.769933,0,0,0,0
5.543338,0,0,0,0
5.636747,0,0,0,0
4.125527,0,0,0,0
4.166327,0,0,0,0
7.214496,0,0,0,0
4.449627,0,0,0,0
7.216384,0,0,0,0
5.557578,0,0,0,0
7.489412,0,0,0,0
6.266803,0,0,0,0
4.641662,0,0,0,0
4.861856,0,0,0,0
6.278835,0,0,0,0
6.093009,0,0,0,0
9.672033,0,0,0,0
7.078591,0,0,0,0
6.138161,0,0,0,0
4.913185,0,0,0,0
6.358356,0,0,0,0
6.293268,0,0,0,0
4.859649,0,0,0,0
6.070545,0,0,0,0
4.944130,0,0,0,0
6.995357,0,0,0,0
5.361703,0,0,0,0
7.207168,0,0,0,0
8.257806,0,0,0,0
8.218669,0,0,0,0
9.000824,0,0,0,0
8.818005,0,0,0,0
6.245779,0,0,0,0
8.344015,0,0,0,0
6.251539,0,0,0,0
5.772013,0,0,0,0
9.079513,0,0,0,0
12.043361,0,0,0,0
10.147975,0,0,0,0
8.354159,0,0,0,0
7.064990,0,0,0,0
9.270491,0,0,0,0
8.183724,0,0,0,0
7.574148,0,0,0,0
9.849731,0,0,0,0
8.044843,0,0,0,0
10.119271,0,0,0,0
8.981144,0,0,0,0
10.523244,0,0,0,0
12.662632,0,0,0,0
8.985912,0,0,0,0
13.929593,0,0,0,0
9.109977,0,0,0,0
13.137582,0,0,0,0
8.708787,0,0,0,0
9.809186,0,0,0,0
9.511967,0,0,0,0
8.758740,0,0,0,0
19.810087,0,0,0,0
10.275944,0,0,0,0
10.598765,0,0,0,0
8.727732,0,0,0,0
11.971487,0,0,0,0
13.795159,0,0,0,0
9.788450,0,0,0,0
12.620520,0,0,0,0
10.101510,0,0,0,0
10.263785,0,0,0,0
11.292375,0,0,0,0
11.100820,0,0,0,0
12.489126,0,0,0,0
6.449846,0,0,0,0
9.595263,0,0,0,0
12.212803,0,0,0,0
10.376618,0,0,0,0
10.848528,0,0,0,0
11.455672,0,0,0,0
5.279783,0,0,0,0
10.211848,0,0,0,0
10.027142,0,0,0,0
6.044880,0,0,0,0
6.753402,0,0,0,0
5.845229,0,0,0,0
5.627242,0,0,0,0
10.921105,0,0,0,0
4.570556,0,0,0,0
4.769439,0,0,0,0
8.617043,0,0,0,0
8.602771,0,0,0,0
8.536050,0,0,0,0
9.055193,0,0,0,0
8.442256,0,0,0,0
7.025085,0,0,0,0
5.576554,0,0,0,0
6.518327,0,0,0,0
8.277390,0,0,0,0
8.983223,0,0,0,0
8.941399,0,0,0,0
9.225403,0,0,0,0
7.494052,0,0,0,0
6.870491,0,0,0,0
9.766978,0,0,0,0
