#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403638127295097088.000000,0.000000,0.000000,22.411911,2.655491,0.005184,11.371062,2.852677,0.003456,28.438103
1403638127345096960.000000,0.000000,0.000000,21.510203,3.715249,0.085697,1.092814,3.072969,0.000960,29.318530
1403638127395097088.000000,0.000000,0.000000,18.732598,2.978631,0.051969,2.267294,2.697379,0.000992,25.434511
1403638127445096960.000000,0.000000,0.000000,19.940839,5.647179,0.094177,2.452768,2.887046,0.000960,29.888074
1403638127495097088.000000,0.000000,0.000000,22.848333,6.343092,0.124706,2.552257,2.692580,0.436198,33.346999
1403638127545096960.000000,0.000000,0.000000,19.785380,6.478198,0.127074,2.769156,2.668035,0.000992,30.759029
1403638127595097088.000000,0.000000,0.000000,23.027088,6.285715,0.121378,2.754308,2.882982,0.001056,33.689660
1403638127645096960.000000,0.000000,0.000000,19.535554,6.406516,0.121250,2.493569,3.091528,0.001088,30.110989
1403638127695097088.000000,0.000000,0.000000,19.341150,6.407636,0.123265,2.566177,3.326540,0.001280,30.109804
1403638127745096960.000000,0.000000,0.000000,20.258187,6.370740,0.127522,2.506753,3.054217,0.605864,31.172123
1403638127795097088.000000,0.000000,0.000000,21.350969,6.108336,0.124481,3.953588,3.202058,0.001184,31.841603
1403638127845096960.000000,0.000000,0.000000,18.828408,6.373076,0.121090,2.962087,3.528302,0.001184,29.707304
1403638127895097088.000000,0.000000,0.000000,19.755621,6.314579,0.123809,2.864134,3.108041,0.000992,31.700865
1403638127945096960.000000,0.000000,0.000000,20.218379,6.200817,0.143778,2.886982,3.503438,0.001024,30.823670
1403638127995097088.000000,0.000000,0.000000,21.520220,6.532534,0.120225,2.820965,3.493806,0.567079,32.382570
1403638128045096960.000000,0.000000,0.000000,18.534196,6.497654,0.124226,4.056118,2.975911,0.001280,29.583206
1403638128095097088.000000,0.000000,0.000000,23.438772,6.432469,0.118338,3.212138,3.547407,0.001088,34.019104
1403638128145096960.000000,0.000000,0.000000,20.231307,6.733337,0.099745,2.560834,3.039848,0.001344,31.186715
1403638128195097088.000000,0.000000,0.000000,19.643907,2.412992,0.053888,3.098185,3.676880,0.001760,26.089688
1403638128245096960.000000,0.000000,0.000000,19.167997,6.252466,0.127266,2.566690,4.000884,0.575783,29.893674
1403638128295097088.000000,0.000000,0.000000,21.907009,6.430580,0.119042,4.555420,4.001109,0.001472,32.689775
1403638128345096960.000000,0.000000,0.000000,18.311633,6.537462,0.131970,3.617423,3.707057,0.001184,29.054687
1403638128395097088.000000,0.000000,0.000000,23.452501,6.344627,0.144898,2.833637,4.057846,0.001152,34.212611
1403638128445096960.000000,0.000000,0.000000,22.039490,6.670423,0.125922,3.030472,4.632573,0.001408,33.236726
1403638128495097088.000000,0.000000,0.000000,20.783250,6.255538,0.126114,3.095369,4.415098,0.906252,31.604768
1403638128545096960.000000,0.000000,0.000000,20.721425,2.661763,0.063553,6.301523,6.709497,0.001056,27.035236
1403638128595097088.000000,0.000000,0.000000,19.221437,6.302803,0.131106,5.716395,6.801882,0.001184,31.519391
1403638128645096960.000000,0.000000,0.000000,20.139146,6.906651,0.127970,5.722860,7.075901,0.001408,31.619552
1403638128695097088.000000,0.000000,0.000000,19.669316,6.235474,0.126914,4.714238,6.096080,0.001056,30.417393
1403638128745096960.000000,0.000000,0.000000,19.315615,6.323251,0.123330,4.361978,5.955950,0.810795,30.211566
1403638128795097088.000000,0.000000,0.000000,20.005128,6.572630,0.128450,6.891930,7.457251,0.001216,30.888279
