#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403636579763555584.000000,0.000000,0.000000,30.111096,4.883682,0.004832,14.920074,8.841880,0.003456,38.690605
1403636579813555456.000000,0.000000,0.000000,27.372307,6.296501,0.091329,4.784225,8.402162,0.001088,37.751168
1403636579863555584.000000,0.000000,0.000000,26.245508,8.020941,0.081665,5.018020,8.444786,0.001376,38.379304
1403636579913555456.000000,0.000000,0.000000,23.803683,10.560175,0.109442,3.649105,7.728169,0.001376,38.812014
1403636579963555584.000000,0.000000,0.000000,23.900356,11.574333,0.120385,4.045526,8.593045,0.884140,42.828421
1403636580013555456.000000,0.000000,0.000000,24.404459,10.500942,0.124258,5.054308,7.596231,0.001024,63.668254
1403636580063555584.000000,0.000000,0.000000,23.434781,8.175982,0.155330,4.182873,7.783530,0.001536,49.356861
1403636580113555456.000000,0.000000,0.000000,22.388144,8.764311,0.116034,4.462749,9.296030,0.001472,48.988344
1403636580163555584.000000,0.000000,0.000000,24.657678,3.925877,0.065536,3.021673,8.873880,0.001248,44.133398
1403636580213555456.000000,0.000000,0.000000,25.692124,9.330559,0.125026,2.748197,8.108878,0.604328,52.750283
1403636580263555584.000000,0.000000,0.000000,22.565874,4.178617,0.077953,4.014998,5.226823,0.001440,43.830994
1403636580313555456.000000,0.000000,0.000000,21.908521,8.200655,0.121441,2.818726,4.942051,0.001536,46.510679
1403636580363555584.000000,0.000000,0.000000,23.143674,7.549798,0.137922,2.971785,6.447319,0.001152,49.132665
1403636580413555456.000000,0.000000,0.000000,21.590181,6.571001,0.131458,3.085962,6.476151,0.001248,44.751006
1403636580463555584.000000,0.000000,0.000000,25.039187,6.339542,0.139746,3.358797,7.121857,0.796491,47.560261
1403636580513555456.000000,0.000000,0.000000,22.369071,4.897698,0.109570,5.977713,6.488600,0.001344,41.141933
1403636580563555584.000000,0.000000,0.000000,21.497283,5.666221,0.148258,3.766323,5.902672,0.000960,40.033727
1403636580613555456.000000,0.000000,0.000000,24.171176,6.829917,0.168770,3.485936,5.009315,0.001312,45.268870
1403636580663555584.000000,0.000000,0.000000,22.862678,7.839562,0.196163,3.318253,5.675085,0.001184,45.175844
1403636580713555456.000000,0.000000,0.000000,20.670264,8.462163,0.159458,3.607985,6.819804,1.437044,45.065410
1403636580763555584.000000,0.000000,0.000000,21.428994,4.723424,0.163522,8.081453,8.042605,0.001728,43.515181
1403636580813555456.000000,0.000000,0.000000,28.334080,9.133308,0.148066,5.020580,8.713910,0.001600,51.780381
1403636580863555584.000000,0.000000,0.000000,21.496004,7.808874,0.124481,3.824372,7.763689,0.000960,42.198268
1403636580913555456.000000,0.000000,0.000000,22.363247,9.155452,0.142114,3.562960,7.404740,0.001152,44.882656
1403636580963555584.000000,0.000000,0.000000,22.630099,10.865555,0.159970,3.703058,7.564391,1.272338,49.861380
1403636581013555456.000000,0.000000,0.000000,22.067755,5.291528,0.078977,6.311958,9.347327,0.001248,47.813096
1403636581063555584.000000,0.000000,0.000000,24.146311,9.790756,0.135490,5.810286,9.510017,0.001088,52.184227
1403636581113555456.000000,0.000000,0.000000,21.751334,9.723619,0.132930,5.180870,8.813623,0.001152,47.405154
1403636581163555584.000000,0.000000,0.000000,21.937449,9.612323,0.134849,5.027972,9.600290,0.001184,46.859355
1403636581213555456.000000,0.000000,0.000000,22.923447,10.516238,0.135650,4.970756,9.649250,0.900492,50.336266
1403636581263555584.000000,0.000000,0.000000,22.128236,8.169807,0.117121,6.732124,8.208847,0.000832,50.523501
1403636581313555456.000000,0.000000,0.000000,22.990584,6.082258,0.126178,5.069828,7.994957,0.000800,48.711924
1403636581363555584.000000,0.000000,0.000000,24.785648,10.632752,0.128162,5.668749,8.901112,0.001152,53.891674
1403636581413555456.000000,0.000000,0.000000,25.416024,9.696419,0.133666,4.535421,7.445509,0.001056,54.008476
1403636581463555584.000000,0.000000,0.000000,23.113977,7.918411,0.133026,4.325563,8.613044,0.718250,50.768720
1403636581513555456.000000,0.000000,0.000000,23.560288,7.385924,0.124193,6.483287,9.075419,0.001472,50.541773
1403636581563555584.000000,0.000000,0.000000,25.592187,8.079821,0.120194,6.203732,8.418258,0.001280,50.942931
1403636581613555456.000000,0.000000,0.000000,23.885124,8.051629,0.131746,5.447145,9.901895,0.001120,50.802864
1403636581663555584.000000,0.000000,0.000000,22.686451,9.231197,0.121186,4.533598,9.371263,0.001248,48.164620
1403636581713555456.000000,0.000000,0.000000,24.543341,8.794039,0.128610,4.626271,10.573199,0.719274,51.299288
1403636581763555584.000000,0.000000,0.000000,22.393808,6.016050,0.123841,5.329896,10.596784,0.001632,48.393680
1403636581813555456.000000,0.000000,0.000000,23.268763,5.903120,0.128481,5.337544,10.795347,0.001568,48.219341
1403636581863555584.000000,0.000000,0.000000,24.000453,8.339089,0.140226,3.716210,10.124425,0.001664,52.212195
