#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.015104,3,1,0,705
0.004576,4,1,0,916
0.431012,5,1,0,1169
0.694759,6,1,0,1382
0.966697,7,1,0,1576
1.274860,8,1,0,1775
1.540398,9,1,0,1990
1.991795,10,1,0,2209
2.671609,0,0,0,0
79.530897,3,1,0,839
2.958972,4,1,0,1206
0.005888,5,1,0,1512
0.003937,6,1,0,1872
0.531941,7,1,0,1847
0.832296,8,1,0,1899
1.000330,9,1,0,2275
1.360397,10,1,0,2762
0.736135,0,0,0,0
1.325997,0,0,0,0
1.431213,0,0,0,0
40.877059,0,0,0,0
2.178005,0,0,0,0
1.558543,0,0,0,0
1.830129,0,0,0,0
1.964562,0,0,0,0
2.446583,0,0,0,0
2.256629,0,0,0,0
2.674905,0,0,0,0
2.578201,0,0,0,0
2.981117,0,0,0,0
3.214462,0,0,0,0
3.348512,0,0,0,0
4.604396,0,0,0,0
4.392202,0,0,0,0
5.210449,0,0,0,0
4.972495,3,1,0,600
4.516459,4,1,0,805
4.560748,5,1,0,1012
4.070599,6,1,0,1248
0.004768,7,1,0,1465
0.004960,8,1,0,1687
0.338083,9,1,0,1897
0.764968,10,1,0,2113
1.007050,0,0,0,0
1.369645,3,1,0,858
1.611503,4,1,0,1076
2.252022,5,1,0,1326
2.511416,6,1,0,1580
75.011947,7,1,0,1854
3.291167,8,1,0,2122
0.005760,9,1,0,2383
0.005696,10,1,0,2629
0.608646,0,0,0,0
0.888776,3,1,0,579
1.224876,4,1,0,876
1.567439,5,1,0,1205
1.514383,6,1,0,1527
2.155093,7,1,0,1959
3.331296,8,1,0,2374
58.847956,9,1,0,2723
3.281343,10,1,0,3065
0.006016,0,0,0,0
0.005056,0,0,0,0
0.280291,0,0,0,0
0.709799,0,0,0,0
0.953065,0,0,0,0
1.137867,0,0,0,0
1.288876,0,0,0,0
1.341005,0,0,0,0
1.785937,0,0,0,0
78.118831,0,0,0,0
1.623824,0,0,0,0
1.788721,0,0,0,0
2.486840,0,0,0,0
1.979187,0,0,0,0
2.299926,0,0,0,0
2.530265,0,0,0,0
2.684090,0,0,0,0
3.098494,0,0,0,0
3.430849,0,0,0,0
3.591619,0,0,0,0
3.711172,0,0,0,0
5.404148,0,0,0,0
5.322675,0,0,0,0
3.826917,0,0,0,0
4.091527,0,0,0,0
4.252745,0,0,0,0
5.543637,0,0,0,0
6.744961,0,0,0,0
4.418027,0,0,0,0
5.372692,0,0,0,0
5.803160,0,0,0,0
4.111623,0,0,0,0
4.988753,0,0,0,0
7.625258,0,0,0,0
4.970768,0,0,0,0
6.674208,0,0,0,0
5.217747,0,0,0,0
8.987575,0,0,0,0
3.488194,0,0,0,0
5.473749,0,0,0,0
4.336266,0,0,0,0
4.918320,0,0,0,0
7.232934,0,0,0,0
3.142591,0,0,0,0
3.074814,0,0,0,0
6.507775,0,0,0,0
4.936784,0,0,0,0
5.494165,0,0,0,0
6.625568,0,0,0,0
7.136614,0,0,0,0
6.149820,0,0,0,0
8.295280,0,0,0,0
6.961828,0,0,0,0
