#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.064059,0.064576,0.729002,0.015553,0.015553,9.884422
9.924903,0.117153,1.382291,0.004896,0.004896,11.434139
10.319180,0.148226,1.862393,0.438534,0.438534,26.037953
10.595664,0.138978,2.527842,0.677737,0.677737,32.388471
11.007029,0.067137,3.233132,0.517895,0.517895,28.397313
11.499516,0.054081,3.709906,1.271026,1.271026,43.199434
11.740671,0.054017,4.361083,1.879226,1.879226,49.177947
12.137028,0.046881,5.344169,2.087740,2.087740,64.452873
12.579723,0.052481,6.303093,2.697797,2.697797,49.335837
11.896033,0.046945,7.255298,69.776178,69.776178,129.931457
13.406901,0.068385,9.162748,3.172619,3.172619,70.891712
9.210589,0.066049,0.722441,0.005920,0.005920,10.009608
9.866694,0.228035,1.863353,0.004800,0.004800,11.966658
10.441838,0.321316,9.681027,0.326437,0.326437,41.201647
10.934356,0.445574,14.265762,0.827339,0.827339,65.232276
11.614110,0.518535,15.809622,1.019118,1.019118,64.710701
11.937314,0.572807,20.595480,1.057103,1.057103,73.935946
11.623262,0.615240,16.429407,0.745514,0.745514,70.675710
11.336122,0.338436,17.707280,1.370034,1.370034,75.236571
12.576490,0.318532,19.921582,1.774808,1.774808,82.248090
13.151730,0.447335,34.589140,42.235548,42.235548,137.480903
10.451374,0.374373,33.134017,1.519285,1.519285,88.913333
12.067044,0.434949,23.763426,1.525749,1.525749,81.307470
12.613035,0.458726,28.744901,1.803705,1.803705,86.059246
12.671724,0.330021,27.717879,1.944219,1.944219,86.805977
13.682937,0.296996,28.283935,2.189342,2.189342,99.959050
15.128877,0.410918,45.487528,2.139549,2.139549,125.037343
15.507026,0.340837,45.929102,2.810758,2.810758,131.841563
17.169033,0.699753,47.968874,3.051913,3.051913,138.214481
16.923749,0.418118,42.211868,2.872999,2.872999,126.331280
15.966553,0.428261,34.980794,3.292652,3.292652,127.461727
15.832983,0.414374,37.104598,3.751795,3.751795,136.618524
15.496082,0.238244,45.620266,4.629950,4.629950,142.348329
13.559512,0.465958,45.435976,4.617182,4.617182,297.393150
18.802367,0.569960,51.659804,4.552446,4.552446,148.960771
15.768022,0.336900,42.676706,4.516158,4.516158,130.686123
16.237468,0.308997,39.118194,4.435452,4.435452,132.985386
17.084359,0.266916,40.232897,3.993622,3.993622,128.638959
16.791556,0.147458,39.854204,4.632351,4.632351,137.767595
14.061375,0.112449,34.796984,4.047031,4.047031,115.273370
9.759396,0.080001,0.880844,0.005441,0.005441,10.729490
10.294507,0.257540,1.708695,0.004448,0.004448,12.269638
10.565519,0.262403,2.405473,0.319684,0.319684,31.571307
11.087255,0.249507,3.183979,0.868364,0.868364,38.364616
11.373690,0.088129,3.794804,1.191857,1.191857,33.038496
11.805280,0.062208,4.292155,1.552213,1.552213,61.212413
12.278726,0.048833,5.177478,1.541525,1.541525,53.253169
12.681708,0.041409,6.087666,2.972232,2.972232,48.832598
13.212755,0.044513,6.860189,2.673188,2.673188,63.827297
13.687354,0.060289,7.572678,84.655419,84.655419,146.363904
14.479044,0.036097,9.046234,3.365645,3.365645,74.582514
9.427263,0.080577,0.867404,0.006016,0.006016,10.385580
10.212011,0.191010,1.786808,0.004608,0.004608,12.198246
10.687345,0.261220,2.264158,0.605224,0.605224,33.369284
11.148503,0.233059,3.243660,0.912076,0.912076,39.894844
11.497820,0.072673,3.720179,1.227537,1.227537,41.890392
11.889089,0.069601,4.428924,1.699415,1.699415,46.350004
12.230661,0.060705,5.157670,2.113436,2.113436,46.460149
12.867407,0.048256,6.101651,2.189374,2.189374,70.821888
13.180146,0.048801,7.240738,3.075626,3.075626,62.507823
13.816091,0.055329,8.101453,47.040861,47.040861,118.491301
14.397347,0.049248,8.535188,2.270239,2.270239,98.717977
9.493185,0.064513,0.749706,0.006112,0.006112,10.318188
9.695427,0.231972,1.525620,0.004736,0.004736,11.461211
10.135369,0.432614,2.792870,0.456806,0.456806,28.959080
10.702545,0.382821,11.268409,0.674026,0.674026,45.676715
11.338106,0.501959,15.305871,1.101359,1.101359,62.371085
11.544477,0.525543,19.091203,1.208304,1.208304,72.314804
12.341767,0.519335,24.020358,1.138096,1.138096,78.055586
10.641104,0.470470,25.175445,1.405300,1.405300,78.076162
13.255731,0.537511,31.789647,1.933563,1.933563,99.512708
13.820027,0.515687,36.450062,77.752509,77.752509,183.414549
13.793403,0.422534,39.423734,1.473524,1.473524,108.002711
9.935046,0.393830,36.272043,1.809977,1.809977,95.097800
14.822569,0.556871,46.339316,1.916826,1.916826,135.834032
15.205358,0.552263,47.676742,1.940730,1.940730,134.319323
15.722101,0.585384,49.440958,2.436385,2.436385,134.946468
16.176091,0.598857,51.731804,2.693957,2.693957,148.638046
15.888375,0.568904,50.163751,2.795878,2.795878,279.446058
8.482610,0.376614,23.023704,2.885287,2.885287,102.804368
16.656866,0.624520,54.554179,3.316365,3.316365,154.519309
11.690174,0.462343,42.564672,3.184619,3.184619,140.113418
17.540077,0.557544,53.157456,3.725203,3.725203,164.769368
17.883794,0.544776,55.781107,4.864642,4.864642,195.950719
16.396191,0.531047,41.647796,4.172857,4.172857,155.249432
17.575022,0.618984,48.860950,4.186264,4.186264,175.076227
16.836997,0.553223,50.585037,5.609484,5.609484,202.822972
16.604321,0.667369,46.366676,4.449692,4.449692,195.756988
17.309930,0.683305,51.699229,5.826863,5.826863,203.299458
16.881541,0.587944,51.220565,4.153593,4.153593,227.199686
12.408872,0.417478,33.771658,5.511050,5.511050,201.970896
12.550378,0.447878,32.281237,7.360068,7.360068,170.896619
17.971059,0.545255,44.503195,4.548029,4.548029,247.511321
13.583864,0.444422,36.555791,6.191444,6.191444,196.309700
11.868192,0.477703,31.580716,5.013028,5.013028,191.362432
9.182141,0.465766,24.267081,8.520532,8.520532,165.009660
8.470034,0.345669,21.069341,10.216298,10.216298,165.020091
12.409640,0.653449,33.975884,7.080064,7.080064,185.521617
15.961048,0.718122,44.209175,7.760041,7.760041,202.656409
12.949071,0.694601,36.435374,7.152289,7.152289,191.222110
10.797298,0.631112,28.261119,7.932684,7.932684,193.209977
10.249450,0.615497,27.926714,3.880276,3.880276,190.069774
10.452653,0.650665,30.404956,7.343011,7.343011,193.228953
9.709572,0.685129,27.690807,3.524655,3.524655,192.690738
10.627408,0.777962,28.530531,3.028841,3.028841,199.414477
10.930964,0.870028,27.748919,3.698258,3.698258,182.093986
14.040094,0.792587,41.874775,4.323963,4.323963,210.498787
11.196247,0.697642,31.923216,3.337102,3.337102,189.286660
11.455195,0.736938,32.486488,6.050290,6.050290,194.399626
11.606685,0.773323,31.493323,3.785203,3.785203,206.861266
8.048045,0.543880,17.886290,6.432951,6.432951,179.813092
8.065453,0.566056,20.317011,3.228811,3.228811,174.198935
10.096393,0.612872,32.263701,3.546672,3.546672,200.001749
14.662919,0.838283,38.634508,7.247906,7.247906,229.398916
13.696922,0.862635,41.885848,6.697339,6.697339,225.337581
10.401613,0.719050,27.826361,6.688699,6.688699,208.267205
7.912428,0.599592,20.947035,6.405079,6.405079,172.706756
11.418394,0.834380,32.284885,6.365046,6.365046,189.854379
10.500654,0.798603,24.523468,5.270119,5.270119,190.879801
14.258657,0.978606,42.172603,6.308790,6.308790,223.631606
13.990845,0.968397,40.761672,6.789436,6.789436,202.812251
10.588847,0.804331,30.590559,6.705339,6.705339,194.384073
13.390454,0.948493,41.834166,6.917022,6.917022,220.255592
12.932048,0.986733,41.030124,6.344310,6.344310,480.986548
7.220386,0.717482,18.015380,2.664964,2.664964,83.375690
11.647422,1.149327,44.246712,4.074615,4.074615,197.191439
11.440667,1.135215,39.206771,2.626180,2.626180,198.152764
9.368094,0.922029,30.655103,2.941127,2.941127,169.727291
12.529897,1.054159,42.807587,5.519435,5.519435,189.543079
12.881711,0.978797,42.846916,5.661516,5.661516,188.497978
13.712217,0.782795,46.441077,4.767873,4.767873,188.324951
14.268481,0.805995,48.724308,5.045637,5.045637,205.212988
15.522386,0.751914,53.915322,6.065522,6.065522,202.842043
12.838189,0.673930,43.163848,7.639015,7.639015,195.038033
11.321529,0.592456,35.101148,6.866781,6.866781,186.701665
10.144138,0.677129,32.704027,7.445317,7.445317,183.381556
10.314987,0.605929,32.790396,8.446450,8.446450,173.591631
10.493678,0.663529,32.951230,6.680251,6.680251,182.565897
10.097481,0.557064,32.051090,9.283486,9.283486,172.060379
10.272779,0.614633,35.278077,7.621511,7.621511,180.831697
10.083209,0.619688,33.799914,7.179458,7.179458,184.738087
9.595714,0.604872,33.364036,8.281649,8.281649,172.078203
9.880774,0.763050,38.114820,8.530964,8.530964,188.041651
9.973415,0.739018,36.392909,10.068233,10.068233,191.783750
9.607810,0.636809,30.627807,7.952236,7.952236,171.807767
8.293168,0.440038,29.388014,11.767968,11.767968,175.655851
12.275494,0.850668,43.086631,10.750417,10.750417,208.069922
10.799826,0.691978,36.622992,12.588811,12.588811,205.598721
10.059945,0.753578,34.671125,9.598786,9.598786,199.811859
8.637397,0.612680,30.861986,11.769376,11.769376,201.687148
8.516756,0.733226,31.751534,11.877473,11.877473,203.574502
8.972761,0.792747,30.070007,10.727410,10.727410,205.000921
8.398385,0.871244,29.477871,14.198496,14.198496,206.193064
8.706582,0.782474,27.695543,7.886091,7.886091,202.665977
15.157549,0.991757,46.327700,12.584042,12.584042,236.625028
15.120717,1.000397,50.781200,11.905505,11.905505,257.714114
9.963687,0.652808,32.363895,11.822721,11.822721,217.279615
8.116014,0.593416,26.476934,9.817701,9.817701,208.350758
8.558132,0.508039,29.615825,13.977405,13.977405,217.241694
8.030125,0.479014,27.450164,14.552069,14.552069,217.656260
7.663816,0.524071,26.144578,12.596779,12.596779,214.673212
7.416677,0.540647,23.919652,12.274278,12.274278,214.072852
8.353777,0.608584,24.549869,12.717932,12.717932,221.133971
8.303120,0.715370,23.327740,15.192750,15.192750,218.620977
8.190383,0.597320,23.413053,13.443638,13.443638,216.062510
8.304880,0.575368,23.863747,11.560637,11.560637,219.052951
16.842148,0.865964,52.626440,15.573235,15.573235,269.571523
10.414157,0.635496,31.907024,11.709375,11.709375,225.637296
17.103496,0.880780,54.232670,16.409310,16.409310,269.839879
9.114843,0.515879,29.756819,20.882810,20.882810,226.199447
13.446742,0.753322,44.792383,17.314666,17.314666,240.789373
11.836641,0.697321,38.162533,16.742563,16.742563,233.352185
12.320039,0.667625,45.140580,18.228375,18.228375,240.321623
9.487968,0.606088,34.028077,13.325780,13.325780,225.165097
9.558785,0.588776,34.395634,19.163171,19.163171,224.632738
18.247863,0.683241,55.329005,16.864229,16.864229,257.843204
12.052867,0.649417,50.809872,18.355801,18.355801,277.558095
17.106600,0.791562,52.777195,18.860255,18.860255,286.520808
13.978557,0.624777,39.721626,14.224833,14.224833,244.370478
12.573994,0.701258,40.282273,13.840571,13.840571,241.172258
11.696926,0.719114,41.154766,10.987316,10.987316,237.121163
10.979924,0.652873,37.022358,14.806664,14.806664,230.934839
16.325949,0.917389,49.516350,11.351193,11.351193,273.434775
17.730705,0.990125,63.687519,15.768629,15.768629,283.821924
17.593231,0.995309,63.983427,14.634598,14.634598,284.407660
17.555758,0.773290,62.289676,13.471319,13.471319,281.723816
9.445056,0.518375,32.822269,16.737603,16.737603,240.258230
11.828448,0.636393,39.978429,20.008527,20.008527,252.158423
11.344985,0.610825,39.133266,12.751149,12.751149,249.573652
18.790078,0.908685,57.477802,11.896833,11.896833,280.486518
9.841670,0.743402,33.160673,19.598729,19.598729,246.971825
11.160279,0.647977,42.718115,20.396436,20.396436,273.991679
10.059528,0.652777,38.759373,16.926950,16.926950,249.908089
12.040835,0.689257,48.334223,17.800945,17.800945,277.927636
10.245483,0.657224,39.802011,23.538590,23.538590,247.861725
12.355367,0.651241,47.910601,20.281939,20.281939,252.087670
11.599517,0.708617,45.159748,23.771778,23.771778,253.780877
11.261049,0.660681,43.798577,20.295347,20.295347,243.706373
12.156260,0.706314,57.555211,25.198325,25.198325,265.478059
18.663997,0.886860,64.662444,15.883287,15.883287,277.810834
18.568572,0.810443,63.773119,19.292613,19.292613,288.591172
10.400332,0.612361,41.524210,24.846001,24.846001,244.812851
19.512264,0.777674,72.178162,25.821566,25.821566,295.468641
10.295819,0.627881,38.914703,15.729941,15.729941,240.565946
14.196353,0.627368,49.052696,18.361145,18.361145,267.259524
10.213899,0.565063,35.314431,19.378887,19.378887,245.472637
12.061315,0.648393,47.238080,21.182687,21.182687,275.640213
21.358657,0.873516,70.952801,22.323406,22.323406,303.093000
22.432208,0.814347,70.959361,23.934340,23.934340,299.505496
21.396514,0.670057,71.064674,18.809631,18.809631,297.238233
21.219103,0.607817,78.789195,24.624462,24.624462,307.307970
20.702553,0.613192,70.501659,20.544118,20.544118,292.620795
20.358675,0.608969,70.225175,23.256859,23.256859,310.147496
20.455925,0.613736,71.364774,19.308677,19.308677,284.949138
20.442005,0.608425,72.765529,21.443330,21.443330,291.509836
20.255442,0.642345,73.671750,20.574263,20.574263,294.059374
19.240516,0.754955,75.226202,18.454394,18.454394,301.242063
11.805888,0.673897,52.738538,18.089845,18.089845,271.552637
11.453595,0.557703,44.516507,17.420972,17.420972,265.328905
18.479162,0.856747,66.215009,14.288418,14.288418,286.844748
11.897249,0.584744,46.712632,15.808758,15.808758,275.335312
9.194621,0.531207,32.023570,17.419628,17.419628,236.575940
10.022375,0.554600,33.140449,19.814796,19.814796,241.824586
11.044949,0.632777,38.347463,13.919772,13.919772,260.658121
11.631229,0.654281,42.197372,16.040921,16.040921,258.892273
11.799296,0.599592,42.849572,17.653711,17.653711,268.747703
17.689903,0.888364,54.082204,14.999691,14.999691,282.417104
11.803840,0.530183,39.454934,16.696451,16.696451,262.964841
9.949863,0.546823,31.784686,16.954149,16.954149,260.644201
9.980295,0.558280,31.027844,18.691421,18.691421,258.024934
10.319595,0.502343,32.355222,17.271274,17.271274,264.534366
9.719267,0.413510,30.393179,13.758586,13.758586,248.186560
11.943713,0.578792,38.088324,22.067531,22.067531,273.958237
10.118537,0.584168,31.370889,17.417164,17.417164,262.990857
10.021032,0.636808,32.254709,18.413273,18.413273,245.948322
12.544298,0.614056,40.037982,16.785411,16.785411,269.021947
10.466094,0.591784,32.477719,20.128817,20.128817,247.768539
11.553820,0.589320,36.323308,21.520004,21.520004,270.365165
9.102811,0.448422,28.487170,16.208891,16.208891,238.058359
12.144165,0.652905,40.234241,18.103221,18.103221,271.164568
9.302526,0.590824,30.304762,16.496320,16.496320,240.816285
11.437339,0.741130,35.416575,22.249965,22.249965,250.176860
9.856453,0.697290,45.509608,18.996641,18.996641,255.681734
11.144630,0.774539,48.822933,17.334282,17.334282,265.269319
8.719415,0.699785,37.994146,18.276824,18.276824,249.131182
8.948441,0.638057,35.639907,21.313665,21.313665,244.647761
8.821272,0.681737,35.520193,13.844443,13.844443,240.225493
9.441632,0.685193,37.394426,18.296600,18.296600,243.820613
8.556756,0.565960,32.030417,11.901537,11.901537,235.975355
9.181853,0.565255,36.614320,17.897747,17.897747,243.007771
8.541844,0.592936,33.677800,17.866770,17.866770,241.959244
8.040237,0.609384,29.071946,14.825737,14.825737,234.190275
9.440064,0.744330,34.638805,15.610419,15.610419,239.737262
8.706582,0.793387,35.989255,14.048638,14.048638,233.941120
7.289987,0.535719,27.433972,12.412808,12.412808,222.554182
