#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.077760,0.051201,0.591817,0.014560,0.014560,9.746890
9.774987,0.186658,1.902715,0.004448,0.004448,11.873288
10.277554,0.304548,7.181222,0.453222,0.453222,38.082236
10.667415,0.478279,14.360427,0.699593,0.699593,63.248159
11.438658,0.498663,15.535356,0.653898,0.653898,60.154932
11.117790,0.461702,16.575115,1.115600,1.115600,65.727715
10.797145,0.402117,12.714036,1.479669,1.479669,64.857334
11.486082,0.362278,17.994110,1.263538,1.263538,71.324977
12.272526,0.447494,18.328484,1.413332,1.413332,67.500316
9.828107,0.376741,27.902891,63.918953,63.918953,153.582622
13.280827,0.476871,27.613159,1.402260,1.402260,91.654705
12.998648,0.504615,26.776475,1.733144,1.733144,83.173882
13.264667,0.415046,25.869070,1.980508,1.980508,85.728413
13.145434,0.300036,27.190113,2.068317,2.068317,86.147939
14.237513,0.344485,43.511208,2.181471,2.181471,126.693729
14.832082,0.384325,45.736039,2.393634,2.393634,131.574054
12.438992,0.592105,34.150915,2.605157,2.605157,124.123005
12.530833,0.381094,31.953060,2.600389,2.600389,111.279463
12.066570,0.467847,36.941035,3.197710,3.197710,129.151300
17.303381,0.310405,41.375721,3.595315,3.595315,238.112331
17.118514,0.424646,54.855080,3.535090,3.535090,146.268310
18.809578,0.433670,43.909806,4.928677,4.928677,147.409478
17.650042,0.417286,39.594768,4.640513,4.640513,134.734131
14.220682,0.448966,36.802121,4.619170,4.619170,157.418421
18.545543,0.290020,52.113602,4.938630,4.938630,152.303212
15.008277,0.355237,41.690734,4.002585,4.002585,137.150326
19.834361,0.630697,47.721476,4.706915,4.706915,157.847547
16.961488,0.350117,30.500240,5.913812,5.913812,135.194810
16.996977,0.338405,31.017911,6.199895,6.199895,152.869140
13.556704,0.258084,28.982778,6.999907,6.999907,137.926560
17.478423,0.398278,39.474575,5.357580,5.357580,159.331791
12.321102,0.247939,29.812230,4.687554,4.687554,131.710600
10.347026,0.320645,21.624786,6.200663,6.200663,122.038143
12.085995,0.682986,38.680132,6.251577,6.251577,151.065435
11.825031,0.324229,42.221589,4.456319,4.456319,147.853133
12.349935,0.437126,43.550504,5.992917,5.992917,154.564428
15.127286,0.458535,42.024786,5.857139,5.857139,159.149389
15.503708,0.401926,44.214930,6.999811,6.999811,159.186190
14.610287,0.543047,47.094843,4.343614,4.343614,158.489284
14.004230,0.609609,45.944234,6.561277,6.561277,158.231968
13.718051,0.827307,44.767194,4.459711,4.459711,157.609432
14.118120,0.594857,42.785981,5.834130,5.834130,162.239449
14.772433,0.623144,43.277253,3.923576,3.923576,153.519261
15.080085,0.555400,45.878633,5.538446,5.538446,167.607076
16.497226,0.578248,49.844993,6.767231,6.767231,165.887692
16.083363,0.530312,44.528182,6.359482,6.359482,159.008107
14.570894,0.522472,41.358185,3.712405,3.712405,148.249555
14.320650,0.424486,50.586957,7.669228,7.669228,161.791858
16.215173,0.496231,39.947830,4.148219,4.148219,152.166346
14.546830,0.432902,37.342064,5.698129,5.698129,144.334235
13.621665,0.375205,38.373215,4.775171,4.775171,139.807387
14.785745,0.476391,37.673045,6.489500,6.489500,148.600599
11.775015,0.423046,28.882424,5.042856,5.042856,130.595385
