#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.015329,3,1,0,431
0.004320,4,1,0,967
0.254116,5,1,0,1341
0.456454,6,1,0,1741
0.795243,7,1,0,2178
0.964237,8,1,0,2257
1.022382,9,1,0,2661
0.965549,10,1,0,3261
1.211537,0,0,0,0
92.942897,0,0,0,0
0.779691,0,0,0,0
1.586166,0,0,0,0
1.488405,0,0,0,0
1.448564,0,0,0,0
1.673463,0,0,0,0
1.742872,0,0,0,0
1.644374,0,0,0,0
2.157790,0,0,0,0
2.111070,0,0,0,0
2.594916,0,0,0,0
2.508451,0,0,0,0
3.988119,0,0,0,0
3.329199,0,0,0,0
3.587122,0,0,0,0
3.344590,0,0,0,0
3.594066,0,0,0,0
3.223501,0,0,0,0
3.294158,0,0,0,0
3.489361,0,0,0,0
2.656933,0,0,0,0
4.431870,0,0,0,0
2.955881,0,0,0,0
3.241006,0,0,0,0
4.502910,0,0,0,0
6.021044,0,0,0,0
4.045657,0,0,0,0
4.111386,0,0,0,0
2.812071,0,0,0,0
3.980631,0,0,0,0
4.218683,3,1,0,456
3.853302,4,1,0,648
0.005280,5,1,0,1107
0.004960,6,1,0,1462
0.300421,7,1,0,2164
0.402149,8,1,0,2818
0.909484,9,1,0,3246
1.075151,10,1,0,3771
1.263442,0,0,0,0
1.348370,0,0,0,0
1.578839,0,0,0,0
77.270134,0,0,0,0
1.377107,0,0,0,0
1.412147,0,0,0,0
1.637815,0,0,0,0
1.793913,0,0,0,0
2.149630,0,0,0,0
2.420769,0,0,0,0
2.574884,0,0,0,0
2.802759,0,0,0,0
2.568964,0,0,0,0
3.270222,0,0,0,0
3.526897,0,0,0,0
4.889733,0,0,0,0
5.053895,0,0,0,0
4.831043,0,0,0,0
4.341724,0,0,0,0
4.902885,0,0,0,0
4.888196,0,0,0,0
3.710708,0,0,0,0
4.559200,0,0,0,0
3.990200,0,0,0,0
3.707316,0,0,0,0
5.073511,0,0,0,0
3.080267,0,0,0,0
3.797493,0,0,0,0
4.832707,0,0,0,0
4.667361,0,0,0,0
5.097031,0,0,0,0
4.854532,0,0,0,0
6.617820,0,0,0,0
7.284134,0,0,0,0
8.653401,0,0,0,0
4.236251,0,0,0,0
4.143258,0,0,0,0
5.785744,0,0,0,0
4.300444,0,0,0,0
4.683841,0,0,0,0
4.634913,0,0,0,0
4.988134,0,0,0,0
5.301994,0,0,0,0
5.090055,0,0,0,0
4.407485,0,0,0,0
5.280874,0,0,0,0
6.880672,0,0,0,0
7.106595,0,0,0,0
5.281098,0,0,0,0
9.122495,0,0,0,0
6.033108,0,0,0,0
6.736158,0,0,0,0
6.733086,0,0,0,0
9.095103,0,0,0,0
7.506856,0,0,0,0
5.846258,0,0,0,0
5.064487,0,0,0,0
7.934191,0,0,0,0
6.387993,0,0,0,0
5.899315,0,0,0,0
10.228111,0,0,0,0
7.002914,0,0,0,0
9.524357,0,0,0,0
11.737220,0,0,0,0
10.148813,0,0,0,0
7.923727,0,0,0,0
10.309968,0,0,0,0
7.264742,0,0,0,0
10.134254,0,0,0,0
8.261940,0,0,0,0
8.708889,0,0,0,0
11.828037,0,0,0,0
9.121727,0,0,0,0
9.854634,0,0,0,0
11.789637,0,0,0,0
11.452768,0,0,0,0
9.831049,0,0,0,0
11.604098,0,0,0,0
10.179342,0,0,0,0
11.044218,0,0,0,0
15.628187,0,0,0,0
10.820855,0,0,0,0
13.994596,0,0,0,0
10.418322,0,0,0,0
12.150889,0,0,0,0
15.032370,0,0,0,0
7.734028,0,0,0,0
12.171978,0,0,0,0
12.150921,0,0,0,0
10.353361,0,0,0,0
4.800323,0,0,0,0
8.065456,0,0,0,0
10.840824,0,0,0,0
7.488456,0,0,0,0
7.955055,0,0,0,0
8.957213,0,0,0,0
5.147144,0,0,0,0
4.854499,0,0,0,0
5.824017,0,0,0,0
3.555793,0,0,0,0
5.733776,0,0,0,0
6.145365,0,0,0,0
6.480219,0,0,0,0
8.131089,0,0,0,0
7.353287,0,0,0,0
6.544219,0,0,0,0
7.920879,0,0,0,0
8.484055,0,0,0,0
4.849027,0,0,0,0
8.284692,0,0,0,0
9.238241,0,0,0,0
7.707115,0,0,0,0
8.087921,0,0,0,0
7.653899,0,0,0,0
5.407308,0,0,0,0
7.719180,0,0,0,0
6.306008,0,0,0,0
7.533257,0,0,0,0
7.562346,0,0,0,0
7.871374,0,0,0,0
9.210656,0,0,0,0
7.991407,0,0,0,0
7.750284,0,0,0,0
10.068333,0,0,0,0
9.449924,0,0,0,0
9.159040,0,0,0,0
8.353621,0,0,0,0
7.812717,0,0,0,0
5.480813,0,0,0,0
6.508891,0,0,0,0
5.795409,0,0,0,0
6.138902,0,0,0,0
8.257524,0,0,0,0
6.908065,0,0,0,0
4.998758,0,0,0,0
7.089219,0,0,0,0
8.192594,0,0,0,0
6.800607,0,0,0,0
8.530039,0,0,0,0
5.116264,0,0,0,0
9.458756,0,0,0,0
8.190514,0,0,0,0
7.506889,0,0,0,0
8.605144,0,0,0,0
4.725250,0,0,0,0
8.585208,0,0,0,0
9.223200,0,0,0,0
10.988282,0,0,0,0
7.353606,0,0,0,0
6.153334,0,0,0,0
9.902698,0,0,0,0
6.545947,0,0,0,0
9.083135,0,0,0,0
8.246963,0,0,0,0
11.012922,0,0,0,0
9.527397,0,0,0,0
8.791194,0,0,0,0
11.845061,0,0,0,0
10.947513,0,0,0,0
10.525747,0,0,0,0
6.566332,0,0,0,0
6.680637,0,0,0,0
5.383819,0,0,0,0
6.416154,0,0,0,0
6.657245,0,0,0,0
7.031043,0,0,0,0
9.803241,0,0,0,0
8.608856,0,0,0,0
7.124324,0,0,0,0
10.585555,0,0,0,0
5.795697,0,0,0,0
10.397905,0,0,0,0
6.562971,0,0,0,0
6.937921,0,0,0,0
9.035679,0,0,0,0
7.291878,0,0,0,0
7.079587,0,0,0,0
11.288381,0,0,0,0
6.952129,0,0,0,0
8.823292,0,0,0,0
7.005666,0,0,0,0
8.785402,0,0,0,0
8.865852,0,0,0,0
12.215082,0,0,0,0
10.719638,0,0,0,0
6.967489,0,0,0,0
7.252390,0,0,0,0
8.404118,0,0,0,0
7.344742,0,0,0,0
7.636363,0,0,0,0
8.644025,0,0,0,0
7.388232,0,0,0,0
7.407815,0,0,0,0
10.031885,0,0,0,0
9.603334,0,0,0,0
