#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403636579763555584.000000,0.000000,0.000000,20.667040,4.944452,0.004672,13.910850,9.942090,0.002497,28.618958
1403636579813555456.000000,0.000000,0.000000,20.493437,6.293752,0.089089,4.683745,6.716702,0.000928,30.856174
1403636579863555584.000000,0.000000,0.000000,18.798854,6.406105,0.083681,3.940823,7.210564,0.001056,29.451866
1403636579913555456.000000,0.000000,0.000000,18.334815,10.639764,0.102274,3.574194,8.142097,0.000992,33.409713
1403636579963555584.000000,0.000000,0.000000,17.648566,7.952974,0.143042,3.454960,8.825531,5.905330,50.307036
1403636580013555456.000000,0.000000,0.000000,17.491667,7.386215,0.108609,5.139560,9.066718,0.001056,53.585898
1403636580063555584.000000,0.000000,0.000000,18.644196,6.600924,0.070433,4.579520,9.828296,0.001344,41.104636
1403636580113555456.000000,0.000000,0.000000,16.428325,6.998305,0.092385,3.872277,9.076222,0.001408,38.647770
1403636580163555584.000000,0.000000,0.000000,18.496194,7.490952,0.096193,2.607045,10.259214,0.001408,41.701252
1403636580213555456.000000,0.000000,0.000000,17.384626,7.963182,0.107650,2.547075,9.836649,3.162092,47.657271
1403636580263555584.000000,0.000000,0.000000,20.959651,7.442087,0.121089,3.014474,5.174440,0.000960,47.145712
1403636580313555456.000000,0.000000,0.000000,18.067483,7.290534,0.131522,2.422913,5.328651,0.001376,43.953283
1403636580363555584.000000,0.000000,0.000000,15.919742,7.166692,0.133890,2.521347,6.854688,0.001216,40.181519
1403636580413555456.000000,0.000000,0.000000,17.959225,6.341752,0.137858,2.814791,7.133251,0.001216,41.579523
1403636580463555584.000000,0.000000,0.000000,16.083712,5.385579,0.145506,2.942441,7.144163,6.980802,41.319679
1403636580513555456.000000,0.000000,0.000000,17.910553,5.003237,0.135842,5.486957,5.496236,0.001248,35.575023
1403636580563555584.000000,0.000000,0.000000,18.752357,5.425452,0.158051,3.716275,6.287319,0.001440,36.320890
1403636580613555456.000000,0.000000,0.000000,16.157153,6.959584,0.179298,3.649138,6.194679,0.001472,37.062212
1403636580663555584.000000,0.000000,0.000000,16.996716,8.204179,0.185827,3.239886,7.107970,0.001376,39.924907
1403636580713555456.000000,0.000000,0.000000,18.003707,8.748282,0.166979,4.095417,7.354951,10.785750,48.510787
1403636580763555584.000000,0.000000,0.000000,20.827234,4.295996,0.220867,8.305075,9.595782,0.001536,40.366098
