#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.074152,0.025857,0.283044,0.014944,0.014944,9.409101
7.700244,0.108609,0.835917,0.004352,0.004352,8.652962
9.264683,0.228419,5.824215,0.283205,0.283205,29.885152
10.506846,0.353317,27.558589,0.489127,0.489127,70.144155
12.002996,0.468167,18.523926,0.396742,0.396742,71.046089
8.251452,0.337157,19.894794,0.738443,0.738443,66.694343
8.404894,0.316389,18.111791,1.188337,1.188337,70.289981
11.823025,0.336485,22.397328,1.157009,1.157009,93.464312
13.555499,0.319109,32.356292,1.392181,1.392181,101.683891
8.854244,0.196803,23.539041,43.105157,43.105157,125.674234
10.867587,0.254852,38.995976,1.396085,1.396085,118.027593
16.876860,0.357894,50.237584,1.663641,1.663641,134.318364
18.216529,0.385574,44.923617,2.163137,2.163137,139.492842
16.861501,0.311333,38.028889,2.342403,2.342403,120.909300
17.024991,0.328004,34.626727,2.550247,2.550247,129.761304
20.235855,0.326437,39.995352,3.027662,3.027662,157.014865
11.708816,0.196739,26.310922,3.029965,3.029965,126.210339
19.647879,0.329668,45.396361,3.358546,3.358546,156.997968
10.776130,0.215363,23.672546,2.833067,2.833067,124.403048
16.018800,0.157187,38.659459,4.003132,4.003132,153.069750
11.658767,0.127041,34.992621,3.505524,3.505524,138.802143
13.326727,0.139906,38.089019,4.904105,4.904105,161.562964
10.621856,0.152450,29.585595,4.635270,4.635270,135.117833
11.328778,0.196611,39.579793,4.235423,4.235423,149.131482
9.953205,0.194051,33.358420,4.652421,4.652421,142.253940
10.369435,0.205443,31.216628,4.438691,4.438691,256.430977
8.834756,0.269092,24.676434,4.296960,4.296960,130.211646
12.023061,0.180610,33.850011,3.800057,3.800057,139.677165
11.465740,0.174850,30.926960,4.178431,4.178431,157.655706
9.437805,0.155043,29.494298,4.191103,4.191103,130.769415
19.919275,0.330629,81.223905,3.992284,3.992284,238.458485
22.243470,0.339205,83.805703,4.285472,4.285472,235.523977
22.786997,0.405798,50.708536,4.459587,4.459587,181.526431
20.713655,0.352805,50.346194,3.160368,3.160368,172.573210
23.997480,0.300836,76.636636,4.740039,4.740039,234.003154
16.709210,0.404838,51.573157,3.474964,3.474964,180.185419
14.267830,0.212035,37.737493,3.466900,3.466900,164.662371
14.391032,0.283012,34.103455,4.895881,4.895881,185.692222
12.685534,0.207715,28.757583,5.333808,5.333808,127.352756
13.461674,0.102817,29.389688,2.681256,2.681256,124.748333
14.826174,0.196483,34.419460,4.195423,4.195423,145.289409
11.425611,0.134722,28.922257,4.968554,4.968554,109.974959
7.154827,0.067841,17.147265,3.327506,3.327506,96.231874
6.783238,0.010592,16.927133,2.377284,2.377284,80.965533
7.870645,0.025473,0.311781,0.004896,0.004896,8.216859
8.106458,0.080513,0.864845,0.004384,0.004384,9.059752
7.880854,0.118754,1.175794,0.176354,0.176354,17.759499
8.375582,0.120354,1.493110,0.459974,0.459974,17.761834
8.676002,0.095073,2.259394,0.591945,0.591945,20.306928
8.844869,0.063233,2.322146,0.702955,0.702955,22.083947
8.882853,0.051521,2.766570,0.825516,0.825516,33.181809
8.752099,0.040993,2.814826,0.955182,0.955182,26.287754
9.161001,0.025152,3.730008,1.182577,1.182577,30.097474
9.790195,0.036384,3.800153,64.527559,64.527559,96.124224
10.051479,0.030976,4.527268,1.510998,1.510998,44.517531
9.788883,0.007008,4.685894,1.011727,1.011727,46.912383
7.190316,0.029089,0.358565,0.005344,0.005344,7.586866
7.774132,0.090786,0.989550,0.004449,0.004449,8.862501
8.065113,0.187299,1.704761,0.428199,0.428199,19.214080
8.532479,0.207908,4.985514,0.488487,0.488487,28.024132
8.849541,0.164290,14.116436,0.681258,0.681258,43.702159
9.893588,0.288869,13.247430,0.914958,0.914958,57.200057
8.165562,0.238499,26.948340,1.054831,1.054831,71.616880
9.608304,0.313925,26.180776,1.280819,1.280819,80.998910
9.485134,0.314501,23.686371,1.380181,1.380181,83.935754
13.585995,0.450375,41.331819,84.342191,84.342191,204.812732
9.635248,0.395046,34.284866,1.168050,1.168050,92.364072
10.501245,0.477512,33.057423,1.252338,1.252338,119.892996
15.587753,0.518056,50.087759,1.830588,1.830588,132.961384
16.076657,0.532008,45.842222,2.032063,2.032063,142.497079
11.963283,0.483143,35.968443,1.968126,1.968126,121.828865
13.130437,0.550824,38.413152,2.233794,2.233794,134.985543
9.912757,0.519015,36.315520,2.335523,2.335523,132.056058
10.930916,0.544616,44.943073,3.066574,3.066574,154.813616
8.688002,0.349509,29.863008,3.034285,3.034285,134.655330
9.129673,0.368997,33.256499,3.309874,3.309874,142.334869
7.993176,0.284900,28.666925,3.499892,3.499892,140.170836
8.553152,0.317029,28.343432,4.404930,4.404930,171.271046
10.982340,0.340389,36.610341,4.492100,4.492100,160.786025
6.224221,0.183939,20.861145,4.394018,4.394018,151.050327
10.145976,0.334789,37.790199,4.399618,4.399618,203.252582
6.749733,0.296613,21.279550,4.658790,4.658790,268.984318
5.318608,0.259940,14.627227,4.409346,4.409346,138.764063
11.256809,0.506536,37.964952,3.298737,3.298737,156.665228
11.658318,0.443911,32.155906,3.134063,3.134063,177.765511
13.354920,0.634793,43.509516,3.385075,3.385075,195.777973
12.597757,0.585064,35.036493,4.870728,4.870728,183.922820
11.179239,0.523432,31.957215,3.931707,3.931707,189.853436
11.891666,0.490600,32.820459,5.072620,5.072620,186.027811
9.490798,0.399270,27.918979,3.871034,3.871034,164.531265
6.802406,0.213347,22.242094,3.560758,3.560758,189.594425
9.132104,0.317573,34.149664,4.518852,4.518852,190.045567
9.299596,0.334981,34.577670,4.752871,4.752871,211.172316
8.171322,0.315493,27.714335,4.539684,4.539684,207.837034
7.640466,0.242564,23.654850,3.353266,3.353266,168.297689
12.552380,0.377062,39.989271,3.570261,3.570261,249.011379
12.058869,0.369125,39.005449,3.766008,3.766008,223.795065
16.234772,0.413734,51.218975,6.825414,6.825414,248.492235
11.699599,0.376966,37.681172,3.811481,3.811481,201.263111
10.848098,0.295653,36.236095,3.802297,3.802297,222.696520
12.881537,0.315525,42.470428,3.962459,3.962459,221.697626
12.811328,0.371781,41.070088,5.457105,5.457105,214.419788
8.295356,0.267108,25.633472,2.858186,2.858186,199.416363
10.009398,0.284645,34.516997,3.049005,3.049005,199.103399
8.663362,0.353637,27.363098,4.069917,4.069917,197.388589
9.928629,0.289124,32.450182,5.542195,5.542195,203.153316
10.284794,0.312869,34.208288,5.999578,5.999578,204.148499
8.943174,0.331941,29.841631,4.350945,4.350945,193.338800
10.295578,0.322821,36.484386,4.221887,4.221887,191.802393
10.897380,0.344261,36.722118,5.628404,5.628404,253.683321
10.087479,0.290149,34.890250,6.855334,6.855334,196.107450
9.492494,0.288356,32.714410,3.151440,3.151440,189.032656
10.098327,0.337317,35.958011,6.356287,6.356287,194.336351
10.420572,0.396774,33.822747,4.934442,4.934442,203.819022
10.744801,0.323269,34.473476,4.387714,4.387714,199.109447
17.145793,0.636137,49.222434,7.216940,7.216940,223.924763
17.254210,0.673290,53.485410,5.117677,5.117677,233.026083
