#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.008418,0.052033,0.593000,0.015392,0.015392,9.681068
9.712652,0.183555,1.948636,0.004576,0.004576,11.853899
10.343829,0.307333,7.028678,0.447782,0.447782,38.379147
9.627660,0.387429,12.744121,0.667754,0.667754,50.747775
11.253858,0.523688,15.073498,0.865612,0.865612,62.662186
11.908044,0.460999,17.690752,1.135025,1.135025,69.681393
11.295363,0.526728,19.606524,1.277202,1.277202,73.325669
11.103457,0.439430,15.904743,1.426196,1.426196,72.895295
11.710409,0.313061,19.977889,1.222001,1.222001,80.252362
12.672824,0.436998,31.187683,45.570676,45.570676,137.686345
12.987740,0.411014,34.149262,1.510997,1.510997,88.633443
14.219342,0.613417,31.741067,1.905371,1.905371,98.147820
12.021134,0.347845,24.471458,2.029757,2.029757,84.177986
13.217440,0.386789,27.959061,2.108095,2.108095,89.171499
13.562213,0.321188,26.416351,2.316705,2.316705,91.192104
13.527684,0.245540,26.509951,2.853289,2.853289,97.265088
15.063066,0.236132,22.986733,3.011563,3.011563,107.792633
15.472512,0.408646,50.835904,3.179246,3.179246,133.160520
17.167929,0.466502,42.163811,3.663029,3.663029,147.161266
11.735882,0.419046,32.432085,3.506706,3.506706,119.975080
17.128504,0.329541,45.420529,4.042874,4.042874,293.925470
18.597357,0.446727,52.074097,4.923975,4.923975,154.753728
18.244552,0.468807,44.054781,4.967560,4.967560,161.831110
11.440933,0.180131,25.432240,4.991432,4.991432,110.743906
18.976914,0.378662,46.951783,5.022216,5.022216,149.923930
18.164455,0.389413,54.777241,4.866630,4.866630,159.382594
20.117412,0.468550,51.103908,5.358381,5.358381,164.012294
19.785407,0.636393,43.576631,5.455823,5.455823,175.498284
18.262089,0.432198,41.562201,5.894262,5.894262,173.177803
16.833620,0.321188,37.763971,6.393436,6.393436,156.439800
8.261240,0.202179,22.242657,5.945238,5.945238,120.095754
13.565284,0.488935,30.891775,6.334524,6.334524,141.503616
14.369584,0.634633,40.729389,4.344671,4.344671,149.826232
14.527154,0.467911,43.110640,5.476559,5.476559,156.009425
14.441329,0.430727,46.767045,6.387645,6.387645,166.072676
14.678357,0.352549,43.248594,4.082587,4.082587,154.727584
14.997849,0.562472,48.908068,6.212442,6.212442,159.308385
8.405786,0.302308,25.299535,5.952438,5.952438,121.296444
14.468753,0.594249,26.364893,4.092347,4.092347,134.099572
13.836424,0.762956,43.318450,5.514544,5.514544,155.326696
13.627430,0.718698,47.493775,7.305898,7.305898,192.629700
14.313647,0.597545,44.319809,4.376479,4.376479,155.238598
15.056058,0.559400,41.371671,5.792724,5.792724,158.486902
11.485990,0.366342,30.184500,6.137944,6.137944,135.317734
12.961212,0.371909,34.811352,5.096394,5.096394,133.359690
14.913560,0.416358,36.413327,5.159626,5.159626,138.268017
12.911834,0.383814,30.884351,4.799398,4.799398,129.706549
14.854039,0.455559,32.739513,5.287277,5.287277,136.045777
14.160461,0.417414,41.403608,3.773559,3.773559,139.554948
14.263662,0.434055,27.847059,6.366204,6.366204,138.864090
15.154619,0.451655,41.367670,5.543728,5.543728,152.836900
16.185578,0.548104,48.192249,4.181756,4.181756,168.512454
9.306151,0.262148,28.745440,5.879989,5.879989,126.303108
11.043488,0.398821,30.838015,5.612849,5.612849,132.379292
11.657961,0.410918,27.896788,4.007802,4.007802,135.046627
12.667127,0.503367,30.145685,6.527455,6.527455,136.799580
15.528705,0.627049,40.208486,5.122090,5.122090,153.562543
12.892666,0.300005,35.595299,4.246877,4.246877,137.133728
15.351166,0.465767,41.088594,6.887555,6.887555,163.727841
9.866991,0.380901,29.159526,4.347615,4.347615,129.321808
10.862013,0.369670,26.872645,6.773890,6.773890,235.413039
13.700230,0.592201,31.843404,6.049751,6.049751,134.161909
13.800904,0.339365,36.324653,4.299871,4.299871,138.314322
12.476085,0.398789,33.436644,5.410446,5.410446,136.017584
10.903166,0.378694,29.777710,4.370847,4.370847,128.166399
12.914011,0.434982,32.157073,5.648530,5.648530,141.127226
10.869405,0.456007,30.051539,5.351085,5.351085,143.348378
11.720266,0.562216,34.938714,4.371263,4.371263,141.999815
10.924830,0.638218,32.534294,7.064711,7.064711,142.588400
14.387088,0.977198,52.075250,5.398414,5.398414,182.719732
12.802649,0.819020,39.225528,7.479980,7.479980,159.056190
13.845576,0.994094,43.273331,7.406955,7.406955,164.776464
