#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.015520,3,1,0,924
0.004800,4,1,0,965
0.369094,5,1,0,1408
0.478728,6,1,0,1904
0.888367,7,1,0,2202
0.978448,8,1,0,2546
1.199603,9,1,0,2856
1.429848,10,1,0,2922
1.575770,0,0,0,0
75.746385,0,0,0,0
1.687291,0,0,0,0
1.912575,0,0,0,0
2.319813,0,0,0,0
2.411048,0,0,0,0
2.925968,0,0,0,0
2.785294,0,0,0,0
3.018386,0,0,0,0
3.122290,0,0,0,0
3.516985,0,0,0,0
3.795262,0,0,0,0
4.182436,0,0,0,0
6.604460,0,0,0,0
6.182213,0,0,0,0
5.305751,0,0,0,0
4.708013,0,0,0,0
5.301334,0,0,0,0
4.264773,0,0,0,0
5.634972,0,0,0,0
5.716029,0,0,0,0
5.290742,0,0,0,0
5.860991,0,0,0,0
6.631468,0,0,0,0
6.197157,0,0,0,0
7.191317,0,0,0,0
4.505737,0,0,0,0
5.757694,0,0,0,0
6.893072,0,0,0,0
4.458024,0,0,0,0
4.404872,0,0,0,0
6.016962,0,0,0,0
5.972545,0,0,0,0
7.148468,0,0,0,0
4.877776,0,0,0,0
6.340999,0,0,0,0
7.417145,0,0,0,0
4.971697,0,0,0,0
7.577211,0,0,0,0
4.937873,0,0,0,0
6.125667,0,0,0,0
6.311591,0,0,0,0
4.885007,0,0,0,0
5.861152,0,0,0,0
5.999106,0,0,0,0
4.982289,0,0,0,0
4.632108,0,0,0,0
6.817743,0,0,0,0
6.176612,0,0,0,0
6.101220,0,0,0,0
5.194260,0,0,0,0
7.775839,0,0,0,0
5.193588,0,0,0,0
7.254454,0,0,0,0
5.673308,0,0,0,0
6.066211,0,0,0,0
7.580955,0,0,0,0
4.672524,0,0,0,0
6.215973,0,0,0,0
8.148068,0,0,0,0
5.305495,0,0,0,0
4.572202,0,0,0,0
4.872015,0,0,0,0
6.482153,0,0,0,0
7.226358,0,0,0,0
4.901168,0,0,0,0
6.399176,0,0,0,0
7.412825,0,0,0,0
4.982705,0,0,0,0
6.465609,0,0,0,0
5.777470,0,0,0,0
4.832943,0,0,0,0
6.209861,0,0,0,0
6.141028,0,0,0,0
7.476474,0,0,0,0
5.337335,0,0,0,0
4.459080,0,0,0,0
5.891904,0,0,0,0
7.140117,0,0,0,0
4.626635,0,0,0,0
5.809918,0,0,0,0
4.906479,0,0,0,0
5.171410,0,0,0,0
5.391191,0,0,0,0
6.622954,0,0,0,0
7.283349,0,0,0,0
5.703899,0,0,0,0
6.152579,0,0,0,0
6.832142,0,0,0,0
8.316325,0,0,0,0
8.247589,0,0,0,0
10.193763,0,0,0,0
7.691675,0,0,0,0
9.272021,0,0,0,0
9.758909,0,0,0,0
