#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.031027,0.052608,0.581930,0.014912,0.014912,9.692029
9.756318,0.178147,1.979200,0.005920,0.005920,11.923457
10.494667,0.361158,7.839935,0.447272,0.447272,39.258974
11.394105,0.411974,16.074693,0.488743,0.488743,56.230385
11.375001,0.542377,16.236551,0.630603,0.630603,61.256899
9.339607,0.593194,17.215831,0.885934,0.885934,59.923564
11.315576,0.523208,21.839811,1.515289,1.515289,76.593531
11.182805,0.408135,16.505964,1.324629,1.324629,69.518664
10.295304,0.277988,19.809442,1.580218,1.580218,67.671083
9.725790,0.346246,27.616704,48.176430,48.176430,128.572551
9.356952,0.280676,31.298716,1.427416,1.427416,78.460314
14.264616,0.598825,34.457744,2.039426,2.039426,116.663078
10.680622,0.354950,27.787491,2.501864,2.501864,94.444029
11.430906,0.330437,28.360172,2.214500,2.214500,89.874035
12.668174,0.286213,26.009670,2.307238,2.307238,89.193224
15.142550,0.365798,37.611842,2.684684,2.684684,123.201968
15.814432,0.297541,39.801830,3.863999,3.863999,125.878811
16.238503,0.435943,44.821848,3.241588,3.241588,134.160129
18.058341,0.630506,44.502451,3.188308,3.188308,136.847981
18.422539,0.394854,42.161517,3.480313,3.480313,132.935054
17.730175,0.354918,41.494658,3.823230,3.823230,139.888574
16.112773,0.352582,32.798772,5.106835,5.106835,136.883757
18.733936,0.388454,50.300529,5.409752,5.409752,345.769804
18.667375,0.425703,56.113167,5.345111,5.345111,158.090758
18.797137,0.410087,46.478290,4.594251,4.594251,178.170636
17.709056,0.496232,44.714230,4.919888,4.919888,146.090980
11.950594,0.309413,46.746135,4.799822,4.799822,140.164803
12.853777,0.461287,38.295470,4.434248,4.434248,136.185123
18.294281,0.658091,48.066092,4.312518,4.312518,183.940938
16.873138,0.460840,40.743317,6.232645,6.232645,156.897907
8.494730,0.194627,19.489116,5.584699,5.584699,129.070799
11.970018,0.364102,29.430270,5.914048,5.914048,132.550247
14.028035,0.647371,39.674436,7.128371,7.128371,155.736543
14.104965,0.461959,45.836680,4.134115,4.134115,151.343032
14.525036,0.467176,46.169709,5.764254,5.764254,157.876515
15.398490,0.471240,44.801463,5.767230,5.767230,186.818201
15.348858,0.535592,42.522643,6.700525,6.700525,148.087204
11.657597,0.372870,38.051593,4.399431,4.399431,133.786267
14.357161,0.696267,53.141439,5.653916,5.653916,182.293455
13.841248,0.695052,42.481617,5.960705,5.960705,147.679613
13.609981,0.752077,43.199549,5.108723,5.108723,151.544284
13.530779,0.637163,46.047755,4.457449,4.457449,185.494691
14.472459,0.598186,43.647909,6.365447,6.365447,158.888339
9.445466,0.385158,31.033400,5.388759,5.388759,127.078799
13.606236,0.411847,39.864359,4.316774,4.316774,140.534537
13.338233,0.489128,40.561138,6.266086,6.266086,147.386873
11.520507,0.389446,27.367453,4.346887,4.346887,126.881900
14.205606,0.413767,31.512287,6.605739,6.605739,138.320741
13.195958,0.392551,38.224908,5.106803,5.106803,135.971039
13.769184,0.362118,41.497121,4.032321,4.032321,139.346326
15.608286,0.468999,37.620803,6.406440,6.406440,155.874978
16.048612,0.481320,47.952010,4.606763,4.606763,155.677887
12.838257,0.280740,40.058442,6.084547,6.084547,143.797054
16.076965,0.612714,50.884954,5.368407,5.368407,159.938212
9.898849,0.308485,26.440653,4.490281,4.490281,125.065743
13.855809,0.466983,33.030104,6.819631,6.819631,143.369879
11.141525,0.437671,30.311052,4.362023,4.362023,139.010864
10.827632,0.314245,34.405966,5.799774,5.799774,141.858847
11.671614,0.370950,34.445679,4.702188,4.702188,139.402551
