#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.015265,3,1,0,759
0.005472,4,1,0,913
0.452743,5,1,0,1365
0.717100,6,1,0,1792
0.828877,7,1,0,2164
0.907247,8,1,0,2585
1.206772,9,1,0,2821
1.416152,10,1,0,3014
1.611450,0,0,0,0
59.392669,0,0,0,0
1.744541,0,0,0,0
1.977601,0,0,0,0
2.087331,0,0,0,0
2.280294,0,0,0,0
2.684205,0,0,0,0
3.197749,0,0,0,0
3.352248,0,0,0,0
3.360152,0,0,0,0
3.569723,0,0,0,0
3.896161,0,0,0,0
4.253927,0,0,0,0
5.583805,0,0,0,0
5.589853,0,0,0,0
5.584541,0,0,0,0
5.079861,0,0,0,0
5.440475,0,0,0,0
4.250695,0,0,0,0
5.255416,0,0,0,0
6.184327,0,0,0,0
6.108261,0,0,0,0
7.226104,0,0,0,0
5.280664,0,0,0,0
6.565902,0,0,0,0
6.391722,0,0,0,0
6.501484,0,0,0,0
6.457323,0,0,0,0
7.282457,0,0,0,0
4.723150,0,0,0,0
6.160230,0,0,0,0
5.840610,0,0,0,0
6.503244,0,0,0,0
6.612463,0,0,0,0
6.693839,0,0,0,0
6.833329,0,0,0,0
6.581326,0,0,0,0
5.416667,0,0,0,0
8.333099,0,0,0,0
6.194471,0,0,0,0
7.425724,0,0,0,0
5.122261,0,0,0,0
7.238553,0,0,0,0
5.142454,0,0,0,0
7.405723,0,0,0,0
4.999123,0,0,0,0
7.331834,0,0,0,0
4.797263,0,0,0,0
7.276953,0,0,0,0
5.692415,0,0,0,0
7.060918,0,0,0,0
4.601100,0,0,0,0
5.821089,0,0,0,0
5.853249,0,0,0,0
4.750479,0,0,0,0
6.412267,0,0,0,0
5.823681,0,0,0,0
6.399434,0,0,0,0
7.156184,0,0,0,0
4.680141,0,0,0,0
6.960500,0,0,0,0
4.681550,0,0,0,0
7.009781,0,0,0,0
4.651758,0,0,0,0
6.152231,0,0,0,0
4.796656,0,0,0,0
7.143959,0,0,0,0
4.426890,0,0,0,0
5.711039,0,0,0,0
6.310889,0,0,0,0
4.078180,0,0,0,0
6.263656,0,0,0,0
5.539484,0,0,0,0
5.630109,0,0,0,0
6.681487,0,0,0,0
3.973506,0,0,0,0
5.279512,0,0,0,0
5.926499,0,0,0,0
4.840048,0,0,0,0
6.454027,0,0,0,0
6.558893,0,0,0,0
6.598222,0,0,0,0
7.048757,0,0,0,0
5.987076,0,0,0,0
7.945764,0,0,0,0
8.244137,0,0,0,0
8.006918,0,0,0,0
7.067926,0,0,0,0
7.575934,0,0,0,0
10.606801,0,0,0,0
9.106104,0,0,0,0
10.160041,0,0,0,0
10.537808,0,0,0,0
10.258699,0,0,0,0
9.628800,0,0,0,0
12.845398,0,0,0,0
10.590192,0,0,0,0
12.479471,0,0,0,0
8.794034,0,0,0,0
11.529024,0,0,0,0
8.604335,0,0,0,0
13.547201,0,0,0,0
8.992885,0,0,0,0
10.815444,0,0,0,0
12.093321,0,0,0,0
11.637602,0,0,0,0
9.343899,0,0,0,0
10.797652,0,0,0,0
10.934455,0,0,0,0
11.307421,0,0,0,0
11.485375,0,0,0,0
9.850340,0,0,0,0
11.854694,0,0,0,0
12.200235,0,0,0,0
12.370030,0,0,0,0
12.676852,0,0,0,0
10.719026,0,0,0,0
12.681715,0,0,0,0
11.909318,0,0,0,0
12.410095,0,0,0,0
12.586769,0,0,0,0
12.603026,0,0,0,0
10.602673,0,0,0,0
15.688613,0,0,0,0
10.045031,0,0,0,0
14.701525,0,0,0,0
11.343005,0,0,0,0
14.179820,0,0,0,0
10.828884,0,0,0,0
13.023001,0,0,0,0
11.283356,0,0,0,0
14.248781,0,0,0,0
9.501086,0,0,0,0
12.143947,0,0,0,0
11.618273,0,0,0,0
11.607906,0,0,0,0
10.262411,0,0,0,0
12.562001,0,0,0,0
14.038762,0,0,0,0
13.807301,0,0,0,0
9.890788,0,0,0,0
13.331710,0,0,0,0
9.830532,0,0,0,0
9.987335,0,0,0,0
13.616226,0,0,0,0
9.597984,0,0,0,0
10.712563,0,0,0,0
11.423742,0,0,0,0
11.005943,0,0,0,0
11.494368,0,0,0,0
13.649060,0,0,0,0
11.624066,0,0,0,0
11.685826,0,0,0,0
10.924118,0,0,0,0
16.894074,0,0,0,0
11.395710,0,0,0,0
13.150203,0,0,0,0
10.921942,0,0,0,0
13.264253,0,0,0,0
12.418318,0,0,0,0
13.094810,0,0,0,0
10.657490,0,0,0,0
11.069816,0,0,0,0
13.173915,0,0,0,0
13.015481,0,0,0,0
13.530497,0,0,0,0
11.481535,0,0,0,0
13.369471,0,0,0,0
13.858471,0,0,0,0
11.778020,0,0,0,0
13.330078,0,0,0,0
11.890854,0,0,0,0
11.725411,0,0,0,0
12.054633,0,0,0,0
12.426607,0,0,0,0
14.790519,0,0,0,0
12.711667,0,0,0,0
13.363038,0,0,0,0
14.259566,0,0,0,0
12.973624,0,0,0,0
12.629490,0,0,0,0
14.674004,0,0,0,0
14.520306,0,0,0,0
15.730246,0,0,0,0
19.769001,0,0,0,0
15.036122,0,0,0,0
14.407856,0,0,0,0
15.183261,0,0,0,0
11.186906,0,0,0,0
15.771335,0,0,0,0
16.144269,0,0,0,0
18.935708,0,0,0,0
15.303007,0,0,0,0
15.035259,0,0,0,0
15.142748,0,0,0,0
20.173200,0,0,0,0
14.882392,0,0,0,0
16.336816,0,0,0,0
20.555638,0,0,0,0
21.948717,0,0,0,0
21.663049,0,0,0,0
14.981882,0,0,0,0
12.885238,0,0,0,0
15.536579,0,0,0,0
15.637381,0,0,0,0
13.715717,0,0,0,0
12.531601,0,0,0,0
18.064972,0,0,0,0
10.547471,0,0,0,0
10.204874,0,0,0,0
10.669010,0,0,0,0
15.196413,0,0,0,0
13.039577,0,0,0,0
8.728049,0,0,0,0
14.089962,0,0,0,0
13.419583,0,0,0,0
9.005942,0,0,0,0
14.055338,0,0,0,0
12.870134,0,0,0,0
14.460880,0,0,0,0
11.072760,0,0,0,0
9.459069,0,0,0,0
5.368506,0,0,0,0
12.346254,0,0,0,0
8.801235,0,0,0,0
11.507904,0,0,0,0
11.648834,0,0,0,0
11.322748,0,0,0,0
12.014536,0,0,0,0
10.401293,0,0,0,0
10.581520,0,0,0,0
10.537679,0,0,0,0
6.968820,0,0,0,0
7.181144,0,0,0,0
13.418655,0,0,0,0
8.950710,0,0,0,0
8.953461,0,0,0,0
12.460048,0,0,0,0
9.782435,0,0,0,0
10.369069,0,0,0,0
10.520207,0,0,0,0
10.332140,0,0,0,0
9.867140,0,0,0,0
10.909461,0,0,0,0
13.021017,0,0,0,0
10.305356,0,0,0,0
13.464256,0,0,0,0
10.444110,0,0,0,0
9.977287,0,0,0,0
10.731475,0,0,0,0
13.892136,0,0,0,0
11.563393,0,0,0,0
14.585747,0,0,0,0
13.938824,0,0,0,0
10.162473,0,0,0,0
11.452383,0,0,0,0
11.572321,0,0,0,0
11.738340,0,0,0,0
10.601073,0,0,0,0
9.545919,0,0,0,0
10.517551,0,0,0,0
10.855893,0,0,0,0
11.417182,0,0,0,0
12.898679,0,0,0,0
11.366462,0,0,0,0
16.834936,0,0,0,0
10.254411,0,0,0,0
17.026267,0,0,0,0
10.975574,0,0,0,0
17.561093,0,0,0,0
