#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403638127295097088.000000,0.000000,0.000000,21.792702,3.113174,0.004160,11.214565,2.865970,0.003424,29.642664
1403638127345096960.000000,0.000000,0.000000,22.448074,2.713487,0.084705,2.301256,3.136599,0.001568,29.219744
1403638127395097088.000000,0.000000,0.000000,22.063939,4.169801,0.074977,2.264839,2.665071,0.001376,30.173425
1403638127445096960.000000,0.000000,0.000000,19.794491,5.082170,0.105506,2.449003,2.799633,0.001152,29.042462
1403638127495097088.000000,0.000000,0.000000,19.940317,3.778563,0.125154,2.515980,2.638991,1.596092,27.911178
1403638127545096960.000000,0.000000,0.000000,20.702411,6.473073,0.127234,2.730832,2.567341,0.001216,31.498441
1403638127595097088.000000,0.000000,0.000000,19.010670,6.357391,0.122626,2.730992,2.547436,0.001024,30.552088
1403638127645096960.000000,0.000000,0.000000,19.576727,6.486994,0.119682,2.338281,2.596589,0.001216,32.974435
1403638127695097088.000000,0.000000,0.000000,19.413717,6.455505,0.127810,2.184998,3.128759,0.001088,30.197841
1403638127745096960.000000,0.000000,0.000000,19.696185,6.388304,0.126530,2.138789,3.140311,3.313274,30.323700
1403638127795097088.000000,0.000000,0.000000,18.409410,6.107179,0.123938,3.569503,3.284122,0.001408,28.881083
1403638127845096960.000000,0.000000,0.000000,21.354326,6.371311,0.124546,3.074326,3.390076,0.001664,34.015540
1403638127895097088.000000,0.000000,0.000000,18.519333,6.394384,0.122914,2.813297,3.244569,0.000992,29.106174
1403638127945096960.000000,0.000000,0.000000,20.581385,6.251918,0.125122,2.661358,3.413308,0.001248,31.167042
1403638127995097088.000000,0.000000,0.000000,21.075666,6.574259,0.118498,2.479788,3.391355,3.239417,31.803918
1403638128045096960.000000,0.000000,0.000000,20.944687,6.590772,0.094242,3.615615,3.845572,0.001312,31.911088
1403638128095097088.000000,0.000000,0.000000,20.003391,6.443665,0.118018,3.226393,3.418140,0.001184,30.979007
1403638128145096960.000000,0.000000,0.000000,20.423462,6.735830,0.123522,2.967092,3.989478,0.001184,31.404583
1403638128195097088.000000,0.000000,0.000000,20.258724,3.389243,0.123362,3.214936,3.444444,0.001440,27.992523
1403638128245096960.000000,0.000000,0.000000,18.827082,6.205997,0.122946,2.537164,4.044839,3.456636,29.170175
1403638128295097088.000000,0.000000,0.000000,18.912203,6.372944,0.117922,5.011576,3.462172,0.001312,29.416516
1403638128345096960.000000,0.000000,0.000000,20.715787,6.487505,0.128035,3.915333,4.018342,0.001216,31.639243
1403638128395097088.000000,0.000000,0.000000,19.544279,6.374992,0.126402,3.444573,4.450670,0.001248,30.281491
1403638128445096960.000000,0.000000,0.000000,20.152609,6.657108,0.125763,2.971092,4.426606,0.001216,31.274756
1403638128495097088.000000,0.000000,0.000000,20.083649,6.248013,0.122818,3.169527,4.435150,5.824838,30.682714
1403638128545096960.000000,0.000000,0.000000,20.610218,6.139628,0.150338,5.942152,6.075371,0.001120,30.978911
1403638128595097088.000000,0.000000,0.000000,18.784554,6.375312,0.129954,5.595650,6.562099,0.001440,30.003886
1403638128645096960.000000,0.000000,0.000000,20.574345,6.551379,0.126626,5.088857,7.013467,0.001248,31.320517
1403638128695097088.000000,0.000000,0.000000,18.203839,6.157036,0.128418,4.522608,5.536481,4.929527,28.556085
1403638128745096960.000000,0.000000,0.000000,20.590985,6.397616,0.123042,7.570981,7.509092,0.001633,31.221347
1403638128795097088.000000,0.000000,0.000000,19.134608,6.579220,0.130114,7.125341,7.019035,0.001312,30.078960
1403638128845096960.000000,0.000000,0.000000,18.791209,6.269422,0.128386,5.870375,6.717654,0.001312,29.235872
1403638128895097088.000000,0.000000,0.000000,18.856427,6.445649,0.131458,6.679669,7.285664,0.001152,35.784595
1403638128945096960.000000,0.000000,0.000000,21.462809,6.293582,0.136578,5.359006,6.791287,3.763874,46.538672
1403638128995097088.000000,0.000000,0.000000,20.455910,6.353711,0.199684,7.076957,9.063134,0.001472,36.998281
1403638129045096960.000000,0.000000,0.000000,19.652729,6.442801,0.124610,8.167887,9.826093,0.001408,35.197097
1403638129095097088.000000,0.000000,0.000000,21.249781,6.385840,0.141922,6.089163,9.166401,2.492908,37.460945
1403638129145096960.000000,0.000000,0.000000,19.717818,6.382736,0.129506,6.277358,9.663914,0.001440,37.000873
1403638129195097088.000000,0.000000,0.000000,20.981392,4.008487,0.165859,5.304029,7.452387,0.001248,34.635615
1403638129245096960.000000,0.000000,0.000000,20.685035,8.076077,0.134019,5.417215,8.201072,0.001088,38.472866
1403638129295097088.000000,0.000000,0.000000,18.175583,9.201986,0.128674,6.032361,9.559464,2.322344,36.688419
1403638129345096960.000000,0.000000,0.000000,19.243698,11.318919,0.131362,6.764406,10.367798,0.001376,40.299939
1403638129395097088.000000,0.000000,0.000000,18.786089,11.441608,0.132003,4.827124,8.022413,0.001152,43.210390
1403638129445096960.000000,0.000000,0.000000,19.639576,11.770446,0.108802,0.131203,16.416671,0.123202,44.355722
1403638129495097088.000000,0.000000,0.000000,19.480085,11.672941,0.127906,0.170339,20.469191,0.141794,42.015521
1403638129545096960.000000,0.000000,0.000000,20.593961,11.280294,0.126850,0.138370,17.265935,3.322298,42.589418
1403638129595097088.000000,0.000000,0.000000,19.754234,10.517720,0.102050,0.215076,19.145040,0.165059,40.958510
1403638129645096960.000000,0.000000,0.000000,18.880779,10.352758,0.128162,0.140419,16.570082,3.286714,42.668652
1403638129695097088.000000,0.000000,0.000000,19.476981,4.948247,0.075329,0.175715,19.669401,0.222532,36.221499
1403638129745096960.000000,0.000000,0.000000,22.122756,10.584186,0.138626,0.184163,18.131486,3.210809,43.834016
1403638129795097088.000000,0.000000,0.000000,18.930988,10.247316,0.136034,0.164419,17.179405,0.153250,40.924814
1403638129845096960.000000,0.000000,0.000000,19.493782,10.705180,0.137443,0.143075,16.310942,2.166310,41.267700
1403638129895097088.000000,0.000000,0.000000,20.059488,10.928640,0.160291,0.149571,15.276460,0.214212,45.333051
1403638129945096960.000000,0.000000,0.000000,20.236259,11.599019,0.130019,0.120579,14.497694,0.175971,44.971540
1403638129995097088.000000,0.000000,0.000000,20.557288,12.279608,0.139330,0.123394,16.047674,1.755007,45.336795
1403638130045096960.000000,0.000000,0.000000,19.751034,12.343864,0.141058,0.142659,17.156909,0.203556,44.494540
1403638130095097088.000000,0.000000,0.000000,20.872046,13.137574,0.110146,0.131074,15.691859,0.115650,46.097193
1403638130145096960.000000,0.000000,0.000000,19.973598,14.092151,0.144515,0.152066,17.804601,2.863891,51.852493
1403638130245096960.000000,0.000000,0.000000,20.319236,11.615979,0.116834,0.169859,20.001599,0.169859,0.000000
1403638130295097088.000000,0.000000,0.000000,19.590552,13.102310,0.135874,0.161315,14.514494,2.106629,0.069858
1403638130345096960.000000,0.000000,0.000000,20.141057,11.737326,0.124866,0.083329,16.556418,0.110146,48.195085
1403638130395097088.000000,0.000000,0.000000,18.155455,12.255319,0.092065,0.115266,16.269373,2.147430,49.227519
1403638130445096960.000000,0.000000,0.000000,19.319667,11.191749,0.122914,0.134627,10.343189,0.124962,48.274894
1403638130495097088.000000,0.000000,0.000000,18.365346,6.769014,0.121954,0.162627,17.506355,2.234696,49.808937
