#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.810691,0.213795,2.290239,0.016128,0.016128,12.344933
12.064097,0.415397,5.711661,0.004736,0.004736,18.201075
13.315185,0.554472,8.144780,0.514535,0.514535,72.406118
14.000923,0.648457,14.921127,1.115695,1.115695,81.445695
15.154122,0.345797,18.508439,1.753847,1.753847,99.346573
16.190360,0.491399,23.062740,1.771416,1.771416,128.944377
16.660158,0.460742,26.133309,2.020443,2.020443,134.810982
17.888431,0.455718,30.791642,3.777459,3.777459,123.807572
12.366373,0.454758,32.307631,3.274156,3.274156,122.132414
12.143170,0.272004,26.065691,101.520170,101.520170,215.520891
9.535455,0.289732,16.740096,4.050198,4.050198,82.433228
20.335215,0.640073,42.445078,4.546397,4.546397,140.367857
21.500159,0.469382,46.144360,5.131460,5.131460,161.543403
21.917764,0.677865,48.744042,5.998960,5.998960,159.997270
19.889834,0.443973,41.782542,6.487382,6.487382,153.727139
13.674134,0.388901,28.481116,7.489092,7.489092,139.759049
25.485588,0.647721,55.769224,8.043755,8.043755,203.951745
26.455009,0.585960,66.367381,9.253148,9.253148,212.217360
24.073249,0.521255,48.297829,9.709890,9.709890,203.695550
27.964725,0.577000,68.658388,10.381930,10.381930,423.951160
29.662220,0.602856,60.892844,12.177027,12.177027,227.376666
20.053420,0.360196,46.880210,13.009902,13.009902,209.601869
29.721709,0.600008,64.200472,12.739530,12.739530,234.222613
16.543485,0.313700,41.240519,12.669449,12.669449,209.109574
15.787058,0.325189,38.466785,11.722237,11.722237,206.206623
27.380973,0.686697,62.865287,12.813419,12.813419,236.819927
25.659255,0.575015,62.267519,11.960671,11.960671,233.172743
25.103438,0.639241,64.385499,13.681046,13.681046,266.216799
18.520023,0.539367,46.620398,12.852940,12.852940,210.998303
26.001499,0.541703,54.671385,13.400723,13.400723,232.784770
24.577224,0.754826,60.806315,12.680713,12.680713,255.962999
23.130453,0.746698,54.787579,13.415635,13.415635,226.859763
12.931405,0.461286,37.984987,12.790219,12.790219,194.822024
12.860652,0.498886,31.140608,13.117647,13.117647,186.948286
21.609280,0.796298,49.851034,11.553114,11.553114,216.762731
15.196139,0.666697,52.180312,12.085601,12.085601,217.900955
21.559487,0.676425,57.984230,12.524264,12.524264,235.513318
11.978271,0.550088,30.500439,12.302532,12.302532,198.113363
10.696303,0.453734,25.384242,11.963967,11.963967,179.926272
20.313903,0.661961,55.616390,11.946943,11.946943,232.811010
14.303711,0.592296,45.019480,12.264612,12.264612,213.300478
10.216745,0.432613,22.986707,13.409715,13.409715,173.631629
13.264081,0.519399,31.315458,11.443705,11.443705,186.314966
13.404691,0.419909,31.142464,10.622286,10.622286,183.663506
18.863547,0.512327,44.202894,9.598976,9.598976,204.055874
16.956739,0.497094,40.664191,11.962111,11.962111,207.186445
14.272190,0.452806,35.331032,9.541152,9.541152,186.540441
18.629432,0.570568,41.925391,12.619112,12.619112,212.974681
14.407840,0.508615,38.756229,8.724308,8.724308,191.687197
18.405045,0.703466,51.894804,12.978253,12.978253,235.105185
17.179973,0.797995,39.713138,10.685262,10.685262,213.441824
12.875468,0.611816,34.171144,9.900836,9.900836,210.926910
12.651913,0.584135,31.687367,11.241334,11.241334,209.373065
12.829739,0.670057,31.597094,8.492818,8.492818,173.933457
9.982790,0.533703,23.887326,12.107873,12.107873,395.175448
16.494876,0.999053,40.018742,8.225229,8.225229,203.787359
16.947010,1.016878,47.284470,7.678950,7.678950,210.034034
16.707678,0.823691,49.187985,7.276801,7.276801,216.803116
12.724106,0.875339,33.948869,8.252718,8.252718,201.091867
11.588347,0.774058,30.673274,9.410206,9.410206,208.467774
16.317402,0.893612,46.880849,8.351503,8.351503,217.075376
15.525231,1.179440,50.845862,8.875382,8.875382,227.598460
7.747239,0.709066,22.723119,11.203765,11.203765,183.085674
9.133530,0.884076,27.711761,7.937322,7.937322,186.956798
10.681071,1.074702,29.935087,9.095257,9.095257,139.735272
13.636022,1.285169,48.313477,11.016115,11.016115,227.115766
7.525828,1.418771,24.289284,7.546116,7.546116,193.899258
7.444227,1.184112,22.349834,5.671147,5.671147,201.453183
13.167120,0.967597,33.742498,9.367325,9.367325,204.144804
13.928282,1.127951,40.872961,7.037662,7.037662,216.151716
10.086247,1.013965,26.809574,6.097393,6.097393,193.408916
14.678372,0.911212,36.248195,4.363034,4.363034,211.075488
12.733290,0.663849,23.228278,6.215762,6.215762,180.289253
10.470508,0.610248,26.341439,7.611110,7.611110,193.126353
