#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.014273,3,1,0,2065
0.004352,4,1,0,2635
0.423814,5,1,0,3219
1.141361,6,1,0,3816
1.579032,7,1,0,4270
2.368708,8,1,0,4712
2.337539,9,1,0,5035
2.486982,10,1,0,5378
2.643559,0,0,0,0
77.233548,0,0,0,0
3.074478,0,0,0,0
3.896667,0,0,0,0
4.437411,0,0,0,0
4.831177,0,0,0,0
4.604517,0,0,0,0
4.783080,0,0,0,0
5.997467,0,0,0,0
5.964346,0,0,0,0
6.227326,0,0,0,0
7.442384,0,0,0,0
7.161996,0,0,0,0
8.987400,0,0,0,0
9.456238,0,0,0,0
8.551425,0,0,0,0
8.371710,0,0,0,0
7.784950,0,0,0,0
8.260284,0,0,0,0
9.851956,0,0,0,0
7.954327,0,0,0,0
9.141482,0,0,0,0
8.927207,0,0,0,0
6.688612,0,0,0,0
8.819941,0,0,0,0
7.704884,0,0,0,0
9.295981,0,0,0,0
6.947272,0,0,0,0
8.885126,0,0,0,0
4.325922,0,0,0,0
8.085242,0,0,0,0
7.048650,0,0,0,0
7.950264,0,0,0,0
5.566420,0,0,0,0
4.554020,0,0,0,0
4.010268,0,0,0,0
7.152044,0,0,0,0
8.043097,0,0,0,0
8.438080,0,0,0,0
7.186573,0,0,0,0
8.654819,0,0,0,0
6.789511,0,0,0,0
9.006312,0,0,0,0
8.278620,0,0,0,0
8.395038,0,0,0,0
7.836598,0,0,0,0
9.107049,0,0,0,0
7.653043,0,0,0,0
12.394267,0,0,0,0
8.835461,0,0,0,0
9.656497,0,0,0,0
11.415980,0,0,0,0
11.030087,0,0,0,0
8.559873,0,0,0,0
10.490046,0,0,0,0
7.332942,0,0,0,0
9.236459,0,0,0,0
6.731398,0,0,0,0
9.379662,0,0,0,0
6.250654,0,0,0,0
9.871092,0,0,0,0
6.954569,0,0,0,0
9.392078,0,0,0,0
8.060794,0,0,0,0
7.183533,0,0,0,0
5.699894,0,0,0,0
3.767609,0,0,0,0
5.955834,0,0,0,0
4.354882,0,0,0,0
8.362078,0,0,0,0
6.572707,0,0,0,0
8.237276,0,0,0,0
6.173597,0,0,0,0
12.208632,0,0,0,0
12.313146,0,0,0,0
8.316669,0,0,0,0
10.873540,0,0,0,0
6.981193,0,0,0,0
7.338959,0,0,0,0
8.598146,0,0,0,0
10.383197,0,0,0,0
7.259693,0,0,0,0
8.950471,0,0,0,0
8.083802,0,0,0,0
6.857703,0,0,0,0
7.569170,0,0,0,0
7.330606,0,0,0,0
10.372509,0,0,0,0
7.872119,0,0,0,0
8.636930,0,0,0,0
9.958870,0,0,0,0
7.422768,0,0,0,0
4.157278,0,0,0,0
4.479747,0,0,0,0
3.747417,0,0,0,0
4.478947,0,0,0,0
5.514739,0,0,0,0
5.250063,0,0,0,0
7.510481,0,0,0,0
5.870456,0,0,0,0
7.855926,0,0,0,0
7.721652,0,0,0,0
7.222317,0,0,0,0
7.480561,0,0,0,0
9.469263,0,0,0,0
10.024151,0,0,0,0
10.341212,0,0,0,0
5.249871,0,0,0,0
19.985357,0,0,0,0
10.090648,0,0,0,0
14.236054,0,0,0,0
6.660612,0,0,0,0
9.817460,0,0,0,0
9.947862,0,0,0,0
9.757235,0,0,0,0
9.771827,0,0,0,0
10.147961,0,0,0,0
10.864676,0,0,0,0
12.350234,0,0,0,0
7.011785,0,0,0,0
9.650225,0,0,0,0
11.442636,0,0,0,0
12.665631,0,0,0,0
12.139767,0,0,0,0
12.009109,0,0,0,0
12.654686,0,0,0,0
12.575581,0,0,0,0
12.408507,0,0,0,0
9.751411,0,0,0,0
12.810433,0,0,0,0
14.036979,0,0,0,0
6.774982,0,0,0,0
7.042282,0,0,0,0
12.052629,0,0,0,0
15.482601,0,0,0,0
11.949524,0,0,0,0
15.045538,0,0,0,0
13.802032,0,0,0,0
8.848454,0,0,0,0
10.388604,0,0,0,0
14.193397,0,0,0,0
11.791345,0,0,0,0
16.212884,0,0,0,0
8.450943,0,0,0,0
13.358793,0,0,0,0
9.710194,0,0,0,0
8.451007,0,0,0,0
10.138777,0,0,0,0
10.860484,0,0,0,0
11.743089,0,0,0,0
10.348988,0,0,0,0
15.293702,0,0,0,0
13.702830,0,0,0,0
15.181989,0,0,0,0
16.121683,0,0,0,0
15.800717,0,0,0,0
15.126147,0,0,0,0
12.101590,0,0,0,0
18.097072,0,0,0,0
16.526136,0,0,0,0
18.448373,0,0,0,0
17.695914,0,0,0,0
22.812440,0,0,0,0
22.400754,0,0,0,0
23.314367,0,0,0,0
22.554163,0,0,0,0
29.427835,0,0,0,0
23.307231,0,0,0,0
24.526321,0,0,0,0
21.993515,0,0,0,0
25.217308,0,0,0,0
21.423011,0,0,0,0
26.175529,0,0,0,0
22.089964,0,0,0,0
24.418928,0,0,0,0
27.180857,0,0,0,0
20.229424,0,0,0,0
17.233091,0,0,0,0
18.579576,0,0,0,0
20.746936,0,0,0,0
13.071812,0,0,0,0
19.066974,0,0,0,0
16.854878,0,0,0,0
13.580780,0,0,0,0
12.108278,0,0,0,0
14.603484,0,0,0,0
9.392653,0,0,0,0
16.063090,0,0,0,0
7.869398,0,0,0,0
12.509117,0,0,0,0
10.730433,0,0,0,0
10.982245,0,0,0,0
11.635599,0,0,0,0
12.379866,0,0,0,0
12.352218,0,0,0,0
14.444761,0,0,0,0
13.010820,0,0,0,0
10.118680,0,0,0,0
13.604332,0,0,0,0
15.331143,0,0,0,0
10.311387,0,0,0,0
18.085392,0,0,0,0
18.832027,0,0,0,0
17.028448,0,0,0,0
13.046212,0,0,0,0
20.343409,0,0,0,0
13.166694,0,0,0,0
19.540774,0,0,0,0
16.136883,0,0,0,0
17.615433,0,0,0,0
15.099683,0,0,0,0
18.916828,0,0,0,0
18.690393,0,0,0,0
21.260224,0,0,0,0
15.996432,0,0,0,0
21.398050,0,0,0,0
15.690188,0,0,0,0
24.033258,0,0,0,0
18.338100,0,0,0,0
17.965870,0,0,0,0
18.931260,0,0,0,0
17.810380,0,0,0,0
23.179740,0,0,0,0
24.870486,0,0,0,0
27.229690,0,0,0,0
22.558643,0,0,0,0
25.671458,0,0,0,0
24.169099,0,0,0,0
23.854694,0,0,0,0
27.021334,0,0,0,0
24.042570,0,0,0,0
20.781912,0,0,0,0
25.112794,0,0,0,0
26.592304,0,0,0,0
18.318675,0,0,0,0
18.403220,0,0,0,0
15.521289,0,0,0,0
18.941405,0,0,0,0
21.372929,0,0,0,0
22.925145,0,0,0,0
23.116860,0,0,0,0
20.570421,0,0,0,0
21.327872,0,0,0,0
28.313225,0,0,0,0
31.826654,0,0,0,0
27.519453,0,0,0,0
26.247018,0,0,0,0
29.277208,0,0,0,0
24.670098,0,0,0,0
24.246188,0,0,0,0
30.339112,0,0,0,0
24.577041,0,0,0,0
20.429331,0,0,0,0
24.099978,0,0,0,0
28.461995,0,0,0,0
19.011229,0,0,0,0
19.695496,0,0,0,0
19.163775,0,0,0,0
15.413703,0,0,0,0
16.492856,0,0,0,0
22.718261,0,0,0,0
20.436819,0,0,0,0
13.320520,0,0,0,0
18.084335,0,0,0,0
14.651996,0,0,0,0
20.551189,0,0,0,0
13.654253,0,0,0,0
15.429416,0,0,0,0
20.736888,0,0,0,0
21.717191,0,0,0,0
23.755301,0,0,0,0
24.220747,0,0,0,0
25.173306,0,0,0,0
26.858419,0,0,0,0
26.118568,0,0,0,0
25.920485,0,0,0,0
33.789436,0,0,0,0
31.933984,0,0,0,0
27.220408,0,0,0,0
29.343385,0,0,0,0
32.919535,0,0,0,0
32.066082,0,0,0,0
25.141018,0,0,0,0
30.232775,0,0,0,0
29.513340,0,0,0,0
24.164555,0,0,0,0
33.193266,0,0,0,0
33.060561,0,0,0,0
30.727886,0,0,0,0
30.436585,0,0,0,0
27.433852,0,0,0,0
29.014515,0,0,0,0
32.776940,0,0,0,0
25.286268,0,0,0,0
29.782560,0,0,0,0
26.352588,0,0,0,0
32.552808,0,0,0,0
39.893815,0,0,0,0
37.682902,0,0,0,0
29.948610,0,0,0,0
32.094178,0,0,0,0
31.468313,0,0,0,0
35.659159,0,0,0,0
37.251951,0,0,0,0
31.747260,0,0,0,0
32.281733,0,0,0,0
32.564840,0,0,0,0
34.236898,0,0,0,0
34.604648,0,0,0,0
30.764590,0,0,0,0
28.551084,0,0,0,0
27.377531,0,0,0,0
32.895022,0,0,0,0
27.004341,0,0,0,0
33.249619,0,0,0,0
28.747440,0,0,0,0
28.758672,0,0,0,0
27.719456,0,0,0,0
32.189859,0,0,0,0
32.907502,0,0,0,0
30.057540,0,0,0,0
27.438396,0,0,0,0
34.212866,0,0,0,0
29.981346,0,0,0,0
27.053398,0,0,0,0
26.142152,0,0,0,0
26.429357,0,0,0,0
22.393169,0,0,0,0
26.316715,0,0,0,0
16.543032,0,0,0,0
24.296301,0,0,0,0
25.936421,0,0,0,0
32.175235,0,0,0,0
38.643940,0,0,0,0
27.372762,0,0,0,0
35.875002,0,0,0,0
35.043502,0,0,0,0
20.807992,0,0,0,0
31.881407,0,0,0,0
28.932338,0,0,0,0
27.597663,0,0,0,0
33.303540,0,0,0,0
31.622555,0,0,0,0
29.205110,0,0,0,0
32.870190,0,0,0,0
32.141538,0,0,0,0
34.768298,0,0,0,0
36.760775,0,0,0,0
36.339137,0,0,0,0
28.932179,0,0,0,0
28.514059,0,0,0,0
27.229913,0,0,0,0
33.674649,0,0,0,0
37.061036,0,0,0,0
36.176511,0,0,0,0
36.300097,0,0,0,0
35.578038,0,0,0,0
32.181475,0,0,0,0
26.723889,0,0,0,0
31.026354,0,0,0,0
38.035771,0,0,0,0
24.821716,0,0,0,0
28.369418,0,0,0,0
35.512213,0,0,0,0
35.344402,0,0,0,0
33.978270,0,0,0,0
34.408261,0,0,0,0
33.055343,0,0,0,0
35.712504,0,0,0,0
34.704040,0,0,0,0
35.238992,0,0,0,0
34.912044,0,0,0,0
35.139247,0,0,0,0
34.561414,0,0,0,0
38.726629,0,0,0,0
29.878560,0,0,0,0
37.221135,0,0,0,0
35.491316,0,0,0,0
36.110781,0,0,0,0
31.323285,0,0,0,0
33.135665,0,0,0,0
26.925107,0,0,0,0
34.183713,0,0,0,0
29.404121,0,0,0,0
23.255549,0,0,0,0
29.622461,0,0,0,0
23.423615,0,0,0,0
29.483867,0,0,0,0
20.398034,0,0,0,0
25.859396,0,0,0,0
22.377359,0,0,0,0
22.587731,0,0,0,0
24.680434,0,0,0,0
23.083418,0,0,0,0
21.028955,0,0,0,0
25.932644,-1074790808,1067594542,0,1080370572
24.439246,0,-536870912,1207176528,-1573401139
