#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1413394881605760512.000000,0.000000,0.000000,24.739491,5.523080,0.004480,14.207130,9.040758,0.003264,37.457706
1413394881655760384.000000,0.000000,0.000000,19.169946,6.213778,0.087617,6.555958,6.411060,0.001152,29.324255
1413394881705760512.000000,0.000000,0.000000,19.826051,7.539683,0.075937,6.420340,6.904794,0.001056,31.463836
1413394881755760384.000000,0.000000,0.000000,20.885969,9.096471,0.088610,6.143632,6.414068,0.828299,33.950940
1413394881805760512.000000,0.000000,0.000000,19.160922,9.669822,0.094786,8.547952,7.262751,0.001216,32.943790
1413394881855760384.000000,0.000000,0.000000,17.095071,11.888284,0.115458,7.424033,7.994888,0.001152,33.169746
1413394881905760512.000000,0.000000,0.000000,19.056857,12.757255,0.095073,8.145451,7.525058,0.001216,36.083608
1413394881955760384.000000,0.000000,0.000000,18.143437,12.690310,0.119361,8.211788,9.176951,0.001216,35.066379
1413394882005760512.000000,0.000000,0.000000,19.314140,12.554245,0.118626,5.912429,7.454402,0.787178,36.459420
1413394882055760384.000000,0.000000,0.000000,17.771497,12.412002,0.121345,8.437326,7.614915,0.001216,34.394242
1413394882105760512.000000,0.000000,0.000000,18.117004,12.912393,0.123106,5.920878,8.436526,0.001152,35.270861
1413394882155760384.000000,0.000000,0.000000,17.719752,12.863528,0.121377,6.056495,7.915143,0.001184,34.641925
1413394882205760512.000000,0.000000,0.000000,17.410596,12.771559,0.119713,6.370899,9.625534,0.001312,34.514499
1413394882255760384.000000,0.000000,0.000000,17.009694,12.928105,0.123489,5.060322,8.214252,0.882860,34.202559
1413394882305760512.000000,0.000000,0.000000,20.202632,12.927273,0.129314,8.184555,9.803232,0.001216,38.345301
1413394882355760384.000000,0.000000,0.000000,19.067833,10.881646,0.126114,6.038959,10.946607,0.000896,34.116958
1413394882405760512.000000,0.000000,0.000000,18.722549,13.127819,0.122273,6.574934,10.535497,0.001344,35.946326
1413394882455760384.000000,0.000000,0.000000,17.642439,12.608869,0.123010,5.795659,10.374344,0.000832,34.490659
1413394882505760512.000000,0.000000,0.000000,18.108940,12.503299,0.118402,4.703902,9.476508,0.000960,34.794599
1413394882555760384.000000,0.000000,0.000000,19.448094,9.490428,0.119938,6.014958,10.804877,0.835275,33.269618
1413394882605760512.000000,0.000000,0.000000,19.848579,12.921960,0.127938,7.282335,11.761722,0.001056,36.871394
1413394882655760384.000000,0.000000,0.000000,17.050655,12.689670,0.118146,7.053436,12.183104,0.001024,33.948539
1413394882705760512.000000,0.000000,0.000000,18.277199,12.492259,0.117410,5.807500,10.780653,0.001216,35.131851
1413394882755760384.000000,0.000000,0.000000,19.402174,12.764263,0.122370,5.067906,11.500599,0.669929,36.315451
1413394882805760512.000000,0.000000,0.000000,17.966187,12.767207,0.128642,6.462069,12.440706,0.001152,34.893352
