#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.015200,3,1,0,1940
0.004896,4,1,0,2360
0.381413,5,1,0,2783
1.236177,6,1,0,3261
1.555510,7,1,0,3794
1.567414,8,1,0,4414
2.817927,9,1,0,4836
3.478449,10,1,0,5093
3.418992,0,0,0,0
118.164914,0,0,0,0
3.362223,0,0,0,0
3.980312,0,0,0,0
4.711586,0,0,0,0
4.768867,0,0,0,0
4.686786,0,0,0,0
4.818851,0,0,0,0
5.274058,0,0,0,0
5.316042,0,0,0,0
5.678512,0,0,0,0
6.628156,0,0,0,0
7.136004,0,0,0,0
7.706316,0,0,0,0
6.722045,0,0,0,0
8.341780,0,0,0,0
7.496616,0,0,0,0
5.090087,0,0,0,0
7.448488,0,0,0,0
5.775313,0,0,0,0
8.889340,0,0,0,0
8.480982,0,0,0,0
10.087853,0,0,0,0
6.346425,0,0,0,0
11.139676,0,0,0,0
6.991650,0,0,0,0
10.418769,0,0,0,0
7.557769,0,0,0,0
9.366850,0,0,0,0
10.190511,0,0,0,0
12.172682,0,0,0,0
12.597232,0,0,0,0
12.851700,0,0,0,0
13.989539,0,0,0,0
12.062792,0,0,0,0
15.402711,0,0,0,0
14.110501,0,0,0,0
18.199518,0,0,0,0
15.417367,0,0,0,0
14.397577,0,0,0,0
16.536647,0,0,0,0
15.746972,0,0,0,0
16.759274,0,0,0,0
23.429287,0,0,0,0
13.603998,0,0,0,0
17.158671,0,0,0,0
12.519375,0,0,0,0
13.480796,0,0,0,0
12.595824,0,0,0,0
11.579362,0,0,0,0
15.959903,0,0,0,0
10.591892,0,0,0,0
10.088365,0,0,0,0
9.590438,0,0,0,0
17.153199,0,0,0,0
17.216432,0,0,0,0
14.004292,0,0,0,0
19.818868,0,0,0,0
19.116011,0,0,0,0
16.645864,0,0,0,0
15.219764,0,0,0,0
18.548227,0,0,0,0
12.060744,0,0,0,0
9.586661,0,0,0,0
10.012267,0,0,0,0
9.997867,0,0,0,0
9.833001,0,0,0,0
14.814863,0,0,0,0
14.461994,0,0,0,0
23.441831,0,0,0,0
23.039554,0,0,0,0
20.760897,0,0,0,0
19.692083,0,0,0,0
22.070068,0,0,0,0
19.236076,0,0,0,0
27.470368,0,0,0,0
24.947932,0,0,0,0
20.021944,0,0,0,0
24.047824,0,0,0,0
19.068298,0,0,0,0
22.071668,0,0,0,0
16.827787,0,0,0,0
16.433253,0,0,0,0
20.708513,0,0,0,0
22.017139,0,0,0,0
19.192875,0,0,0,0
14.893584,0,0,0,0
14.915792,0,0,0,0
12.721297,0,0,0,0
11.527297,0,0,0,0
12.472398,0,0,0,0
18.172637,0,0,0,0
17.622710,0,0,0,0
12.322316,0,0,0,0
18.009916,0,0,0,0
16.947948,0,0,0,0
17.464563,0,0,0,0
19.874677,0,0,0,0
13.438620,0,0,0,0
14.226694,0,0,0,0
20.074328,0,0,0,0
20.689281,0,0,0,0
20.315547,0,0,0,0
21.299049,0,0,0,0
21.658510,0,0,0,0
19.563696,0,0,0,0
22.540346,0,0,0,0
17.357842,0,0,0,0
16.376964,0,0,0,0
11.191292,0,0,0,0
12.394413,0,0,0,0
12.842931,0,0,0,0
11.440671,0,0,0,0
8.658905,0,0,0,0
12.449294,0,0,0,0
10.177038,0,0,0,0
9.822281,0,0,0,0
9.519685,0,0,0,0
16.057151,0,0,0,0
14.411721,0,0,0,0
14.997265,0,0,0,0
10.694293,0,0,0,0
12.570319,0,0,0,0
12.706770,0,0,0,0
12.777874,0,0,0,0
13.571709,0,0,0,0
15.419415,0,0,0,0
14.180518,0,0,0,0
15.915934,0,0,0,0
12.077993,0,0,0,0
15.611321,0,0,0,0
15.626234,0,0,0,0
15.866078,0,0,0,0
15.228757,0,0,0,0
16.309571,0,0,0,0
18.058844,0,0,0,0
13.966018,0,0,0,0
17.450579,0,0,0,0
