#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.109369,0.017025,0.194722,0.015200,0.015200,9.347677
9.250971,0.071489,0.572135,0.005024,0.005024,9.904451
9.403229,0.116098,1.370354,0.136162,0.136162,16.557532
9.667648,0.198275,10.796495,0.329125,0.329125,32.218604
10.260648,0.377221,15.919604,0.357252,0.357252,51.010021
11.184084,0.545704,20.831924,0.840587,0.840587,66.819255
12.347940,0.760074,26.744131,1.067566,1.067566,81.492154
12.978252,0.787947,31.618436,1.183312,1.183312,94.513639
13.691926,0.787178,39.598542,1.233585,1.233585,113.002141
13.685942,0.870700,42.343730,51.636398,51.636398,166.161055
9.787202,0.205507,2.177181,0.006016,0.006016,12.181122
6.744634,0.570599,4.776992,0.003840,0.003840,12.098817
7.650342,0.889996,7.985162,0.599592,0.599592,58.374280
11.108659,0.906637,15.719312,1.391827,1.391827,73.177068
11.999872,0.777898,19.312097,1.467091,1.467091,78.282480
12.673032,0.760138,24.367044,1.788824,1.788824,110.654878
12.523334,0.707081,24.549735,2.377759,2.377759,95.219216
9.164602,0.532007,20.844565,2.082012,2.082012,82.960206
9.304475,1.003566,29.290469,1.938906,1.938906,98.282969
9.190874,0.683081,25.315152,106.155490,106.155490,196.478673
8.610899,0.795946,26.772228,2.471553,2.471553,84.160574
9.114682,0.559207,26.821124,2.483009,2.483009,88.606169
8.702611,0.586088,24.934251,3.694513,3.694513,93.839902
9.118105,0.561736,24.254786,3.823827,3.823827,96.555619
8.933431,0.501607,25.259983,4.053942,4.053942,118.316356
9.475262,0.548071,28.802847,5.214309,5.214309,118.959468
10.002917,0.565735,29.766508,5.234566,5.234566,125.732966
8.072555,0.579784,22.658285,6.059984,6.059984,121.977716
8.551794,0.743145,21.458717,6.143793,6.143793,132.975110
8.515793,0.942764,20.244621,4.864705,4.864705,143.435025
11.680443,0.943085,19.546339,4.295193,4.295193,152.921487
12.836619,1.092334,36.761993,4.937185,4.937185,185.741827
8.393871,0.926157,23.284181,4.356122,4.356122,151.712479
8.743637,0.836715,23.463895,3.563599,3.563599,324.989149
8.682995,0.822955,23.440183,2.777509,2.777509,142.468708
12.048864,1.106511,39.658191,2.900582,2.900582,178.930665
10.170248,1.225168,35.581208,2.520322,2.520322,178.817992
5.664779,0.760010,17.591018,3.208363,3.208363,137.142974
6.491126,0.483974,20.332046,2.711684,2.711684,147.660745
6.700889,0.448102,20.621393,7.807400,7.807400,153.282356
6.471574,0.411590,18.970076,4.704894,4.704894,142.632007
12.683817,0.873707,39.965043,4.023798,4.023798,184.163279
13.515316,0.883884,41.516615,7.276256,7.276256,189.842874
9.537470,0.667593,33.252954,8.886614,8.886614,186.211721
10.702127,0.601736,33.666463,7.413987,7.413987,186.278635
11.026418,0.744842,32.871765,6.001232,6.001232,169.112710
8.644147,0.432358,23.356278,7.446339,7.446339,163.640702
13.453170,0.936877,35.527384,7.097854,7.097854,191.566032
11.991392,0.790890,32.929142,7.996490,7.996490,185.078555
11.046867,0.803562,28.631197,7.975850,7.975850,188.947790
10.574316,0.762922,26.981831,7.516036,7.516036,190.201566
10.103847,0.759402,25.836631,8.567538,8.567538,190.510563
10.515052,0.717641,27.373612,7.514788,7.514788,187.132694
13.101230,0.643304,30.467669,8.839990,8.839990,193.420809
10.483947,0.605641,29.830732,6.693657,6.693657,188.504904
13.940441,0.598088,34.734797,10.300841,10.300841,205.585099
14.691683,0.872427,45.795841,7.134751,7.134751,219.889321
11.194260,0.746538,28.393657,7.947209,7.947209,192.998371
8.259853,0.632713,21.141849,5.077508,5.077508,187.053301
8.890294,0.753610,26.890981,5.034307,5.034307,176.414760
14.548706,1.105230,41.471175,3.847284,3.847284,197.152828
11.628763,0.947884,35.464920,4.242521,4.242521,184.367858
12.672104,0.858540,33.486045,11.610426,11.610426,193.107781
16.028789,1.146703,50.043513,6.764090,6.764090,215.347565
16.652894,1.020301,50.162106,8.420880,8.420880,238.645379
16.584700,0.930381,44.380749,6.856508,6.856508,209.393406
7.390402,0.574472,21.243322,7.365153,7.365153,168.263132
11.273622,0.638312,32.822740,6.701689,6.701689,188.085443
11.519321,0.747626,33.780129,6.714265,6.714265,192.932899
10.767183,0.796907,32.281965,6.454838,6.454838,189.051728
9.219579,0.793418,27.058856,9.270588,9.270588,187.526684
9.217210,0.610216,25.692118,7.082558,7.082558,190.702149
9.841442,0.559720,27.424492,8.337487,8.337487,189.457653
12.464966,0.531239,30.631255,8.509489,8.509489,197.850021
9.506334,0.702666,28.869727,10.058565,10.058565,203.782611
10.220904,0.843627,27.929907,10.492523,10.492523,620.634645
10.132135,1.609717,36.079103,15.868435,15.868435,229.435784
14.576866,1.100047,50.295484,18.491029,18.491029,235.983136
13.338673,1.213168,48.377891,8.353807,8.353807,225.820568
12.102465,1.277169,47.577272,6.340372,6.340372,227.080361
12.640424,1.386674,46.483850,5.575114,5.575114,225.735063
8.747220,0.968749,32.880597,5.100516,5.100516,202.186206
7.433571,0.620200,23.589049,8.980344,8.980344,190.175775
9.418717,0.731434,33.806177,5.147524,5.147524,210.592750
10.467147,0.906924,34.435401,9.152090,9.152090,234.141383
8.007723,1.024909,29.101571,5.765741,5.765741,203.030314
7.056030,0.574504,20.370446,6.098801,6.098801,189.481718
6.483382,0.571975,21.541983,7.116702,7.116702,193.414601
10.236712,0.619689,34.107141,6.816763,6.816763,221.315709
10.770319,0.848491,35.911485,8.652051,8.652051,229.798221
9.963844,0.749514,33.704096,12.748521,12.748521,235.314038
9.608063,0.953709,37.518867,16.523516,16.523516,256.721171
9.570175,1.026958,38.477215,12.186082,12.186082,253.815213
10.080486,1.047181,43.639652,19.117150,19.117150,263.870674
10.253224,0.975213,36.722696,15.418669,15.418669,234.465419
10.274696,0.988013,37.197583,11.053171,11.053171,244.676467
9.209402,0.885004,31.060829,11.841597,11.841597,222.339306
8.894999,0.870219,29.001026,9.615968,9.615968,245.328412
7.279201,1.020269,20.207405,8.865078,8.865078,219.113471
6.853947,0.999821,19.147551,3.118794,3.118794,213.809017
6.010576,0.775882,14.064315,5.675467,5.675467,199.002260
6.429462,0.809322,15.007784,3.529614,3.529614,199.913568
7.232096,0.893772,17.712203,7.910121,7.910121,205.976753
7.116670,0.740874,17.188036,6.119153,6.119153,199.632380
6.755930,0.565511,17.893902,2.450112,2.450112,202.029916
7.864040,0.637768,21.669792,3.809267,3.809267,199.453210
13.012013,0.836395,46.836430,10.116583,10.116583,254.671064
13.105422,0.998861,41.566920,8.270958,8.270958,246.137926
8.914998,0.750474,26.714147,4.828640,4.828640,208.271343
15.113257,1.109039,41.445895,9.278492,9.278492,248.834827
13.379185,0.706794,40.955904,8.689491,8.689491,253.526120
16.679453,0.827979,53.167587,5.334695,5.334695,270.398729
10.474892,0.588423,29.534057,8.608914,8.608914,219.377059
17.883885,0.847916,57.752415,5.459529,5.459529,273.410673
15.282123,0.707177,40.391673,10.012453,10.012453,250.344831
11.750621,0.621064,35.676986,7.184128,7.184128,237.322706
9.846562,0.596808,29.641514,11.466873,11.466873,223.290903
9.327292,0.646473,30.628247,12.180098,12.180098,223.208918
9.843811,0.616808,30.160977,7.601445,7.601445,220.902935
9.930340,0.651624,32.018922,9.067736,9.067736,220.239246
8.857718,0.583847,31.851144,9.201050,9.201050,218.933181
19.647749,0.788395,63.129255,9.981541,9.981541,271.114739
11.310519,0.711881,39.404812,13.279249,13.279249,250.021435
11.091859,0.756394,36.057184,17.391559,17.391559,230.118322
9.861603,0.778314,37.291920,22.557836,22.557836,229.204614
9.891683,0.696105,36.802761,23.010866,23.010866,233.235675
9.956965,0.711721,36.259842,17.416936,17.416936,227.150923
12.977548,0.679849,44.531888,17.823629,17.823629,254.758361
9.848739,0.547175,34.070245,17.366407,17.366407,228.266073
11.800317,0.625544,41.154883,12.240835,12.240835,255.560164
17.441352,0.743946,49.971896,18.146545,18.146545,271.921630
9.491134,0.576903,32.504208,11.680443,11.680443,242.500214
11.288726,0.653192,39.631247,15.363340,15.363340,263.840114
8.968503,0.553447,32.257997,20.762868,20.762868,266.224626
9.365661,0.604680,31.456514,17.138020,17.138020,265.761868
8.483281,0.705193,33.896739,21.017624,21.017624,273.045965
8.727764,0.631401,31.425793,12.506150,12.506150,270.103686
7.623910,0.637000,30.123697,10.908529,10.908529,270.927857
4.998722,0.786219,19.171455,11.439832,11.439832,255.119582
7.799592,0.891948,35.640185,18.661144,18.661144,283.039633
8.025706,0.655145,31.088221,17.618506,17.618506,284.743912
10.950642,1.002285,46.073957,14.118812,14.118812,315.919207
7.896745,0.739946,27.830162,17.839629,17.839629,286.701730
5.746732,0.815819,19.066686,14.964199,14.964199,270.938001
7.463555,0.968685,21.346460,13.070798,13.070798,274.568161
11.342999,1.639670,32.637137,9.756449,9.756449,313.190562
10.479755,1.466515,29.034882,3.155562,3.155562,280.413102
11.038963,2.003130,28.741502,8.856085,8.856085,277.686570
8.264206,1.850425,23.093523,10.563885,10.563885,273.248144
9.058136,1.352274,43.393441,25.169198,25.169198,288.350584
9.642560,1.095630,37.912120,21.238746,21.238746,272.649095
9.008248,0.760458,33.109400,19.513540,19.513540,266.921180
18.021615,1.230993,68.954228,22.337385,22.337385,327.920454
9.753121,0.875884,36.547878,21.545886,21.545886,269.104984
9.385341,0.753386,35.230100,23.025842,23.025842,271.110547
8.975991,0.685833,31.685925,21.268731,21.268731,262.466304
7.327618,0.723465,26.458528,16.989474,16.989474,233.818404
7.783976,0.816650,30.962716,17.206213,17.206213,229.771726
6.501911,0.878155,30.155761,10.686382,10.686382,138.730100
3.996757,0.609992,24.332228,11.930047,11.930047,124.517751
8.512753,0.553255,42.996636,16.652893,16.652893,242.385205
10.849393,0.682441,46.015267,15.530670,15.530670,238.714501
11.527961,0.867116,43.425601,15.197194,15.197194,235.732317
17.419816,1.212016,64.143285,16.455931,16.455931,272.755306
8.911606,0.727786,27.073064,14.713828,14.713828,217.292552
16.920193,1.040974,63.466443,15.649968,15.649968,272.838186
11.250582,1.181519,40.799007,14.692579,14.692579,236.175235
13.776535,1.156272,45.393595,14.159420,14.159420,257.758562
8.444240,1.024782,30.654775,14.676099,14.676099,229.296200
9.855427,1.262449,33.012663,14.398847,14.398847,233.824292
9.494046,0.878315,31.617605,15.288107,15.288107,237.391347
12.828171,1.072174,46.354888,12.774730,12.774730,263.768434
6.737178,0.665065,19.879400,13.294449,13.294449,221.571425
8.090572,0.783978,26.596161,10.450635,10.450635,234.514765
11.029715,1.095694,44.093066,10.372202,10.372202,260.048609
6.367988,0.573032,20.585170,11.474425,11.474425,206.919966
11.579802,0.817035,49.406193,10.608045,10.608045,255.878441
6.912796,0.575271,22.439051,9.239579,9.239579,203.211085
6.597624,0.579560,21.183577,10.869968,10.869968,198.469038
7.792008,0.577672,25.327248,10.351306,10.351306,198.805299
7.629190,0.592040,26.567201,10.500364,10.500364,199.326010
7.593669,0.787530,23.893694,5.433512,5.433512,192.111449
8.130124,0.765450,28.320600,10.233577,10.233577,197.184573
7.831176,0.663625,27.468237,10.727887,10.727887,196.229232
8.318414,0.653289,29.362118,10.904401,10.904401,197.963687
8.706004,0.607176,31.998441,10.724815,10.724815,202.802504
8.508497,0.570215,26.054971,9.342204,9.342204,198.901555
8.008074,0.643657,26.569793,12.524935,12.524935,200.116068
7.862344,0.545255,25.833656,13.788664,13.788664,200.953103
7.981323,0.524454,25.671254,13.076013,13.076013,199.663262
7.955594,0.535655,25.679221,14.938758,14.938758,200.743372
7.609797,0.621257,27.794801,14.951815,14.951815,201.607352
7.339202,0.779210,22.573868,10.173991,10.173991,105.881023
12.308292,1.420851,45.390747,15.434989,15.434989,230.540857
13.484723,1.145967,59.116946,15.379404,15.379404,237.226161
