#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1413393886005760512.000000,0.000000,0.000000,13.888795,3.281292,0.004352,12.438631,8.165518,0.003904,20.777143
1413393886055760384.000000,0.000000,0.000000,13.130608,4.230489,0.079265,6.730011,7.098431,0.001376,21.135452
1413393886105760512.000000,0.000000,0.000000,12.705579,5.736269,0.072225,7.540070,6.604505,0.001504,22.426318
1413393886155760384.000000,0.000000,0.000000,13.083120,6.869597,0.085441,6.698522,6.043889,0.001184,24.033411
1413393886205760512.000000,0.000000,0.000000,12.410887,8.272559,0.110145,7.798153,6.868061,0.001440,24.617163
1413393886255760384.000000,0.000000,0.000000,12.455048,9.203836,0.134754,7.769481,6.022801,4.670175,25.784347
1413393886305760512.000000,0.000000,0.000000,13.010895,8.735254,0.108673,9.562593,6.381270,0.001280,25.722362
1413393886355760384.000000,0.000000,0.000000,11.551356,4.069462,0.071937,7.560069,6.547384,0.001216,19.566599
1413393886405760512.000000,0.000000,0.000000,13.044112,8.408913,0.114210,6.760827,7.135840,0.001120,25.569208
1413393886455760384.000000,0.000000,0.000000,12.122595,8.891895,0.110305,7.683432,7.490468,0.001248,25.320436
1413393886505760512.000000,0.000000,0.000000,12.222309,9.249500,0.111873,7.132416,7.513221,0.001440,25.488087
1413393886555760384.000000,0.000000,0.000000,14.706854,8.616692,0.130337,6.620153,7.527717,6.402422,27.544274
1413393886605760512.000000,0.000000,0.000000,14.503939,9.059386,0.115682,8.301872,7.223009,0.001184,27.902328
1413393886655760384.000000,0.000000,0.000000,12.254853,9.216764,0.114017,7.475396,9.223516,0.001216,25.793371
1413393886705760512.000000,0.000000,0.000000,12.575753,8.815191,0.105633,7.579686,8.419026,0.001344,25.609081
1413393886755760384.000000,0.000000,0.000000,13.405717,8.993817,0.115714,6.820604,7.545382,0.001280,26.641863
1413393886805760512.000000,0.000000,0.000000,14.013244,8.878135,0.108642,7.187361,9.097754,4.341818,27.057900
1413393886855760384.000000,0.000000,0.000000,12.022818,9.296061,0.112129,8.581843,8.727030,0.001184,25.563736
1413393886905760512.000000,0.000000,0.000000,14.793191,8.720022,0.109858,7.325826,8.824087,0.001312,27.779350
1413393886955760384.000000,0.000000,0.000000,12.942862,9.341790,0.111042,6.639769,8.686581,0.001280,26.434371
1413393887005760512.000000,0.000000,0.000000,11.743454,8.955000,0.107553,6.973246,8.044140,0.000992,25.062833
1413393887055760384.000000,0.000000,0.000000,13.646136,8.672436,0.107809,7.124704,8.137581,4.149303,26.539301
1413393887105760512.000000,0.000000,0.000000,13.452181,9.150523,0.109377,8.227054,7.717544,0.001344,26.816425
1413393887155760384.000000,0.000000,0.000000,13.253906,8.682324,0.115810,7.355683,8.803767,0.001344,25.963902
1413393887205760512.000000,0.000000,0.000000,12.370791,8.914232,0.111138,7.861833,9.196924,0.001600,25.209875
