#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.015136,3,1,0,1937
0.004736,4,1,0,2313
0.304676,5,1,0,2809
1.764503,6,1,0,3264
1.397938,7,1,0,3679
2.225341,8,1,0,4217
1.833688,9,1,0,4605
3.276011,10,1,0,4971
4.640925,0,0,0,0
87.260790,0,0,0,0
3.536495,0,0,0,0
3.687696,0,0,0,0
3.766226,0,0,0,0
4.749694,0,0,0,0
4.893024,0,0,0,0
4.835680,0,0,0,0
6.429044,0,0,0,0
5.307462,0,0,0,0
6.302867,0,0,0,0
6.234481,0,0,0,0
7.342400,0,0,0,0
8.452462,0,0,0,0
7.953833,0,0,0,0
4.427546,0,0,0,0
5.463144,0,0,0,0
7.934504,0,0,0,0
5.965422,0,0,0,0
5.841965,0,0,0,0
6.689528,0,0,0,0
6.986972,0,0,0,0
7.085501,0,0,0,0
7.482242,0,0,0,0
9.773984,0,0,0,0
8.366957,0,0,0,0
12.143135,0,0,0,0
12.769255,0,0,0,0
9.483580,0,0,0,0
9.944067,0,0,0,0
13.358639,0,0,0,0
11.691001,0,0,0,0
12.735367,0,0,0,0
13.116524,0,0,0,0
15.126054,0,0,0,0
17.875274,0,0,0,0
12.174495,0,0,0,0
13.717940,0,0,0,0
14.035160,0,0,0,0
12.238560,0,0,0,0
13.186924,0,0,0,0
16.202004,0,0,0,0
13.730356,0,0,0,0
13.745460,0,0,0,0
17.383396,0,0,0,0
18.481266,0,0,0,0
11.849275,0,0,0,0
12.507268,0,0,0,0
12.814632,0,0,0,0
13.216077,0,0,0,0
8.954613,0,0,0,0
14.222618,0,0,0,0
14.816290,0,0,0,0
12.334689,0,0,0,0
9.901473,0,0,0,0
10.484649,0,0,0,0
10.017571,0,0,0,0
18.595092,0,0,0,0
16.984158,0,0,0,0
19.105626,0,0,0,0
13.671667,0,0,0,0
11.986973,0,0,0,0
11.013776,0,0,0,0
13.902710,0,0,0,0
13.875798,0,0,0,0
8.694034,0,0,0,0
9.529693,0,0,0,0
14.939044,0,0,0,0
14.909443,0,0,0,0
18.610708,0,0,0,0
15.197287,0,0,0,0
21.413241,0,0,0,0
23.150608,0,0,0,0
23.693527,0,0,0,0
20.651407,0,0,0,0
26.107030,0,0,0,0
21.741789,0,0,0,0
18.029100,0,0,0,0
21.352600,0,0,0,0
24.326718,0,0,0,0
16.824060,0,0,0,0
15.465675,0,0,0,0
20.061254,0,0,0,0
14.992932,0,0,0,0
20.731856,0,0,0,0
21.290455,0,0,0,0
18.167214,0,0,0,0
11.673177,0,0,0,0
11.280500,0,0,0,0
16.127219,0,0,0,0
16.907678,0,0,0,0
9.913954,0,0,0,0
14.798562,0,0,0,0
17.308578,0,0,0,0
17.470693,0,0,0,0
16.540024,0,0,0,0
18.197583,0,0,0,0
17.227553,0,0,0,0
22.256708,0,0,0,0
13.971095,0,0,0,0
18.055757,0,0,0,0
19.700035,0,0,0,0
17.094433,0,0,0,0
17.850506,0,0,0,0
14.826434,0,0,0,0
19.148507,0,0,0,0
17.675304,0,0,0,0
15.160134,0,0,0,0
14.158265,0,0,0,0
9.806561,0,0,0,0
12.305058,0,0,0,0
11.934173,0,0,0,0
9.803008,0,0,0,0
11.121617,0,0,0,0
10.343816,0,0,0,0
12.240672,0,0,0,0
14.031608,0,0,0,0
14.200378,0,0,0,0
9.887937,0,0,0,0
10.114404,0,0,0,0
8.585136,0,0,0,0
13.721460,0,0,0,0
12.219745,0,0,0,0
12.990698,0,0,0,0
11.090705,0,0,0,0
14.670720,0,0,0,0
12.502500,0,0,0,0
10.609099,0,0,0,0
15.026341,0,0,0,0
14.401149,0,0,0,0
14.463262,0,0,0,0
11.310356,0,0,0,0
16.657114,0,0,0,0
16.503480,0,0,0,0
11.632792,0,0,0,0
16.123604,0,0,0,0
14.859171,0,0,0,0
16.196725,0,0,0,0
16.265334,0,0,0,0
19.185020,0,0,0,0
16.810044,0,0,0,0
18.684437,0,0,0,0
22.123618,0,0,0,0
20.044839,0,0,0,0
21.298551,0,0,0,0
23.187760,0,0,0,0
26.958657,0,0,0,0
24.941703,0,0,0,0
20.544749,0,0,0,0
22.944077,0,0,0,0
21.520378,0,0,0,0
19.741379,0,0,0,0
23.840025,0,0,0,0
25.616048,0,0,0,0
23.166288,0,0,0,0
27.024418,0,0,0,0
27.811788,0,0,0,0
20.887122,0,0,0,0
23.031662,0,0,0,0
23.512276,0,0,0,0
29.173886,0,0,0,0
28.402452,0,0,0,0
25.455149,0,0,0,0
23.532053,0,0,0,0
24.044764,0,0,0,0
23.975738,0,0,0,0
27.305542,0,0,0,0
27.610346,0,0,0,0
30.431503,0,0,0,0
29.560516,0,0,0,0
24.227678,0,0,0,0
32.598924,0,0,0,0
29.533764,0,0,0,0
35.009164,0,0,0,0
28.904731,0,0,0,0
26.564540,0,0,0,0
27.675243,0,0,0,0
38.939166,0,0,0,0
29.949417,0,0,0,0
31.576990,0,0,0,0
30.376815,0,0,0,0
26.508252,0,0,0,0
24.838598,0,0,0,0
28.020943,0,0,0,0
22.864524,0,0,0,0
22.398502,0,0,0,0
21.614811,0,0,0,0
31.169977,0,0,0,0
32.120517,0,0,0,0
22.266340,0,0,0,0
28.004336,0,0,0,0
29.053469,0,0,0,0
25.502222,0,0,0,0
22.120962,0,0,0,0
21.335384,0,0,0,0
27.339175,0,0,0,0
14.795682,0,0,0,0
21.679357,0,0,0,0
23.216497,0,0,0,0
24.919719,0,0,0,0
17.642952,0,0,0,0
24.842438,0,0,0,0
15.182823,0,0,0,0
24.465153,0,0,0,0
18.814231,0,0,0,0
22.912269,0,0,0,0
25.758578,0,0,0,0
26.357818,0,0,0,0
24.486594,0,0,0,0
27.944430,0,0,0,0
28.302611,0,0,0,0
22.080098,0,0,0,0
28.331252,0,0,0,0
22.143938,0,0,0,0
21.037908,0,0,0,0
21.485818,0,0,0,0
27.421703,0,0,0,0
22.928525,0,0,0,0
24.076699,0,0,0,0
24.551362,0,0,0,0
24.665827,0,0,0,0
21.338264,0,0,0,0
28.353524,0,0,0,0
22.615593,0,0,0,0
16.771868,0,0,0,0
21.853279,0,0,0,0
16.583897,0,0,0,0
15.433290,0,0,0,0
15.640397,0,0,0,0
17.118305,0,0,0,0
15.782831,0,0,0,0
14.564959,0,0,0,0
16.525465,0,0,0,0
29.275488,0,0,0,0
22.994894,0,0,0,0
13.307151,0,0,0,0
22.507176,0,0,0,0
15.486507,0,0,0,0
15.755439,0,0,0,0
16.661051,0,0,0,0
15.142535,0,0,0,0
16.071123,0,0,0,0
14.648992,0,0,0,0
15.775343,0,0,0,0
16.442743,0,0,0,0
13.256046,0,0,0,0
16.987487,0,0,0,0
15.931281,0,0,0,0
20.449356,0,0,0,0
28.265139,0,0,0,0
19.757379,0,0,0,0
45.024367,0,0,0,0
27.961007,0,0,0,0
32.582667,0,0,0,0
30.088523,0,0,0,0
32.697453,0,0,0,0
34.519429,0,0,0,0
33.395190,0,0,0,0
33.749435,0,0,0,0
38.169045,0,0,0,0
37.670478,0,0,0,0
31.435581,0,0,0,0
35.304240,0,0,0,0
33.202515,0,0,0,0
37.607854,0,0,0,0
40.622805,0,0,0,0
40.727510,0,0,0,0
41.301150,0,0,0,0
36.164251,0,0,0,0
40.188016,0,0,0,0
44.011074,0,0,0,0
43.564476,0,0,0,0
40.633429,0,0,0,0
39.343908,0,0,0,0
41.969638,0,0,0,0
44.373286,0,0,0,0
45.645143,0,0,0,0
36.563776,0,0,0,0
34.575270,0,0,0,0
33.995678,0,0,0,0
38.511097,0,0,0,0
38.465624,0,0,0,0
34.940139,0,0,0,0
29.359265,0,0,0,0
27.788236,0,0,0,0
32.990801,0,0,0,0
28.728185,0,0,0,0
27.826093,0,0,0,0
25.402893,0,0,0,0
27.001410,0,0,0,0
33.312117,0,0,0,0
29.639877,0,0,0,0
34.238625,0,0,0,0
34.143968,0,0,0,0
38.681404,0,0,0,0
32.219655,0,0,0,0
36.881508,0,0,0,0
35.819862,0,0,0,0
31.823233,0,0,0,0
21.950816,0,0,0,0
26.540284,0,0,0,0
27.789420,0,0,0,0
25.015560,0,0,0,0
31.238618,0,0,0,0
30.555377,0,0,0,0
28.855194,0,0,0,0
23.058255,0,0,0,0
27.922191,0,0,0,0
30.993750,0,0,0,0
34.802089,0,0,0,0
35.426321,0,0,0,0
41.430400,0,0,0,0
53.198618,0,0,0,0
49.041636,0,0,0,0
55.302838,0,0,0,0
44.523881,0,0,0,0
53.302332,0,0,0,0
49.410536,0,0,0,0
51.128095,0,0,0,0
47.776339,0,0,0,0
55.144115,0,0,0,0
42.981237,0,0,0,0
46.643908,0,0,0,0
39.421862,0,0,0,0
46.297824,0,0,0,0
42.021575,0,0,0,0
52.786165,0,0,0,0
64.012585,0,0,0,0
46.904808,0,0,0,0
42.946068,0,0,0,0
44.404391,0,0,0,0
41.924391,0,0,0,0
42.218667,0,0,0,0
44.660203,0,0,0,0
48.498045,0,0,0,0
44.786476,0,0,0,0
40.402899,0,0,0,0
45.482261,0,0,0,0
20.324650,0,0,0,0
11.045169,0,0,0,0
15.973042,0,0,0,0
12.718439,0,0,0,0
17.655624,0,0,0,0
18.686742,0,0,0,0
19.609506,0,0,0,0
22.562505,0,0,0,0
19.618178,0,0,0,0
22.228964,0,0,0,0
19.750339,0,0,0,0
16.090835,0,0,0,0
22.416678,0,0,0,0
26.153335,0,0,0,0
25.045065,0,0,0,0
24.704293,0,0,0,0
25.761298,0,0,0,0
21.142357,0,0,0,0
30.133451,0,0,0,0
27.755500,0,0,0,0
27.404007,0,0,0,0
21.321848,0,0,0,0
25.895540,0,0,0,0
29.787623,0,0,0,0
36.240123,0,0,0,0
26.425787,0,0,0,0
32.158119,0,0,0,0
40.737335,0,0,0,0
43.048117,0,0,0,0
52.614931,0,0,0,0
38.076020,0,0,0,0
38.682108,0,0,0,0
39.923788,0,0,0,0
37.844241,0,0,0,0
29.205855,0,0,0,0
34.765128,0,0,0,0
38.412473,0,0,0,0
39.682857,0,0,0,0
39.968365,0,0,0,0
39.710954,0,0,0,0
34.788905,0,0,0,0
39.378405,0,0,0,0
45.274450,0,0,0,0
42.087337,0,0,0,0
35.412017,0,0,0,0
39.819051,0,0,0,0
33.604730,0,0,0,0
40.597494,0,0,0,0
44.691819,0,0,0,0
43.964449,0,0,0,0
42.182346,0,0,0,0
39.280996,0,0,0,0
37.364010,0,0,0,0
34.822729,0,0,0,0
37.917490,0,0,0,0
38.329143,0,0,0,0
32.254728,0,0,0,0
40.979354,0,0,0,0
37.091687,0,0,0,0
40.385586,0,0,0,0
