#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.351782,0.017760,0.203043,0.014464,0.014464,9.597801
9.162659,0.072257,0.616169,0.004608,0.004608,9.860365
9.425319,0.121665,1.340276,0.148226,0.148226,16.876945
9.736747,0.206051,11.276129,0.318757,0.318757,32.975895
10.292179,0.406534,16.605293,0.507847,0.507847,51.929414
11.366594,0.595401,21.374641,0.830699,0.830699,67.373538
12.338672,0.626089,28.099217,0.619273,0.619273,87.387296
13.068378,0.880589,32.176588,1.064848,1.064848,95.751512
13.547073,0.804748,37.647738,1.506485,1.506485,133.159022
12.823128,0.928269,40.042172,50.630163,50.630163,167.718460
13.487041,0.914477,44.913474,1.916700,1.916700,112.174595
13.268062,0.814731,45.163334,2.192192,2.192192,120.294807
13.746564,0.892045,47.193762,2.626405,2.626405,126.670225
14.348749,0.834252,44.117238,2.635365,2.635365,128.639053
14.832147,0.825548,45.319848,2.979211,2.979211,132.904330
14.545616,0.669578,42.673985,3.752790,3.752790,141.249090
14.666578,0.665769,40.914761,3.686837,3.686837,132.281442
14.398286,0.687913,45.090949,4.009465,4.009465,144.256685
14.909333,0.630057,44.405082,4.435903,4.435903,149.786875
16.130855,0.646985,45.145701,4.860997,4.860997,157.598155
16.285928,0.662986,42.014136,5.424589,5.424589,154.123833
13.556930,0.521831,42.905893,6.355931,6.355931,155.384140
13.348414,0.565864,44.648286,6.285082,6.285082,154.349148
17.873247,0.789387,56.705834,6.605311,6.605311,299.675032
17.508954,1.209073,62.359035,5.707537,5.707537,175.855599
16.365449,0.907949,61.315884,6.053846,6.053846,200.863732
16.953522,0.820844,51.227484,6.006038,6.006038,168.292292
17.173109,0.957614,54.261991,6.698527,6.698527,176.693147
15.733089,1.127856,45.760525,6.966947,6.966947,174.991907
13.079099,1.036943,39.459827,4.966951,4.966951,189.914648
13.380800,1.360563,38.107072,4.564865,4.564865,205.037904
13.442656,1.206194,39.944762,5.170922,5.170922,181.106875
13.731812,1.017678,39.673175,4.217373,4.217373,181.163515
14.215627,1.206769,42.315964,4.220636,4.220636,194.545530
14.714579,0.819147,40.521731,3.494674,3.494674,196.049072
13.570338,0.807019,32.082090,3.188110,3.188110,187.403636
11.061438,0.764203,29.788745,3.868183,3.868183,175.958704
13.406335,0.899853,38.706344,4.740611,4.740611,194.624890
13.824869,0.924493,37.018737,4.870758,4.870758,145.781537
12.492818,0.930382,42.065624,5.767731,5.767731,205.419669
9.285189,0.899693,31.803462,4.625794,4.625794,182.403661
12.808727,1.113200,41.672595,4.931078,4.931078,202.761263
14.012456,1.225362,48.600821,4.435999,4.435999,206.106527
14.584624,0.788267,42.885348,7.632077,7.632077,203.145332
10.657592,0.865196,35.506971,6.239705,6.239705,187.127407
