#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1413393212255760384.000000,0.000000,0.000000,16.820635,7.267679,0.004704,18.010443,15.592427,0.004096,28.253809
1413393212305760512.000000,0.000000,0.000000,17.356611,7.381152,0.070913,10.443593,11.481205,0.001280,28.728054
1413393212355760384.000000,0.000000,0.000000,16.158643,10.853518,0.059328,9.477852,9.715999,0.000832,30.796689
1413393212405760512.000000,0.000000,0.000000,15.513674,14.011958,0.094145,12.776519,10.127044,5.259141,33.556950
1413393212455760384.000000,0.000000,0.000000,16.437398,15.563531,0.086018,17.099391,10.902927,0.001760,36.095447
1413393212505760512.000000,0.000000,0.000000,14.807425,18.562322,0.101985,16.649977,12.793511,0.001600,37.512425
1413393212555760384.000000,0.000000,0.000000,15.761389,14.831426,0.104513,10.084323,10.039683,4.382617,35.022473
1413393212605760512.000000,0.000000,0.000000,16.290837,18.554418,0.103233,11.071920,10.082628,0.001152,39.224416
1413393212655760384.000000,0.000000,0.000000,15.233959,11.688121,0.106145,12.509444,11.963580,0.001472,30.994996
1413393212705760512.000000,0.000000,0.000000,15.648364,18.510449,0.100290,12.150430,9.554237,0.001408,38.410869
1413393212755760384.000000,0.000000,0.000000,16.019697,11.821562,0.101249,9.408987,10.161253,0.001152,32.013153
1413393212805760512.000000,0.000000,0.000000,17.341346,18.550866,0.093569,11.465046,10.163365,6.070287,39.838055
1413393212855760384.000000,0.000000,0.000000,19.161274,18.038027,0.088513,12.980361,10.471913,0.001536,41.549342
1413393212905760512.000000,0.000000,0.000000,15.754286,18.055403,0.096513,11.486646,11.133201,0.000992,37.927887
1413393212955760384.000000,0.000000,0.000000,16.699930,18.457969,0.105506,15.336840,11.426805,0.001088,39.400514
1413393213005760512.000000,0.000000,0.000000,16.039282,18.309678,0.103074,12.724998,12.570852,6.330642,38.388629
1413393213055760384.000000,0.000000,0.000000,16.534295,18.454960,0.090561,16.872316,12.224384,0.001824,39.277856
1413393213105760512.000000,0.000000,0.000000,17.343075,17.662374,0.097570,12.378753,11.132626,0.001440,39.041949
1413393213155760384.000000,0.000000,0.000000,17.886889,18.421168,0.104706,8.484303,10.260646,0.000800,40.511089
1413393213205760512.000000,0.000000,0.000000,15.303336,18.104108,0.099009,11.740569,12.848103,6.399892,38.822171
1413393213255760384.000000,0.000000,0.000000,14.908067,18.469265,0.115394,14.058391,13.176268,0.001472,37.696972
1413393213305760512.000000,0.000000,0.000000,15.866351,18.544658,0.105953,10.449576,12.868872,0.000992,38.387125
1413393213355760384.000000,0.000000,0.000000,15.035749,18.523121,0.115361,9.015158,13.228012,0.001184,37.497641
1413393213405760512.000000,0.000000,0.000000,17.363491,12.167582,0.114658,8.276236,11.511638,5.854572,33.585174
1413393213455760384.000000,0.000000,0.000000,15.688812,18.439729,0.104417,12.919368,13.914454,0.001856,38.204338
1413393213505760512.000000,0.000000,0.000000,15.724334,18.486257,0.089281,12.558820,15.887952,0.001728,38.206803
1413393213555760384.000000,0.000000,0.000000,14.840738,18.573106,0.106178,13.462991,17.146688,6.754584,37.354119
1413393213605760512.000000,0.000000,0.000000,15.789422,18.651219,0.114818,14.980547,15.328616,0.002080,38.418901
1413393213655760384.000000,0.000000,0.000000,15.953360,18.201357,0.106081,9.548060,13.630514,0.001664,38.265843
1413393213705760512.000000,0.000000,0.000000,15.333480,15.955920,0.112001,13.737459,15.571499,0.001312,35.326093
1413393213755760384.000000,0.000000,0.000000,15.806446,14.080983,0.113729,10.209414,13.689170,0.001152,33.923706
1413393213805760512.000000,0.000000,0.000000,14.434108,11.941051,0.105345,7.086269,10.314630,4.965952,30.339723
