#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403715523912143104.000000,0.000000,0.000000,25.020075,1.586485,0.004256,10.225447,1.290129,0.003136,30.755511
1403715523962142976.000000,0.000000,0.000000,21.468091,2.096923,0.091681,1.135375,1.103471,0.001056,27.562285
1403715524012143104.000000,0.000000,0.000000,21.232120,2.971752,0.087169,1.104303,1.151727,0.000800,28.072690
1403715524062142976.000000,0.000000,0.000000,20.988821,2.946439,0.106593,1.026926,1.119535,0.001312,28.093843
1403715524112143104.000000,0.000000,0.000000,23.422773,3.446637,0.131937,0.961517,1.105454,0.504775,31.360734
1403715524162142976.000000,0.000000,0.000000,22.382279,3.340908,0.094785,1.857305,1.825016,0.001184,30.070413
1403715524212143104.000000,0.000000,0.000000,22.049635,3.453806,0.122850,0.585384,1.681462,0.001504,30.078893
1403715524262142976.000000,0.000000,0.000000,21.947234,3.565391,0.129602,1.132303,1.939802,0.001088,30.079310
1403715524312143104.000000,0.000000,0.000000,21.032310,3.288011,0.123618,1.278257,1.790360,0.001248,28.900798
1403715524362142976.000000,0.000000,0.000000,22.999855,2.386720,0.121409,1.168655,2.034523,0.676361,31.010329
1403715524412143104.000000,0.000000,0.000000,20.754706,3.252235,0.123074,2.885606,2.175805,0.001248,28.542169
1403715524462142976.000000,0.000000,0.000000,22.614538,3.727761,0.131617,0.988173,2.137501,0.001440,30.788951
1403715524512143104.000000,0.000000,0.000000,20.477743,3.415789,0.121025,2.257150,2.936839,0.001152,28.199061
1403715524562142976.000000,0.000000,0.000000,21.395835,1.360338,0.060449,1.811800,2.789669,0.001088,26.625184
1403715524612143104.000000,0.000000,0.000000,23.307508,3.392941,0.122497,1.546388,2.519266,1.075406,32.743792
1403715524662142976.000000,0.000000,0.000000,20.627440,3.596304,0.122049,4.537084,4.758463,0.001345,28.610009
1403715524712143104.000000,0.000000,0.000000,22.197349,3.434830,0.128737,3.268651,4.904481,0.001248,30.159439
1403715524762142976.000000,0.000000,0.000000,19.925448,3.320172,0.121473,2.628163,4.926081,0.001664,27.436042
