#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.015712,3,1,0,2071
0.005056,4,1,0,2592
0.639882,5,1,0,3097
1.115920,6,1,0,3677
1.685337,7,1,0,4221
2.281281,8,1,0,4763
2.719175,9,1,0,5051
2.441092,10,1,0,5478
2.390947,0,0,0,0
90.527878,0,0,0,0
3.880984,0,0,0,0
4.257406,0,0,0,0
4.566307,0,0,0,0
4.880775,0,0,0,0
5.463664,0,0,0,0
5.311725,0,0,0,0
5.775444,0,0,0,0
6.356764,0,0,0,0
6.146265,0,0,0,0
7.293930,0,0,0,0
7.957716,0,0,0,0
8.917186,0,0,0,0
8.854177,0,0,0,0
12.031951,0,0,0,0
9.262375,0,0,0,0
8.787040,0,0,0,0
8.270585,0,0,0,0
7.209513,0,0,0,0
8.007189,0,0,0,0
10.525273,0,0,0,0
8.319449,0,0,0,0
9.815663,0,0,0,0
9.931408,0,0,0,0
7.058887,0,0,0,0
9.347464,0,0,0,0
7.014406,0,0,0,0
8.219607,0,0,0,0
8.991619,0,0,0,0
6.748514,0,0,0,0
9.189446,0,0,0,0
6.437406,0,0,0,0
8.175703,0,0,0,0
4.044059,0,0,0,0
7.356939,0,0,0,0
9.361961,0,0,0,0
6.008855,0,0,0,0
9.603755,0,0,0,0
6.607040,0,0,0,0
7.339819,0,0,0,0
3.304432,0,0,0,0
6.027384,0,0,0,0
6.725346,0,0,0,0
8.049110,0,0,0,0
8.216152,0,0,0,0
6.583552,0,0,0,0
8.706527,0,0,0,0
7.990292,0,0,0,0
9.070660,0,0,0,0
8.534236,0,0,0,0
8.707550,0,0,0,0
10.561978,0,0,0,0
7.896019,0,0,0,0
10.258613,0,0,0,0
9.262279,0,0,0,0
9.994897,0,0,0,0
11.443878,0,0,0,0
8.096118,0,0,0,0
9.091972,0,0,0,0
7.598286,0,0,0,0
10.553210,0,0,0,0
6.173434,0,0,0,0
9.309383,0,0,0,0
8.973315,0,0,0,0
9.370408,0,0,0,0
6.510335,0,0,0,0
9.712941,0,0,0,0
5.499760,0,0,0,0
6.789155,0,0,0,0
5.372302,0,0,0,0
4.798022,0,0,0,0
5.332269,0,0,0,0
6.109529,0,0,0,0
6.171002,0,0,0,0
6.702689,0,0,0,0
7.470252,0,0,0,0
7.649199,0,0,0,0
10.399063,0,0,0,0
14.977434,0,0,0,0
11.839180,0,0,0,0
10.160308,0,0,0,0
7.887635,0,0,0,0
10.137460,0,0,0,0
10.887518,0,0,0,0
12.247795,0,0,0,0
7.087239,0,0,0,0
12.600087,0,0,0,0
8.322970,0,0,0,0
8.423098,0,0,0,0
8.641085,0,0,0,0
10.808606,0,0,0,0
8.949539,0,0,0,0
10.780413,0,0,0,0
9.800686,0,0,0,0
9.747918,0,0,0,0
8.949698,0,0,0,0
6.193786,0,0,0,0
4.969256,0,0,0,0
5.474896,0,0,0,0
3.350385,0,0,0,0
4.703717,0,0,0,0
3.339281,0,0,0,0
3.792055,0,0,0,0
5.303469,0,0,0,0
4.087324,0,0,0,0
6.178938,0,0,0,0
7.796849,0,0,0,0
5.872470,0,0,0,0
6.026936,0,0,0,0
4.762693,0,0,0,0
17.811651,0,0,0,0
6.100921,0,0,0,0
12.796250,0,0,0,0
11.306853,0,0,0,0
18.997364,0,0,0,0
12.720953,0,0,0,0
10.541209,0,0,0,0
11.174339,0,0,0,0
10.924415,0,0,0,0
11.924366,0,0,0,0
7.811762,0,0,0,0
8.593053,0,0,0,0
13.122559,0,0,0,0
8.723327,0,0,0,0
11.921293,0,0,0,0
13.852202,0,0,0,0
7.814865,0,0,0,0
7.448844,0,0,0,0
13.234785,0,0,0,0
11.846157,0,0,0,0
11.850445,0,0,0,0
12.608055,0,0,0,0
9.236998,0,0,0,0
10.360503,0,0,0,0
