#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.532889,0.118177,1.350097,0.015393,0.015393,11.027884
8.120839,0.229314,3.562381,0.004096,0.004096,11.921047
11.536562,0.404421,6.640532,0.433766,0.433766,68.236895
13.503819,0.763817,14.790875,1.386097,1.386097,81.829610
14.406614,0.577415,17.588670,1.116686,1.116686,90.897085
15.199265,0.500230,22.508892,2.520640,2.520640,120.518996
16.697779,0.452869,26.467311,3.258602,3.258602,119.073473
14.666330,0.567879,29.146192,2.450527,2.450527,119.760106
15.064511,0.742249,34.359794,2.655650,2.655650,127.257641
16.029002,0.615464,39.896248,109.477799,109.477799,241.516364
10.512069,0.637992,29.053487,3.840881,3.840881,122.769488
11.196141,0.473798,27.966178,4.576346,4.576346,119.497990
10.995243,0.524615,24.936827,4.353143,4.353143,116.935878
11.646516,0.553831,27.993858,4.882462,4.882462,122.876466
10.767816,0.552039,25.234687,4.854301,4.854301,122.834448
11.446737,0.750250,29.402867,5.034815,5.034815,131.017752
11.008364,0.657768,30.817093,5.625351,5.625351,135.816181
16.386416,0.590983,37.592251,6.038765,6.038765,156.347257
14.418774,0.535143,37.187318,6.415601,6.415601,153.819576
10.746632,0.520710,28.420360,7.124794,7.124794,141.098775
11.578323,0.487846,33.244612,7.838979,7.838979,152.496648
10.574086,0.431653,30.056700,8.965393,8.965393,165.197608
10.777992,0.386053,31.616784,9.075155,9.075155,155.419661
10.747623,0.366437,32.412538,8.736111,8.736111,384.771455
18.650411,0.714089,46.629326,8.916625,8.916625,193.289835
14.037649,0.524743,40.630113,8.476363,8.476363,166.829596
17.121689,0.691112,45.337085,7.296028,7.296028,191.374195
12.226426,0.675273,36.844273,7.839203,7.839203,164.257692
9.130804,0.460710,26.986837,9.578649,9.578649,159.661442
7.894884,0.523463,24.078512,7.893668,7.893668,143.614295
8.376042,0.503431,25.418049,9.017554,9.017554,150.820115
8.622317,0.478822,23.938958,9.570649,9.570649,150.352716
7.876868,0.482726,21.685682,8.227304,8.227304,137.118245
16.693651,0.786602,42.530362,6.412113,6.412113,190.963054
16.926902,0.769930,52.909341,9.454327,9.454327,198.668943
15.541668,0.865099,48.678120,6.294160,6.294160,186.407988
12.618655,0.703817,34.875129,8.420875,8.420875,167.595174
16.098252,0.849770,47.531353,8.878288,8.878288,192.351167
9.642778,0.531175,25.384961,6.641204,6.641204,142.989488
15.216417,0.772297,40.782212,10.189441,10.189441,188.531567
10.375779,0.665608,27.959810,5.694920,5.694920,146.452091
8.005765,0.454630,22.048278,8.135398,8.135398,146.271000
6.933943,0.536103,17.852290,5.027519,5.027519,154.516224
7.368637,0.649961,18.857230,7.503583,7.503583,138.307924
8.265289,0.615048,21.944917,7.359741,7.359741,142.490089
8.960338,0.527206,23.491817,6.399249,6.399249,142.474793
8.460395,0.482534,23.058436,7.462878,7.462878,145.953877
7.012729,0.508390,20.202847,6.067308,6.067308,136.906530
5.518822,0.536391,18.532202,4.438456,4.438456,135.492977
5.961291,0.728169,17.434717,5.274755,5.274755,142.003331
11.634291,1.237391,41.277578,6.548082,6.548082,193.433644
10.567205,1.137519,34.041902,6.922584,6.922584,162.527334
8.601645,0.412933,26.722898,8.029445,8.029445,157.319012
9.313302,0.582567,27.439419,8.318409,8.318409,157.184611
8.016197,0.519303,23.984207,7.227227,7.227227,158.156175
7.212795,0.515815,23.730668,7.897124,7.897124,148.318995
14.064690,0.908587,43.472966,7.004985,7.004985,189.699678
10.368675,0.667240,34.148720,7.032537,7.032537,163.967736
7.388893,0.523719,24.297651,8.382314,8.382314,150.029608
8.196135,0.539719,27.397338,7.013976,7.013976,154.402879
9.051986,0.570247,26.754354,8.345546,8.345546,158.579668
10.274145,0.729066,32.974464,8.539820,8.539820,166.878717
11.374480,0.656136,35.362079,7.752386,7.752386,180.798221
12.539711,0.785001,41.649103,8.653038,8.653038,183.520816
11.508338,0.666696,38.767562,8.870768,8.870768,185.303750
12.180122,0.624488,37.094965,8.929649,8.929649,185.353255
13.038373,0.596391,38.807307,8.917873,8.917873,182.845703
12.393917,0.545735,35.029467,10.331107,10.331107,168.660020
12.679008,0.559623,39.608629,11.893494,11.893494,184.470587
12.744065,0.672425,36.222634,8.157927,8.157927,181.603288
12.003192,0.711657,35.126396,11.455793,11.455793,183.264333
11.418096,0.708553,35.972551,7.257564,7.257564,189.713950
11.634195,0.778122,36.818449,9.641274,9.641274,192.869798
17.753248,0.864331,51.518251,7.213211,7.213211,197.965830
13.003940,0.789802,41.157033,9.803996,9.803996,191.008430
10.882665,0.735370,33.145795,6.357008,6.357008,451.133190
11.412688,1.085166,34.415507,9.638170,9.638170,178.069739
12.973444,1.151567,39.671989,6.577971,6.577971,195.543208
9.120691,1.539444,26.457422,8.484588,8.484588,186.466165
9.370711,1.197775,30.431584,4.127348,4.127348,190.782091
13.335080,1.142831,40.047290,5.010047,5.010047,193.169513
13.936560,0.940172,41.918449,4.530073,4.530073,192.288094
14.694330,0.824811,42.703931,5.047552,5.047552,196.300754
15.462307,0.739529,45.536320,5.637512,5.637512,202.785827
14.375798,0.619815,31.658865,6.374353,6.374353,198.433676
11.642675,0.875851,35.000411,7.629793,7.629793,196.326610
17.187321,0.748873,49.582483,7.570240,7.570240,218.878350
8.949521,0.506182,21.765523,12.586815,12.586815,181.350036
16.612177,0.741066,46.810672,11.043628,11.043628,223.433544
17.224250,0.962540,49.174733,8.306121,8.306121,227.678942
18.087364,0.952236,54.434096,7.368573,7.368573,231.735761
18.793229,0.984813,51.341577,11.389040,11.389040,233.878220
18.608299,1.072525,48.421156,10.895402,10.895402,229.372403
13.644044,0.815114,36.211050,7.630752,7.630752,213.369640
8.888016,0.585543,24.617400,8.058982,8.058982,196.554580
8.720878,0.545575,24.213234,9.596122,9.596122,194.692349
11.004907,0.706921,31.963092,8.725646,8.725646,206.539059
8.778831,0.702761,26.615696,9.979550,9.979550,198.281290
8.009414,0.619656,22.146679,11.381072,11.381072,187.543939
15.724871,1.075982,46.429611,8.984338,8.984338,225.368577
15.033118,1.067981,51.860592,10.973323,10.973323,237.796606
14.384053,1.162735,44.659605,8.574604,8.574604,236.058023
14.183667,1.308689,38.968748,8.421131,8.421131,219.533655
7.437438,0.858859,19.650936,13.347369,13.347369,187.433569
9.660314,0.933644,26.401422,8.940881,8.940881,200.483014
8.765935,0.858475,22.205785,9.121139,9.121139,198.307595
12.871266,1.032526,35.365855,3.198728,3.198728,204.937822
12.978948,1.139150,39.058094,3.358666,3.358666,208.878000
13.020677,1.100974,39.045677,5.716072,5.716072,212.639840
8.204808,0.741033,17.949571,3.495372,3.495372,166.498361
13.576236,0.948908,40.364286,5.224387,5.224387,209.376567
14.047762,0.945996,42.023475,3.402859,3.402859,210.979019
13.814287,0.696073,32.842879,4.722459,4.722459,210.869802
8.060870,0.671848,19.334485,5.678248,5.678248,173.811125
10.657415,0.804106,27.951841,4.360343,4.360343,195.699306
9.185780,0.710185,24.571863,6.342640,6.342640,200.443686
9.454071,0.741865,25.139454,5.735784,5.735784,198.161448
13.694573,1.029549,39.282801,6.204814,6.204814,215.922697
13.240423,1.138639,37.859998,6.448242,6.448242,220.894056
13.080806,1.269360,32.902624,4.631962,4.631962,220.979081
15.520228,1.283281,52.476855,19.577047,19.577047,270.767614
10.599558,0.703496,31.072745,8.500972,8.500972,223.358343
10.058111,0.759658,31.599727,10.307810,10.307810,219.023952
7.260027,0.800010,25.151806,11.259054,11.259054,205.915146
7.034681,0.815819,23.863405,22.978915,22.978915,210.160609
6.866135,0.798378,22.982211,9.176948,9.176948,195.427238
12.170618,1.503859,50.235418,10.604134,10.604134,229.901658
11.157197,1.605780,45.901092,8.955729,8.955729,224.771192
13.499115,1.121070,40.925926,9.104115,9.104115,221.118123
7.869956,0.807690,24.431445,10.013758,10.013758,198.365291
8.152711,0.815754,25.969321,10.363363,10.363363,196.849240
8.327465,0.713513,27.333498,11.046859,11.046859,204.878109
8.343337,0.707945,25.252223,10.903242,10.903242,200.050112
13.952752,1.026541,49.495986,10.961290,10.961290,233.918188
14.073202,0.781897,38.808619,12.920515,12.920515,225.034012
15.394179,0.966444,51.511819,10.303330,10.303330,238.080289
14.271028,0.961164,43.053344,11.214478,11.214478,231.274603
14.359222,0.955532,50.702433,11.263278,11.263278,238.403877
12.562846,0.693321,34.957658,10.875914,10.875914,226.389165
7.869283,0.678633,22.735487,12.291387,12.291387,203.669134
7.948228,0.620040,23.214918,8.832912,8.832912,201.836087
8.185511,0.684553,24.563894,11.484306,11.484306,200.967436
7.769858,0.887019,22.166329,9.334358,9.334358,208.363018
7.753474,0.799626,23.625131,8.820880,8.820880,191.586038
9.584377,0.937740,31.154441,9.836380,9.836380,206.311535
7.788258,0.768330,25.439233,12.575679,12.575679,205.650791
7.556255,0.743785,27.187448,8.933361,8.933361,190.946349
8.654382,0.855242,35.211933,8.664014,8.664014,200.275556
6.795157,0.663721,27.016277,13.146342,13.146342,192.800932
7.048761,0.780746,29.612950,10.054495,10.054495,114.569576
9.466872,0.816074,46.785743,12.243418,12.243418,210.077023
9.373815,1.431282,43.384164,15.063263,15.063263,206.619668
9.394455,1.064717,45.197820,10.329442,10.329442,206.898327
9.835132,1.154479,45.991077,9.000370,9.000370,211.002571
10.171169,1.067949,39.738775,10.713608,10.713608,204.329207
8.041862,0.762569,28.023747,12.856099,12.856099,203.056583
