#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.015008,3,1,0,244
0.004544,4,1,0,448
0.168291,5,1,0,943
0.349092,6,1,0,1457
0.574792,7,1,0,2074
0.657065,8,1,0,2690
0.775723,9,1,0,3170
1.172912,10,1,0,3542
1.126095,0,0,0,0
52.307978,0,0,0,0
1.782136,0,0,0,0
2.333279,0,0,0,0
3.348654,0,0,0,0
3.433839,0,0,0,0
3.490512,0,0,0,0
4.363964,0,0,0,0
4.172249,0,0,0,0
4.598367,0,0,0,0
4.726784,0,0,0,0
5.284008,0,0,0,0
5.811280,0,0,0,0
6.764476,0,0,0,0
6.479896,0,0,0,0
6.810621,0,0,0,0
6.775612,0,0,0,0
6.349207,0,0,0,0
6.400599,0,0,0,0
6.788764,0,0,0,0
6.231893,0,0,0,0
5.770863,0,0,0,0
6.183765,0,0,0,0
6.341110,0,0,0,0
6.520377,0,0,0,0
6.098963,0,0,0,0
6.896958,0,0,0,0
7.883436,0,0,0,0
6.937759,0,0,0,0
6.961823,0,0,0,0
6.770301,0,0,0,0
5.288584,0,0,0,0
5.512203,0,0,0,0
2.523299,0,0,0,0
3.810644,0,0,0,0
4.395708,0,0,0,0
5.867216,0,0,0,0
4.363676,0,0,0,0
5.354921,0,0,0,0
4.308315,0,0,0,0
6.725564,0,0,0,0
5.639373,0,0,0,0
4.195225,0,0,0,0
6.423192,0,0,0,0
5.821359,0,0,0,0
7.336644,0,0,0,0
6.735228,0,0,0,0
5.560972,0,0,0,0
8.761304,0,0,0,0
9.234110,0,0,0,0
11.106231,0,0,0,0
9.520546,0,0,0,0
6.874430,0,0,0,0
6.000306,0,0,0,0
8.179952,0,0,0,0
5.687662,0,0,0,0
6.662459,0,0,0,0
10.406606,0,0,0,0
7.021920,0,0,0,0
8.433107,0,0,0,0
6.850590,0,0,0,0
10.472335,0,0,0,0
7.702985,0,0,0,0
6.437720,0,0,0,0
6.312438,0,0,0,0
4.808450,0,0,0,0
7.110081,0,0,0,0
5.980017,0,0,0,0
9.451009,0,0,0,0
8.251473,0,0,0,0
9.899111,0,0,0,0
8.026702,0,0,0,0
8.575189,0,0,0,0
8.710327,0,0,0,0
6.764764,0,0,0,0
8.265969,0,0,0,0
7.472486,0,0,0,0
9.897287,0,0,0,0
12.848527,0,0,0,0
12.975377,0,0,0,0
17.493230,0,0,0,0
19.234534,0,0,0,0
14.024255,0,0,0,0
8.545141,0,0,0,0
11.049367,0,0,0,0
10.505391,0,0,0,0
6.127668,0,0,0,0
11.015254,0,0,0,0
8.034701,0,0,0,0
11.519742,0,0,0,0
6.173621,0,0,0,0
8.138159,0,0,0,0
6.068371,0,0,0,0
7.659016,0,0,0,0
6.948799,0,0,0,0
9.310719,0,0,0,0
18.745120,0,0,0,0
15.778519,0,0,0,0
17.569359,0,0,0,0
18.230425,0,0,0,0
18.148344,0,0,0,0
11.308155,0,0,0,0
13.983103,0,0,0,0
7.629288,0,0,0,0
10.608209,0,0,0,0
11.380027,0,0,0,0
8.370770,0,0,0,0
8.198960,0,0,0,0
6.711964,0,0,0,0
8.493652,0,0,0,0
4.239002,0,0,0,0
3.250508,0,0,0,0
10.244812,0,0,0,0
9.879559,0,0,0,0
10.898548,0,0,0,0
12.037828,0,0,0,0
11.690272,0,0,0,0
11.842754,0,0,0,0
9.230942,0,0,0,0
11.872354,0,0,0,0
6.689308,0,0,0,0
6.270902,0,0,0,0
6.132276,0,0,0,0
11.491773,0,0,0,0
11.858914,0,0,0,0
14.831914,0,0,0,0
14.348932,0,0,0,0
12.821327,0,0,0,0
19.681453,0,0,0,0
22.106286,0,0,0,0
20.212629,0,0,0,0
23.513697,0,0,0,0
19.116933,0,0,0,0
18.889858,0,0,0,0
18.881250,0,0,0,0
13.219540,0,0,0,0
17.589328,0,0,0,0
14.334564,0,0,0,0
19.572267,0,0,0,0
16.961896,0,0,0,0
15.290193,0,0,0,0
16.911239,0,0,0,0
19.469706,0,0,0,0
11.019255,0,0,0,0
14.869067,0,0,0,0
13.891646,0,0,0,0
19.519499,0,0,0,0
16.986824,0,0,0,0
13.383767,0,0,0,0
7.659625,0,0,0,0
