#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1413393886005760512.000000,0.000000,0.000000,18.293347,4.624226,0.004352,15.240184,8.736060,0.003488,26.257941
1413393886055760384.000000,0.000000,0.000000,21.618611,5.947893,0.083745,6.417307,5.940372,0.001120,31.459039
1413393886105760512.000000,0.000000,0.000000,18.397894,7.700973,0.086753,6.863906,7.943409,0.001216,30.606963
1413393886155760384.000000,0.000000,0.000000,17.491800,8.333495,0.105537,7.151525,5.771954,0.000896,30.276526
1413393886205760512.000000,0.000000,0.000000,17.060306,10.656503,0.108962,6.140311,6.977763,0.001088,31.780163
1413393886255760384.000000,0.000000,0.000000,17.848125,11.680870,0.124962,6.790624,5.610864,1.887835,33.951938
1413393886305760512.000000,0.000000,0.000000,16.863279,8.868510,0.118946,13.655810,10.061294,0.000864,30.272878
1413393886355760384.000000,0.000000,0.000000,18.905228,11.476227,0.118337,10.960860,8.302069,0.000992,34.528234
1413393886405760512.000000,0.000000,0.000000,17.119923,11.378465,0.120897,8.911775,8.350422,0.001184,32.892179
1413393886455760384.000000,0.000000,0.000000,19.310354,11.405698,0.120129,8.434968,8.579194,0.001280,35.208340
1413393886505760512.000000,0.000000,0.000000,19.707895,11.880456,0.124386,8.054674,8.382391,0.001280,35.940414
1413393886555760384.000000,0.000000,0.000000,17.211188,11.630277,0.117922,6.885057,8.539802,0.977870,33.203320
1413393886605760512.000000,0.000000,0.000000,17.412823,11.591877,0.105442,10.134671,11.525028,0.001216,33.629565
1413393886655760384.000000,0.000000,0.000000,18.918157,11.547492,0.122626,8.861790,11.598693,0.001184,34.725389
1413393886705760512.000000,0.000000,0.000000,18.066240,11.508547,0.120002,8.164916,10.186161,0.001088,33.934466
1413393886755760384.000000,0.000000,0.000000,18.664233,11.447106,0.127010,8.406519,10.674232,0.001408,34.330536
1413393886805760512.000000,0.000000,0.000000,18.572712,11.744999,0.093537,7.365993,11.130110,0.766859,34.645099
1413393886855760384.000000,0.000000,0.000000,18.194338,11.923049,0.120065,11.496931,10.198513,0.001728,34.554283
1413393886905760512.000000,0.000000,0.000000,17.092755,11.768135,0.120002,8.193909,9.687241,0.000992,33.406650
1413393886955760384.000000,0.000000,0.000000,19.284274,11.958282,0.122817,9.167234,9.814379,0.001024,35.699866
1413393887005760512.000000,0.000000,0.000000,17.356150,11.844552,0.118753,9.076129,10.300274,0.001088,33.265848
1413393887055760384.000000,0.000000,0.000000,18.581896,11.791015,0.100353,8.413623,10.804186,0.714762,34.961936
1413393887105760512.000000,0.000000,0.000000,16.771854,11.592837,0.117474,10.821625,10.865755,0.002240,32.870258
1413393887155760384.000000,0.000000,0.000000,18.707690,11.235199,0.097826,7.408361,11.256096,0.000864,34.438473
1413393887205760512.000000,0.000000,0.000000,16.422026,11.759655,0.118561,7.685613,10.520406,0.001248,32.536270
1413393887255760384.000000,0.000000,0.000000,16.935728,11.811847,0.100033,7.993298,11.211263,0.001216,33.349625
1413393887305760512.000000,0.000000,0.000000,17.309142,12.006090,0.122850,6.964387,11.405025,0.696490,33.662302
1413393887355760384.000000,0.000000,0.000000,19.198032,11.824935,0.099777,9.272451,12.105452,0.001824,35.834268
1413393887405760512.000000,0.000000,0.000000,17.332567,6.147223,0.125730,7.420522,11.709798,0.001088,27.883979
1413393887455760384.000000,0.000000,0.000000,17.771772,11.339617,0.101729,7.883408,9.477638,0.001248,33.678462
1413393887505760512.000000,0.000000,0.000000,19.166352,9.018208,0.119618,8.321174,12.809494,0.001472,32.510318
1413393887555760384.000000,0.000000,0.000000,21.270254,11.510307,0.098626,7.184870,10.979836,0.679049,37.251025
1413393887605760512.000000,0.000000,0.000000,18.290883,11.674054,0.103777,8.963871,12.606323,0.001408,34.104549
1413393887655760384.000000,0.000000,0.000000,17.569274,11.759271,0.099874,7.935696,11.605669,0.001888,33.662558
1413393887705760512.000000,0.000000,0.000000,19.367443,11.933481,0.101345,7.299592,10.436724,0.001056,36.944492
1413393887755760384.000000,0.000000,0.000000,18.048320,11.159198,0.102017,5.154953,9.785259,0.001536,33.438779
1413393887805760512.000000,0.000000,0.000000,19.101327,11.771176,0.100290,4.575169,10.178897,1.033039,35.061138
1413393887855760384.000000,0.000000,0.000000,19.426868,11.977963,0.119042,7.995281,11.494372,0.001504,35.839965
1413393887905760512.000000,0.000000,0.000000,18.478598,12.033866,0.097698,6.457019,11.048829,0.001792,34.862415
1413393887955760384.000000,0.000000,0.000000,18.081665,8.120435,0.118369,5.926228,11.210687,0.001216,30.703699
1413393888005760512.000000,0.000000,0.000000,19.935739,11.627333,0.101985,5.947156,11.385858,0.001664,35.729883
1413393888055760384.000000,0.000000,0.000000,19.352531,11.824808,0.124546,4.467616,10.656247,0.874669,35.697275
1413393888105760512.000000,0.000000,0.000000,17.658683,10.003214,0.104354,8.100691,12.931223,0.001312,31.981510
1413393888155760384.000000,0.000000,0.000000,17.462072,11.770408,0.119393,6.722175,13.956614,0.001280,33.679134
1413393888205760512.000000,0.000000,0.000000,16.735309,8.334294,0.105665,6.370875,13.443166,0.001248,29.176734
1413393888255760384.000000,0.000000,0.000000,19.229969,11.673990,0.105282,5.687729,11.178622,0.000960,36.070624
1413393888305760512.000000,0.000000,0.000000,17.908030,12.097515,0.105281,6.216665,11.364929,0.932173,34.300295
1413393888355760384.000000,0.000000,0.000000,18.227043,11.996650,0.119714,8.949439,12.316718,0.001376,34.679468
1413393888405760512.000000,0.000000,0.000000,19.051567,11.581092,0.119265,6.074294,11.171103,0.001696,34.960081
1413393888455760384.000000,0.000000,0.000000,19.439412,11.743399,0.127522,0.108386,15.224312,0.132066,35.780828
1413393888505760512.000000,0.000000,0.000000,19.327955,11.711942,0.122146,0.112002,16.470858,0.142594,35.404054
1413393888555760384.000000,0.000000,0.000000,18.015776,11.655173,0.121346,0.102945,14.123529,1.304147,34.096580
1413393888605760512.000000,0.000000,0.000000,18.405798,11.949481,0.129314,0.261188,19.297714,0.170402,34.697932
1413393888655760384.000000,0.000000,0.000000,18.847211,11.401698,0.098306,0.129922,17.956703,0.169699,34.797262
1413393888705760512.000000,0.000000,0.000000,17.563066,11.955178,0.100674,0.114978,15.447547,0.115457,34.372168
1413393888755760384.000000,0.000000,0.000000,17.334390,11.373666,0.117730,0.128482,16.218662,1.107856,33.236920
1413393888805760512.000000,0.000000,0.000000,18.948749,11.379106,0.102177,0.248484,18.394213,0.284580,34.668524
1413393888855760384.000000,0.000000,0.000000,17.207028,11.316385,0.099106,0.128002,15.996515,0.158818,32.649712
1413393888905760512.000000,0.000000,0.000000,16.392872,6.413211,0.107618,0.113857,16.344104,1.153136,26.965759
1413393888955760384.000000,0.000000,0.000000,17.887294,11.756103,0.125569,0.255044,19.127695,0.316580,34.133988
1413393889005760512.000000,0.000000,0.000000,17.073779,11.950409,0.100385,0.114594,16.920688,0.182275,33.427355
1413393889055760384.000000,0.000000,0.000000,20.423298,11.759015,0.105954,0.109057,15.375162,1.167249,36.459877
1413393889105760512.000000,0.000000,0.000000,19.212081,11.815912,0.124257,0.249059,18.734346,0.419941,35.141011
1413393889155760384.000000,0.000000,0.000000,18.610440,11.621669,0.108289,0.121026,14.507950,0.182786,34.577995
1413393889205760512.000000,0.000000,0.000000,16.856368,11.704198,0.096929,0.108002,14.341195,1.248145,32.736145
1413393889255760384.000000,0.000000,0.000000,17.709340,11.479267,0.124866,0.270372,19.275218,0.235459,33.532572
1413393889305760512.000000,0.000000,0.000000,18.128737,12.086187,0.123329,0.137858,16.221382,0.178115,34.586731
1413393889355760384.000000,0.000000,0.000000,18.123170,11.598276,0.120258,0.113922,14.523022,1.005039,34.523851
1413393889405760512.000000,0.000000,0.000000,16.825871,11.542564,0.122850,0.139874,18.208290,0.161698,32.693488
1413393889455760384.000000,0.000000,0.000000,17.985087,11.541284,0.119874,0.121345,18.127714,0.180739,33.814048
1413393889505760512.000000,0.000000,0.000000,19.121360,10.933435,0.119138,0.107489,15.946179,0.121954,34.419113
1413393889555760384.000000,0.000000,0.000000,17.597434,11.532100,0.123586,0.109538,17.544473,0.125186,33.573245
1413393889605760512.000000,0.000000,0.000000,18.765835,11.852872,0.127457,0.117026,18.411397,0.128321,37.239280
1413393889655760384.000000,0.000000,0.000000,18.770603,11.594149,0.121378,0.112385,18.673801,0.125282,59.111015
1413393889705760512.000000,0.000000,0.000000,19.725688,10.225809,0.136802,0.106561,18.506055,0.122754,46.672950
1413393889755760384.000000,0.000000,0.000000,17.308342,13.018489,0.100961,0.102210,15.802368,0.906701,49.075641
1413393889805760512.000000,0.000000,0.000000,15.527708,13.007416,0.098370,0.220323,18.651560,0.294116,45.395973
1413393889855760384.000000,0.000000,0.000000,17.471352,13.164763,0.086721,0.113442,15.815072,0.189378,47.637060
1413393889905760512.000000,0.000000,0.000000,18.972910,13.253884,0.090594,0.077313,18.103265,0.161699,50.556462
1413393889955760384.000000,0.000000,0.000000,17.409559,11.796263,0.086561,0.115490,17.663322,1.014446,56.948265
1413393890005760512.000000,0.000000,0.000000,16.309447,9.768747,0.070817,0.221347,20.003548,0.336517,49.334141
1413393890055760384.000000,0.000000,0.000000,15.559485,10.861786,0.097217,0.120546,17.871422,0.177795,47.831079
1413393890105760512.000000,0.000000,0.000000,15.584862,11.901673,0.095425,0.119778,17.086675,1.103087,48.462736
1413393890155760384.000000,0.000000,0.000000,17.960447,10.979643,0.093633,0.220067,18.618089,0.189474,49.426878
1413393890205760512.000000,0.000000,0.000000,15.331386,10.663927,0.089986,0.116129,17.715932,0.201059,46.102094
1413393890255760384.000000,0.000000,0.000000,16.223014,10.349235,0.110786,0.102401,16.231399,1.049454,52.318183
1413393890305760512.000000,0.000000,0.000000,18.323972,9.889773,0.102433,0.231684,19.594998,0.190915,51.816128
1413393890355760384.000000,0.000000,0.000000,17.359927,9.755626,0.102241,0.125410,17.622874,0.169090,49.415550
1413393890405760512.000000,0.000000,0.000000,17.953791,9.889101,0.108225,0.123202,16.337096,0.962445,50.895282
1413393890455760384.000000,0.000000,0.000000,18.038624,10.667543,0.106273,0.231460,19.756216,0.188931,51.942049
1413393890505760512.000000,0.000000,0.000000,16.597259,9.637833,0.074465,0.134978,18.369797,0.191523,52.125572
1413393890555760384.000000,0.000000,0.000000,15.985571,8.620219,0.112833,0.131074,17.546873,0.894413,45.997549
1413393890605760512.000000,0.000000,0.000000,17.430743,8.729884,0.091778,0.216899,19.744089,0.198370,49.134297
1413393890655760384.000000,0.000000,0.000000,17.364918,9.823276,0.108065,0.129506,19.220209,0.207715,50.461100
1413393890705760512.000000,0.000000,0.000000,17.058386,9.544296,0.106018,0.123938,17.011890,1.061359,50.360395
1413393890755760384.000000,0.000000,0.000000,17.919007,9.771082,0.113122,0.213475,20.545411,0.181347,53.599673
1413393890805760512.000000,0.000000,0.000000,17.320694,8.806621,0.101634,0.145282,20.006204,0.203011,48.850965
1413393890855760384.000000,0.000000,0.000000,17.134803,9.376614,0.113281,0.149954,18.570664,0.977038,49.090649
1413393890905760512.000000,0.000000,0.000000,17.166548,9.618729,0.119682,0.234435,19.957371,0.193954,50.066055
1413393890955760384.000000,0.000000,0.000000,20.221504,9.136801,0.107874,0.131266,18.605960,0.172195,52.239654
1413393891005760512.000000,0.000000,0.000000,18.105761,8.549753,0.070721,0.082113,16.320200,0.196067,53.453206
1413393891055760384.000000,0.000000,0.000000,17.912734,6.931554,0.095329,0.126818,18.439494,0.964206,48.278701
1413393891105760512.000000,0.000000,0.000000,16.420585,9.097313,0.120418,0.086401,19.264978,0.129697,46.817881
1413393891155760384.000000,0.000000,0.000000,18.366277,9.623049,0.124098,0.124994,14.790898,0.228131,53.339125
1413393891205760512.000000,0.000000,0.000000,17.749532,10.541525,0.114881,0.108289,14.726385,0.135266,51.015124
1413393891255760384.000000,0.000000,0.000000,19.756665,8.878206,0.116482,0.080641,13.779620,0.170691,54.583943
1413393891305760512.000000,0.000000,0.000000,18.281379,9.021248,0.109474,0.104802,14.187881,0.155555,50.803537
1413393891355760384.000000,0.000000,0.000000,18.839851,10.205713,0.119970,0.093218,13.854340,0.163043,50.890995
1413393891405760512.000000,0.000000,0.000000,17.623642,8.590970,0.112738,0.089025,13.924102,0.167138,45.160673
1413393891455760384.000000,0.000000,0.000000,17.907742,9.782474,0.115457,0.088513,13.653570,0.935342,47.559523
1413393891505760512.000000,0.000000,0.000000,16.309000,7.365577,0.139106,0.062113,14.083336,0.137922,47.645572
1413393891555760384.000000,0.000000,0.000000,15.335897,9.516008,0.147490,0.094081,13.810084,0.188387,46.623254
1413393891605760512.000000,0.000000,0.000000,15.398330,8.419543,0.137826,0.076642,12.230765,0.092833,45.134977
1413393891655760384.000000,0.000000,0.000000,17.240212,10.749081,0.141922,0.095809,16.219526,0.801035,49.406462
1413393891705760512.000000,0.000000,0.000000,15.395867,9.307492,0.125858,0.075073,16.618028,0.123969,44.690138
1413393891755760384.000000,0.000000,0.000000,19.024206,9.804235,0.144194,0.094306,12.502673,0.204835,54.205474
1413393891805760512.000000,0.000000,0.000000,19.058862,9.218339,0.137410,0.048353,11.174430,0.100321,53.477911
1413393891855760384.000000,0.000000,0.000000,17.723388,9.527559,0.144002,0.130658,15.265112,0.990958,51.406330
1413393891905760512.000000,0.000000,0.000000,18.506919,10.467092,0.119874,0.105249,17.365463,0.134689,50.165353
1413393891955760384.000000,0.000000,0.000000,16.411561,10.526038,0.143106,0.102657,12.379024,0.148003,49.469406
1413393892005760512.000000,0.000000,0.000000,15.444763,7.646284,0.121410,0.089026,14.153192,0.141282,48.512913
1413393892055760384.000000,0.000000,0.000000,15.862977,8.629338,0.132674,0.086529,13.825285,0.982510,46.047054
1413393892105760512.000000,0.000000,0.000000,16.573676,8.322806,0.135970,0.063777,13.771971,0.118401,44.573177
1413393892155760384.000000,0.000000,0.000000,16.742093,10.216145,0.169922,0.097921,11.029309,0.198178,48.013610
1413393892205760512.000000,0.000000,0.000000,14.523983,8.206516,0.167714,0.083938,11.947433,0.126338,41.285962
1413393892255760384.000000,0.000000,0.000000,17.115347,9.353093,0.175267,0.071905,11.781544,1.113040,50.704528
1413393892305760512.000000,0.000000,0.000000,16.463337,8.713819,0.173699,0.072385,12.214029,0.101921,47.915977
1413393892355760384.000000,0.000000,0.000000,18.100737,8.693692,0.167362,0.090113,11.441283,0.183299,46.773272
1413393892405760512.000000,0.000000,0.000000,18.243331,9.253284,0.062465,0.051681,10.183024,0.106434,49.530943
1413393892455760384.000000,0.000000,0.000000,17.186100,8.673147,0.151170,0.083138,14.972884,1.158256,49.238107
1413393892505760512.000000,0.000000,0.000000,17.024690,8.266037,0.166946,0.079233,14.354476,0.126402,46.052238
1413393892555760384.000000,0.000000,0.000000,19.998684,8.405399,0.203619,0.097889,11.632358,0.140674,50.507725
1413393892605760512.000000,0.000000,0.000000,21.960120,7.554475,0.189731,0.095649,15.712511,1.406868,53.769948
1413393892655760384.000000,0.000000,0.000000,16.276935,8.480408,0.164706,0.227715,16.846255,0.149538,46.605749
1413393892705760512.000000,0.000000,0.000000,19.261490,8.159636,0.173603,0.115010,17.641402,0.181858,48.307278
1413393892755760384.000000,0.000000,0.000000,16.611948,8.409751,0.163235,0.098465,15.535773,0.865933,48.955863
1413393892805760512.000000,0.000000,0.000000,20.175615,8.566041,0.162530,0.155970,18.337348,0.136610,48.007626
1413393892855760384.000000,0.000000,0.000000,17.617850,8.856350,0.175458,0.104994,15.613949,0.109665,46.807321
1413393892905760512.000000,0.000000,0.000000,17.258645,7.735310,0.169602,0.097378,15.005397,0.092577,49.349085
1413393892955760384.000000,0.000000,0.000000,17.592634,8.857886,0.168450,0.114402,16.646444,1.191121,47.503619
1413393893005760512.000000,0.000000,0.000000,17.715900,7.153670,0.177475,0.237700,22.467615,0.256995,44.911357
1413393893055760384.000000,0.000000,0.000000,19.956123,7.187974,0.093218,0.126146,17.358167,0.145474,50.612047
1413393893105760512.000000,0.000000,0.000000,19.608471,6.592061,0.204611,0.118145,17.272181,0.156707,49.214458
1413393893155760384.000000,0.000000,0.000000,18.290851,6.541213,0.223588,0.137794,16.889008,0.109954,45.424100
1413393893205760512.000000,0.000000,0.000000,21.122412,7.171686,0.215907,0.116673,16.854800,0.104834,50.640591
1413393893255760384.000000,0.000000,0.000000,21.171404,8.289557,0.213123,0.117442,16.115877,0.107266,52.941584
1413393893305760512.000000,0.000000,0.000000,20.460578,7.728654,0.213891,0.121089,15.942563,1.108176,51.628221
1413393893355760384.000000,0.000000,0.000000,19.305202,9.491911,0.196835,0.228963,19.448340,0.202627,52.086084
1413393893405760512.000000,0.000000,0.000000,19.895355,7.226375,0.175842,0.122146,17.340598,0.179778,48.384463
1413393893455760384.000000,0.000000,0.000000,18.668201,6.877282,0.197507,0.112770,16.265895,0.138306,49.546783
1413393893505760512.000000,0.000000,0.000000,17.333302,7.320456,0.197411,0.122114,15.989187,0.115650,45.464422
1413393893555760384.000000,0.000000,0.000000,18.045952,7.539915,0.220867,0.119810,16.054692,0.892204,48.448048
1413393893605760512.000000,0.000000,0.000000,16.468234,9.048609,0.201699,0.201987,17.454136,0.288420,49.060152
1413393893655760384.000000,0.000000,0.000000,16.050692,7.828719,0.180770,0.112578,16.032836,0.179011,49.117433
1413393893705760512.000000,0.000000,0.000000,16.743149,7.166789,0.202467,0.095841,14.767730,0.200611,46.682807
1413393893755760384.000000,0.000000,0.000000,16.825583,8.076658,0.192643,0.094498,14.117960,1.149072,49.635297
1413393893805760512.000000,0.000000,0.000000,16.319912,8.480248,0.091713,0.250884,18.789867,0.289029,48.647155
1413393893855760384.000000,0.000000,0.000000,16.849839,8.348726,0.171875,0.122017,15.813857,0.148738,47.945513
1413393893905760512.000000,0.000000,0.000000,17.938975,8.482040,0.197347,0.120769,17.128916,0.138338,48.095179
1413393893955760384.000000,0.000000,0.000000,15.874593,8.195349,0.090241,0.113186,15.371578,0.120450,48.747764
1413393894005760512.000000,0.000000,0.000000,16.433673,7.970194,0.163810,0.134594,17.853885,0.917101,47.190430
1413393894055760384.000000,0.000000,0.000000,17.092787,8.594458,0.196930,0.083330,17.672603,0.156195,45.971181
1413393894105760512.000000,0.000000,0.000000,14.681808,8.071635,0.085985,0.113057,12.743413,0.186562,46.118447
1413393894155760384.000000,0.000000,0.000000,19.419955,9.355269,0.093441,0.082625,15.296922,0.124418,52.447080
1413393894205760512.000000,0.000000,0.000000,16.094788,8.537466,0.090625,0.118082,15.048053,0.108641,47.695621
1413393894255760384.000000,0.000000,0.000000,16.347145,10.106991,0.171650,0.136481,17.657083,0.919917,51.116469
1413393894305760512.000000,0.000000,0.000000,16.151173,9.274884,0.177730,0.247172,18.155714,0.244035,49.514399
1413393894355760384.000000,0.000000,0.000000,16.385417,9.158754,0.180834,0.127682,16.575148,0.148642,48.060938
1413393894405760512.000000,0.000000,0.000000,17.644570,9.516807,0.171683,0.127202,16.326471,0.206147,52.577707
1413393894455760384.000000,0.000000,0.000000,16.627276,9.123458,0.184579,0.106530,13.907109,0.956301,50.186856
1413393894505760512.000000,0.000000,0.000000,19.167664,8.457208,0.174626,0.230115,16.804047,0.219331,51.784319
1413393894555760384.000000,0.000000,0.000000,17.759548,8.099475,0.080577,0.119202,15.549725,0.174883,50.113544
1413393894605760512.000000,0.000000,0.000000,18.493414,8.633851,0.173026,0.070945,13.862469,1.049039,50.539725
1413393894655760384.000000,0.000000,0.000000,16.917104,7.767470,0.177890,0.178082,17.101651,0.164386,45.671016
1413393894705760512.000000,0.000000,0.000000,17.959423,8.183796,0.182499,0.095810,15.044629,0.144002,50.028455
1413393894755760384.000000,0.000000,0.000000,16.207782,8.401464,0.172194,0.078657,11.785927,1.080719,48.619314
1413393894805760512.000000,0.000000,0.000000,14.191785,6.411131,0.154658,0.170307,15.500124,0.173794,46.476852
1413393894855760384.000000,0.000000,0.000000,15.633054,6.425627,0.152706,0.096353,14.024135,0.159810,41.433740
1413393894905760512.000000,0.000000,0.000000,17.231220,6.150775,0.154050,0.082977,13.054265,1.151056,41.875027
1413393894955760384.000000,0.000000,0.000000,16.307495,6.073143,0.154338,0.124930,16.399496,0.164898,41.498413
1413393895005760512.000000,0.000000,0.000000,17.582298,6.065590,0.148738,0.091841,15.028693,0.156802,42.299032
1413393895055760384.000000,0.000000,0.000000,16.168454,6.140503,0.149154,0.068673,13.426783,1.279346,40.886245
1413393895105760512.000000,0.000000,0.000000,16.234279,6.032021,0.153059,0.202563,19.099919,0.179139,41.371115
1413393895155760384.000000,0.000000,0.000000,19.134319,6.351386,0.149154,0.103170,17.561817,0.193923,44.235156
1413393895205760512.000000,0.000000,0.000000,16.560235,5.575535,0.154914,0.086434,14.232234,1.151569,40.823587
1413393895255760384.000000,0.000000,0.000000,18.180706,5.579343,0.147842,0.153314,19.772345,0.180483,40.435582
1413393895305760512.000000,0.000000,0.000000,15.871905,7.971730,0.180611,0.107041,17.600282,0.214276,45.377252
1413393895355760384.000000,0.000000,0.000000,17.420184,8.168212,0.177794,0.100322,15.245496,0.788395,46.937467
1413393895405760512.000000,0.000000,0.000000,16.810223,5.557391,0.139522,0.099393,17.777021,0.169026,39.679379
1413393895455760384.000000,0.000000,0.000000,17.323478,5.413453,0.137090,0.109282,18.350692,0.186403,40.509087
1413393895505760512.000000,0.000000,0.000000,20.167710,7.460778,0.174371,0.108258,15.808800,0.886252,48.568401
