#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.450957,0.117090,1.298035,0.015104,0.015104,10.892066
10.783904,0.322565,5.362032,0.005184,0.005184,16.478133
12.198677,0.587273,12.045971,0.421862,0.421862,71.535655
13.282053,0.798316,14.324853,1.396565,1.396565,80.786289
14.295541,0.580296,17.747400,1.786619,1.786619,109.683871
14.735580,0.533543,22.319052,2.259841,2.259841,114.355077
15.379045,0.517192,26.531658,2.580582,2.580582,119.588114
14.219859,0.560009,28.403942,2.411907,2.411907,117.349360
14.969919,0.744619,34.841670,2.680360,2.680360,126.318998
9.713937,0.463271,24.531660,104.538258,104.538258,221.859362
10.284249,0.567432,26.876432,3.966299,3.966299,97.273862
15.908044,0.649546,35.179595,4.115390,4.115390,124.465754
16.455349,0.739851,34.287357,4.439778,4.439778,129.465284
16.602199,0.673834,33.900568,5.160748,5.160748,132.530066
11.916465,0.594920,25.193047,5.287599,5.287599,129.837257
16.091887,0.874605,37.468237,5.261806,5.261806,146.067002
11.426378,0.715627,32.317536,5.518450,5.518450,137.654013
10.023957,0.561064,32.168574,5.956856,5.956856,140.311716
12.035411,0.642537,37.123176,5.710357,5.710357,148.753730
12.856447,1.022383,50.653393,7.119402,7.119402,173.324975
20.805557,0.946510,59.552725,7.453199,7.453199,241.481763
17.117406,0.742027,46.263728,8.921828,8.921828,312.663620
10.178231,0.507240,30.563942,9.169608,9.169608,152.773373
9.638127,0.381222,29.133616,8.627777,8.627777,167.496568
9.714000,0.433287,27.971007,8.499774,8.499774,146.715651
8.898436,0.427206,26.779758,6.991240,6.991240,140.357828
10.235800,0.453863,30.532421,7.774356,7.774356,153.726123
9.251017,0.504424,26.951984,9.292586,9.292586,156.145358
9.028902,0.555016,27.707547,10.023317,10.023317,156.172559
7.903605,0.522472,25.473914,8.662305,8.662305,143.679222
7.591057,0.451687,23.364411,8.436125,8.436125,137.779422
8.754466,0.495368,26.583978,8.250842,8.250842,144.005274
13.934159,0.692330,39.218566,7.231884,7.231884,164.616780
15.555271,0.710443,51.089814,8.559679,8.559679,191.550236
15.085952,0.675946,33.558675,9.179209,9.179209,166.485096
9.889203,0.526248,32.308543,6.459488,6.459488,152.015824
7.935221,0.385126,20.864150,9.782673,9.782673,141.741751
10.446907,0.662826,31.032109,8.253210,8.253210,164.714669
11.192166,0.586857,31.412274,6.148603,6.148603,152.644985
15.732714,0.716138,42.462646,10.121398,10.121398,185.302302
12.062419,0.679850,32.338208,5.872888,5.872888,150.771742
8.667808,0.421542,24.229192,8.258011,8.258011,145.517135
6.464448,0.580009,16.754713,4.135709,4.135709,124.833117
9.706736,0.747019,30.173472,5.417041,5.417041,154.527157
7.060360,0.690187,20.164043,6.622595,6.622595,144.708835
9.754609,0.686410,25.972609,7.154538,7.154538,146.571742
9.390572,0.589704,24.429035,6.270973,6.270973,141.512692
7.900789,0.566728,22.199146,7.444014,7.444014,142.010682
5.786934,0.601288,17.308065,6.103546,6.103546,128.250574
5.165133,0.673226,18.168653,2.838122,2.838122,91.838355
11.390857,1.382420,44.112078,5.760470,5.760470,178.917502
14.491575,1.482806,47.479968,5.907256,5.907256,184.126859
15.730025,1.105585,44.460819,6.544385,6.544385,191.355350
11.460362,0.821484,37.848593,7.515632,7.515632,163.226805
13.917327,0.996111,45.520291,7.180075,7.180075,182.080333
11.185446,0.795659,40.352087,5.766006,5.766006,191.092114
10.084341,0.804268,33.974808,5.612499,5.612499,157.768355
8.556863,0.578441,29.015086,8.357276,8.357276,154.980698
8.277082,0.525896,26.217253,7.702482,7.702482,150.196531
8.921316,0.596041,26.667883,8.361435,8.361435,154.705494
7.883605,0.513287,22.689681,8.203514,8.203514,149.654859
6.998856,0.509223,20.251692,6.206492,6.206492,141.865207
11.140773,0.542440,32.820199,7.364109,7.364109,159.655103
19.152796,0.856652,65.271336,10.104086,10.104086,216.260102
9.691664,0.485415,29.978461,7.986390,7.986390,157.526911
13.167747,0.591689,41.882221,10.221336,10.221336,180.842073
14.198195,0.529864,40.326805,10.444571,10.444571,188.445386
13.541481,0.509383,38.423322,7.708403,7.708403,192.321699
14.214195,0.597961,40.976287,8.982533,8.982533,190.974991
14.188978,0.699306,41.198627,6.860965,6.860965,182.229036
13.426951,0.730155,39.143236,8.188185,8.188185,188.624555
9.527469,0.693098,30.331554,6.461440,6.461440,160.810127
9.007142,0.503495,26.102339,8.139544,8.139544,158.636143
8.578879,0.626474,24.502155,7.832181,7.832181,156.597969
9.687312,0.526664,27.547512,9.761265,9.761265,165.986588
11.423113,0.757259,34.579617,7.508175,7.508175,188.066434
11.089284,0.788876,35.591151,6.342878,6.342878,454.238954
11.005827,0.922030,34.306716,7.420430,7.420430,177.721929
11.934288,1.183666,39.656203,8.406172,8.406172,195.287564
