#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403637130538319104.000000,0.000000,0.000000,27.882113,3.098947,0.005184,12.870036,5.852899,0.003296,34.848305
1403637130588318976.000000,0.000000,0.000000,25.055425,3.285925,0.085921,5.474047,4.255249,0.460741,32.443157
1403637130638319104.000000,0.000000,0.000000,25.150177,5.393822,0.064481,5.396030,4.581845,0.001440,34.517198
1403637130688318976.000000,0.000000,0.000000,25.209315,5.555232,0.105537,5.639297,5.016314,0.484453,34.798960
1403637130738319104.000000,0.000000,0.000000,24.168246,6.399242,0.120097,6.534507,5.505791,0.001184,36.394435
1403637130788318976.000000,0.000000,0.000000,23.401965,7.091570,0.136866,6.423722,5.098106,0.428133,54.259152
1403637131038319104.000000,0.000000,0.000000,25.496454,6.903183,0.331876,3.331943,5.335485,0.001280,0.000000
1403637131238319104.000000,0.000000,0.000000,25.993387,6.854991,0.329060,6.388874,4.524916,0.419429,0.092225
1403637131438319104.000000,0.000000,0.000000,22.697509,7.083633,0.378724,6.521451,5.113595,0.001440,3.428904
1403637131638319104.000000,0.000000,0.000000,24.740733,7.192467,0.357476,5.926276,5.728738,0.451301,3.164772
1403637131838319104.000000,0.000000,0.000000,24.192598,7.124243,0.361637,5.880484,5.231068,0.000832,3.207877
1403637132038319104.000000,0.000000,0.000000,24.564922,2.912609,0.164641,6.082182,4.816216,0.495590,47.653060
1403637132238319104.000000,0.000000,0.000000,26.223118,6.671341,0.381348,6.445802,4.815096,0.001152,3.555209
1403637132438319104.000000,0.000000,0.000000,24.500283,6.975728,0.377285,5.370014,6.358409,0.612039,3.297478
1403637132638319104.000000,0.000000,0.000000,25.154530,7.130418,0.358340,5.961605,5.768386,0.001504,3.559785
1403637132838319104.000000,0.000000,0.000000,23.681552,7.172659,0.372004,4.508276,5.234140,0.001216,47.614117
1403637133038319104.000000,0.000000,0.000000,24.026261,6.953008,0.370788,3.451272,5.433119,0.732296,3.218949
1403637133238319104.000000,0.000000,0.000000,24.137173,3.817835,0.349892,4.305202,6.648460,0.001536,3.386663
1403637133438319104.000000,0.000000,0.000000,24.312088,7.746265,0.358340,3.278246,6.488043,0.001536,3.133636
1403637133488318976.000000,0.000000,0.000000,24.396665,3.559337,0.075553,2.852097,6.196551,1.366288,45.497804
