#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.244489,0.034528,0.424037,0.014624,0.014624,9.730606
9.364458,0.080257,1.121421,0.004960,0.004960,10.575928
9.667406,0.214946,5.865506,0.265347,0.265347,27.686617
10.078258,0.274051,15.121035,0.533670,0.533670,51.154849
10.193235,0.291491,12.352171,0.827273,0.827273,72.421457
11.945671,0.467365,17.124929,0.916170,0.916170,69.946741
10.422902,0.365092,22.555807,0.606087,0.606087,73.659488
11.921127,0.258275,22.899970,1.029259,1.029259,86.938485
12.576974,0.367685,28.156573,1.063724,1.063724,94.325961
13.608921,0.385541,35.997814,40.520745,40.520745,144.760290
14.775559,0.363812,36.039511,0.942923,0.942923,96.871078
16.016948,0.397381,34.311971,1.210221,1.210221,108.244773
16.498266,0.357028,37.901836,1.614194,1.614194,126.548308
16.559419,0.275267,31.190240,1.983926,1.983926,109.973913
16.964832,0.334019,36.300634,1.291983,1.291983,121.194136
16.320792,0.219331,40.771020,1.758164,1.758164,128.810542
18.076748,0.296611,45.539714,1.710259,1.710259,139.158626
19.136760,0.350211,51.044033,2.034711,2.034711,155.984384
12.616206,0.203330,30.972542,2.164728,2.164728,129.071696
18.744947,0.293732,41.503060,2.357690,2.357690,141.612158
21.088558,0.367940,60.004933,2.450844,2.450844,184.805062
21.001965,0.438181,45.149758,3.812171,3.812171,432.548819
21.169295,0.464901,53.036791,3.596168,3.596168,172.951456
11.776389,0.189410,30.438136,3.206372,3.206372,139.255076
22.353629,0.343588,59.247612,3.179076,3.179076,174.987512
19.288218,0.367876,53.249081,3.373062,3.373062,168.009033
23.656971,0.403716,62.224319,2.690078,2.690078,216.656813
24.972570,0.471973,58.471317,3.058754,3.058754,186.815709
25.584641,0.346276,54.591464,3.214885,3.214885,199.176809
26.171112,0.508358,55.717333,4.411121,4.411121,199.843056
15.340461,0.221603,33.533306,5.739969,5.739969,161.704833
20.823755,0.435013,40.089253,3.076003,3.076003,166.316982
16.459386,0.220227,47.860924,5.784129,5.784129,181.500769
15.072010,0.244195,47.981117,2.800928,2.800928,168.586895
15.542992,0.212162,47.068692,4.190960,4.190960,172.396987
16.568059,0.202978,43.210120,4.094766,4.094766,173.015777
15.955988,0.134081,40.247847,3.901580,3.901580,160.707414
16.387161,0.017120,41.180849,4.121615,4.121615,174.042701
16.112406,0.013568,38.217007,3.629513,3.629513,159.430184
16.203319,0.014400,38.400177,3.861131,3.861131,161.263324
16.543387,0.015744,39.855970,3.838923,3.838923,162.040422
16.376089,0.014144,37.545480,3.999597,3.999597,168.889843
16.080790,0.014240,40.574858,3.842187,3.842187,166.037651
16.761181,0.015137,39.835201,3.993549,3.993549,162.850319
16.915647,0.012480,39.274971,4.105839,4.105839,163.436341
16.482330,0.012737,38.555155,2.610109,2.610109,160.280850
17.193219,0.014752,37.982317,3.930028,3.930028,165.501453
16.988832,0.013696,34.749449,4.069390,4.069390,163.220915
16.824926,0.017440,35.291119,5.273116,5.273116,130.212735
18.367183,0.018400,51.826218,4.280752,4.280752,175.448733
18.875958,0.088737,60.643244,2.886240,2.886240,190.302341
18.517073,0.187746,38.955480,4.096718,4.096718,163.675864
20.939788,0.286180,54.815915,5.785826,5.785826,192.495070
25.121404,0.409157,67.989151,4.709877,4.709877,205.360367
23.394729,0.512005,66.778418,2.804416,2.804416,203.705021
23.173862,0.452773,60.444074,4.385170,4.385170,221.471557
21.722549,0.380836,62.310016,4.345489,4.345489,203.861278
21.852438,0.419333,45.220735,4.164239,4.164239,192.769696
21.948472,0.478021,59.241693,4.731766,4.731766,205.407728
13.109332,0.337188,38.870935,4.889303,4.889303,182.282346
12.759184,0.509030,41.315187,6.176518,6.176518,175.913219
12.422572,0.439781,42.836644,3.135716,3.135716,176.831821
13.716187,0.604807,49.297868,5.279804,5.279804,229.892932
16.482170,0.487781,52.919318,2.910849,2.910849,207.090370
17.634856,0.496197,56.906211,6.064772,6.064772,214.012689
17.234243,0.546310,51.658055,3.513512,3.513512,204.717704
10.897883,0.471141,36.085656,5.221915,5.221915,177.788600
10.145171,0.430853,31.384034,3.259237,3.259237,191.178639
12.024104,0.467237,43.939793,6.092773,6.092773,187.184514
15.593232,0.549542,47.757467,4.274064,4.274064,227.255494
8.729987,0.301187,22.939555,5.262140,5.262140,177.831417
16.584027,0.526374,48.571397,5.475198,5.475198,208.283792
15.666225,0.554950,48.012127,4.124974,4.124974,204.911274
15.801363,0.450021,48.612293,3.723850,3.723850,211.258738
12.891089,0.532518,34.783241,6.170245,6.170245,202.655568
12.199434,0.426628,32.742514,6.837581,6.837581,200.054611
10.087442,0.462949,28.102077,5.718817,5.718817,176.475753
