#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.014304,3,1,0,464
0.004960,4,1,0,961
0.275427,5,1,0,1442
0.527494,6,1,0,1823
0.689608,7,1,0,2261
0.964426,8,1,0,2587
0.894858,9,1,0,2753
0.807912,10,1,0,3244
1.278862,0,0,0,0
82.049720,0,0,0,0
0.898538,0,0,0,0
1.216589,0,0,0,0
1.186317,0,0,0,0
1.423856,0,0,0,0
2.284185,0,0,0,0
1.615538,0,0,0,0
1.809395,0,0,0,0
1.959701,0,0,0,0
1.825428,0,0,0,0
2.258425,0,0,0,0
2.336793,0,0,0,0
3.708969,0,0,0,0
3.325989,0,0,0,0
3.807529,0,0,0,0
3.344196,0,0,0,0
2.652445,0,0,0,0
4.103917,0,0,0,0
2.920928,0,0,0,0
3.129954,0,0,0,0
5.328538,0,0,0,0
4.350319,0,0,0,0
2.957408,0,0,0,0
4.194638,0,0,0,0
4.063244,0,0,0,0
4.066253,0,0,0,0
3.779689,0,0,0,0
2.134999,0,0,0,0
5.615389,0,0,0,0
2.224025,0,0,0,0
3.571110,0,0,0,0
4.962550,0,0,0,0
3.742505,0,0,0,0
2.061847,0,0,0,0
3.653992,0,0,0,0
3.783274,0,0,0,0
3.840041,0,0,0,0
2.368282,0,0,0,0
4.928949,0,0,0,0
2.490491,0,0,0,0
3.938283,0,0,0,0
4.048108,0,0,0,0
3.995787,0,0,0,0
4.682867,0,0,0,0
4.591634,0,0,0,0
2.704957,0,0,0,0
4.595378,0,0,0,0
4.776661,0,0,0,0
5.960193,0,0,0,0
3.129858,0,0,0,0
4.599058,0,0,0,0
5.243385,0,0,0,0
6.347333,0,0,0,0
3.318340,0,0,0,0
3.557831,0,0,0,0
3.636423,0,0,0,0
5.187513,0,0,0,0
3.951243,0,0,0,0
6.156707,0,0,0,0
4.259215,0,0,0,0
6.122595,0,0,0,0
5.073240,0,0,0,0
3.744105,0,0,0,0
3.725545,0,0,0,0
4.853909,0,0,0,0
3.576359,0,0,0,0
4.961814,0,0,0,0
3.758249,0,0,0,0
3.747848,0,0,0,0
3.765866,0,0,0,0
7.417969,0,0,0,0
3.539911,0,0,0,0
6.312325,0,0,0,0
5.838944,0,0,0,0
4.609586,0,0,0,0
4.660339,0,0,0,0
4.698067,0,0,0,0
4.786805,0,0,0,0
5.047992,0,0,0,0
5.200953,0,0,0,0
6.572488,0,0,0,0
5.114040,0,0,0,0
6.684809,0,0,0,0
5.808255,0,0,0,0
5.200185,0,0,0,0
5.901857,0,0,0,0
5.881825,0,0,0,0
8.729120,0,0,0,0
10.608084,0,0,0,0
6.430758,0,0,0,0
8.795393,0,0,0,0
9.125604,0,0,0,0
7.207535,0,0,0,0
7.283696,0,0,0,0
7.211855,0,0,0,0
8.119161,0,0,0,0
9.404263,0,0,0,0
9.352679,0,0,0,0
9.410792,0,0,0,0
11.942115,0,0,0,0
8.376028,0,0,0,0
9.664170,0,0,0,0
16.433524,0,0,0,0
11.947139,0,0,0,0
14.515743,0,0,0,0
12.954703,0,0,0,0
10.363602,0,0,0,0
13.593333,0,0,0,0
9.825068,0,0,0,0
12.368264,0,0,0,0
13.301106,0,0,0,0
14.314205,0,0,0,0
14.042683,0,0,0,0
15.642764,0,0,0,0
12.594347,0,0,0,0
13.841720,0,0,0,0
14.951108,0,0,0,0
8.751520,0,0,0,0
8.668767,0,0,0,0
5.786784,0,0,0,0
6.523336,0,0,0,0
10.800503,0,0,0,0
5.547069,0,0,0,0
9.214149,0,0,0,0
9.581097,0,0,0,0
10.347634,0,0,0,0
8.362108,0,0,0,0
7.676597,0,0,0,0
4.347184,0,0,0,0
7.166639,0,0,0,0
3.391941,0,0,0,0
5.488732,0,0,0,0
4.083789,0,0,0,0
4.406864,0,0,0,0
4.221294,0,0,0,0
