#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.016192,3,1,0,1956
0.005568,4,1,0,2368
0.398981,5,1,0,2839
1.267790,6,1,0,3486
1.781523,7,1,0,3885
1.675762,8,1,0,4464
1.737779,9,1,0,4788
2.170551,10,1,0,5365
2.244920,0,0,0,0
111.373177,0,0,0,0
3.223075,0,0,0,0
3.674984,0,0,0,0
4.165869,0,0,0,0
4.300079,0,0,0,0
4.730580,0,0,0,0
5.004567,0,0,0,0
5.214137,0,0,0,0
5.838815,0,0,0,0
6.168387,0,0,0,0
6.466758,0,0,0,0
6.968524,0,0,0,0
7.698515,0,0,0,0
7.682708,0,0,0,0
8.252793,0,0,0,0
7.148334,0,0,0,0
6.966059,0,0,0,0
8.849312,0,0,0,0
10.302032,0,0,0,0
6.628201,0,0,0,0
8.574205,0,0,0,0
6.538215,0,0,0,0
6.655496,0,0,0,0
9.755274,0,0,0,0
9.544840,0,0,0,0
7.828373,0,0,0,0
8.426171,0,0,0,0
8.625182,0,0,0,0
8.792896,0,0,0,0
9.059714,0,0,0,0
8.831968,0,0,0,0
12.601257,0,0,0,0
12.753451,0,0,0,0
11.831105,0,0,0,0
11.658911,0,0,0,0
13.569972,0,0,0,0
10.946040,0,0,0,0
12.685002,0,0,0,0
12.591913,0,0,0,0
13.497043,0,0,0,0
15.074277,0,0,0,0
16.345842,0,0,0,0
16.111920,0,0,0,0
15.642794,0,0,0,0
15.432584,0,0,0,0
16.448755,0,0,0,0
13.567828,0,0,0,0
16.552277,0,0,0,0
12.894029,0,0,0,0
12.048100,0,0,0,0
10.991544,0,0,0,0
13.688533,0,0,0,0
14.428478,0,0,0,0
14.527615,0,0,0,0
10.360594,0,0,0,0
10.090574,0,0,0,0
11.618431,0,0,0,0
17.742402,0,0,0,0
16.702262,0,0,0,0
16.871225,0,0,0,0
17.324349,0,0,0,0
14.974500,0,0,0,0
11.744800,0,0,0,0
14.672224,0,0,0,0
9.434727,0,0,0,0
13.514452,0,0,0,0
11.020568,0,0,0,0
10.963448,0,0,0,0
9.729003,0,0,0,0
17.836803,0,0,0,0
22.526711,0,0,0,0
24.830384,0,0,0,0
14.715905,0,0,0,0
23.917830,0,0,0,0
19.492182,0,0,0,0
20.710979,0,0,0,0
16.892826,0,0,0,0
18.807790,0,0,0,0
18.626508,0,0,0,0
14.425886,0,0,0,0
18.069638,0,0,0,0
14.912035,0,0,0,0
18.549611,0,0,0,0
14.847971,0,0,0,0
15.149638,0,0,0,0
15.136646,0,0,0,0
15.557387,0,0,0,0
14.641536,0,0,0,0
16.734423,0,0,0,0
15.074021,0,0,0,0
15.284840,0,0,0,0
14.822179,0,0,0,0
13.893785,0,0,0,0
13.246513,0,0,0,0
19.261907,0,0,0,0
16.326260,0,0,0,0
17.959749,0,0,0,0
18.237960,0,0,0,0
17.837219,0,0,0,0
14.347998,0,0,0,0
12.418664,0,0,0,0
13.620533,0,0,0,0
15.963375,0,0,0,0
15.121286,0,0,0,0
14.426110,0,0,0,0
8.932034,0,0,0,0
15.460842,0,0,0,0
11.839330,0,0,0,0
14.335486,0,0,0,0
14.468831,0,0,0,0
14.210972,0,0,0,0
15.581067,0,0,0,0
14.968036,0,0,0,0
14.892292,0,0,0,0
16.164242,0,0,0,0
14.685986,0,0,0,0
14.215612,0,0,0,0
9.969581,0,0,0,0
10.064014,0,0,0,0
11.240507,0,0,0,0
11.638752,0,0,0,0
16.985595,0,0,0,0
15.317928,0,0,0,0
17.008411,0,0,0,0
13.991098,0,0,0,0
18.662701,0,0,0,0
20.607395,0,0,0,0
15.277928,0,0,0,0
15.985712,0,0,0,0
20.759364,0,0,0,0
18.731918,0,0,0,0
20.910791,0,0,0,0
21.988818,0,0,0,0
25.912318,0,0,0,0
29.399460,0,0,0,0
24.487758,0,0,0,0
21.056104,0,0,0,0
24.217963,0,0,0,0
20.184478,0,0,0,0
17.960070,0,0,0,0
19.084915,0,0,0,0
19.224436,0,0,0,0
21.706383,0,0,0,0
18.537068,0,0,0,0
20.413025,0,0,0,0
20.230496,0,0,0,0
18.234121,0,0,0,0
25.434840,0,0,0,0
19.341813,0,0,0,0
25.927614,0,0,0,0
20.765157,0,0,0,0
21.451181,0,0,0,0
19.820155,0,0,0,0
21.604271,0,0,0,0
21.981427,0,0,0,0
26.366307,0,0,0,0
28.864063,0,0,0,0
32.859371,0,0,0,0
26.058336,0,0,0,0
22.447320,0,0,0,0
25.893566,0,0,0,0
25.211862,0,0,0,0
23.665029,0,0,0,0
25.793982,0,0,0,0
25.643708,0,0,0,0
25.147446,0,0,0,0
25.414745,0,0,0,0
23.668101,0,0,0,0
21.233803,0,0,0,0
26.794601,0,0,0,0
22.903901,0,0,0,0
21.350444,0,0,0,0
23.650054,0,0,0,0
23.271809,0,0,0,0
23.928585,0,0,0,0
25.315928,0,0,0,0
17.399809,0,0,0,0
15.440555,0,0,0,0
15.827567,0,0,0,0
15.245864,0,0,0,0
14.312159,0,0,0,0
16.815962,0,0,0,0
18.441484,0,0,0,0
17.316672,0,0,0,0
15.998450,0,0,0,0
15.223145,0,0,0,0
19.634458,0,0,0,0
23.249922,0,0,0,0
21.797937,0,0,0,0
23.334082,0,0,0,0
15.050054,0,0,0,0
19.624986,0,0,0,0
22.550106,0,0,0,0
24.748530,0,0,0,0
18.482637,0,0,0,0
22.288567,0,0,0,0
18.563342,0,0,0,0
23.893449,0,0,0,0
19.591354,0,0,0,0
25.638172,0,0,0,0
19.585625,0,0,0,0
20.793735,0,0,0,0
19.350359,0,0,0,0
22.403608,0,0,0,0
19.375703,0,0,0,0
19.191989,0,0,0,0
16.839515,0,0,0,0
21.640464,0,0,0,0
21.222764,0,0,0,0
25.868447,0,0,0,0
14.498433,0,0,0,0
21.045674,0,0,0,0
18.855666,0,0,0,0
17.801574,0,0,0,0
16.983485,0,0,0,0
17.217791,0,0,0,0
16.661849,0,0,0,0
20.071263,0,0,0,0
24.777460,0,0,0,0
26.506759,0,0,0,0
28.785152,0,0,0,0
37.477889,0,0,0,0
26.792329,0,0,0,0
25.557692,0,0,0,0
24.603026,0,0,0,0
28.853217,0,0,0,0
28.437244,0,0,0,0
25.779295,0,0,0,0
23.332676,0,0,0,0
29.815084,0,0,0,0
29.262597,0,0,0,0
27.390033,0,0,0,0
28.294619,0,0,0,0
34.299230,0,0,0,0
35.864719,0,0,0,0
30.572980,0,0,0,0
33.613687,0,0,0,0
37.111805,0,0,0,0
30.986009,0,0,0,0
33.005200,0,0,0,0
32.512650,0,0,0,0
34.317919,0,0,0,0
33.713752,0,0,0,0
31.676193,0,0,0,0
33.775128,0,0,0,0
30.795960,0,0,0,0
28.737408,0,0,0,0
28.966531,0,0,0,0
26.898924,0,0,0,0
25.975746,0,0,0,0
32.650444,0,0,0,0
26.816971,0,0,0,0
29.217381,0,0,0,0
29.388648,0,0,0,0
25.975521,0,0,0,0
36.501880,0,0,0,0
36.392374,0,0,0,0
31.855235,0,0,0,0
35.177193,0,0,0,0
40.899912,0,0,0,0
36.241460,0,0,0,0
33.672408,0,0,0,0
38.368877,0,0,0,0
26.676778,0,0,0,0
30.355443,0,0,0,0
32.947952,0,0,0,0
37.085054,0,0,0,0
40.031424,0,0,0,0
39.110389,0,0,0,0
30.619862,0,0,0,0
41.732658,0,0,0,0
39.062453,0,0,0,0
32.160072,0,0,0,0
40.130752,0,0,0,0
37.885799,0,0,0,0
39.230711,0,0,0,0
38.642160,0,0,0,0
41.372751,0,0,0,0
41.790835,0,0,0,0
37.414883,0,0,0,0
41.028523,0,0,0,0
47.213488,0,0,0,0
38.317197,0,0,0,0
41.742035,0,0,0,0
47.756694,0,0,0,0
39.503706,0,0,0,0
36.833500,0,0,0,0
37.237601,0,0,0,0
43.160611,0,0,0,0
48.162011,0,0,0,0
55.972722,0,0,0,0
37.248449,0,0,0,0
18.773939,0,0,0,0
17.335139,0,0,0,0
23.129539,0,0,0,0
20.580167,0,0,0,0
12.500460,0,0,0,0
21.493585,0,0,0,0
23.636457,0,0,0,0
11.014395,0,0,0,0
17.883753,0,0,0,0
14.073021,0,0,0,0
22.867553,0,0,0,0
21.874997,0,0,0,0
25.372860,0,0,0,0
23.624489,0,0,0,0
24.465170,0,0,0,0
17.975498,0,0,0,0
26.490057,0,0,0,0
19.433018,0,0,0,0
34.433251,0,0,0,0
39.321817,0,0,0,0
29.777358,0,0,0,0
30.152434,0,0,0,0
50.796922,0,0,0,0
41.781397,0,0,0,0
36.511930,0,0,0,0
38.496304,0,0,0,0
38.689298,0,0,0,0
33.470680,0,0,0,0
30.501239,0,0,0,0
33.263446,0,0,0,0
32.881393,0,0,0,0
33.523609,0,0,0,0
