#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.345432,0.019777,0.229667,0.014432,0.014432,9.621180
9.341752,0.044033,0.750441,0.004640,0.004640,10.145475
9.593435,0.130498,1.564308,0.181442,0.181442,17.771429
9.956289,0.250467,13.580431,0.333316,0.333316,39.574206
10.652841,0.487591,17.265054,0.690441,0.690441,75.900594
11.957242,0.702153,22.047228,0.867883,0.867883,74.666754
10.674122,0.600360,22.794757,0.596296,0.596296,79.343359
13.226698,1.031021,30.155653,1.045869,1.045869,94.952967
12.732900,0.809035,34.132407,1.355090,1.355090,103.434741
13.681937,1.059277,37.278081,49.740929,49.740929,186.967081
13.832402,0.637128,37.159871,1.929817,1.929817,100.522575
13.565839,0.791754,40.064644,2.328254,2.328254,128.332310
14.824863,0.809290,42.294977,2.647618,2.647618,121.826689
15.140803,0.578664,45.200454,3.168072,3.168072,143.376344
14.055285,0.929292,42.050526,3.276970,3.276970,130.460145
14.211319,0.573672,42.242144,3.498157,3.498157,137.507276
14.625181,0.627400,39.475964,3.895698,3.895698,134.217313
14.481210,0.733354,33.827763,4.198806,4.198806,130.269774
16.396371,0.613512,45.464298,4.481817,4.481817,151.707138
17.563458,0.579080,59.402909,5.099266,5.099266,205.602937
13.548783,0.611592,48.087115,4.891167,4.891167,157.626383
14.115958,0.640168,47.855016,5.990893,5.990893,258.633347
18.258828,0.770697,61.628602,6.270353,6.270353,216.449157
16.086928,0.743433,46.786907,6.402226,6.402226,161.681187
16.953146,0.980877,57.039038,6.281297,6.281297,194.168005
16.735672,1.155663,47.678598,6.050862,6.050862,176.635524
14.519451,1.053262,38.855188,7.190461,7.190461,163.242615
11.035182,1.324625,32.003580,6.081391,6.081391,163.424505
12.612035,1.195631,35.675756,4.546682,4.546682,173.969601
13.440461,1.416499,37.783718,3.602094,3.602094,199.294759
13.448365,0.956620,29.965090,4.022644,4.022644,165.587061
9.243415,0.645385,20.065762,3.266058,3.266058,148.302166
7.816645,0.591815,18.919476,2.902854,2.902854,147.343434
7.240637,0.549127,18.622192,3.763569,3.763569,148.677371
7.344446,0.525895,18.588975,4.359224,4.359224,156.357757
13.683696,0.822826,35.659244,4.589243,4.589243,186.693348
13.045256,0.899660,34.685535,3.696399,3.696399,194.722156
9.604732,0.778954,27.612228,4.734333,4.734333,174.674250
13.027144,1.019469,34.190840,4.641596,4.641596,185.987579
13.912499,1.038477,40.408041,4.926943,4.926943,195.943771
15.128483,1.067630,47.482180,6.137584,6.137584,211.676583
15.591657,0.990445,48.970006,8.252650,8.252650,211.974986
14.363129,0.989165,39.248985,7.903430,7.903430,194.503529
16.959322,0.857963,50.737869,6.896024,6.896024,211.512099
13.847442,0.607464,35.948655,5.830219,5.830219,187.937620
13.433645,0.908908,39.348986,7.533089,7.533089,208.778720
11.990523,0.724105,29.389882,5.011136,5.011136,135.525041
12.234621,0.725066,30.353350,6.702998,6.702998,180.571061
15.995310,0.978637,46.052305,5.006880,5.006880,207.822548
16.211505,0.815531,39.972034,8.378028,8.378028,201.488035
16.083599,0.979660,46.837819,7.104892,7.104892,215.069297
11.951930,0.614824,29.898465,5.394853,5.394853,177.879122
16.801145,0.800970,38.341742,7.523009,7.523009,201.050589
13.317036,0.931404,38.134027,6.281841,6.281841,210.186131
14.907680,0.808874,38.956470,7.539521,7.539521,206.701029
13.873746,1.053966,40.780749,6.060270,6.060270,211.441218
13.028136,0.999501,41.618423,4.903231,4.903231,205.050928
12.358623,0.867243,32.745381,6.659510,6.659510,190.097007
15.380870,1.004973,43.253772,8.734576,8.734576,212.654193
12.531425,0.741642,41.239282,6.406578,6.406578,199.366886
16.772248,0.954156,47.992330,9.741373,9.741373,625.722007
13.721809,1.706646,45.428712,7.759812,7.759812,203.578013
13.011431,1.294417,34.555901,7.440512,7.440512,200.762392
12.347135,1.028109,43.822964,8.733521,8.733521,205.977724
11.160016,0.896204,36.659927,8.890930,8.890930,193.570876
11.971322,1.008589,36.472694,6.854616,6.854616,199.700395
16.037423,1.120846,51.839163,8.980692,8.980692,230.639929
17.417408,1.164495,52.921001,12.578978,12.578978,229.146437
17.661155,1.038509,51.762875,12.282238,12.282238,230.292340
15.968718,1.120334,52.812264,22.710724,22.710724,242.101548
15.701610,0.983948,54.117081,11.822137,11.822137,248.313692
14.909792,0.959276,48.916630,9.845823,9.845823,225.940188
13.468653,1.234960,50.154438,8.183753,8.183753,238.479229
13.643056,1.346353,49.878466,9.121974,9.121974,231.650470
14.791230,1.106575,48.420207,4.713053,4.713053,227.892789
15.060930,1.052014,51.110802,5.696202,5.696202,236.149536
15.461063,0.885900,40.527305,11.009806,11.009806,226.381378
8.495182,0.592039,24.111607,12.223773,12.223773,213.577021
9.137078,0.832779,27.337855,4.984801,4.984801,201.587843
8.527630,0.666056,24.947105,9.956737,9.956737,203.094998
10.308645,0.836682,30.110084,5.792779,5.792779,141.600478
12.149980,0.804042,36.820346,12.410752,12.410752,232.037482
9.057524,0.761930,26.665399,9.379801,9.379801,217.232747
9.079156,0.657449,27.090140,7.468416,7.468416,217.787410
9.189975,0.600967,27.516227,13.464205,13.464205,221.621188
8.920883,0.683177,25.846284,18.158154,18.158154,228.602366
14.468154,1.040365,47.897960,18.984500,18.984500,282.787094
8.669584,0.755049,30.060739,14.252407,14.252407,226.345729
8.298443,0.626088,29.415802,11.731063,11.731063,224.354151
8.778736,0.772778,29.743519,13.008903,13.008903,229.640138
8.652207,0.759594,28.895572,11.396850,11.396850,230.001455
17.091004,1.293265,54.482845,11.892697,11.892697,276.147297
8.738704,0.658345,27.001499,10.240996,10.240996,224.808012
11.749655,0.868331,33.593809,6.841336,6.841336,237.629105
13.879986,1.265425,43.101322,7.654979,7.654979,274.281801
13.053448,1.398418,31.754937,10.137603,10.137603,248.230138
7.977127,0.962604,18.489166,1.896921,1.896921,216.650884
11.489044,1.378962,26.700663,2.144892,2.144892,234.700876
12.563297,1.331634,36.260434,7.465760,7.465760,257.605970
12.572066,1.206223,34.792352,6.125903,6.125903,241.569188
13.583759,1.104142,41.974556,3.187657,3.187657,268.045624
10.205507,0.721513,37.289248,9.179382,9.179382,242.030761
15.207012,1.151599,44.860001,9.587611,9.587611,253.320379
8.773233,0.516519,22.794245,12.354367,12.354367,214.999118
17.684740,0.841386,52.953802,8.804114,8.804114,269.332777
18.221643,0.845643,53.075018,10.131810,10.131810,273.431997
14.307768,0.596296,40.868365,9.924224,9.924224,246.472962
20.280965,0.757257,55.532555,10.360005,10.360005,275.101138
10.703305,0.865068,29.203863,7.826501,7.826501,219.167299
19.993249,0.653928,43.536528,7.758468,7.758468,244.671723
9.922720,0.548007,25.706251,7.696707,7.696707,214.052609
11.490611,0.673737,29.257784,9.538523,9.538523,223.029396
9.603580,0.591975,24.550908,12.341855,12.341855,211.027386
18.616143,0.973805,54.618910,12.869157,12.869157,261.274432
13.909811,0.953100,42.176158,8.361771,8.361771,237.125193
20.221476,0.973740,53.349198,12.869350,12.869350,268.040919
20.888301,1.009101,53.090059,12.269854,12.269854,277.134797
