#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403715886584058112.000000,0.000000,0.000000,17.499331,2.358910,0.004576,11.701687,4.530618,0.003296,23.281230
1403715886634057984.000000,0.000000,0.000000,22.638310,2.367007,0.076513,2.058843,5.328837,1.793655,29.110809
1403715886684058112.000000,0.000000,0.000000,20.905487,3.364140,0.086177,9.155927,11.159505,0.001408,28.265839
1403715886734057984.000000,0.000000,0.000000,20.268647,4.369017,0.121058,7.619811,12.279295,0.001728,28.684244
1403715886784058112.000000,0.000000,0.000000,20.724461,5.376998,0.126081,6.983131,10.970030,1.184047,30.663534
1403715886834057984.000000,0.000000,0.000000,21.997149,5.669578,0.123681,9.124342,10.429864,0.001216,32.030271
1403715886884058112.000000,0.000000,0.000000,20.590347,5.268132,0.119874,6.559573,11.922394,0.000896,30.162215
1403715886934057984.000000,0.000000,0.000000,21.449014,2.291294,0.057408,5.813643,8.885299,0.000960,27.599269
1403715886984058112.000000,0.000000,0.000000,22.492548,5.469863,0.116098,7.245533,12.717221,0.001152,32.295298
1403715887034057984.000000,0.000000,0.000000,23.530961,5.271012,0.119457,7.103004,8.750770,0.984909,33.277775
1403715887084058112.000000,0.000000,0.000000,21.446454,5.370662,0.121474,8.288492,8.844306,0.001088,31.143188
1403715887134057984.000000,0.000000,0.000000,21.633657,5.260228,0.122658,6.224113,9.379002,0.001024,31.323126
1403715887184058112.000000,0.000000,0.000000,22.662950,5.346949,0.121410,6.736600,10.883085,0.000896,32.259778
1403715887234057984.000000,0.000000,0.000000,19.472316,5.302149,0.127906,9.301752,15.118756,1.303985,28.963351
1403715887284058112.000000,0.000000,0.000000,22.393187,5.361189,0.123362,10.452807,14.729183,0.001248,32.196097
1403715887334057984.000000,0.000000,0.000000,20.177189,5.543016,0.120577,9.096662,16.589687,0.001216,30.097894
1403715887384058112.000000,0.000000,0.000000,21.932636,5.236260,0.117505,6.952538,14.649854,0.001056,31.654363
1403715887434057984.000000,0.000000,0.000000,21.015696,5.466374,0.123938,8.235659,17.977225,1.644086,30.706126
