#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
7.619291,0.041025,0.480358,0.014560,0.014560,8.167522
4.405973,0.142753,0.962956,0.004448,0.004448,5.520226
4.621815,0.196418,3.043045,0.216195,0.216195,16.737192
4.682072,0.215779,3.909966,0.347077,0.347077,20.611511
4.864026,0.214754,5.360353,0.478982,0.478982,26.010583
5.176574,0.193826,6.381804,0.645191,0.645191,29.630786
4.827161,0.255107,6.288076,0.769354,0.769354,31.079924
4.872154,0.174915,5.061660,0.877482,0.877482,28.857465
6.672144,0.145858,9.172525,1.055597,1.055597,44.281810
5.622915,0.259683,10.721248,48.946250,48.946250,95.524599
5.687748,0.210467,12.448693,1.319343,1.319343,46.812720
6.255146,0.212547,13.778469,1.411601,1.411601,49.758323
10.697440,0.268643,20.094449,1.882359,1.882359,70.340266
11.279879,0.229635,21.734308,1.465394,1.465394,76.903513
10.892706,0.290308,21.455712,1.530643,1.530643,77.119835
10.943843,0.401797,21.478593,1.869623,1.869623,79.452791
10.958563,0.263364,22.473676,1.686836,1.686836,80.576420
11.191654,0.233539,22.306923,1.741845,1.741845,85.880484
11.788813,0.181026,21.995079,2.080441,2.080441,88.127070
12.610167,0.226371,23.534617,2.309244,2.309244,93.804291
12.982043,0.338052,34.270362,2.584703,2.584703,109.885987
13.403905,0.287459,40.523141,3.404681,3.404681,118.603116
14.559342,0.499622,35.160421,3.268391,3.268391,127.979804
14.371212,0.391620,22.394188,2.812578,2.812578,123.346660
12.884122,0.296164,26.512669,3.235078,3.235078,100.881687
12.877402,0.246467,25.734740,3.039556,3.039556,98.417402
11.828622,0.128449,23.178742,3.041925,3.041925,90.792383
13.856070,0.173954,37.181885,2.772865,2.772865,116.673972
13.961223,0.287523,41.795189,3.058820,3.058820,217.675085
11.887566,0.400389,32.192513,3.521066,3.521066,120.388801
14.689456,0.283012,30.877553,3.594635,3.594635,106.857311
9.333263,0.220579,20.005232,3.260711,3.260711,86.128583
14.261706,0.291876,32.108192,3.594827,3.594827,128.620611
13.778533,0.294020,30.947762,3.244103,3.244103,111.612824
14.963123,0.304132,40.067455,2.603071,2.603071,127.414965
14.891315,0.326628,45.813604,4.372820,4.372820,141.779233
15.955807,0.618023,38.866546,3.269832,3.269832,129.965076
16.328612,0.363652,41.368559,3.858030,3.858030,133.733281
12.498646,0.310883,33.393744,4.058384,4.058384,120.512130
13.158814,0.277219,30.004775,4.916283,4.916283,129.820274
15.190966,0.309156,28.806393,3.934735,3.934735,130.976672
13.320768,0.306500,32.987594,3.363144,3.363144,130.744957
12.005552,0.266883,28.843065,5.285983,5.285983,106.706653
7.535834,0.266211,16.364932,3.282375,3.282375,93.869955
8.681576,0.365572,17.770805,5.378849,5.378849,98.453755
8.301987,0.081953,0.912875,0.005664,0.005664,9.306767
8.830570,0.207490,2.631584,0.004640,0.004640,11.677676
9.304079,0.580679,3.440553,0.490854,0.490854,34.147577
9.259951,0.356516,4.872602,1.112717,1.112717,33.432112
10.141306,0.308772,6.085576,1.463217,1.463217,37.338527
10.527838,0.291300,8.216290,1.830102,1.830102,48.875817
10.445661,0.312388,20.390676,1.759989,1.759989,75.304357
10.172538,0.515814,22.066696,1.709493,1.709493,81.884341
10.136506,0.587687,23.924414,1.841910,1.841910,85.421087
10.242458,0.575975,23.372984,62.590477,62.590477,147.332708
10.417149,0.477414,25.554642,1.584051,1.584051,82.510684
9.372849,1.526354,25.833621,1.724949,1.724949,86.761231
11.447593,0.436453,31.734716,1.998743,1.998743,93.411262
11.790061,0.386437,31.951391,2.124761,2.124761,91.221988
12.706648,0.488230,36.394164,3.127974,3.127974,110.484747
9.047660,0.371396,22.124809,2.506206,2.506206,85.150395
11.446985,0.367044,24.293731,2.832642,2.832642,93.575840
11.730732,0.345125,21.843589,2.676288,2.676288,89.471887
11.630219,0.297668,21.990439,2.850563,2.850563,95.204244
