#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.015072,3,1,0,253
0.004640,4,1,0,330
0.132354,5,1,0,428
0.204322,6,1,0,589
0.271268,7,1,0,788
0.394373,8,1,0,982
0.536487,9,1,0,1176
0.692681,10,1,0,1401
0.780490,0,0,0,0
43.742615,0,0,0,0
1.465683,0,0,0,0
1.427378,0,0,0,0
1.424210,0,0,0,0
1.527860,0,0,0,0
1.575989,0,0,0,0
1.805047,0,0,0,0
1.171279,0,0,0,0
1.199087,0,0,0,0
1.172463,0,0,0,0
1.303505,0,0,0,0
1.557812,0,0,0,0
2.903557,0,0,0,0
2.498561,0,0,0,0
2.671458,0,0,0,0
2.876005,0,0,0,0
2.745667,0,0,0,0
2.802788,0,0,0,0
2.318750,0,0,0,0
2.611490,0,0,0,0
2.242525,0,0,0,0
2.391199,0,0,0,0
3.747408,0,0,0,0
2.295198,0,0,0,0
3.845298,0,0,0,0
2.834820,0,0,0,0
4.070549,0,0,0,0
3.040103,0,0,0,0
4.495130,0,0,0,0
3.524910,0,0,0,0
5.037633,0,0,0,0
3.006983,0,0,0,0
5.256164,0,0,0,0
4.047477,0,0,0,0
3.777137,0,0,0,0
3.977491,0,0,0,0
4.083157,3,1,0,432
2.551809,4,1,0,556
0.006016,5,1,0,660
0.004672,6,1,0,793
0.237379,7,1,0,898
0.532710,8,1,0,1031
0.597768,9,1,0,1145
0.753386,10,1,0,1256
0.758058,0,0,0,0
0.916844,0,0,0,0
0.939788,3,1,0,565
45.679856,4,1,0,881
1.227984,5,1,0,1135
0.988109,6,1,0,1715
0.005440,7,1,0,2255
0.005217,8,1,0,2645
0.463974,9,1,0,3131
0.824363,10,1,0,3704
1.067725,0,0,0,0
1.146351,0,0,0,0
1.314577,0,0,0,0
1.979258,0,0,0,0
1.545556,0,0,0,0
87.949842,0,0,0,0
1.216047,0,0,0,0
1.364850,0,0,0,0
1.459763,0,0,0,0
1.871256,0,0,0,0
2.327966,0,0,0,0
2.147516,0,0,0,0
2.344670,0,0,0,0
