#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403638518077829376.000000,0.000000,0.000000,21.726386,2.599201,0.004864,8.632749,2.399326,0.003680,29.074063
1403638518127829504.000000,0.000000,0.000000,19.662104,3.278441,0.058592,2.036985,1.952505,0.001248,26.860146
1403638518177829376.000000,0.000000,0.000000,20.489539,4.379767,0.079617,1.709973,1.816599,0.001056,28.812907
1403638518227829504.000000,0.000000,0.000000,19.521207,2.256380,0.087777,1.504947,1.708341,0.000992,25.839590
1403638518277829376.000000,0.000000,0.000000,19.423157,5.497382,0.116450,1.088333,1.320817,0.457798,29.285810
1403638518327829504.000000,0.000000,0.000000,19.173650,5.211490,0.114913,1.745078,2.140155,0.001120,28.608105
1403638518377829376.000000,0.000000,0.000000,20.811974,5.350852,0.117218,1.600276,1.987897,0.001216,30.237758
1403638518427829504.000000,0.000000,0.000000,20.084125,5.129505,0.122657,1.254896,2.087418,0.000896,29.546933
1403638518477829376.000000,0.000000,0.000000,18.559146,2.346974,0.123553,1.104974,2.197276,0.001248,25.173917
1403638518527829504.000000,0.000000,0.000000,20.449794,5.271170,0.124034,1.095406,1.910264,0.001024,29.948858
1403638518577829376.000000,0.000000,0.000000,18.842094,5.330787,0.122114,1.015148,2.170940,0.529127,28.385414
1403638518627829504.000000,0.000000,0.000000,19.755641,5.232514,0.113377,2.669985,2.528288,0.001088,29.329298
1403638518677829376.000000,0.000000,0.000000,19.672120,4.927230,0.110337,1.961081,2.487871,0.001120,28.662922
1403638518727829504.000000,0.000000,0.000000,19.445654,5.136897,0.118401,1.622964,2.481055,0.001152,28.833388
1403638518777829376.000000,0.000000,0.000000,21.045961,5.077344,0.158786,1.588756,2.431327,0.001152,30.305182
1403638518827829504.000000,0.000000,0.000000,18.249350,5.085120,0.121058,1.899352,2.271676,0.001024,27.466490
1403638518877829376.000000,0.000000,0.000000,20.909703,5.166497,0.117665,1.706870,2.459487,0.534439,30.230173
1403638518927829504.000000,0.000000,0.000000,19.921083,5.233890,0.116034,3.245609,4.220886,0.001248,29.315762
1403638518977829376.000000,0.000000,0.000000,19.867418,5.037504,0.134210,3.269673,3.836465,0.001152,29.047118
1403638519027829504.000000,0.000000,0.000000,18.902574,5.295619,0.113922,3.100743,3.618829,0.001408,28.468488
1403638519077829376.000000,0.000000,0.000000,17.615166,5.221218,0.115617,2.888644,3.913809,0.001184,27.080630
1403638519127829504.000000,0.000000,0.000000,25.219614,5.203778,0.122818,2.527776,3.513324,0.001504,34.767542
1403638519177829376.000000,0.000000,0.000000,18.818029,5.526534,0.115041,2.519680,3.367274,0.468678,28.454535
1403638519227829504.000000,0.000000,0.000000,21.626704,5.147616,0.114850,3.437099,4.521881,0.001120,30.955751
1403638519277829376.000000,0.000000,0.000000,18.498986,5.108896,0.119586,3.528045,4.317558,0.001664,27.742206
1403638519327829504.000000,0.000000,0.000000,19.270419,5.375427,0.119042,3.365931,4.832285,0.001152,29.191184
1403638519377829376.000000,0.000000,0.000000,19.372373,5.156417,0.118657,3.055527,5.152513,0.001120,28.829484
1403638519427829504.000000,0.000000,0.000000,19.884059,4.974431,0.120769,3.394955,4.326583,0.400453,29.076847
1403638519477829376.000000,0.000000,0.000000,20.110686,5.234498,0.118945,1.295696,1.332209,0.000608,29.537525
1403638519527829504.000000,0.000000,0.000000,18.620939,5.366756,0.119105,2.825220,4.141940,0.001216,28.125090
1403638519577829376.000000,0.000000,0.000000,18.269926,5.242882,0.114658,2.886277,4.128532,0.001120,27.616733
1403638519627829504.000000,0.000000,0.000000,19.146033,5.080224,0.115906,2.446175,4.141524,0.001248,28.409414
1403638519677829376.000000,0.000000,0.000000,19.459190,5.132769,0.118337,2.582241,4.038130,0.462566,29.014510
1403638519727829504.000000,0.000000,0.000000,20.195390,5.110272,0.115009,1.758134,4.926431,0.001408,29.464372
1403638519777829376.000000,0.000000,0.000000,18.141349,5.303299,0.114817,3.411499,4.407319,0.001408,27.761086
1403638519827829504.000000,0.000000,0.000000,19.587479,5.197218,0.115617,2.846180,4.162773,0.001024,30.287934
1403638519877829376.000000,0.000000,0.000000,21.159947,5.158945,0.115298,2.193596,3.628141,0.001024,30.488609
1403638519927829504.000000,0.000000,0.000000,20.082461,4.864733,0.117857,1.819287,3.882577,0.394053,29.244081
1403638519977829376.000000,0.000000,0.000000,18.153797,5.291939,0.116833,2.385214,4.024371,0.001120,27.932512
1403638520027829504.000000,0.000000,0.000000,19.111953,5.329028,0.119105,2.027418,3.948178,0.001216,28.652970
1403638520077829376.000000,0.000000,0.000000,18.872430,5.200482,0.116993,1.715285,4.013555,0.001312,28.551400
1403638520127829504.000000,0.000000,0.000000,20.930600,5.137185,0.122849,2.023514,4.276694,0.001408,30.450272
1403638520177829376.000000,0.000000,0.000000,20.560195,2.276508,0.062657,1.855416,4.748700,0.557383,26.796882
1403638520227829504.000000,0.000000,0.000000,18.839725,5.020992,0.123809,3.666286,5.716936,0.001376,28.445574
1403638520277829376.000000,0.000000,0.000000,19.510230,5.168865,0.114338,3.695055,5.949579,0.001152,29.021678
1403638520327829504.000000,0.000000,0.000000,21.675825,5.239043,0.119042,3.587117,5.797769,0.001120,31.225162
1403638520377829376.000000,0.000000,0.000000,18.910159,5.047935,0.121345,4.539162,5.294082,0.001280,28.083266
1403638520427829504.000000,0.000000,0.000000,21.081034,5.107553,0.124385,4.312950,5.689224,0.586312,30.461408
1403638520477829376.000000,0.000000,0.000000,20.305248,5.160417,0.116098,4.907358,6.544050,0.001888,29.770327
1403638520527829504.000000,0.000000,0.000000,17.946210,5.292419,0.121794,0.104641,9.881917,0.091778,27.578940
1403638520577829376.000000,0.000000,0.000000,19.497334,2.973061,0.120385,0.087521,12.098777,0.085729,28.326117
1403638520627829504.000000,0.000000,0.000000,19.047184,5.278723,0.119457,0.093089,12.281947,0.639560,28.577128
1403638520677829376.000000,0.000000,0.000000,19.427445,5.031455,0.119970,0.100257,12.474750,0.102209,28.801868
1403638520727829504.000000,0.000000,0.000000,18.163973,2.266781,0.055072,0.098145,11.324815,0.680649,24.791384
1403638520777829376.000000,0.000000,0.000000,21.670449,5.131265,0.122882,0.112002,13.783054,0.116290,30.919846
1403638520827829504.000000,0.000000,0.000000,20.857767,4.873662,0.098529,0.103297,12.129465,0.105729,29.935226
1403638520877829376.000000,0.000000,0.000000,18.715532,2.232380,0.054145,0.101281,13.958640,0.613575,24.680023
1403638520927829504.000000,0.000000,0.000000,20.221791,5.153569,0.103586,0.089441,14.868827,0.110369,29.604694
1403638520977829376.000000,0.000000,0.000000,19.039920,5.136897,0.099489,0.129058,12.707168,0.564072,28.299525
1403638521027829504.000000,0.000000,0.000000,19.950779,5.161986,0.118530,0.119426,14.911420,0.113153,29.355058
1403638521077829376.000000,0.000000,0.000000,19.228402,5.262115,0.116641,0.130594,14.716313,0.631720,28.795627
1403638521127829504.000000,0.000000,0.000000,18.767213,5.139265,0.126082,0.122561,18.281287,0.134786,28.254788
1403638521177829376.000000,0.000000,0.000000,21.976565,5.317187,0.110785,0.165538,12.196634,0.092833,31.505006
1403638521227829504.000000,0.000000,0.000000,20.640516,2.819108,0.107649,0.130753,14.228724,0.630312,27.738910
1403638521277829376.000000,0.000000,0.000000,18.858478,5.291459,0.091457,0.188131,17.067639,0.760842,28.326149
1403638521327829504.000000,0.000000,0.000000,19.721113,5.285283,0.116833,0.158018,16.633266,0.132546,29.157488
1403638521377829376.000000,0.000000,0.000000,18.769165,5.245186,0.101313,0.159650,13.092261,0.553895,28.353477
1403638521427829504.000000,0.000000,0.000000,19.256307,5.056415,0.104993,0.144770,15.523268,0.130593,28.544424
1403638521477829376.000000,0.000000,0.000000,20.238943,5.113985,0.103585,0.134626,13.859663,0.570919,29.479220
1403638521527829504.000000,0.000000,0.000000,20.106174,5.237986,0.121857,0.092321,15.333345,0.122657,29.496148
1403638521577829376.000000,0.000000,0.000000,20.004028,4.860445,0.121826,0.114593,14.642105,0.672585,29.157936
1403638521627829504.000000,0.000000,0.000000,18.492394,5.203681,0.126177,0.167874,16.809652,0.169922,27.983233
1403638521677829376.000000,0.000000,0.000000,19.320147,2.467327,0.063937,0.101601,14.884028,0.122850,25.496193
1403638521727829504.000000,0.000000,0.000000,19.396693,5.398084,0.116513,0.102754,13.273735,0.557223,29.116271
1403638521777829376.000000,0.000000,0.000000,21.464367,5.196898,0.121601,0.126370,16.802868,0.159362,30.796612
1403638521827829504.000000,0.000000,0.000000,18.603883,2.316989,0.060609,0.073057,15.592964,0.107745,24.701495
1403638521877829376.000000,0.000000,0.000000,18.777964,5.095105,0.121537,0.090209,12.692192,0.077793,27.976097
1403638521927829504.000000,0.000000,0.000000,21.186380,5.040191,0.123266,0.095105,14.552376,0.079265,30.390880
1403638521977829376.000000,0.000000,0.000000,19.177970,5.360356,0.145602,0.093953,16.024106,0.604455,28.734186
1403638522027829504.000000,0.000000,0.000000,18.511306,5.257698,0.119618,0.135938,16.309902,0.181667,28.393926
1403638522077829376.000000,0.000000,0.000000,19.651544,5.312451,0.120033,0.115394,15.040029,0.112321,30.179516
1403638522127829504.000000,0.000000,0.000000,21.022986,5.237954,0.114242,0.108290,13.353544,0.600423,41.983857
1403638522177829376.000000,0.000000,0.000000,18.931630,4.717595,0.171298,0.150114,16.898965,0.191107,32.406009
1403638522227829504.000000,0.000000,0.000000,18.897807,4.060755,0.117154,0.127970,15.853800,0.343813,30.533697
1403638522277829376.000000,0.000000,0.000000,20.445378,4.150900,0.115202,0.120417,13.996273,0.538919,31.825042
1403638522327829504.000000,0.000000,0.000000,19.103089,3.748751,0.118626,0.177763,16.624881,0.202691,30.101020
1403638522377829376.000000,0.000000,0.000000,17.816865,4.249078,0.122146,0.108193,14.366709,0.312580,29.947609
1403638522427829504.000000,0.000000,0.000000,18.957775,4.172085,0.104289,0.109761,14.480855,0.550791,30.783780
1403638522477829376.000000,0.000000,0.000000,16.269997,4.420568,0.112801,0.167074,17.765728,0.213891,28.023426
1403638522527829504.000000,0.000000,0.000000,17.884385,4.622427,0.119394,0.106049,14.919645,0.115906,30.045403
1403638522577829376.000000,0.000000,0.000000,17.761888,5.193666,0.113377,0.103713,12.483197,0.500902,29.955546
1403638522627829504.000000,0.000000,0.000000,17.563677,4.745052,0.117698,0.157218,15.356481,0.152034,30.215070
1403638522677829376.000000,0.000000,0.000000,16.798516,5.032960,0.123362,0.131425,16.611506,0.115714,31.471757
1403638522727829504.000000,0.000000,0.000000,16.573041,5.095168,0.123457,0.133025,16.925302,0.586312,30.351647
1403638522777829376.000000,0.000000,0.000000,17.343259,5.620903,0.122050,0.093025,17.872545,0.217923,31.321195
1403638522827829504.000000,0.000000,0.000000,16.382607,4.240149,0.123970,0.103489,14.405942,0.130882,28.894157
1403638522877829376.000000,0.000000,0.000000,17.119032,5.993132,0.116898,0.103010,13.584971,0.565415,31.283915
1403638522927829504.000000,0.000000,0.000000,17.155256,6.375537,0.122817,0.166626,16.870229,0.204099,32.389880
1403638522977829376.000000,0.000000,0.000000,17.525341,6.280559,0.122433,0.098689,14.908572,0.128034,35.473151
1403638523027829504.000000,0.000000,0.000000,18.764589,6.222286,0.124194,0.085953,13.205830,0.669608,36.287913
1403638523077829376.000000,0.000000,0.000000,17.524413,6.489617,0.120706,0.164355,17.015926,0.144002,34.718678
1403638523127829504.000000,0.000000,0.000000,17.745792,6.517362,0.124258,0.105762,15.830663,0.161026,35.164027
1403638523177829376.000000,0.000000,0.000000,18.622539,6.156174,0.122657,0.122849,15.425667,0.696649,34.875192
1403638523227829504.000000,0.000000,0.000000,19.164529,6.168718,0.145314,0.134722,17.782496,0.230371,35.725762
1403638523277829376.000000,0.000000,0.000000,19.886139,6.267567,0.123682,0.121730,16.555472,0.131074,38.302755
1403638523327829504.000000,0.000000,0.000000,18.684907,5.923915,0.126529,0.126658,15.688869,0.114242,36.909170
1403638523377829376.000000,0.000000,0.000000,18.639915,6.124877,0.125665,0.088961,16.761908,0.117249,36.992850
1403638523427829504.000000,0.000000,0.000000,19.382260,5.931947,0.128961,0.118562,14.226835,0.094369,37.792381
1403638523477829376.000000,0.000000,0.000000,17.156792,6.217423,0.127297,0.122434,16.791988,0.099073,35.497823
1403638523527829504.000000,0.000000,0.000000,18.189861,2.548256,0.069953,0.129474,15.978954,0.602312,27.287417
1403638523577829376.000000,0.000000,0.000000,17.455933,5.097248,0.127073,0.112545,10.184961,0.109570,33.773193
1403638523627829504.000000,0.000000,0.000000,16.505264,5.536006,0.124929,0.089121,9.805723,0.081089,33.270756
1403638523677829376.000000,0.000000,0.000000,17.408412,5.329955,0.129921,0.134786,17.281178,0.107265,33.732329
1403638523727829504.000000,0.000000,0.000000,18.867822,5.276130,0.131394,0.143073,15.679878,0.548359,35.260093
1403638523777829376.000000,0.000000,0.000000,16.825780,2.251324,0.071073,0.174146,15.724358,0.253251,29.852857
1403638523827829504.000000,0.000000,0.000000,19.066960,4.880990,0.134530,0.150626,16.812308,0.151330,35.909573
