#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.014752,3,1,0,472
0.004512,4,1,0,651
0.287267,5,1,0,967
0.473445,6,1,0,1166
0.778409,7,1,0,1329
0.985228,8,1,0,1510
1.152301,9,1,0,1634
1.456849,10,1,0,1729
1.580242,0,0,0,0
54.653328,0,0,0,0
1.292815,0,0,0,0
1.740948,0,0,0,0
2.081560,0,0,0,0
2.626014,0,0,0,0
1.851029,0,0,0,0
1.993463,0,0,0,0
2.196185,0,0,0,0
2.267417,0,0,0,0
2.530749,0,0,0,0
2.885409,0,0,0,0
2.675774,0,0,0,0
3.260965,0,0,0,0
3.119076,0,0,0,0
3.219621,0,0,0,0
3.091459,0,0,0,0
3.434600,0,0,0,0
3.217093,0,0,0,0
3.071140,0,0,0,0
3.134948,0,0,0,0
3.229765,0,0,0,0
3.303077,0,0,0,0
3.040035,0,0,0,0
3.331878,0,0,0,0
3.046786,0,0,0,0
3.102499,0,0,0,0
3.420999,0,0,0,0
4.610965,0,0,0,0
2.635038,0,0,0,0
1.923286,0,0,0,0
1.266831,0,0,0,0
1.490353,0,0,0,0
1.497617,0,0,0,0
1.312207,0,0,0,0
1.920758,0,0,0,0
1.867733,0,0,0,0
2.404411,0,0,0,0
1.943158,0,0,0,0
2.517469,0,0,0,0
1.148301,0,0,0,0
2.115384,0,0,0,0
2.079895,0,0,0,0
1.699860,0,0,0,0
2.076824,0,0,0,0
1.729844,0,0,0,0
2.352283,0,0,0,0
2.531805,0,0,0,0
3.182116,0,0,0,0
1.722836,0,0,0,0
3.109827,0,0,0,0
1.878133,0,0,0,0
2.623582,0,0,0,0
2.653822,0,0,0,0
1.886069,0,0,0,0
2.890017,0,0,0,0
3.240229,0,0,0,0
2.990882,0,0,0,0
1.974006,0,0,0,0
7.526614,0,0,0,0
3.908013,0,0,0,0
5.723873,0,0,0,0
3.548328,0,0,0,0
2.666206,0,0,0,0
4.253841,0,0,0,0
4.160656,0,0,0,0
3.187204,0,0,0,0
3.139908,0,0,0,0
2.701087,0,0,0,0
2.523261,0,0,0,0
2.567165,0,0,0,0
2.523644,0,0,0,0
2.005367,0,0,0,0
5.206395,0,0,0,0
2.545501,0,0,0,0
2.991682,0,0,0,0
2.396955,0,0,0,0
2.507932,0,0,0,0
2.532893,0,0,0,0
2.377691,0,0,0,0
1.929014,0,0,0,0
3.049890,0,0,0,0
2.214777,0,0,0,0
2.565501,0,0,0,0
2.353210,0,0,0,0
2.139192,0,0,0,0
1.849045,0,0,0,0
2.232762,0,0,0,0
2.051192,0,0,0,0
2.384731,0,0,0,0
2.255225,0,0,0,0
2.362171,0,0,0,0
2.416859,0,0,0,0
2.327643,0,0,0,0
2.351611,0,0,0,0
3.025539,0,0,0,0
0.874858,0,0,0,0
0.975275,0,0,0,0
2.116824,0,0,0,0
1.976374,0,0,0,0
2.072920,0,0,0,0
1.080396,0,0,0,0
1.214285,0,0,0,0
1.295759,0,0,0,0
1.112269,0,0,0,0
1.553553,0,0,0,0
1.064076,0,0,0,0
1.137197,0,0,0,0
2.184921,0,0,0,0
2.391132,0,0,0,0
1.455217,0,0,0,0
1.194093,0,0,0,0
2.572893,0,0,0,0
1.276815,0,0,0,0
2.200601,0,0,0,0
1.268366,0,0,0,0
1.168654,0,0,0,0
1.117901,0,0,0,0
1.399184,0,0,0,0
2.331418,0,0,0,0
2.346715,0,0,0,0
2.499261,0,0,0,0
2.616766,0,0,0,0
2.413499,0,0,0,0
2.731199,0,0,0,0
2.238265,0,0,0,0
2.474940,0,0,0,0
2.228281,0,0,0,0
2.733375,0,0,0,0
2.214234,0,0,0,0
1.823381,0,0,0,0
1.321167,0,0,0,0
1.724339,0,0,0,0
1.513874,0,0,0,0
2.309818,0,0,0,0
1.184205,0,0,0,0
1.861781,0,0,0,0
2.222938,0,0,0,0
2.070136,0,0,0,0
2.238810,0,0,0,0
3.132772,0,0,0,0
2.457724,0,0,0,0
1.848373,0,0,0,0
2.874945,0,0,0,0
2.151608,0,0,0,0
2.765023,0,0,0,0
3.119652,0,0,0,0
4.013389,0,0,0,0
3.042050,0,0,0,0
3.497416,0,0,0,0
2.551197,0,0,0,0
3.602761,0,0,0,0
3.077155,0,0,0,0
3.674538,0,0,0,0
4.629493,0,0,0,0
3.999022,0,0,0,0
4.864887,0,0,0,0
4.097902,0,0,0,0
3.642506,0,0,0,0
4.465363,0,0,0,0
5.285181,0,0,0,0
4.480883,0,0,0,0
5.879267,0,0,0,0
4.111278,0,0,0,0
5.154267,0,0,0,0
4.635541,0,0,0,0
5.148538,0,0,0,0
5.765282,0,0,0,0
5.626784,0,0,0,0
5.428510,0,0,0,0
7.166578,0,0,0,0
5.960964,0,0,0,0
5.318460,0,0,0,0
7.187730,0,0,0,0
5.750658,0,0,0,0
5.151354,0,0,0,0
7.633815,0,0,0,0
6.755053,0,0,0,0
6.313480,0,0,0,0
6.859823,0,0,0,0
8.028860,0,0,0,0
6.702925,0,0,0,0
6.810478,0,0,0,0
7.155825,0,0,0,0
6.864655,0,0,0,0
8.467968,0,0,0,0
7.758264,0,0,0,0
6.709292,0,0,0,0
8.637922,0,0,0,0
5.565375,0,0,0,0
7.120433,0,0,0,0
9.183305,0,0,0,0
8.266751,0,0,0,0
8.502273,0,0,0,0
7.454965,0,0,0,0
7.200690,0,0,0,0
9.761935,0,0,0,0
5.988965,0,0,0,0
8.027612,0,0,0,0
7.974331,0,0,0,0
9.523212,0,0,0,0
6.436458,0,0,0,0
9.226505,0,0,0,0
7.141233,0,0,0,0
8.145308,0,0,0,0
6.789741,0,0,0,0
6.764654,0,0,0,0
3.560201,0,0,0,0
4.110383,0,0,0,0
6.559275,0,0,0,0
6.006916,0,0,0,0
5.750562,0,0,0,0
3.723402,0,0,0,0
7.134066,0,0,0,0
5.047354,0,0,0,0
4.217424,0,0,0,0
5.398269,0,0,0,0
4.302033,0,0,0,0
3.666922,0,0,0,0
6.281096,0,0,0,0
5.676417,0,0,0,0
2.925954,0,0,0,0
5.007481,0,0,0,0
