#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
7.684645,0.044001,0.472358,0.015169,0.015169,8.228173
4.511772,0.153826,1.480468,0.004608,0.004608,6.154866
4.917441,0.241379,2.066876,0.314692,0.314692,18.625718
5.053219,0.221795,3.158921,0.477191,0.477191,23.665113
5.350918,0.191107,7.425922,0.802986,0.802986,36.516930
5.904814,0.262211,8.762100,1.031598,1.031598,43.472766
6.205970,0.287364,10.672237,1.069102,1.069102,49.991093
6.349844,0.294692,11.962206,1.404371,1.404371,60.346974
6.378869,0.290852,13.803894,1.377266,1.377266,62.803230
6.492662,0.343077,15.235657,53.671206,53.671206,118.221947
6.567286,0.231875,16.177558,2.448160,2.448160,65.418080
6.558935,0.268324,17.577160,2.058587,2.058587,64.004366
6.839546,0.267331,19.332672,2.134460,2.134460,74.507960
7.211903,0.262340,19.832966,2.727204,2.727204,76.415186
7.509411,0.297924,21.207448,2.717092,2.717092,76.868631
7.829831,0.230979,21.223481,2.017211,2.017211,78.481805
7.519875,0.232580,19.579426,2.282398,2.282398,79.713021
7.303072,0.225667,19.194270,2.181501,2.181501,80.812716
7.898089,0.170210,23.154386,2.299518,2.299518,87.904394
8.846293,0.249603,27.865872,2.812069,2.812069,123.525152
9.211866,0.240899,28.734140,3.464142,3.464142,100.903477
7.426242,0.263427,22.843182,3.458542,3.458542,88.111084
7.390882,0.196899,20.878547,3.528814,3.528814,87.483268
8.135691,0.229955,22.919439,3.358572,3.358572,86.441046
6.979932,0.196387,18.778008,3.271883,3.271883,78.098056
9.342428,0.247107,28.774076,3.388045,3.388045,117.277710
8.947382,0.244899,27.559597,3.457134,3.457134,99.809927
8.689874,0.277124,26.806338,3.418861,3.418861,94.166556
7.676005,0.226115,24.051550,3.140138,3.140138,88.839606
6.911131,0.238755,20.655953,3.181898,3.181898,82.423649
6.632216,0.261027,20.753875,3.230859,3.230859,84.972099
6.288211,0.234692,18.510260,3.151178,3.151178,78.605039
6.462262,0.288516,20.301708,3.660496,3.660496,86.623193
5.799117,0.288132,20.621744,3.477038,3.477038,174.249823
6.971644,0.537479,16.015731,3.117898,3.117898,77.510208
5.924078,0.417542,13.850007,3.671664,3.671664,94.380991
5.753836,0.489383,12.546309,2.009210,2.009210,110.681046
5.837261,0.433702,12.652615,2.956263,2.956263,99.777350
5.904366,0.313732,12.652199,2.025370,2.025370,94.079258
6.011951,0.287300,13.860151,2.146524,2.146524,96.563131
6.166737,0.231651,15.248970,2.513825,2.513825,103.628025
6.160305,0.297316,13.542355,1.431251,1.431251,91.967871
6.547319,0.353892,16.695517,1.819672,1.819672,104.973547
6.408149,0.237219,16.186838,2.354943,2.354943,101.005239
5.721899,0.249764,12.289570,2.136636,2.136636,83.957589
6.278067,0.248388,16.359544,1.740887,1.740887,91.601114
5.754284,0.273284,14.264669,2.415488,2.415488,86.728410
6.363380,0.278468,17.004608,1.888505,1.888505,72.128569
6.016975,0.275972,17.586056,2.283422,2.283422,78.687215
6.109905,0.325060,16.907007,1.889433,1.889433,74.169044
6.494806,0.346789,18.925946,2.244606,2.244606,119.189191
6.436693,0.348357,18.569173,3.009672,3.009672,101.394684
5.130244,0.227331,13.843542,2.114108,2.114108,84.405531
5.942831,0.206339,15.977203,2.277086,2.277086,63.782667
6.675353,0.245251,19.026395,1.516916,1.516916,82.987561
7.126750,0.401637,21.883393,2.567298,2.567298,120.693946
6.685625,0.380389,22.905998,3.133065,3.133065,105.919479
5.590665,0.340453,21.231800,1.488276,1.488276,108.195413
7.008508,0.386309,22.357576,2.491073,2.491073,104.468324
6.034223,0.365477,21.309978,2.091963,2.091963,110.516915
6.000975,0.389990,21.771327,2.814277,2.814277,80.170627
6.459830,0.451782,20.682641,2.389888,2.389888,100.336014
5.583402,0.221955,14.767427,3.300555,3.300555,86.282356
6.122385,0.245827,17.659977,2.530242,2.530242,92.520006
7.188063,0.203491,23.157297,7.514563,7.514563,86.777466
8.511248,0.318308,25.523409,4.136855,4.136855,102.951760
8.993879,0.340645,25.972247,3.953588,3.953588,123.583233
9.025239,0.327557,24.968521,3.952212,3.952212,106.151610
6.779225,0.232675,13.390801,3.240171,3.240171,78.977587
8.139723,0.292164,25.893750,3.178154,3.178154,126.984109
7.500259,0.318180,24.723239,3.445165,3.445165,100.515055
7.435554,0.382117,20.350349,2.753285,2.753285,105.238158
8.033002,0.336580,27.469035,2.696963,2.696963,128.229661
8.004810,0.477030,26.830242,2.772741,2.772741,122.573075
7.803783,0.361349,23.953820,1.728919,1.728919,106.119738
6.300947,0.314884,14.770115,3.747473,3.747473,88.321038
6.054640,0.354373,14.341373,1.986266,1.986266,84.572605
6.173681,0.475431,15.186312,2.566178,2.566178,92.580231
7.294528,0.503335,18.311313,1.771959,1.771959,109.103617
7.465090,0.380037,18.719575,1.928217,1.928217,111.579617
4.479323,0.279012,9.513694,1.667126,1.667126,78.665487
7.556484,0.445318,19.152989,2.705700,2.705700,112.760401
7.471875,0.426181,17.987054,3.309931,3.309931,112.334219
5.558058,0.312388,12.278402,2.702372,2.702372,89.536575
5.891790,0.332901,13.039980,3.065192,3.065192,89.808386
6.255155,0.406245,16.217782,1.447699,1.447699,114.902286
7.373762,0.473478,17.368645,1.547989,1.547989,125.523482
7.115806,0.391941,16.995328,2.415360,2.415360,83.339692
6.387220,0.529831,14.824644,2.239678,2.239678,120.941405
6.109808,0.465734,14.028698,2.202237,2.202237,120.893148
6.156977,0.542727,14.235708,2.074044,2.074044,119.401961
6.253139,0.608456,13.681653,1.947162,1.947162,129.183114
6.386580,0.509831,12.885930,1.147599,1.147599,120.438038
6.542967,0.572647,13.466642,2.226686,2.226686,126.376869
5.700235,0.518215,14.161307,1.035214,1.035214,121.573957
6.552503,0.613320,14.194363,1.768535,1.768535,129.070568
6.603063,0.460422,14.180411,2.107004,2.107004,275.646807
3.681585,0.357829,6.981660,0.850667,0.850667,42.859990
5.385351,0.549128,12.411555,2.174044,2.174044,116.494658
5.442184,0.531751,13.470034,2.106939,2.106939,129.292363
5.560073,0.454374,13.352656,2.251262,2.251262,130.632156
5.525129,0.482598,13.389937,2.047771,2.047771,109.468613
4.023733,0.303780,8.482384,1.983482,1.983482,87.946121
5.162628,0.388997,12.185281,2.044059,2.044059,96.903519
4.299161,0.312164,9.866978,1.458804,1.458804,54.454703
3.664593,0.272547,7.766535,1.131215,1.131215,80.790955
4.862976,0.357637,10.438314,1.335505,1.335505,64.543220
5.334118,0.371109,12.602982,0.755850,0.755850,108.302229
3.864435,0.262660,8.470448,1.980538,1.980538,86.241875
4.466683,0.285027,10.690030,1.581973,1.581973,52.216849
5.622570,0.412069,15.944339,1.700087,1.700087,116.737701
5.412168,0.515654,16.492314,2.506753,2.506753,115.300562
5.575850,0.427557,16.043092,1.118095,1.118095,81.237585
5.610474,0.478150,17.108674,1.246737,1.246737,109.965132
3.361644,0.263748,9.826114,2.172701,2.172701,83.983061
3.608624,0.365317,9.752064,2.217886,2.217886,85.028579
3.014856,0.401157,7.971177,1.194128,1.194128,46.539366
3.280203,0.292676,8.319758,1.333425,1.333425,50.771742
5.426920,0.504294,13.123757,2.275646,2.275646,114.418502
