#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403715886584058112.000000,0.000000,0.000000,23.028690,1.858489,0.004288,8.678548,3.199402,0.003456,29.589450
1403715886634057984.000000,0.000000,0.000000,21.786017,2.462433,0.077185,2.225886,2.679843,0.001472,28.602460
1403715886684058112.000000,0.000000,0.000000,21.391004,3.008424,0.086209,1.947610,2.732516,0.001248,28.338905
1403715886734057984.000000,0.000000,0.000000,20.367599,3.929845,0.117441,1.665622,2.466881,0.001184,28.406874
1403715886784058112.000000,0.000000,0.000000,19.992329,4.152023,0.118625,1.308337,2.391904,0.614792,28.443003
1403715886834057984.000000,0.000000,0.000000,19.495299,4.325946,0.118625,3.163786,3.770962,0.001153,28.127894
1403715886884058112.000000,0.000000,0.000000,20.261165,4.119575,0.118369,2.653507,3.843572,0.001280,28.646173
1403715886934057984.000000,0.000000,0.000000,20.487344,4.320922,0.148514,2.340319,3.927093,0.001216,29.116291
1403715886984058112.000000,0.000000,0.000000,23.583962,1.811864,0.057409,2.448353,3.706289,0.001248,29.044770
1403715887034057984.000000,0.000000,0.000000,20.802549,4.201400,0.120481,2.274206,3.556496,0.521095,29.372007
1403715887084058112.000000,0.000000,0.000000,20.252814,4.149079,0.117698,3.701394,3.392941,0.001600,28.606941
1403715887134057984.000000,0.000000,0.000000,20.751860,4.167864,0.118401,2.613474,3.244332,0.001344,29.189028
1403715887184058112.000000,0.000000,0.000000,21.988389,4.138647,0.117858,2.500418,3.429229,0.001440,30.402740
1403715887234057984.000000,0.000000,0.000000,22.207879,4.251481,0.121826,2.097212,3.302860,0.001152,30.919259
1403715887284058112.000000,0.000000,0.000000,23.683739,4.154551,0.117569,2.169021,3.463790,0.626440,31.944712
1403715887334057984.000000,0.000000,0.000000,22.077189,4.353146,0.118209,4.019414,3.714385,0.001056,30.715960
1403715887384058112.000000,0.000000,0.000000,21.450205,4.114135,0.113281,1.530036,1.991771,0.000768,29.661643
1403715887434057984.000000,0.000000,0.000000,21.523038,4.219352,0.113250,2.849510,3.959573,0.001024,29.819277
1403715887484058112.000000,0.000000,0.000000,21.974436,3.924340,0.148930,1.120783,3.350668,0.001312,30.126577
