#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.014656,3,1,0,935
0.004736,4,1,0,944
0.512167,5,1,0,1364
0.743305,6,1,0,1850
0.895276,7,1,0,2248
0.801386,8,1,0,2652
1.233743,9,1,0,2895
1.362066,10,1,0,2928
1.538707,0,0,0,0
64.006037,0,0,0,0
2.184572,0,0,0,0
2.554145,0,0,0,0
2.305245,0,0,0,0
2.465855,0,0,0,0
2.469408,0,0,0,0
2.918405,0,0,0,0
3.042759,0,0,0,0
3.547118,0,0,0,0
3.355755,0,0,0,0
3.874866,0,0,0,0
3.900946,0,0,0,0
5.191043,0,0,0,0
5.977517,0,0,0,0
5.130977,0,0,0,0
5.100962,0,0,0,0
5.211843,0,0,0,0
3.944915,0,0,0,0
4.732733,0,0,0,0
5.524263,0,0,0,0
5.596392,0,0,0,0
6.911417,0,0,0,0
4.789661,0,0,0,0
5.740362,0,0,0,0
6.198928,0,0,0,0
6.973465,0,0,0,0
5.808267,0,0,0,0
4.708028,0,0,0,0
6.932377,0,0,0,0
4.599931,0,0,0,0
6.389650,0,0,0,0
4.284375,0,0,0,0
6.177199,0,0,0,0
7.549185,0,0,0,0
5.919244,0,0,0,0
6.267824,0,0,0,0
6.353777,0,0,0,0
7.770819,0,0,0,0
5.107842,0,0,0,0
6.182991,0,0,0,0
6.195855,0,0,0,0
6.081966,0,0,0,0
6.086094,0,0,0,0
5.059009,0,0,0,0
6.299985,0,0,0,0
5.467206,0,0,0,0
7.221341,0,0,0,0
5.838283,0,0,0,0
6.781911,0,0,0,0
7.162908,0,0,0,0
5.077505,0,0,0,0
7.353663,0,0,0,0
6.024237,0,0,0,0
5.949708,0,0,0,0
7.203324,0,0,0,0
6.903193,0,0,0,0
4.459193,0,0,0,0
7.072251,0,0,0,0
5.465991,0,0,0,0
4.821149,0,0,0,0
6.195824,0,0,0,0
6.915544,0,0,0,0
7.595522,0,0,0,0
4.611708,0,0,0,0
7.398751,0,0,0,0
4.871071,0,0,0,0
6.954553,0,0,0,0
5.186627,0,0,0,0
6.028174,0,0,0,0
6.193232,0,0,0,0
4.943776,0,0,0,0
7.560257,0,0,0,0
6.851992,0,0,0,0
4.189430,0,0,0,0
6.418227,0,0,0,0
5.791466,0,0,0,0
4.120437,0,0,0,0
5.782858,0,0,0,0
6.097967,0,0,0,0
6.460371,0,0,0,0
4.560315,0,0,0,0
5.799723,0,0,0,0
4.722428,0,0,0,0
5.350885,0,0,0,0
6.514836,0,0,0,0
6.820856,0,0,0,0
5.665384,0,0,0,0
6.285745,0,0,0,0
6.160911,0,0,0,0
7.973318,0,0,0,0
8.382444,0,0,0,0
6.503763,0,0,0,0
7.412895,0,0,0,0
10.126402,0,0,0,0
9.541914,0,0,0,0
10.310789,0,0,0,0
10.250756,0,0,0,0
10.269572,0,0,0,0
8.127593,0,0,0,0
9.708125,0,0,0,0
11.936697,0,0,0,0
12.852037,0,0,0,0
12.530529,0,0,0,0
9.196822,0,0,0,0
10.569960,0,0,0,0
10.814987,0,0,0,0
10.749706,0,0,0,0
11.242800,0,0,0,0
9.233398,0,0,0,0
11.264624,0,0,0,0
11.243504,0,0,0,0
11.319666,0,0,0,0
11.344530,0,0,0,0
9.959744,0,0,0,0
11.181808,0,0,0,0
11.901752,0,0,0,0
12.091451,0,0,0,0
11.961402,0,0,0,0
12.624194,0,0,0,0
12.736004,0,0,0,0
12.545058,0,0,0,0
11.860344,0,0,0,0
12.000762,0,0,0,0
10.768810,0,0,0,0
12.570082,0,0,0,0
15.371654,0,0,0,0
12.191645,0,0,0,0
12.250429,0,0,0,0
13.557966,0,0,0,0
9.862943,0,0,0,0
12.988903,0,0,0,0
11.018285,0,0,0,0
14.158774,0,0,0,0
11.205360,0,0,0,0
10.882508,0,0,0,0
11.242097,0,0,0,0
10.603816,0,0,0,0
8.530030,0,0,0,0
14.190166,0,0,0,0
8.422764,0,0,0,0
12.612034,0,0,0,0
9.229399,0,0,0,0
12.873125,0,0,0,0
9.012371,0,0,0,0
11.382578,0,0,0,0
10.434502,0,0,0,0
9.212470,0,0,0,0
12.344062,0,0,0,0
9.782878,0,0,0,0
13.851794,0,0,0,0
10.694921,0,0,0,0
13.147240,0,0,0,0
9.090743,0,0,0,0
8.625458,0,0,0,0
10.253287,0,0,0,0
11.567448,0,0,0,0
11.444951,0,0,0,0
13.430193,0,0,0,0
12.112575,0,0,0,0
12.519684,0,0,0,0
11.661081,0,0,0,0
10.407497,0,0,0,0
11.866396,0,0,0,0
11.903612,0,0,0,0
12.141983,0,0,0,0
10.836238,0,0,0,0
9.238266,0,0,0,0
10.450985,0,0,0,0
12.009566,0,0,0,0
14.770466,0,0,0,0
15.197448,0,0,0,0
13.563026,0,0,0,0
13.299375,0,0,0,0
11.814779,0,0,0,0
13.510833,0,0,0,0
10.825806,0,0,0,0
15.312585,0,0,0,0
11.934173,0,0,0,0
16.055059,0,0,0,0
12.641798,0,0,0,0
16.738428,0,0,0,0
12.995627,0,0,0,0
12.011869,0,0,0,0
13.026347,0,0,0,0
17.407108,0,0,0,0
14.686913,0,0,0,0
15.528140,0,0,0,0
15.362218,0,0,0,0
15.463147,0,0,0,0
19.227293,0,0,0,0
15.060294,0,0,0,0
18.118894,0,0,0,0
18.336369,0,0,0,0
11.284532,0,0,0,0
15.142855,0,0,0,0
13.876406,0,0,0,0
15.656494,0,0,0,0
16.443704,0,0,0,0
13.845909,0,0,0,0
17.774953,0,0,0,0
14.220251,0,0,0,0
13.814006,0,0,0,0
14.393597,0,0,0,0
17.309315,0,0,0,0
13.752949,0,0,0,0
13.691828,0,0,0,0
