#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.160018,0.051937,0.632775,0.015553,0.015553,9.872603
9.960827,0.185378,1.931256,0.004512,0.004512,12.086613
10.546659,0.294467,7.037272,0.442534,0.442534,38.854978
10.725317,0.392005,14.142192,0.837738,0.837738,70.051781
9.768345,0.418501,12.946465,0.900907,0.900907,65.976146
11.609456,0.484614,17.720123,1.118670,1.118670,68.113964
10.632196,0.572807,14.799512,0.719881,0.719881,65.057095
11.673360,0.396229,18.787657,0.975756,0.975756,72.999145
10.615075,0.470790,32.685621,1.188591,1.188591,86.480592
9.794938,0.153570,1.650580,0.006752,0.006752,11.610608
11.386125,0.459557,3.706382,0.005569,0.005569,15.561313
11.135306,0.723017,9.504022,0.294180,0.294180,61.593436
10.896455,0.590311,9.544247,0.420101,0.420101,55.431151
9.721624,0.086689,0.980140,0.005184,0.005184,10.796997
10.402785,0.372997,5.480868,0.005600,0.005600,16.265354
10.981416,0.773130,10.096061,0.793962,0.793962,66.875358
11.792722,0.616488,11.880979,0.946860,0.946860,68.662899
11.301549,0.659976,14.295281,1.208559,1.208559,64.536385
11.687088,0.533671,15.161180,1.178863,1.178863,66.304886
12.263640,0.390821,22.323029,1.429969,1.429969,80.620968
12.981729,0.601384,28.599810,1.488722,1.488722,93.912173
14.182096,0.472134,23.490659,1.308112,1.308112,96.049415
13.603464,0.693993,30.644476,45.040718,45.040718,145.985810
13.384582,0.445285,26.836717,1.567252,1.567252,81.998905
14.804856,0.467750,36.733447,2.238620,2.238620,102.834652
14.873848,0.543271,41.381953,3.078374,3.078374,135.312814
15.292702,0.691848,35.865821,2.979109,2.979109,131.051833
15.011162,0.445765,32.061038,2.627552,2.627552,103.889096
13.068642,0.559303,29.567695,3.065734,3.065734,228.701781
11.926068,0.513191,33.025657,3.831184,3.831184,111.704810
9.541398,0.302884,21.150023,2.912900,2.912900,98.377092
13.986222,0.620008,36.236833,3.384394,3.384394,134.991691
14.416915,0.383141,33.245948,3.541164,3.541164,121.281569
14.915353,0.367365,40.395893,3.859152,3.859152,144.668995
15.621090,0.401541,39.742381,4.540600,4.540600,145.263434
16.139400,0.391781,40.672920,4.931005,4.931005,146.878910
15.872933,0.366725,34.122823,5.101855,5.101855,134.187041
15.458368,0.473894,49.090977,4.932061,4.932061,151.047666
14.459316,0.543463,48.864414,4.568665,4.568665,152.373603
13.761323,0.886379,47.355211,5.034718,5.034718,149.031385
13.556136,0.579271,35.610906,3.502732,3.502732,131.037818
13.971917,0.703465,41.031421,3.641229,3.641229,147.376324
15.053595,0.555943,43.816352,6.931094,6.931094,156.495222
15.604418,0.551399,28.973031,4.105107,4.105107,135.926039
14.001261,0.471718,35.945342,5.019871,5.019871,135.565778
16.730480,0.613224,36.201665,6.162732,6.162732,143.206929
14.667382,0.497126,28.297823,4.548152,4.548152,123.665886
14.828984,0.372005,39.977040,6.660499,6.660499,144.019067
14.456020,0.449925,39.230791,4.476664,4.476664,108.681605
16.189737,0.459526,38.814401,3.418314,3.418314,144.676451
16.281642,0.418149,56.356892,6.531121,6.531121,162.232413
14.074255,0.543495,46.727076,5.046079,5.046079,153.008011
10.727557,0.387909,31.847499,4.929533,4.929533,126.604707
15.345694,0.708361,42.504944,5.091007,5.091007,153.755860
15.769732,0.381381,28.618851,4.045234,4.045234,145.417101
14.658902,0.441029,35.452408,5.119615,5.119615,139.842759
17.244182,0.537638,42.682866,5.528581,5.528581,151.628602
12.074774,0.402020,29.058985,4.642970,4.642970,126.133693
15.371679,0.421157,34.102247,5.747111,5.747111,149.966021
8.440265,0.258979,19.122125,5.499461,5.499461,111.477096
12.102902,0.253731,28.709861,4.706394,4.706394,130.545428
13.233668,0.270787,30.278648,6.785268,6.785268,135.520338
11.751858,0.267748,27.549750,5.264801,5.264801,131.240093
10.912840,0.340100,29.014824,4.365526,4.365526,92.284346
13.720266,0.506694,47.060296,7.791105,7.791105,162.750020
13.043106,0.769802,46.727940,4.142996,4.142996,140.795092
10.299520,0.485958,36.077343,5.549477,5.549477,139.986313
10.697829,0.539143,30.471034,5.717959,5.717959,134.012416
12.926272,0.766858,38.259291,5.934537,5.934537,154.406332
8.445417,0.461830,23.783399,4.253653,4.253653,116.561447
12.892544,0.597416,41.386113,5.774696,5.774696,151.412408
7.567774,0.386021,25.973762,5.124192,5.124192,114.247754
11.460078,0.543207,37.457265,5.086975,5.086975,134.553318
9.512534,0.487718,31.561672,4.753211,4.753211,99.432115
13.463687,0.628840,51.031609,6.320591,6.320591,159.890113
9.050256,0.373701,25.552093,5.516453,5.516453,105.933571
14.089519,0.403333,41.769094,7.485789,7.485789,138.809051
12.038645,0.443206,38.597599,4.439095,4.439095,106.597643
13.885996,0.535143,44.423303,5.639558,5.639558,133.556601
11.976405,0.502790,34.355723,4.730202,4.730202,123.987203
15.311230,0.582503,50.901912,4.867132,4.867132,154.810401
13.520424,0.643208,41.992362,5.822952,5.822952,135.003308
16.011047,0.620936,46.571586,6.160077,6.160077,143.242291
15.902534,0.658152,37.350927,5.844969,5.844969,133.699260
15.261630,0.664040,38.156314,5.094720,5.094720,138.751995
15.182717,0.571207,39.928879,4.896220,4.896220,252.151386
9.501782,0.428197,32.088622,4.507320,4.507320,114.680560
14.309106,0.753417,55.188973,6.889590,6.889590,157.558404
10.008317,0.592039,35.090996,3.696014,3.696014,120.919678
16.019239,0.831915,61.605564,8.182853,8.182853,163.337388
15.297534,0.634535,56.485694,4.292821,4.292821,160.473832
15.226141,0.545511,59.503875,6.335343,6.335343,173.295592
14.970426,0.858347,55.177965,4.019634,4.019634,163.904147
12.700510,0.625096,41.934440,4.534904,4.534904,139.092703
15.744227,0.842699,51.154075,6.896694,6.896694,159.993858
16.093832,0.506950,68.388433,7.153913,7.153913,188.633478
16.149672,0.707753,58.672569,5.842280,5.842280,169.714619
15.822021,0.466790,59.200831,4.349622,4.349622,165.396582
15.124252,0.612136,53.477272,7.411132,7.411132,168.548653
9.519734,0.394789,32.670326,4.531800,4.531800,131.418816
13.787339,0.417862,38.923299,7.467036,7.467036,148.763512
11.780626,0.397541,33.003898,6.276654,6.276654,134.698728
12.722142,0.290915,38.931012,7.114872,7.114872,150.094759
11.083849,0.237763,32.807960,5.758023,5.758023,134.108033
11.600784,0.229603,41.013309,6.331374,6.331374,157.163423
12.952097,0.212931,42.299885,7.262746,7.262746,164.414266
12.924033,0.235875,38.494462,7.180697,7.180697,164.842847
12.684798,0.215811,40.283348,5.801480,5.801480,156.937085
13.072770,0.159138,35.312343,5.687943,5.687943,155.566924
14.045039,0.160834,34.805296,7.534333,7.534333,164.800767
14.615157,0.097186,31.722186,6.498161,6.498161,169.253398
15.247741,0.068353,28.604388,4.826940,4.826940,157.400675
16.007334,0.044225,24.530609,5.367331,5.367331,157.746695
16.540845,0.060929,21.776814,7.391707,7.391707,159.954499
14.156880,0.089153,19.731989,7.268442,7.268442,109.457455
13.631817,0.107906,19.500402,6.879574,6.879574,141.186490
18.145889,0.197890,25.678303,9.294100,9.294100,222.041158
15.264797,0.100162,24.262381,5.164416,5.164416,155.637421
18.049888,0.080961,23.712647,5.936074,5.936074,161.345844
18.933611,0.078081,15.277630,7.598526,7.598526,149.747620
20.009400,0.071777,24.661938,7.880130,7.880130,175.812552
11.858131,0.056129,12.329721,8.241254,8.241254,122.178062
18.684264,0.063585,14.397459,8.836845,8.836845,142.899503
22.145108,0.095233,27.982747,8.569259,8.569259,210.633178
23.592613,0.071521,27.927067,8.733324,8.733324,258.904529
23.478628,0.068321,29.628272,10.421250,10.421250,173.321738
24.467249,0.079424,28.179487,9.796186,9.796186,172.946918
25.648959,0.058049,29.860435,11.130282,11.130282,173.654446
26.133957,0.095265,30.389945,11.412654,11.412654,197.933500
21.523915,0.048417,15.494336,9.730361,9.730361,154.825572
23.322882,0.089697,27.739673,9.982812,9.982812,175.572614
21.008357,0.112194,25.033655,9.208115,9.208115,174.963039
21.150503,0.178210,28.067645,10.917095,10.917095,202.933723
20.662817,0.147553,19.726326,11.104842,11.104842,148.753145
14.422579,0.128962,18.578983,9.671256,9.671256,143.348821
14.360147,0.183618,17.315191,10.843175,10.843175,142.344841
13.050978,0.231875,34.359147,10.933512,10.933512,108.086623
10.214750,0.195555,29.208555,11.939604,11.939604,144.210784
12.943905,0.306948,35.058132,9.529463,9.529463,146.839874
13.958734,0.453606,42.309965,12.082262,12.082262,155.107432
17.293367,0.453830,55.096429,10.513923,10.513923,177.054617
17.706557,0.488550,59.005341,9.290164,9.290164,178.626157
18.833034,0.580680,70.233865,10.220127,10.220127,207.300305
18.625384,0.730153,67.017377,9.971995,9.971995,193.571271
17.595099,0.789226,62.577802,7.570878,7.570878,182.346363
18.375141,0.851626,62.347687,9.691161,9.691161,203.558627
18.241123,0.774857,66.158711,9.248339,9.248339,207.787735
16.932691,0.677576,59.723335,8.445737,8.445737,197.849244
12.160152,0.639400,54.332419,9.496087,9.496087,180.577766
16.682960,0.643336,61.499132,8.136997,8.136997,259.756638
17.019092,0.814538,60.859316,10.984105,10.984105,259.848063
11.743378,0.900075,52.503565,10.546243,10.546243,208.666498
17.843774,0.787466,60.535441,10.804326,10.804326,205.170200
18.081825,0.809354,56.052729,9.988316,9.988316,206.589129
14.121424,0.807530,46.471842,9.553815,9.553815,204.291117
17.583802,0.827146,62.807085,9.914555,9.914555,220.312115
17.241366,0.799722,59.564485,9.688537,9.688537,221.049981
17.538298,0.789834,59.046430,9.222195,9.222195,222.379758
17.746493,0.665064,59.784647,9.922139,9.922139,229.435365
17.928255,0.802538,59.695879,9.688601,9.688601,233.302582
17.284439,0.786058,56.475422,9.522327,9.522327,231.621217
17.216758,0.742665,59.230049,8.691053,8.691053,238.559639
17.587867,1.041900,58.104371,10.732166,10.732166,240.331053
16.392364,0.780330,55.579027,10.835430,10.835430,245.492109
15.851717,0.726281,40.430423,10.103997,10.103997,220.258739
15.797733,0.814474,53.286198,10.423394,10.423394,241.415579
17.222998,0.797418,46.201215,10.829350,10.829350,232.369226
18.450278,0.781098,46.679076,8.187558,8.187558,231.125339
16.510093,0.808362,51.491041,9.447381,9.447381,235.179021
17.661659,0.780970,57.363370,10.302464,10.302464,253.300462
17.249271,0.905227,49.594825,10.726150,10.726150,237.402762
