#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403636858651666432.000000,0.000000,0.000000,24.653113,2.004185,0.004416,11.728564,4.518458,0.003200,30.168479
1403636858701666560.000000,0.000000,0.000000,25.368865,2.378431,0.069857,2.729603,3.143880,0.001440,31.734099
1403636858751666432.000000,0.000000,0.000000,24.408214,2.850500,0.071361,2.712291,3.457227,0.000896,31.107755
1403636858801666560.000000,0.000000,0.000000,26.430799,4.595546,0.106082,2.454143,3.446732,0.001056,35.021980
1403636858851666432.000000,0.000000,0.000000,23.975920,5.420581,0.119201,2.747747,3.725327,0.996813,33.708844
1403636858901666560.000000,0.000000,0.000000,25.932521,5.978092,0.122530,5.951948,5.938347,0.001056,36.198219
1403636858951666432.000000,0.000000,0.000000,24.243284,6.314224,0.119585,4.520249,5.441349,0.000928,34.934011
1403636859001666560.000000,0.000000,0.000000,25.138751,6.138926,0.136770,4.685275,6.010157,0.001024,35.634020
1403636859051666432.000000,0.000000,0.000000,24.793370,6.182959,0.121218,3.900913,6.316208,0.000960,36.432782
1403636859101666560.000000,0.000000,0.000000,25.254112,6.309904,0.128834,3.709551,6.139533,1.073773,53.446949
1403636859151666432.000000,0.000000,0.000000,30.640260,6.590452,0.231619,7.139803,7.055961,0.001024,47.901120
1403636859201666560.000000,0.000000,0.000000,25.972489,6.880920,0.129665,4.442712,6.435186,0.001152,43.292037
1403636859251666432.000000,0.000000,0.000000,23.527626,6.959192,0.128098,3.712591,6.253391,1.372242,40.626755
1403636859301666560.000000,0.000000,0.000000,24.884284,7.531167,0.129026,9.219093,9.098515,0.001600,44.300561
1403636859351666432.000000,0.000000,0.000000,25.721094,7.902724,0.102401,5.287939,8.211464,0.001152,50.155036
1403636859401666560.000000,0.000000,0.000000,24.089618,7.516479,0.118145,3.967923,7.109306,0.001024,45.896262
1403636859451666432.000000,0.000000,0.000000,25.432227,8.651150,0.140866,4.977119,9.989503,1.108910,49.241104
1403636859501666560.000000,0.000000,0.000000,25.180224,8.104231,0.134498,7.463743,8.788303,0.001280,47.698525
1403636859551666432.000000,0.000000,0.000000,24.569656,8.856656,0.139938,6.114286,7.822115,0.001120,48.645833
1403636859601666560.000000,0.000000,0.000000,26.032298,4.883006,0.134849,4.740892,6.770294,0.000960,50.295486
