#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.060787,0.064513,0.713385,0.041281,0.041281,9.894078
9.989024,0.120769,1.437203,0.004576,0.004576,11.555828
10.327907,0.154946,2.043130,0.409669,0.409669,26.241870
10.707624,0.152226,2.675138,0.701416,0.701416,32.689984
11.084173,0.072769,3.321418,0.955980,0.955980,39.033585
10.815305,0.057057,3.886930,1.286801,1.286801,42.310939
11.729270,0.056480,4.667036,1.449714,1.449714,48.816686
12.220508,0.060289,5.635911,2.138139,2.138139,60.810535
12.651809,0.060481,6.717781,1.268528,1.268528,40.210816
13.161383,0.061057,8.064807,93.386789,93.386789,159.558768
13.509004,0.073441,9.943551,2.685506,2.685506,67.227705
9.278230,0.071873,0.813386,0.005441,0.005441,10.172706
10.031488,0.235523,1.914616,0.005312,0.005312,12.190171
10.508774,0.367556,9.913343,0.267588,0.267588,41.302830
11.092589,0.441702,14.539193,0.847755,0.847755,67.117399
11.017581,0.401701,12.405854,0.835434,0.835434,67.269177
11.839382,0.520007,20.659015,1.088302,1.088302,73.007266
11.853303,0.586024,16.768662,1.284721,1.284721,70.127998
11.336625,0.373189,17.565663,1.339153,1.339153,73.606506
12.702018,0.332452,24.464568,1.349778,1.349778,81.887892
10.322660,0.396965,29.765787,36.656211,36.656211,121.650318
13.269161,0.469062,37.549022,1.547700,1.547700,96.453965
13.050118,0.475750,26.551986,1.659542,1.659542,85.006715
12.821059,0.456070,29.701083,1.791351,1.791351,87.578236
12.496160,0.334244,23.464747,1.856280,1.856280,76.411310
13.156136,0.267459,27.495551,2.030362,2.030362,91.680624
14.683899,0.287812,41.568721,2.242076,2.242076,122.213301
15.480901,0.537415,52.812417,3.074215,3.074215,132.111891
16.575251,0.544999,42.162937,2.805635,2.805635,125.675233
15.559078,0.508231,38.680109,2.724194,2.724194,123.331715
15.657671,0.355205,30.095423,3.159976,3.159976,126.417290
17.140986,0.323396,54.055185,3.311498,3.311498,283.895297
18.981522,0.415045,48.654156,4.279862,4.279862,146.180838
15.875275,0.286243,42.773889,4.233526,4.233526,133.554406
16.419697,0.313924,37.728961,4.610650,4.610650,136.397609
16.740373,0.253027,37.151225,4.369272,4.369272,134.547346
16.652308,0.219139,43.611627,4.779485,4.779485,143.796392
15.158369,0.162434,40.205057,4.278038,4.278038,126.632910
9.714716,0.075521,0.878891,0.005856,0.005856,10.679176
10.291427,0.256995,1.838456,0.005952,0.005952,12.396990
10.683336,0.272579,2.538081,0.581575,0.581575,31.982999
11.182383,0.234019,3.301642,0.925132,0.925132,37.477886
11.539187,0.095521,4.159349,1.384433,1.384433,44.042193
11.892408,0.092897,4.565786,1.487091,1.487091,58.754061
12.331005,0.049729,5.294563,1.923896,1.923896,43.575083
12.810468,0.040416,6.164975,2.233596,2.233596,63.736428
13.359402,0.042145,7.396510,2.306877,2.306877,70.114717
13.826160,0.060737,7.867780,49.668569,49.668569,122.060435
14.258870,0.056449,9.342999,2.549217,2.549217,74.613303
9.378072,0.079969,0.863915,0.005568,0.005568,10.331332
10.227170,0.187587,1.801687,0.004512,0.004512,12.225244
