#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403637130538319104.000000,0.000000,0.000000,27.291290,3.248009,0.004576,12.876036,5.563782,0.003456,35.187679
1403637130588318976.000000,0.000000,0.000000,24.384565,4.275287,0.096353,4.811549,4.776413,0.000928,33.158917
1403637130638319104.000000,0.000000,0.000000,23.197286,5.593479,0.067009,5.127938,4.049235,0.001504,32.965603
1403637130688318976.000000,0.000000,0.000000,23.308392,5.878091,0.087265,5.582151,4.362263,0.001408,33.213958
1403637130738319104.000000,0.000000,0.000000,26.045899,6.920952,0.107681,5.673512,4.667419,0.001120,38.976239
1403637130788318976.000000,0.000000,0.000000,24.119250,7.014169,0.133857,4.895870,4.992704,0.495110,54.433427
1403637130838319104.000000,0.000000,0.000000,23.881455,6.393969,0.098433,5.578951,5.395300,0.000992,44.357683
1403637130888318976.000000,0.000000,0.000000,23.167814,6.819670,0.130817,5.516742,4.960063,0.001408,43.553513
1403637130938319104.000000,0.000000,0.000000,23.371625,3.370443,0.133090,5.956972,4.614138,0.001217,40.929640
1403637130988318976.000000,0.000000,0.000000,22.681248,6.926328,0.127938,5.775145,4.141045,0.001216,44.566133
1403637131038319104.000000,0.000000,0.000000,23.945520,7.028794,0.134082,5.812042,4.805629,0.001024,45.719108
1403637131088318976.000000,0.000000,0.000000,24.001840,6.964857,0.140706,5.381156,4.727132,0.480327,46.350156
1403637131138319104.000000,0.000000,0.000000,24.510584,6.829815,0.127426,6.020716,4.978847,0.001120,46.320364
1403637131188318976.000000,0.000000,0.000000,24.757914,6.973273,0.131362,5.934507,4.960927,0.001056,46.866355
1403637131238319104.000000,0.000000,0.000000,23.884208,6.768758,0.137154,5.855083,5.755145,0.001504,44.964347
1403637131288318976.000000,0.000000,0.000000,23.460426,5.803209,0.128162,5.609607,6.042669,0.001024,44.350932
1403637131338319104.000000,0.000000,0.000000,23.403658,6.926616,0.129218,5.836170,4.460025,0.432165,45.266975
1403637131388318976.000000,0.000000,0.000000,24.366038,3.658446,0.131138,2.827204,4.231318,0.001088,43.427655
1403637131438319104.000000,0.000000,0.000000,24.376982,3.124839,0.073857,6.143150,4.852062,0.001024,42.473243
1403637131488318976.000000,0.000000,0.000000,22.924771,6.973880,0.134209,5.692872,5.138914,0.000992,45.738853
1403637131538319104.000000,0.000000,0.000000,23.321480,6.976665,0.134786,5.831370,4.934399,0.001376,46.405229
1403637131588318976.000000,0.000000,0.000000,27.583134,7.166491,0.129154,5.990669,4.717083,0.470214,49.742935
1403637131638319104.000000,0.000000,0.000000,22.667488,3.115976,0.070560,5.776074,4.752188,0.001056,36.712370
1403637131688318976.000000,0.000000,0.000000,23.228743,6.849271,0.109505,6.467858,6.120173,0.001120,45.274303
1403637131738319104.000000,0.000000,0.000000,22.334555,6.960601,0.137602,7.469119,5.907275,0.001120,44.462389
