#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.015329,3,1,0,712
0.004768,4,1,0,910
0.445733,5,1,0,1151
0.636808,6,1,0,1360
0.717449,7,1,0,1575
1.262576,8,1,0,1772
1.655797,9,1,0,1987
1.631188,10,1,0,2192
2.301885,0,0,0,0
93.574432,3,1,0,804
2.600001,4,1,0,1185
0.005472,5,1,0,1513
0.004384,6,1,0,1838
0.266979,7,1,0,1852
0.725481,8,1,0,1899
0.977612,9,1,0,2195
1.044302,10,1,0,2677
1.221455,0,0,0,0
1.380977,0,0,0,0
1.546740,0,0,0,0
40.905477,0,0,0,0
1.740790,0,0,0,0
1.247952,0,0,0,0
1.788343,0,0,0,0
1.997017,0,0,0,0
2.087930,0,0,0,0
2.257373,0,0,0,0
2.324221,0,0,0,0
2.845348,0,0,0,0
2.849860,0,0,0,0
3.205160,0,0,0,0
3.323082,0,0,0,0
4.344727,0,0,0,0
4.711675,0,0,0,0
4.742172,0,0,0,0
4.609051,3,1,0,630
4.484856,4,1,0,840
4.393079,5,1,0,1071
4.269238,6,1,0,1325
0.005824,7,1,0,1564
0.004960,8,1,0,1791
0.215939,9,1,0,2007
0.774314,10,1,0,2250
1.051597,0,0,0,0
1.417906,3,1,0,865
1.785079,4,1,0,1093
2.324637,5,1,0,1350
2.656194,6,1,0,1604
57.126931,7,1,0,1853
3.106919,8,1,0,2066
0.006336,9,1,0,2310
0.004928,10,1,0,2545
0.649576,0,0,0,0
0.935788,3,1,0,588
1.425234,4,1,0,880
1.672149,5,1,0,1204
1.839671,6,1,0,1545
2.438239,7,1,0,1977
2.494560,8,1,0,2375
55.515422,9,1,0,2722
3.487564,10,1,0,3072
0.006496,0,0,0,0
0.004928,0,0,0,0
0.449061,0,0,0,0
0.405253,0,0,0,0
0.971692,0,0,0,0
1.221231,0,0,0,0
1.281232,0,0,0,0
1.383153,0,0,0,0
1.500147,0,0,0,0
56.984881,0,0,0,0
1.616660,0,0,0,0
1.872376,0,0,0,0
1.901016,0,0,0,0
2.175772,0,0,0,0
2.100954,0,0,0,0
2.569185,0,0,0,0
2.654498,0,0,0,0
2.893029,0,0,0,0
2.918821,0,0,0,0
3.419307,0,0,0,0
3.890769,0,0,0,0
3.901714,0,0,0,0
4.111188,0,0,0,0
4.334007,0,0,0,0
6.601107,0,0,0,0
4.447993,0,0,0,0
6.190542,0,0,0,0
4.700668,0,0,0,0
4.316663,0,0,0,0
7.720930,0,0,0,0
4.763356,0,0,0,0
9.456280,0,0,0,0
6.793334,0,0,0,0
6.397873,0,0,0,0
6.727349,0,0,0,0
4.740188,0,0,0,0
8.021765,0,0,0,0
5.407813,0,0,0,0
5.588678,0,0,0,0
3.955218,0,0,0,0
3.789648,0,0,0,0
4.743100,0,0,0,0
5.726824,0,0,0,0
3.515757,0,0,0,0
6.324592,0,0,0,0
4.279766,0,0,0,0
5.540870,0,0,0,0
6.840663,0,0,0,0
5.941995,0,0,0,0
7.244380,0,0,0,0
8.458122,0,0,0,0
7.371645,0,0,0,0
7.155195,0,0,0,0
6.886615,0,0,0,0
7.023704,0,0,0,0
5.158241,0,0,0,0
5.243842,0,0,0,0
7.271676,0,0,0,0
5.494757,0,0,0,0
6.494706,0,0,0,0
3.102407,0,0,0,0
2.048506,0,0,0,0
1.894104,0,0,0,0
4.531610,0,0,0,0
3.696974,0,0,0,0
3.963890,0,0,0,0
2.231484,0,0,0,0
4.623483,0,0,0,0
4.705499,0,0,0,0
3.019943,0,0,0,0
3.279050,0,0,0,0
4.510393,0,0,0,0
8.477291,0,0,0,0
5.228834,0,0,0,0
6.212399,0,0,0,0
8.975890,0,0,0,0
7.068314,0,0,0,0
9.833405,0,0,0,0
9.353079,0,0,0,0
10.730983,0,0,0,0
10.710984,0,0,0,0
15.078207,0,0,0,0
8.818447,0,0,0,0
13.682189,0,0,0,0
6.106029,0,0,0,0
9.904190,0,0,0,0
10.278882,0,0,0,0
7.776099,0,0,0,0
14.203348,0,0,0,0
7.569056,0,0,0,0
11.569970,0,0,0,0
8.363690,0,0,0,0
8.917585,0,0,0,0
9.847101,0,0,0,0
8.017414,0,0,0,0
13.246151,0,0,0,0
10.453700,0,0,0,0
11.553106,0,0,0,0
15.512261,0,0,0,0
13.029637,0,0,0,0
15.877544,0,0,0,0
12.587839,0,0,0,0
19.076305,0,0,0,0
12.185466,0,0,0,0
12.819874,0,0,0,0
12.800258,0,0,0,0
14.320181,0,0,0,0
19.466678,0,0,0,0
13.036453,0,0,0,0
11.835958,0,0,0,0
12.041496,0,0,0,0
12.419709,0,0,0,0
15.617286,0,0,0,0
14.737658,0,0,0,0
15.297922,0,0,0,0
16.064587,0,0,0,0
15.090239,0,0,0,0
16.807508,0,0,0,0
15.782279,0,0,0,0
16.631506,0,0,0,0
15.382211,0,0,0,0
14.197332,0,0,0,0
16.313038,0,0,0,0
16.946518,0,0,0,0
14.715162,0,0,0,0
17.522078,0,0,0,0
16.942103,0,0,0,0
20.998666,0,0,0,0
18.706157,0,0,0,0
14.664665,0,0,0,0
17.843074,0,0,0,0
19.499511,0,0,0,0
15.296673,0,0,0,0
18.928591,0,0,0,0
18.130309,0,0,0,0
19.611576,0,0,0,0
22.163672,0,0,0,0
21.301678,0,0,0,0
21.836436,0,0,0,0
24.551895,0,0,0,0
23.756173,0,0,0,0
25.211135,0,0,0,0
20.535812,0,0,0,0
22.650654,0,0,0,0
22.925154,0,0,0,0
19.982493,0,0,0,0
18.677772,0,0,0,0
18.590955,0,0,0,0
20.204832,0,0,0,0
20.563172,0,0,0,0
22.685280,0,0,0,0
19.759354,0,0,0,0
15.684934,0,0,0,0
18.612363,0,0,0,0
17.163417,0,0,0,0
16.854325,0,0,0,0
19.572184,0,0,0,0
13.618092,0,0,0,0
20.134910,0,0,0,0
17.743136,0,0,0,0
17.157401,0,0,0,0
20.290784,0,0,0,0
17.697440,0,0,0,0
17.635871,0,0,0,0
16.271918,0,0,0,0
19.310037,0,0,0,0
20.994346,0,0,0,0
16.907446,0,0,0,0
13.458506,0,0,0,0
16.320399,0,0,0,0
16.842293,0,0,0,0
17.656032,0,0,0,0
20.156127,0,0,0,0
18.876847,0,0,0,0
15.506276,0,0,0,0
16.698963,0,0,0,0
16.076843,0,0,0,0
23.587018,0,0,0,0
17.045624,0,0,0,0
21.720883,0,0,0,0
20.256384,0,0,0,0
24.287636,0,0,0,0
20.877609,0,0,0,0
27.664446,0,0,0,0
22.799617,0,0,0,0
25.324513,0,0,0,0
17.116568,0,0,0,0
17.027959,0,0,0,0
19.123826,0,0,0,0
14.707963,0,0,0,0
11.838806,0,0,0,0
14.960765,0,0,0,0
14.466487,0,0,0,0
6.427441,0,0,0,0
6.863254,0,0,0,0
11.576306,0,0,0,0
7.755106,0,0,0,0
12.594943,0,0,0,0
10.778729,0,0,0,0
7.926981,0,0,0,0
10.610662,0,0,0,0
11.506322,0,0,0,0
9.037523,0,0,0,0
10.772073,0,0,0,0
13.322857,0,0,0,0
9.844188,0,0,0,0
14.955102,0,0,0,0
11.987608,0,0,0,0
12.215259,0,0,0,0
17.347227,0,0,0,0
10.932843,0,0,0,0
11.208270,0,0,0,0
14.176499,0,0,0,0
14.684506,0,0,0,0
18.014084,0,0,0,0
13.185351,0,0,0,0
15.558565,0,0,0,0
14.124787,0,0,0,0
13.680941,0,0,0,0
13.607884,0,0,0,0
14.110514,0,0,0,0
15.952105,0,0,0,0
16.908310,0,0,0,0
16.414064,0,0,0,0
15.866696,0,0,0,0
14.512536,0,0,0,0
15.054270,0,0,0,0
15.018974,0,0,0,0
11.899159,0,0,0,0
14.204372,0,0,0,0
14.145619,0,0,0,0
18.257863,0,0,0,0
16.642226,0,0,0,0
11.373456,0,0,0,0
13.138534,0,0,0,0
16.937079,0,0,0,0
12.205498,0,0,0,0
11.098444,0,0,0,0
12.065913,0,0,0,0
9.112947,0,0,0,0
12.150714,0,0,0,0
10.001374,0,0,0,0
14.665050,0,0,0,0
8.656878,0,0,0,0
8.525324,0,0,0,0
16.944887,0,0,0,0
14.700346,0,0,0,0
14.633241,0,0,0,0
15.952906,0,0,0,0
11.350576,0,0,0,0
11.407632,0,0,0,0
15.559813,0,0,0,0
15.561093,0,0,0,0
15.996299,0,0,0,0
16.387760,0,0,0,0
12.932356,0,0,0,0
18.031876,0,0,0,0
15.237185,0,0,0,0
15.745767,0,0,0,0
18.890479,0,0,0,0
15.281153,0,0,0,0
22.131448,0,0,0,0
19.691738,0,0,0,0
24.021520,0,0,0,0
14.933853,0,0,0,0
14.454295,0,0,0,0
14.393078,0,0,0,0
14.427542,0,0,0,0
16.957751,0,0,0,0
17.825409,0,0,0,0
19.193171,0,0,0,0
20.166079,0,0,0,0
16.930358,0,0,0,0
16.603826,0,0,0,0
18.317096,0,0,0,0
16.121228,0,0,0,0
14.583161,0,0,0,0
14.624569,0,0,0,0
17.681088,0,0,0,0
14.558360,0,0,0,0
15.160095,0,0,0,0
14.323061,0,0,0,0
13.940081,0,0,0,0
14.314005,0,0,0,0
14.026801,0,0,0,0
14.235252,0,0,0,0
13.687213,0,0,0,0
11.719284,0,0,0,0
14.560888,0,0,0,0
12.788482,0,0,0,0
15.159616,0,0,0,0
14.580952,0,0,0,0
13.518763,0,0,0,0
13.539883,0,0,0,0
16.109292,0,0,0,0
19.828667,0,0,0,0
15.891690,0,0,0,0
16.269838,0,0,0,0
26.559760,0,0,0,0
24.871643,0,0,0,0
17.832034,0,0,0,0
20.301089,0,0,0,0
23.062596,0,0,0,0
20.582565,0,0,0,0
21.960790,0,0,0,0
19.050385,0,0,0,0
16.667219,0,0,0,0
18.124901,0,0,0,0
22.889506,0,0,0,0
23.816461,0,0,0,0
22.393628,0,0,0,0
19.950813,0,0,0,0
18.683725,0,0,0,0
19.220755,0,0,0,0
19.709177,0,0,0,0
19.570008,0,0,0,0
23.125701,0,0,0,0
19.755162,0,0,0,0
18.639404,0,0,0,0
18.920624,0,0,0,0
19.378325,0,0,0,0
17.079992,0,0,0,0
18.465354,0,0,0,0
16.867318,0,0,0,0
16.202317,0,0,0,0
13.297833,0,0,0,0
10.339299,0,0,0,0
4.372599,0,0,0,0
10.197889,0,0,0,0
16.135692,0,0,0,0
19.284564,0,0,0,0
16.962295,0,0,0,0
21.501328,0,0,0,0
19.875612,0,0,0,0
25.136670,0,0,0,0
22.836449,0,0,0,0
25.899848,0,0,0,0
22.993251,0,0,0,0
25.208319,0,0,0,0
21.047531,0,0,0,0
20.782759,0,0,0,0
20.539588,0,0,0,0
20.764839,0,0,0,0
20.467043,0,0,0,0
21.181068,0,0,0,0
24.223698,0,0,0,0
14.359606,0,0,0,0
25.221727,0,0,0,0
28.214725,0,0,0,0
23.070053,0,0,0,0
25.913960,0,0,0,0
28.533961,0,0,0,0
28.894318,0,0,0,0
30.467777,0,0,0,0
28.664331,0,0,0,0
21.736595,0,0,0,0
12.394813,0,0,0,0
19.400598,0,0,0,0
20.138015,0,0,0,0
23.384552,0,0,0,0
11.204557,0,0,0,0
16.302702,0,0,0,0
19.198036,0,0,0,0
19.209459,0,0,0,0
17.046807,0,0,0,0
19.335349,0,0,0,0
25.800007,0,0,0,0
24.597271,0,0,0,0
24.492982,0,0,0,0
25.322625,0,0,0,0
20.061438,0,0,0,0
19.895740,0,0,0,0
18.857903,0,0,0,0
24.166002,0,0,0,0
18.657772,0,0,0,0
22.701183,0,0,0,0
20.232384,0,0,0,0
18.882607,0,0,0,0
22.393147,0,0,0,0
24.668633,0,0,0,0
23.554218,0,0,0,0
22.623102,0,0,0,0
24.714905,0,0,0,0
24.659032,0,0,0,0
23.474602,0,0,0,0
21.339374,0,0,0,0
18.520139,0,0,0,0
21.629618,0,0,0,0
26.630961,0,0,0,0
23.444041,0,0,0,0
27.018294,0,0,0,0
23.913134,0,0,0,0
17.098265,0,0,0,0
18.122693,0,0,0,0
28.321127,0,0,0,0
20.311585,0,0,0,0
27.398363,0,0,0,0
26.131211,0,0,0,0
27.088695,0,0,0,0
27.169400,0,0,0,0
15.419683,0,0,0,0
25.358209,0,0,0,0
24.362965,0,0,0,0
16.673747,0,0,0,0
24.752090,0,0,0,0
16.524978,0,0,0,0
16.891254,0,0,0,0
16.504369,0,0,0,0
17.129561,0,0,0,0
24.685624,0,0,0,0
17.501469,0,0,0,0
23.625547,0,0,0,0
20.359553,0,0,0,0
14.759611,0,0,0,0
15.151040,0,0,0,0
21.714355,0,0,0,0
18.319432,0,0,0,0
17.095737,0,0,0,0
17.827329,0,0,0,0
18.743469,0,0,0,0
19.247508,0,65520,1088892917,1079383723
18.414217,161,796972704,-1202509827,137988709
17.201722,0,65535,1087317851,1079223610
17.793058,756947376,0,-1470981117,635242843
17.330587,65535,0,1086353498,1079319409
18.737613,800723312,796972832,-463037736,-1733380081
15.885545,65535,65535,1093648130,1080537489
15.483620,1279386363,8,64103333,-1914799500
20.387394,1086699073,65535,-1051567490,1078564101
23.907663,-16799528,801094512,1604113233,474989023
